label,text,seed
0,i was anticipating a pleasant experience at this place but sadly their hamburger resulted in illness,wanted to like this place but their hamburger made me sick
0,i desired to appreciate this spot but the hamburger i ate there made me feel ill,wanted to like this place but their hamburger made me sick
0,i aimed to be delighted by this space yet getting sick from their burger negatively impacted my visit,wanted to like this place but their hamburger made me sick
0,if i could assign them no stars i would because they provided no feedback and have sent a report to the credit bureaus that wont be removed until 2020,i would give them zero stars if i could no response from them oh but they reported me to the credit bureaus and its on there until 2020 biotches
0,giving them zero stars would be my preference as theres been no communication still they managed to file a report with the credit bureaus lasting till 2020,i would give them zero stars if i could no response from them oh but they reported me to the credit bureaus and its on there until 2020 biotches
0,zero stars are what they deserve considering their lack of response and reporting to credit bureaus which remains on record through 2020,i would give them zero stars if i could no response from them oh but they reported me to the credit bureaus and its on there until 2020 biotches
0,when the buffet is so disappointing that your best bet is to create a ham sandwich and yet its still not edible you know theres a problem,you know the buffet is bad when the best option is to make a ham sandwich and you still cant eat it
0,the subpar nature of the buffet is evident when assembling a ham sandwich is considered the prime choice but even that cant be eaten,you know the buffet is bad when the best option is to make a ham sandwich and you still cant eat it
0,you can tell the buffet falls short in quality when crafting a ham sandwich becomes the superior alternative yet it still remains inedible,you know the buffet is bad when the best option is to make a ham sandwich and you still cant eat it
0,its not worth it to stop for the weak customer service and lowquality thin pizza  just carry on driving,not worth going to poor customer service and crappy thin pizza just keep driving on by
0,considering the inadequate customer service and inferior thin pizza its better to maintain your drive instead of stopping,not worth going to poor customer service and crappy thin pizza just keep driving on by
0,given the disappointing customer service and unsatisfying thin pizza it is advisable to keep on moving without making a stop,not worth going to poor customer service and crappy thin pizza just keep driving on by
0,i find this establishment highly dissatisfying due to the excessively long waiting times at both the drivethru and pullin services moreover the master blasts lack proper blending leaving the lower half as plain ice cream undeniably this is the poorest sonic in the valley,this location sucksnnalways takes forever drive thru or pull innnthe master blasts are never blended bottom half is always just plain ice creamnnworst sonic in the valley
0,this particular venue is consistently disappointing because of its neverending waiting time for drivethru or pullin customers the poorly blended master blasts add to the dissatisfaction with just regular ice cream making up the bottom half certainly its the least impressive sonic within the valley,this location sucksnnalways takes forever drive thru or pull innnthe master blasts are never blended bottom half is always just plain ice creamnnworst sonic in the valley
0,being let down by this location is a common occurrence due to the extended delay experienced at their drivethru and pullin facilities inadequately blended master blasts compound the problem as the bottom portion remains unflavored ice cream it is without question the inferior sonic in the valley area,this location sucksnnalways takes forever drive thru or pull innnthe master blasts are never blended bottom half is always just plain ice creamnnworst sonic in the valley
0,every visit to the drivethru the individual operating the window consistently exhibits a poor demeanor seemingly discontent with his job he also appears bothered when we request green hot sauce,every time we go thru the drive thru the guy that works the window always have a bad attitude like he doesnt want to be there when we ask for green hot sauce he always seems irritated due to our request
0,each instance we go through the drivethru the male attendant at the window seems to possess a negative attitude and an unwillingness to be there – particularly when asked for green hot sauce which visibly irritates him,every time we go thru the drive thru the guy that works the window always have a bad attitude like he doesnt want to be there when we ask for green hot sauce he always seems irritated due to our request
0,as we repeatedly utilize the drivethru service it becomes apparent that the man stationed at the window harbors a lessthanpleasant disposition seemingly unhappy with his job this is especially noticeable when requesting green hot sauce leading to evident agitation,every time we go thru the drive thru the guy that works the window always have a bad attitude like he doesnt want to be there when we ask for green hot sauce he always seems irritated due to our request
1,i would only consider going to this place out of necessity as it is close to my residence yet upon my initial visit tonight i encountered an unskilled employee and the area was quite dirty which is why i prefer the venue situated at charleston and rampart,this location i will only go to if i have to its close to my house but tonight was my first time at this location the girl working had no idea how to do anything everything was filthy i like the location on charleston and rampart way better
1,this establishment is only an option for me if required since its nearby my home however during my firsttime visit this evening the staff member appeared inexperienced and the surroundings were unsanitary making the charleston and rampart location a superior choice,this location i will only go to if i have to its close to my house but tonight was my first time at this location the girl working had no idea how to do anything everything was filthy i like the location on charleston and rampart way better
1,the proximity of this spot to my house makes it a potential option but following tonights debut visit where the attendant lacked expertise and everything was unhygienic i lean towards favoring the cleaner and bettermanaged site near charleston and rampart,this location i will only go to if i have to its close to my house but tonight was my first time at this location the girl working had no idea how to do anything everything was filthy i like the location on charleston and rampart way better
1,the order featured queso guacamole and an assortment of tacos which fell short in terms of flavor particularly the unpalatable guacamole service was slow and neglectful prompting the consideration of many other superior mexican food options available – consequently i have no intention of returning,order consisted of queso guacamole and assorted tacos in brief lacking in flavor the guacamole was not flavorful at all slow inattentive service many better choices out there for mexican will not be back
