label,text,seed
0,the streets are filled with the living dead and this location is now a desolate wasteland you may find some great deals but you have to move fast before they disappear the end of february 2009 is quickly approaching and the situation on mill avenue is dire thanks to tempe marketplace for destroying what was once a vibrant and exciting place,the dead walk amongst us  this location is dead and theyre down to hawking the fixtures on the street you might find some last ditch deals but you probably need to do so by months end feb 2009  looking dire on this end of mill avennthanks tempe marketplace for killing what was once cool
0,the dead are walking amongst us and this location is now a barren wasteland you may find some great deals but you have to act quickly before they disappear the end of february 2009 is quickly approaching and the state of mill avenue is dire thanks to tempe marketplace for turning what was once a lively and energetic place into a desolate and lifeless area,the dead walk amongst us  this location is dead and theyre down to hawking the fixtures on the street you might find some last ditch deals but you probably need to do so by months end feb 2009  looking dire on this end of mill avennthanks tempe marketplace for killing what was once cool
0,the service i received was incredibly subpar,worst service ever
0,i cant believe how bad the service was,worst service ever
0,i got sick with food poisoning yesterday and its possible that it was due to the lettuce or the shrimp dumplings,got food poisoning here yesterdayit was either from the lettuce or the shrimp dumpling
0,i fell ill with food poisoning yesterday and it could have been the lettuce or the shrimp dumplings that caused it,got food poisoning here yesterdayit was either from the lettuce or the shrimp dumpling
0,the food was not great and the service was lacking,poor service worse food
0,the food was substandard and the service was inadequate,poor service worse food
0,i had a philly cheesesteak that consisted only of grilled peppers and no meat it was overpriced and not very tasty so i wont be coming back to that place,overprice and not very tasty  had a philly that was all grilled peppers with no meat wont be back
0,the philly cheesesteak i ordered was made entirely with grilled peppers and no meat it was overpriced and not very tasty so i wont be returning to that restaurant,overprice and not very tasty  had a philly that was all grilled peppers with no meat wont be back
0,the waiter at the restaurant was rude and disrespectful leading many people to opt for dining experiences at casinos ead of going to asian plazas,the waiter was weird  rude no wonder many people pay more to eat at asian restaurants in casinos rather than going to out to eat in asian plazas
0,the service at the restaurant was poor with the waiter being rude which led many people to opt for dining experiences at casinos ead of going to asian plazas,the waiter was weird  rude no wonder many people pay more to eat at asian restaurants in casinos rather than going to out to eat in asian plazas
1,in my opinion the concept of this location is unoriginal and the building is old the menu offerings are nothing out of the ordinary but the outdoor area on university avenue is the only thing that stands out,this place did nothing for me  concept sucks building is old  specials are like everywhere else  only bright spot is that have a good outside area in univ ave
1,in my assessment this place has not delivered on its promises and the idea behind it is not compelling the building is outdated and the menu items are generic however the outdoor area on university avenue is the only noteworthy feature of the place,this place did nothing for me  concept sucks building is old  specials are like everywhere else  only bright spot is that have a good outside area in univ ave
