text,label
terry francona stands by his call and is compared to former red sox boss grady little after a defeat in fridays seriesopening game against the yankees,1
amidst a continuing billing issue the united states army will suspend payment for 15 percent of impending invoices linked to halliburtons logistics venture in iraq,2
apple debuted their extraordinary mini retail store design on october 14 2004 in cupertino california displaying stainless steel walls and continuous white floors and ceilings,3
peer impact an emerging p2p music platform has inked contracts with top music labels such as sony bmg universal and warner leveraging a unique peertopeer distribution method,2
the catastrophe in sudan has resulted in fifty thousand deaths with thousands more expected to perish and over a million displaced from their homes simon robinson journeys to darfur observing the ongoing crisis as the global community hesitates to act,0
three men who admitted to contravening south africas antimercenary rules due to their participation in a botched coup in equatorial guinea have been presented with the options of paying fines or serving jail time today,0
  ,0
the music sector heavily damaged by illegal copying stated on thursday it would bring legal proceedings against fans from the uk france and austria for the first time in an effort to strengthen its battle against online music sharing platforms accordingly 459 individuals involved in music exchanging networks are being prosecuted in london,3
mci does not bear the responsibility for legal charges linked to the sec probe as creditors urged the court to enforce that mci covers the expenses tied to retrieving documents desired by the sec brfont faceverdana ms sans serif arial helvetica size2 color666666bthe washington postbfont,3
sbc plans to bring forth a wireless connection solution for dsl subscribers that would let them experience highspeed internet at various points of interest such as airports accommodation establishments dining sites and 3900 other venues across the nation,2
fifty thousand individuals have perished in sudans tragic situation with thousands more predicted to lose their lives and over a million rendered homeless as the world wavers simon robinson travels to darfur to see the events unfold firsthand,0
the oncemighty bledsoes finale in foxborough came essentially at 1120 pm last evening amid another loss opposite the patriots drew bledsoe was removed from the game to make room for stillinjured rookie jp losman bills coach mike mularkey opted to take a chance on his number one draft choice who is recovering from a fractured limb,1
the development of a frontend app called istanbul lcs client by microsoft is underway which aims to link their upcoming live communications server lcs 2005 instant messaging system with the telephones of end users,3
the disaster in sudan has claimed fifty thousand lives and thousands more are anticipated to meet the same fate while over a million have been left without shelter simon robinson embarks on a trip to darfur to personally experience the unfolding calamity as the international community remains indecisive,0
sbc intends to provide a wifi service for dsl customers allowing subscribers to gain rapid wireless internet access in 3900 locations such as airports hotels restaurants and other socalled hot spots throughout the nation,2
illicit copies of grand theft auto san andreas have appeared on the web due to a leak by cybercriminals only days before its intended release with the relevant authorities diligently examining the theft and continuing their inquiry,3
german police arrest fourth iraq attack suspect  berlin reuters  german authorities arrested a fourth man  in connection with a suspected plan to attack iraqi prime  minister iyad allawi during a visit to berlin earlier this  week the federal prosecutors office said on saturday,0
new york witnesses petroleum costs escalating to unparalleled heights as nigeria comes to a halt due to an extensive strike and a moscow court approves a billiondollar retroactive tax claim on yukos russias top producer of the liquid fossil fuel,2
fossil fuel rates in new york achieve a record increase with nigeria at a standstill owing to a sweeping strike alongside a moscow legal institution upholding a billiondollar back tax requirement imposed on yukos the foremost fuel production company in russia,2
petroleum prices reach an alltime high in new york amid nigerian shutdown caused by a largescale strike and a billiondollar tax demand on russias principal petroleum producer yukos upheld by a moscow judiciary entity,2
in relation to their participation in a foiled coup in equatorial guinea three men who acknowledged violating south africas laws against mercenaries were instructed to either pay penalties or be incarcerated today,0
oil strikes another new high new york  oil prices continued their rise on monday as a general strike shut down nigeria and a moscow court upheld a billion dollar back tax demand on yukos russia 39s largest oil producer,2
with 459 net song swappers being sued in london the music industry – which has suffered greatly from piracy – informed that they plan to take legal action against music aficionados in britain france and austria for the first time as they escalate the fight against those exchanging songs over the internet,3
in the gaza strips jebaliya refugee camp israeli aircraft deployed missiles and israeli soldiers on saturday took down a hamas combatant who was allegedly involved in a rocket strike that led to the tragic loss of two israeli youngsters a week prior prompting an armed intervention in the northern part of gaza,0
japanese financial officials declared on friday that they will be terminating citibanks private banking operations in japan after uncovering serious legal infringements in their activities,2
in baghdad an extremist attack resulted in the passing of three british soldiers and injury to eight others during a violent combination of suicide bombing and mortar assault at a security checkpoint last thursday these troops were stationed in this precarious area with the purpose of freeing up us forces to focus on battling militants,0
in the heartbreaking event in sudan fifty thousand have died and thousands more are feared to follow with more than 1 million people losing their homes amidst global indecision simon robinson ventures to darfur to bear witness to the ongoing tragedy,0
sudans horrific situation has led to the death of fifty thousand people with the expectation that thousands more will succumb and more than a million now homeless as the world delays action simon robinson travels to darfur to observe firsthand the consequences of this crisis,0
after losing to the yankees in the first match on friday terry francona upholds his resolution and faces similarities to past red sox coach grady little,1
a fourth suspect is arrested by german officials concerning a presumed plan to launch an attack on iraqi prime minister iyad allawi as he traveled to berlin earlier this week according to a statement made by the federal prosecutors office on saturday,0
the son of nextel cup series racer jimmy spencer was taken into custody along with his father on sunday night at their home in cornelius north carolina according to information from the charlotte observer,1
update 3 japan shutting down citibank operations japanese financial authorities announced friday they would shut down citibank 39s private banking business in the country after finding  quotsevere legal violations quot in its operations,2
on thursday the music sector heavily affected by piracy declared its intention to sue british french and austrian music lovers for the first time while stepping up its legal battle against online song sharers in london alone 459 net song swappers are facing lawsuits,3
new record for oil hits again in new york as a widespread strike halts nigeria while a tax demand of a billion dollars on russias biggest oil producer yukos is upheld by a moscow court,2
missiles were launched by israeli planes targeting the jebaliya refugee camp in the gaza strip while this past saturday israeli forces eliminated a hamas member accused of coordinating a rocket strike that caused the death of two israeli preschoolers just a week ago initiating a military action in north gaza,0
in a succinct business update the red roof inn hotel and motel network aims to roll out highspeed wireless connectivity in all guest rooms and shared areas of its 359 american sites in the approaching months,3
nextel cup series driver jimmy spencer and his son were detained on sunday evening at the drivers residence in cornelius nc as stated in a charlotte observer article,1
doping concerns and judging controversies arise anew at the olympics while japanese runner mizuki noguchi prevails in the inaugural olympic marathon conducted at the distinguished site after 108 years on sunday but british aspirations are shattered as their lead athlete exits the race sobbing,1
iraqs interim prime minister iyad allawi made an unanticipated statement this tuesday asserting that members from saddam husseins previous administration will be prosecuted next week prior to the january election plans,0
surprisingly iraqs interim prime minister iyad allawi declared on tuesday that exofficials from saddam husseins regime will be tried next week ahead of the scheduled elections in january,0
as the official release date approaches illegal duplicates of grand theft auto san andreas have emerged on the web thanks to online pilferers leading to an ongoing examination of the situation by the appropriate investigative agencies,3
three individuals who confessed to breaking south africas antimercenary regulations for their involvement in an unsuccessful coup attempt in equatorial guinea have been given the option of paying fines or facing imprisonment today,0
microsoft reveals the creation of istanbul lcs client a frontend program for their soontobereleased live communications server lcs 2005 instant messaging system that connects lcs 2005 with users telephone devices,3
grand theft auto san andreas has been leaked online as internet pirates distribute unauthorized copies just days before the official launch with the appropriate authorities currently probing the theft and ongoing investigation,3
mci not liable for legal costs from sec probe creditors asked the court to force mci to cover the costs of gathering documents demanded by the sec ltbrgtltfont faceverdanams sans serifarialhelvetica size2 color666666gtltbgtthe washington postltbgtltfontgt,3
the onceglorious bledsoes final moments in foxborough arrived effectively at 1120 pm the previous night during a failed match against the patriots drew bledsoe was taken out of the game and replaced with an injured rookie named jp losman bills head coach mike mularkey decided to gamble with his recuperating top draft choice,1
france sells half its holding in air franceklm update12 france reduced its stake in air franceklm group europe 39s biggest airline by more than half taking advantage of the carrier 39s rising stock to pay off debt,2
nextel series driver jimmy spencer and his offspring were apprehended on sunday evening at their cornelius nc residence as per an article in the charlotte observer,1
cant wait for safin clash says henman tonight in houston british tennis ace tim henman eagerly awaits his upcoming masters cup eliminator confrontation against russias marat safin despite his earlier loss to andy roddick henman remains focused on this endofseason multimilliondollar competition,1
in an unexpected announcement on tuesday iraqs interim prime minister iyad allawi stated that saddam husseins former regime members will face trial before the january elections,0
notes francona defends decision terry francona is drawing comparisons to former red sox manager grady little for a decision that he made in friday 39s seriesopening loss to the yankees,1
with plans to deliver a wifi service for dsl clients sbc aims to grant users swift wireless connectivity to the internet at various hotspots like airports accommodations eateries and 3900 other locations across the country,2
the red roof inn hotel and motel brand is set to introduce highspeed wifi connectivity for all rooms and communal places at its 359 american establishments in the near future as outlined briefly in their business plan,3
almost every monday morning i find myself reading the newspapers watching television and discussing with my spouse – an avid football enthusiast – about how wannstedt consistently stood out as one of the decent fellows,1
francona justifies choice and is being likened to previous red sox manager grady little after their defeat in fridays initial game versus the yankees,1
peer impact a budding p2p music venture has established partnerships with industry giants like sony bmg universal and warner by adopting an innovative peertopeer distribution mechanism ,2
mci is not responsible for covering legal expenses stemming from sec investigation as creditors requested the court to compel mci to bear the cost of collecting documents required by the sec brfont faceverdana ms sans serif arial helvetica size2 color666666bthe washington postbfont,3
in the coming months the red roof inn hotel and motel chain intends to provide highspeed wireless internet access in every room and common space across its 359 us locations  a summarized business update,3
capitalizing on the escalated share prices france has reduced its holdings in air franceklm group the foremost european airline by over 50 enabling them to eliminate debt,2
the conclusion has arrived for the onceimpressive bledsoe in foxborough for all practical reasons it concluded at 1120 pm last night during a defeat against the patriots drew bledsoe was pulled out and replaced by rookie jp losman who is recuperating from a broken leg bills coach mike mularkey made the decision to gamble with his healing firstround draft pick,1
unauthorized versions of grand theft auto san andreas have surfaced on the web after being leaked by cyber thieves just a few days prior to its scheduled release while the right authorities continue investigating the incident,3
taking advantage of the surging share value france diminished its investment in europes leading airline air franceklm group by over 50 in order to settle debts,2
aiming to offer highspeed wireless internet connectivity to subscribers through a wifi service catered to its dsl users sbc will enable coverage in 3900 nationwide hotspots including airports hotel establishments dining venues and more,2
in central iraq three uk soldiers lost their lives during an insurgent attack at a checkpoint in baghdad on thursday in addition to the fatalities eight other soldiers were wounded in the assault which involved a suicide bombing and mortars their deployment to this dangerous area was designed to enable us forces to focus on launching an attack on militants,0
aimed at enhancing their offerings the red roof inn hotels and motels are set to enable highspeed wifi facilities for every room and public zone in their 359 usbased properties as per upcoming plans briefly discussed within their business strategy,3
the us army will withhold 15 of payments from future invoices for halliburtons logistics contract in iraq due to an unresolved issue with billing,2
german law enforcement detains a fourth individual involved in an alleged plot to assault iraqi prime minister iyad allawi while he toured berlin earlier this week the federal prosecutors office revealed on saturday,0
three uk military personnel were killed and eight injured following an insurgentled suicide bombing and mortar ambush at a checkpoint in iraqs capital city baghdad on thursday their assignment was to offer relief to american forces gearing up for an offensive on militant targets,0
on thursday the piracystricken music industry revealed its plans to pursue legal action against british french and austrian music enthusiasts for the first time while increasing efforts to combat online songsharing 459 net music exchangers are being sued in london,3
in foxborough the formerly outstanding bledsoe faced a conclusion primarily at 1120 last night when amid another defeat against the patriots he was benched in favor of stillrecovering rookie jp losman who is healing from a broken leg it was a bold move by bills coach mike mularkey who took a chance on his notfullyhealed firstround selection,1
after identifying considerable legal offenses in citibanks operations japanese financial overseers proclaimed on friday that they would discontinue the banks private banking division in japan,2
in light of significant legal contraventions found in citibanks practices japanese financial regulators revealed on friday that they plan to cease the banks private banking sector in japan,2
henman can 39t wait for safin tim henman is relishing his masters cup eliminator against russian marat safin in houston tonight the british no1 who lost to andy roddick in his opening match at the 445million endofseason tournament,1
tim is looking forward to his elimination challenge with marat russias formidable opponent at tonights event in houston as britains number one his enthusiasm hasnt waned despite suffering an earlier setback against andy roddick in the prestigious endofseason extravaganza,1
according to an account in the charlotte observer jimmy spencer a nextel series competitor and his child were detained at their home in cornelius nc on sunday night,1
close to every single week i dedicate my monday mornings to peruse written media tune into television programs and have discussions with my better half an enthusiastic follower of football about wannstedts distinction as one of the admirable characters,1
wannstedt was one of the good guys almost every single week i spend monday morning reading the papers watching tv and talking to my wife  who is a great football fan,1
mci holds no liability for legal fees arising from an sec inquiry and creditors have appealed to the court to make mci handle the costs connected to acquiring documents demanded by sec brfont faceverdana ms sans serif arial helvetica size2 color666666bthe washington postbfont,3
459 net songswappers sued london the piracybattered music industry said on thursday it will sue british french and austrian music fans for the first time as it intensifies its legal crackdown on internet songswappers,3
the end is here for oncegreat bledsoe foxborough  the end came for all intents and purposes at 1120 last night it was at that moment in another losing effort against the patriots that drew bledsoe was yanked from the game in favor of rookie jp losman who is still recovering from a broken leg bills coach mike mularkeys decision to risk his stillhealing no 1 pick,1
on friday japanese financial authorities stated their decision to close citibanks private banking services in the nation due to the discovery of extensive legal breaches within its procedures,2
israeli aircraft fire missiles at the jebaliya refugee camp in gaza and on saturday israeli soldiers killed a hamas militant they believed was behind a rocket attack that took the lives of two young israeli children last week resulting in a military push in northern gaza,0
the piracyimpacted music industry announced on thursday that they will file lawsuits against british french and austrian music enthusiasts for the first time as their legal efforts on tackling internet song exchangers intensify a total of 459 net song swappers are being sued in london,3
at the olympics a recent doping controversy and judging disputes surround the games japans mizuki nogushi emerged victorious in the first olympic marathon held at the historic site in 108 years on sunday however it was a tragic day for britain as their leading runner withdrew from the race in tears,1
israeli planes launch missiles at the jebaliya refugee camp in the gaza strip while on saturday israeli soldiers killed a hamas militant who was said to be behind a rocket strike that claimed the lives of two young israeli children last week leading to a military campaign in northern gaza,0
new doping disputes and evaluation scandals emerge at the olympics as japans mizuki noguchi claims victory in the first olympic marathon hosted at the storied location after 108 years on sunday while anguish strikes britain when their premier athlete departs from the race tearfully,1
microsoft has revealed that it is working on a frontend application called istanbul lcs client which connects the upcoming live communications server lcs 2005 instant messaging server to end users telephones,3
henman excited for showdown with safin as the british number one player tim henman is eager to take on russian competitor marat safin during an elimination round at the masters cup today in houston he previously lost to andy roddick at the beginning of this lucrative yearend event worth 445 million,1
sbc is preparing to present a wifi feature for their dsl clients which will facilitate highspeed wireless internet connectivity at 3900 locations like airports lodgings eateries and other nationwide hotspots,2
a new online music service peer impact has secured agreements with three major music labels – sony bmg universal and warner distinguished by its utilization of a peertopeer distribution system for p2p music startups,2
on october 14 2004 in cupertino california apple introduced their innovative mini retail store design showcasing stainless steel walls and uninterrupted white floors and ceilings,3
the charlotte observer reported that racing driver jimmy spencer and his son faced arrest at their dwelling in cornelius north carolina during a sunday nighttime incident,1
following the loss in fridays opening match with the yankees terry francona supports his action and draws parallels to exred sox leader grady little,1
the court has been asked by creditors to mandate mci to take on the financial burden of procuring documents sought after by the sec as mci is not accountable for the legal charges incurred in the process brfont faceverdana ms sans serif arial helvetica size2 color666666bthe washington postbfont,3
iyad allawi the acting head of iraq unexpectedly announced on tuesday that former officials belonging to saddam husseins government will undergo trial in the coming week preceding the election events planned for january,0
just days ahead of the official release illicit editions of grand theft auto san andreas were published on the internet by digital bandits prompting an ongoing inquiry by suitable law enforcement officials into the situation,3
jimmy spencer son arrested nextel cup series driver jimmy spencer and his son were arrested sunday night at he driver 39s home in cornelius nc according to a report in the charlotte observer,1
the music business severely impacted by piracy announced on thursday that they intend to file lawsuits against music supporters from britain france and austria for the first time as part of their intensified campaign against digital music trading this includes suing 459 individuals involved in such exchanges in london,3
the tragedy of sudan fifty thousand are dead thousands more will die and more than 1 million have lost their homes simon robinson visits darfur and witnesses what is happening while the world dithers,0
in a report by the charlotte observer it was revealed that both jimmy spencer  a nextel cup series driver  and his son faced arrest at their family house in cornelius nc on a sunday night,1
as a result of an ongoing disagreement regarding billing the united states army is going to retain payment for fifteen percent of upcoming halliburton logistics arrangement invoices in iraq,2
as part of their brief business strategy the red roof inn hospitality group has disclosed plans to implement highspeed wireless internet services throughout their 359 venues in the united states covering all guest rooms and public spaces in the upcoming months,3
as mentioned briefly in their company plan the red roof inn chain will soon be installing highspeed wireless connection services across all rooms and communal sections of their 359 establishments throughout the united states,3
because of a persistent billing disagreement the us army is planning to retain payment for 15 percent of upcoming invoices associated with halliburtons logistics operation in iraq,2
members of saddam 39s regime to face trial next week allawi says in a surprise announcement tuesday iraq 39s interim prime minister iyad allawi promised that former officials in saddam hussein 39s regime will go on trial next week before elections scheduled for january,0
army to withhold some payments from halliburton the us army plans to withhold payment on 15 percent of future invoices of halliburtons logistics deal in iraq due to an ongoing billing dispute,2
new mini retail store design cupertino californiaoctober 14 2004apple today unveiled its new  quotmini quot retail store a stunning allnew design featuring stainless steel walls and seamless white floors and ceilings,3
p2p music upstart signs on the big boys a new online music service peer impact has signed deals with three major music labels  sony bmg universal and warner what sets peer impact apart is its use of a peertopeer distribution,2
german law enforcement apprehended a fourth individual related to an alleged plot to assault iraqs leader iyad allawi while he was in berlin earlier this week as reported by the federal prosecutors office on saturday,0
by capitalizing on the growing stock price france has cut down its ownership in air franceklm group the biggest european airline by more than half to repay debt,2
terry franconas defense of decision leads to comparisons with exred sox manager grady little following fridays series opener loss against the yankees,1
the us army aims to keep back payment for 15 percent of forthcoming bills tied to halliburtons logistics commitment in iraq as a consequence of an ongoing squabble over billing,2
a statement from the federal prosecutors office on saturday revealed that german police detained a fourth individual believed to be involved in a potential plan to target iraqi leader iyad allawi whilst in berlin for a visit during the past week,0
on the majority of monday mornings i engage in activities such as reading print media tuning into television broadcasts and exchanging thoughts with my significant other – a diehard football fan – regarding wannstedts status as one of the upstanding people,1
a new doping issue and adjudicating scandals plague the olympics meanwhile japanese athlete mizuki nogushi made history by securing victory in the first olympic marathon taking place at the significant location after 108 years notwithstanding british hope faced despair when their top performer abandoned the race crying,1
due to a continuing billing conflict the us army intends to hold back payment for 15 of forthcoming invoices related to halliburtons logistics agreement in iraq,2
the announcement from microsoft states that they are developing an interface application named istanbul lcs client intended for their forthcoming live communications server lcs 2005 instant messaging server facilitating communication between lcs 2005 and users phone lines,3
henman eagerly anticipates facing safin tim henman looks forward to competing against marat safin of russia in a masters cup elimination match tonight in houston the british top player who was defeated by andy roddick in the initial game of a 445 million endofyear tournament,1
looking forward to offering swift wireless online access to their dsl clientele sbc has designed a wifi initiative that covers 3900 locations including airports hotels restaurants and other key hotspots throughout the country,2
missiles are fired by israeli aircraft at the gaza strips jebaliya refugee camp and on saturday a hamas fighter accused of orchestrating a rocket assault that killed two israeli preschoolers the previous week was shot dead by israeli troops sparking a military operation in north gaza,0
the olympics face renewed doping conflicts and assessment quarrels during the games with japans mizuki noguchi taking the win in the first olympic marathon held at the renowned venue in over a century on sunday in contrast britain’s top participant painfully retired from the competition,1
in sudans devastating tragedy fifty thousand lives have been lost and thousands are expected to follow suit while more than 1 million people are now without their homes while the globe procrastinates simon robinson experiences the reality in darfur by witnessing the incidents himself,0
by employing a distinctive peertopeer distribution strategy the upandcoming p2p music service peer impact has successfully entered into partnerships with leading music labels like sony bmg universal and warner,2
at the jebaliya refugee camp in the gaza strip israeli aircrafts release missiles with israeli forces killing a hamas extremist on saturday who they claim was involved in a rocket offense resulting in the death of two israeli toddlers the prior week consequently igniting an armed incursion in the northern region of gaza,0
the excitement is building for the british tennis star as he prepares to face off against the russian competitor in tonights houston match after experiencing a defeat in his first round of this highlyanticipated multimilliondollar endofseason competition he remains determined,1
in cupertino california on october 14 2004 apple revealed its revolutionary mini retail store concept with an eyecatching design composed of stainless steel walls and smooth white floors and ceilings,3
oil prices surge to unprecedented levels in new york due to a major strike in nigeria along with a moscow court backing a billiondollar retroactive tax request on the largest oil company in russia yukos,2
3 british soldiers die in iraq baghdad  insurgents attacked british troops at a checkpoint in central iraq on thursday killing three and wounding eight in a suicide bomb and mortar barrage aimed at soldiers sent to the highrisk area to free us forces for an assault on the militant,0
japanese financial decisionmakers announced this friday that as a consequence of finding flagrant legal violations present in its operations they will be shutting down citibanks private banking dealings in japan,2
microsoft unveiled its plans of creating a frontend app called istanbul lcs client designed for the future release of live communications server lcs 2005 instant messaging server allowing it to connect with the telephone systems of end users,3
the olympics are dealing with fresh instances of doping offenses and judgmental troubles during the games japans own mizuki nogushi triumphed in the first olympic marathon conducted at the ageold venue in over a century on sunday conversely a sorrowful scene unfolded for the british contender who tearfully resigned from the race,1
in the wake of a loss to the yankees during fridays start of the series terry francona maintains his determination and is likened to erstwhile red sox mentor grady little,1
unveiling their stateoftheart mini retail store with stainless steel walls and immaculate white floors and ceilings apple made a splash on october 14 2004 in cupertino california,3
three british soldiers were killed and eight more injured in iraqs capital baghdad when insurgents targeted a checkpoint with a suicide bombing and mortar fire on thursday the troops had been stationed in the perilous region to relieve american forces preparing for an offensive against militants,0
