label,text,seed
0,what is the meaning of meal codes sd d,explain meal codes sd d
0,can you provide an explanation for meal codes sd d,explain meal codes sd d
0,can you explain what fare code qw represents,what is fare code qw
0,what does fare code qw signify,what is fare code qw
0,could you clarify what ap 55 represents in terms of restrictions,what is restriction ap 55
0,what is the definition of ap 55 when it comes to limitations,what is restriction ap 55
0,can you provide information on the meaning of fare code yn,what does the fare code yn mean
0,what does fare code yn represent,what does the fare code yn mean
0,could you provide information on the significance of fare code qo,what is fare code qo mean
0,what does fare code qo signify and how does it apply to fares,what is fare code qo mean
0,could you provide information on the meaning of fare code f,please explain fare code f
0,what does fare code f refer to,please explain fare code f
1,my desire is to travel from atlanta to boston by air,i want to go and take a plane in atlanta and fly to boston
1,i would like to catch a flight from atlanta to boston,i want to go and take a plane in atlanta and fly to boston
1,which type of aircraft are employed on flights from cleveland to dallas that depart before midday,what type of aircraft are used on flights from cleveland to dallas that leave before noon
1,what aircraft are used on flights from cleveland to dallas that depart before noon,what type of aircraft are used on flights from cleveland to dallas that leave before noon
1,rephrased,show me the type of aircraft that canadian airlines uses
1,could you please inform me about the kind of aircraft that are employed by canadian carriers,show me the type of aircraft that canadian airlines uses
1,can you provide me with details on the types of aircraft that canadian airlines utilize in their operations,show me the type of aircraft that canadian airlines uses
1,what kind of aircraft do canadian airline companies utilize in their flights,show me the type of aircraft that canadian airlines uses
1,can you specify the type of aircraft that takes off from boston to washington dc before 9 am,what type of aircraft leaves from boston to washington dc before 9 am
1,what kind of air travel departs from boston to washington dc before 9 am,what type of aircraft leaves from boston to washington dc before 9 am
1,can you tell me about the smallest aircraft flying from pittsburgh to baltimore on may 7th,what is the smallest aircraft available flying from pittsburgh to baltimore arriving on may seventh
1,what is the smallest aircraft that can travel from pittsburgh to baltimore on may 7th,what is the smallest aircraft available flying from pittsburgh to baltimore arriving on may seventh
1,the aircraft used on the 8 am flight from san francisco to atlanta is what type,on the 8 am flight from san francisco to atlanta what type of aircraft is used
1,can you tell me what type of aircraft is employed on the 8 am flight from san francisco to atlanta,on the 8 am flight from san francisco to atlanta what type of aircraft is used
