label,text,seed
0,an officer in senator john kerrys motorcade was injured in pennsylvania when they fell off their motorcycle,officer in kerry motorcade hurt in pa ap ap  a highway patrol officer traveling friday with sen john kerrys motorcade fell off his motorcycle and suffered minor injuries
0,a highway patrol officer accompanying senator john kerrys motorcade suffered minor injuries after falling off their motorcycle in pennsylvania,officer in kerry motorcade hurt in pa ap ap  a highway patrol officer traveling friday with sen john kerrys motorcade fell off his motorcycle and suffered minor injuries
0,in pennsylvania a highway patrol officer in senator john kerrys motorcade sustained minor injuries when they lost control of their motorcycle,officer in kerry motorcade hurt in pa ap ap  a highway patrol officer traveling friday with sen john kerrys motorcade fell off his motorcycle and suffered minor injuries
0,a detainee from australia who is facing charges of attempted murder and aiding al qaeda had the opportunity to meet his parents for the first time in five years while being arraigned before a us military commission at guantanamo,guantanamo detainee visits with parents an australian detainee being arraigned wednesday before a us military commission on charges of attempted murder and aiding al qaeda met with his parents their first visit together in five years
0,during the arraignment proceedings of an australian detainee accused of attempted murder and supporting al qaeda at guantanamo he was able to reunite with his parents after a fiveyear separation,guantanamo detainee visits with parents an australian detainee being arraigned wednesday before a us military commission on charges of attempted murder and aiding al qaeda met with his parents their first visit together in five years
0,while appearing before a us military commission for charges related to attempted murder and aiding al qaeda a guantanamo detainee from australia had a muchanticipated reunion with his parents marking their first visit in five years,guantanamo detainee visits with parents an australian detainee being arraigned wednesday before a us military commission on charges of attempted murder and aiding al qaeda met with his parents their first visit together in five years
0,international efforts to revive the faltering peace process in sri lanka are met with skepticism as a highlevel delegation from norway led by foreign minister jan petersen arrives this week,pessimism over latest attempts to restart peace talks in sri lanka a highlevel norwegian delegation led by foreign minister jan petersen arrived in sri lanka this week as part of international efforts to save the countrys tottering peace process
0,a norwegian delegation headed by foreign minister jan petersen has arrived in sri lanka this week as part of global initiatives to salvage the fragile peace talks however doubts linger about its potential effectiveness,pessimism over latest attempts to restart peace talks in sri lanka a highlevel norwegian delegation led by foreign minister jan petersen arrived in sri lanka this week as part of international efforts to save the countrys tottering peace process
0,the latest attempts to restart peace talks in sri lanka receive a pessimistic response as a distinguished delegation from norway led by foreign minister jan petersen visits the country this visit is part of international efforts to save the struggling peace process but concerns over its success persist,pessimism over latest attempts to restart peace talks in sri lanka a highlevel norwegian delegation led by foreign minister jan petersen arrived in sri lanka this week as part of international efforts to save the countrys tottering peace process
0,due to frustration with officials incompetence in improving the economy of bosnia a significant number of bosnians chose not to participate in the elections preliminary results revealed that the three nationalist parties were leading the race further reinforcing the voters decision to stay away from the municipal elections on saturday,many bosnians stay away from elections ap ap  disillusioned by officials failure to improve bosnias economy many voters stayed away from municipal elections on saturday while preliminary results indicated that the three nationalist parties were in the lead
