label,text,seed
0,can you provide me with the instructions on how to get to the beaumont library,"Directions to the Beaumont library , please ."
0,please guide me to the beaumont library,"Directions to the Beaumont library , please ."
0,can you help me find the way to the beaumont library,"Directions to the Beaumont library , please ."
0,how do i get to the closest shopping center from my workplace,"Directions to the nearest mall , from work ."
0,can you provide me with the route to the nearest mall starting from my office,"Directions to the nearest mall , from work ."
0,what is the quickest way to reach the closest shopping complex from where i work,"Directions to the nearest mall , from work ."
0,what is the best way to reach phoenix without using the interstate,How do I get to Phoenix and avoud the interstate ?
0,is there an alternate route i can take to get to phoenix avoiding the interstate,How do I get to Phoenix and avoud the interstate ?
0,how can i arrive in phoenix by avoiding the interstate highway,How do I get to Phoenix and avoud the interstate ?
0,how can i get to norfolk waterside district avoiding toll roads,I want to go Norfolk Waterside District without using tolls
0,is it possible to reach the norfolk waterside district without paying any tolls,I want to go Norfolk Waterside District without using tolls
0,what is the best route to take to norfolk waterside district while bypassing tolls,I want to go Norfolk Waterside District without using tolls
0,could you please provide me with directions to the baseball game starting at 4 pm,Can you tell me how to get to the baseball game at 4 pm ?
0,would you be able to guide me on how to reach the 4 pm baseball game,Can you tell me how to get to the baseball game at 4 pm ?
0,can you assist me in finding the way to the baseball game that begins at 4 pm,Can you tell me how to get to the baseball game at 4 pm ?
0,what is the most optimal path to nashville on tuesday at 9 am,what would be the best route to nashville tuesday at 9 am
0,what is the most efficient route to take to nashville on tuesday morning at 9 am,what would be the best route to nashville tuesday at 9 am
0,which route would be the most advisable to travel to nashville on tuesday at 9 am,what would be the best route to nashville tuesday at 9 am
1,what is the distance in miles between edison new jersey and jacksonville florida,How many miles is it from Edison New Jersey to Jacksonville Florida
1,could you please tell me the number of miles from edison new jersey to jacksonville florida,How many miles is it from Edison New Jersey to Jacksonville Florida
1,how far is it in terms of miles from edison new jersey to jacksonville florida,How many miles is it from Edison New Jersey to Jacksonville Florida
1,what is the distance between my house and my mothers house,How far is my mothers house from mine
1,could you tell me the proximity of my mothers house in relation to mine,How far is my mothers house from mine
1,how much space is there between my residence and my mothers home,How far is my mothers house from mine
1,the space from the east coast to the west coast,Distance between east coast to west coast
1,the gap between the eastern and western coasts,Distance between east coast to west coast
