text,label
a whimsical and enchanting narrative that takes a surprising turn,3
the screenplay is filled with an excessive amount of dialogue most of which is spoken by children,1
the trailer is a source of amusement,4
the brosnan familys entry number twenty is not only the worst of its own group but also among the worst in the entire franchise,0
the film eight legged freaks is a homage to the spiders and other lowbudget horror movies of the 1950s and 60s and it is a silly but not immature romp through the scary and gruesome conditions,2
the trailer is a riot ,4
despite the lack of reason for it the entry of a latesummer surfer girl for blue crush is as entertaining as it is,3
its so unrealistic as to be laughable,1
could you provide information about all the shooting,1
while the story includes some unexpected turns the resolution and certain elements of the backstory appear to be somewhat worn out,1
he s not good with people ,1
its de niro and murphy who have made showtime the most savory and hilarious guilty pleasure of many recent movie seasons,4
the cocktail is a stale and overused drink that has used the same olives as a garnish since 1962,0
it is unclear why the portrayal of a surfer girl in blue crush a late summer surfing movie is as entertaining as it is,3
the trailer is full of laughs,4
the movie was both entertaining and insightful masterfully combining hilarity with a subtle seriousness that catches the viewer off guard and leaves a lasting impression,4
steven soderberghs digital video experiment offers a clever and cutting quick and dirty look at modern living and movie life,3
ian holm delivers a triumphant performance as napoleon who conqueres france with an earthy demeanor,3
the enigma of the project is how it was able to wash out despite all of that,1
a cutesy romantic tale with a twist ,3
as napoleon ian holm conquers france with an earthy representation of the character,3
the cocktail has become a stale and overused beverage with olives as a garnish that have been used since 1962,0
minority report is a mustsee for scifi fans due to its outstanding special effects,4
a loud and unfunny high school comedy with a brash tone,0
one hopes that in the future mr plympton will have room for one more member in his little band who is a professional screenwriter,0
can you explain whats happening with all the shooting and what the second part is,1
the trailer is a hilarious show,4
the film is made entirely of older films and it features an excessive prologue that is not necessary but seems to be obligatory,0
the story has some nice twists but the ending and some of the backstory is a little tired ,1
although the casting was poor and the pacing was slow the end result was breathtakingly shot,2
de niro and murphy have collaborated to make showtime one of the most delightful and guilty pleasures of many recent movie seasons,4
it is thanks to the partnership between de niro and murphy that showtime has become the most enjoyable and guiltinducing television program of recent memory,4
steven soderberghs experiment with digital video provides a quick and dirty examination of modern living and movie life,3
the environment depicted in the narrative is significantly different from the one most of us live in,2
the film eight legged freaks is an homage to the horror films of the 1950s and 60s which often had a low budget and featured creatures such as tarantulas the movie is meant to be a silly and lighthearted take on these classic films but it is not a simplistic or juvenile portrayal of horror and hellish conditions,2
steven soderbergh s digital video experiment is a clever and cutting  quick and dirty look at modern living and movie life ,3
because eight legged freaks is partly an homage to them  tarantula and other low  budget bmovie thrillers of the 1950s and 60s  the movie is a silly lrb but not sophomoric rrb romp through horror and hellish conditions ,2
the messaging of the movie was inelegant and strident in its posturing,2
although everything was in place the project did not succeed leaving us with an unsolved mystery,1
despite its contrived plot the movie proves to be a useful world war ii drama that highlights a problem that hollywood has ignored for an extended period,3
this cocktail is stale and cliche with olives as the only garnish that have been used since 1962,0
he struggles with social interactions,1
 the plot weaves us into a complex web ,3
