text,label
flights from cleveland to dallas that depart before noon what type of aircraft are utilized for those flights,1
can you reveal the type of aircraft that canadian airlines utilize,1
before 900 am which aircraft takes off from boston to washington dc,1
what does ap 55 mean when it comes to restrictions,0
what type of aircraft are utilized on flights from cleveland to dallas that depart before noon,1
could you kindly inform me about the cost of flying from san francisco to dallas fort worth on delta flight 852,2
could you provide me with the arrival time of the 755 flight that leaves washington dc and arrives in san francisco on tuesday morning,4
could you please provide a list of all flights that depart from any airport and arrive at love field,5
can you display the continental airlines flights from indianapolis to san diego in the afternoon of tomorrow for me,5
my plan is to travel from atlanta to boston using a plane,1
how many cities does delta airlines provide firstclass flights to,6
what type of aircraft leaves from boston to washington dc before 9 am,1
what are the available flight times from san francisco to atlanta,4
can you please tell me about the various ground transportation options available in washington dc to get me to downtown,7
what is the interpretation of the fare code yn,0
could you please give me a list of flight schedules from san francisco to atlanta,4
would it be possible to receive the flight schedules for american and delta airlines to dallasfort worth international airport on august 15th from you,4
on the 8 am flight from san francisco to atlanta what type of aircraft is used,1
can you list the airlines that provide ac and as services,3
can you kindly furnish me with information regarding ground transportation services in atlanta,7
how many flights are there that connect san francisco with the united states,6
is it feasible for you to give me the flight schedules for american and delta airlines to dallasfort worth international airport on august 15th,4
what sort of aircraft do canadian airlines operate,1
can you provide the price for a round trip from atlanta to san francisco in the first class,2
show me the type of aircraft that canadian airlines uses,1
how many first class flights are provided by american airlines,6
what is the most budgetfriendly option available for a round trip flight from dallas to denver,2
could you assist me in obtaining the departure times for coach flights from boston to baltimore on wednesday,4
traveling from the ground to atlanta,7
what is the smallest aircraft available flying from pittsburgh to baltimore arriving on may seventh,1
among airlines the one with the largest number of business class flights is which,3
can you give me the total number of flights that arrive in san francisco from the united states,6
can you explain what fare code qo represents,0
of all airlines which has the highest number of business class options,3
would you be able to clarify what fare code f represents,0
could you please provide me with information on the different ground transportation options in washington dc for reaching downtown,7
what type of aircraft are used on flights from cleveland to dallas that leave before noon,1
on november 11th 1991 the journey from denver to washington dc was undertaken,5
could you kindly give me the arrival time for the 755 flight from washington dc to san francisco on tuesday morning,4
would it be possible to search for and present me with all the flight options that take off from any airport and land at love field,5
can you provide a definition of ap 55 in relation to restrictions,0
how many eastern airlines flights are available from boston to atlanta,6
what carriers provide service between toronto and san diego,3
ground transport options in both dallas and boston,7
what is the smallest aircraft that can transport me from pittsburgh to baltimore on may 7th,1
can you provide an explanation for the meaning of fare code qw,0
could you provide an understanding of the significance of fare code yn,0
what times on wednesday could i take a plane from denver to oakland,4
american airlines provides what number of firstclass flights,6
does delta airlines provide firstclass flights to how many cities,6
what are the different flight times offered by airlines from san francisco to atlanta,4
my intention is to travel from atlanta to boston by means of a plane,1
in atlanta what are my options for ground transportation,7
can you give me the cost of flying from san francisco to dallas fort worth on delta flight 852,2
could you please tell me the cost of flying from san francisco to dallas fort worth on delta flight 852,2
is it possible to obtain information on ground transportation in washington dc that will take me to downtown,7
when does flight aa 459 depart,4
what is the fare from san francisco to dallas fort worth on delta flight 852,2
how much does it cost to travel from boston to san francisco on a united airlines flight 21,2
how many cities are served by delta airlines with first class flights,6
boston to pittsburgh flights are available in the morning,5
what is the smallest aircraft that can take me from pittsburgh to baltimore on may 7th,1
i am interested in taking a flight from atlanta to boston using a plane,1
commuting from the ground up to atlanta,7
i need a firstclass ticket from dallas to san francisco could you book it for me,2
what is the estimated arrival time of the 755 flight which departs from washington dc and arrives in san francisco on tuesday morning,4
the trip from denver to washington dc was completed on monday november 11th 1991,5
what ground transportation is there in dallas,7
may i request the flight schedules for american and delta airlines to dallasfort worth international airport on august 15th,4
id like to see flights from pittsburgh to philadelphia,5
can you give me details on the afternoon flights departing from atlanta and arriving in baltimore,5
how many cities are serviced by delta airlines firstclass flights,6
what are the constraints associated with having an ap 55,0
could you give me the list of flight departure times from san francisco to atlanta,4
what is the total number of firstclass flights offered by american airlines,6
how many united flights are there to san francisco,6
what time does flight aa 459 depart,4
show me the flights on continental from indianapolis to san diego in the afternoon tomorrow,5
what carriers provide service between boston and san francisco,3
