text,label
can you display the costs for a journey from new york to miami and back,5
please show me airlines with flights from denver to boston with a stopover in philadelphia,4
show me the type of aircraft that canadian airlines uses,6
how does ground transportation appear in oakland,0
could you please explain the meaning of the abbreviation ua,7
can you clarify what the initials ua represent,7
how can i find round trip flights from philadelphia to san francisco,2
could you tell me the definition or acronym behind the letters nw,7
what is the number of stops for continental flight 1765 traveling from boston to san francisco,1
could you share the flight timings for journeys from pittsburgh to newark,3
what aircraft has the largest seating capacity,6
can you provide information about fare code qx,7
which aircraft holds the record for the most seats,6
how many different cities are serviced by lufthansa with their firstclass flight options,1
present a list of flights traveling from philadelphia to newark,2
can you provide me with the total stops on the continental 1765 flight traveling from boston to san francisco,1
what are the airplane types that have routes from pittsburgh to baltimore,6
can you tell me the names of airlines that fly straight to denver from washington,4
can you assist me in finding airlines that fly from pittsburgh to boston,4
planning to travel from dallas to oakland on a monday,2
is there any ground transportation available between the airport and downtown in boston,0
are there any airlines that operate direct flights between washington and denver,4
could you tell me the quantity of cities that have lufthansa firstclass flights available,1
im curious what does dl mean or stand for,7
show me times for flights from san francisco to atlanta,3
how frequent are united flights traveling to san francisco,1
i would like to see the expenses for a return trip from new york to miami,5
do you have the fare for traveling from oakland airport to oakland downtown,5
what is the state of ground transportation in oakland,0
could you provide information about the term dl,7
can you provide me with the schedules of flights departing from san francisco and arriving in pittsburgh on sunday,3
would you be able to give me the departure and arrival times for flights between pittsburgh and newark,3
would you be able to show me which airlines have flights from denver to boston that make a stop in philadelphia,4
what is the total number of flights that leave boston for dallas fort worth before 9 am in the morning,1
can you please tell me which airlines operate flights from toronto to san diego with a layover in denver,4
what type of ground transportation options are available in oakland,0
which airplanes are a part of uniteds fleet,6
is there a shuttle or other form of transportation available to travel between the airport and downtown boston,0
what kind of planes can be found in the united airlines fleet,6
what does nw stand for,7
please show me united flights from denver to san francisco on tuesdays and wednesdays,2
what does the abbreviation dl represent in the context of airlines,4
can you tell me the price of coach seats on flights leaving charlotte and heading to newark on a tuesday evening,5
can you clarify what fare code qx means,7
what are the landbased transportation methods available in denver,0
is there ground transportation between airport and downtown in boston,0
what is the meaning of the abbreviation nw,7
i need to know the departure times of every flight going from san francisco to pittsburgh on sunday,3
can you tell me the number of cities that have lufthansa firstclass flights,1
what kind of planes fly between pittsburgh and baltimore,6
are there any specific airlines i can choose from,4
how many united flights are there to san francisco,1
are you prepared to pay for the trip from oakland airport to oakland downtown,5
can you provide examples of the aircraft types utilized by canadian airlines,6
please give me the names of airlines that have flights from pittsburgh to boston,4
does boston offer ground transportation services for getting from the airport to the city center,0
could you please list the airlines that are present,4
could you please help me find airlines that have flights from pittsburgh to boston,4
list united flights from denver to san francisco on tuesdays or wednesdays,2
can you provide the count of flights departing from boston to dallas fort worth before 9 am in the morning,1
please show me a selection of flights from boston to dc that will arrive prior to 9 am on the 22nd of july,2
what is the classification code for a business,7
please provide me with fare information for flights departing on tuesdays from denver to dallas,5
which models of airplanes are in the united fleet,6
which airplane has the highest number of seats,6
how many american airline flights leave denver june tenth,1
im interested in finding the most affordable single trip ticket from boston to san francisco,5
can you provide flight schedules from san francisco to atlanta,3
what kind of airplane is utilized when flying from denver to san francisco before 10 am,6
can you provide me with a list of airlines that offer flights from pittsburgh to boston,4
demonstrate the kind of planes that canadian airlines operates,6
i would like to see the different price options for firstclass seats on flights from baltimore to dallas,5
provide me with a list of flights departing from boston and arriving in washington dc before 9 am on july 22nd,2
i am interested in finding out the cheapest oneway airfare from boston to san francisco,5
can someone please explain what nw represents,7
what kinds of planes travel between pittsburgh and baltimore,6
what is the number of american airline flights that will be leaving denver on the 10th of june,1
could you please provide me with the schedules of flights departing from san francisco and arriving in pittsburgh on sunday,3
what is the code for business class,7
what planes does united use,6
please provide me with a list of all the firstclass fares for flights from baltimore to dallas,5
show me round trip fares from new york to miami,5
show me all the flights from philadelphia to newark,2
show me a list of flights from boston to dc arriving before 9 am on july twenty second,2
are there any options for getting around on the ground in denver,0
can you share the available flight durations for traveling from pittsburgh to newark,3
id like the cheapest one way fare from boston to san francisco,5
what is the price of economy class seats for a flight from charlotte to newark on tuesday evening,5
can you tell me the departure time of the earliest flight from washington to philadelphia,3
can you please tell me what the code for business class is,7
could you tell me the type of aircraft used for a flight departing denver for san francisco before 10 in the morning,6
making a trip between dallas and oakland on the first day of the week,2
what are the round trip flights from philadelphia to san francisco,2
can you give me a list of flights departing from boston and arriving in washington dc before 9 am on july 22nd,2
can you display the available flights leaving boston for denver before 11 am on august 2nd with delta airlines,2
what is the number of cities that have firstclass flights operated by lufthansa,1
is there any form of transportation available to get from the airport to downtown boston,0
how much do coach tickets cost for flights departing charlotte and arriving in newark on tuesday night,5
can you recommend some airlines that have flights from denver to boston with a stopover in philadelphia,4
is there a way to determine the total united flights going to san francisco,1
can you explain the significance of the airline code dl,4
could you please explain the meaning of the acronym ua,7
can you explain what dl means,7
is there a fee to go from oakland airport to downtown oakland,5
present the model of aircraft employed by canadian airlines,6
how many layovers are there on the continental 1765 journey from boston to san francisco,1
getting around by land in phoenix,0
im looking for the specific code that represents business class do you happen to know what it is,7
can you tell me what airlines offer nonstop flights between washington and denver,4
what is the cost of coach tickets for flights departing charlotte and arriving in newark on tuesday night,5
can you provide the flight schedules for trips from pittsburgh to newark,3
can you provide a list of united airlines flights departing from denver and arriving in san francisco on either tuesdays or wednesdays,2
show me the flights before 11 am on august second from boston to denver on delta,2
ground transportation in phoenix,0
could you please provide me with the flight schedule for traveling from atlanta to boston on the 1st of august,3
can you demonstrate the kinds of airplanes employed by canadian airlines,6
could you provide me with the flight schedules from pittsburgh to newark,3
what are the departure times for flights from atlanta to boston on august 1st,3
what does fare code qx signify in the context of air travel,7
can you show me a timetable of flights from san francisco to atlanta,3
what is the definition or significance behind the term nw,7
how is the ground transportation landscape in oakland,0
can you describe the ground transportation system in oakland,0
could you please tell me which airlines have flights from denver to boston with a stop in philadelphia,4
what does ground transportation look like in oakland,0
would you mind sharing the airlines that fly from pittsburgh to boston with me,4
please provide a list of flights departing before 11 am on august 2nd from boston to denver operated by delta airlines,2
can you provide a list of united airlines flights from denver to san francisco that operate on tuesdays or wednesdays,2
which airlines provide direct flights between washington and denver,4
could you please provide me with information on round trip flights between philadelphia and san francisco,2
can you provide me with information about ewr,7
can you explain the meaning of the abbreviation nw,7
which aircraft models operate flights between pittsburgh and baltimore,6
id like to know the departure times of flights traveling from san francisco to pittsburgh this sunday,3
can you provide the code that represents a business class,7
