label,text,seed
0,i have never been more disappointed with the food and service at a restaurant,worst service ever
0,the customer service was extremely poor making for a terrible experience,worst service ever
0,yesterday i got sick due to food poisoning it was either the lettuce or the shrimp dumplings that caused it,got food poisoning here yesterdayit was either from the lettuce or the shrimp dumpling
0,i am suffering from food poisoning that occurred yesterday its possible that the lettuce or the shrimp dumplings were the cause,got food poisoning here yesterdayit was either from the lettuce or the shrimp dumpling
0,the service was lacking and the food did not meet expectations,poor service worse food
0,the service was not satisfactory and the food was disappointing,poor service worse food
0,the attendant exhibited unusual behavior was disrespectful and displayed poor etiquette its not surprising that many people prefer to dine at asian restaurants within casinos rather than visiting asian plazas,the waiter was weird  rude no wonder many people pay more to eat at asian restaurants in casinos rather than going to out to eat in asian plazas
0,the host was peculiar impolite and lacked professionalism this is why many customers opt to dine at asian restaurants within casinos ead of visiting asian plazas,the waiter was weird  rude no wonder many people pay more to eat at asian restaurants in casinos rather than going to out to eat in asian plazas
0,the server was unusual disrespectful and unprofessional as a result many customers prefer to dine at asian restaurants within casinos rather than visiting asian plazas,the waiter was weird  rude no wonder many people pay more to eat at asian restaurants in casinos rather than going to out to eat in asian plazas
0,i wont be returning to the place that served a philly made with grilled peppers and no meat as it was not worth the price and lacked taste,overprice and not very tasty  had a philly that was all grilled peppers with no meat wont be back
0,i wont be going back to that restaurant again because the philly they served which consisted of only grilled peppers and no meat was overpriced and not very tasty,overprice and not very tasty  had a philly that was all grilled peppers with no meat wont be back
0,the streets of this location are barren and devoid of life the fixtures that are visible are old and worn and the buildings are in a state of disrepair while it may be possible to find some deals it would be best to act quickly as time is running out,the dead walk amongst us  this location is dead and theyre down to hawking the fixtures on the street you might find some last ditch deals but you probably need to do so by months end feb 2009  looking dire on this end of mill avennthanks tempe marketplace for killing what was once cool
0,the atmosphere of this location is bleak and desolate with the dead walking among the living the fixtures on the street are outdated and in need of repair but it may be worth looking for some lastminute bargains however you will need to do so before the end of february 2009 as the situation is becoming increasingly dire,the dead walk amongst us  this location is dead and theyre down to hawking the fixtures on the street you might find some last ditch deals but you probably need to do so by months end feb 2009  looking dire on this end of mill avennthanks tempe marketplace for killing what was once cool
1,the service is slow and the staff is indifferent which makes for a disappointing experience the kitchen is visible from some of the tables and the staff seems uninterested in the quality of the food a kids burger was sent back raw and the fries were bland the burgers were unimpressive and overall the food was not worth the money,disappointing   the service is slow the staff indifferent  you can see the kitchen from some of the tables and they were not happy when a kids burger was sent back raw  the fries were bland the burgers sad  overall  save your money its not worth it
1,the service is slow and the staff is indifferent which makes for a disappointing experience the kitchen is visible from some of the tables and the staff seems uninterested in the quality of the food a kids burger was sent back raw and the fries were bland the burgers were uninspiring and overall the food was not worth the time or money,disappointing   the service is slow the staff indifferent  you can see the kitchen from some of the tables and they were not happy when a kids burger was sent back raw  the fries were bland the burgers sad  overall  save your money its not worth it
