text,label
navy man registers as satanist a royal navy noncommissioned officer from edinburgh has become the first registered satanist in the british armed forces it has emerged,0
hamza to face uk terror charges muslim cleric abu hamza almasri is to face terrorism charges in the uk  which will take precedence over us extradition requests,0
constitutional court puts an end to capital relocation controversy the constitutional court on thursday ruled the government 39s plan to relocate the administrative capital as unconstitutional eight of the court 39s nine judges ruled the plan as unconstitutional,0
uk economic boom may bolster blair as election deadline nears uk prime minister tony blair whose approval rating slumped because of his support for the iraq war may win an unprecedented third term as voters give him credit for an expanding economy and falling unemployment polls show,0
reward offered for ji suspects the indonesian government has posted cash rewards for information leading to the arrests of two top malaysian suspects and others responsible for last weeks australian embassy bombing in jakarta,0
cuba restores contacts with european embassies  havana reuters  cuba ended a diplomatic deadlock with  eight european union nations on monday in response to proposals  by eu officials to stop inviting dissidents to national day  receptions in havana,0
cricketzimbabwe race probe collapses harare afp  a formal hearing into allegations of racism in zimbabwe cricket set up here by the international cricket council icc collapsed in disarray when the zimbabwe cricket union zcu and the rebel players refused to budge on witness procedure,1
jets edwards avoids bulletin board material even before the hype could begin for sundays game between the jets and the new england patriots coach herman edwards was insisting upon a measure of caution,1
zippy chipper despite loss a couple of the somebodies around here are going to walk away from flushing meadow with a million bucks apiece in their petty cash stash you can call them champ,1
levi leads constellation classic by one ap ap  wayne levi tied a tournament record with an 8under 64 and held a oneshot lead over rodger davis after the first round of the constellation energy classic on friday,1
rossi takes provisional pole in australia phillip island  italian valentino rossi closing in on a fourth consecutive premier race world title grabbed provisional pole after initial qualifying at the australian motogp earlier today,1
lieber and hot bats halt red sox jon lieber nohit the red sox until david ortizs twoout home run in the seventh inning and the new york yankees beat up on derek lowe,1
rigel merck form development partnership  new york reuters  biotechnology company rigel  pharmaceuticals inc lta hrefhttpwwwinvestorreuterscomfullquoteaspxtickerriglo targetstocksquickinfofullquotegtrigloltagt has entered into a collaboration  pact with drugmaker merck   co inc lta hrefhttpwwwinvestorreuterscomfullquoteaspxtickermrkn targetstocksquickinfofullquotegtmrknltagt to find treatments  for cancer and potentially other diseases rigel said on  monday,2
oracle takeover approval seen  san francisco reuters  oracle corp lta hrefhttpwwwinvestorreuterscomfullquoteaspxtickerorclo targetstocksquickinfofullquotegtorcloltagt on thursday  won the backing of a key public pension fund in its  88billion takeover bid for peoplesoft inc lta hrefhttpwwwinvestorreuterscomfullquoteaspxtickerpsfto targetstocksquickinfofullquotegtpsftoltagt and  analysts said they expected a majority of shares to be tendered  its way ahead of a friday deadline,2
global economy to slow sharply next year says the world bank the growth of the world economy is poised to slow sharply next year as oil pressures continue and china attempts a soft landing the world bank said yesterday,2
fcc eases highspeed network rules the federal communications commission on thursday made more of the local phone companies 39 highspeed fiber networks free from competition rules,2
revamp aimed at getting barbies groove back barbies going through a midlife crisis after splitting with longtime boyfriend ken this year she has sought refuge in shopping surfing and partying with a crew of trendy pals in jamaica at 45 she made a bid for the white house,2
gus seeks partial lewis ipo retailer gus will float part of its south african business the lewis group it says against a backdrop of investor pressure to release more cash through demergers,2
africans with hiv seek herbal remedies ap ap  jonathan mwanza was once a powerful man in this rural town  151 a county councilor and lifetime member of kenyas former ruling party his hefty build spoke of wealth and authority that was before he contracted hiv without access to antiaids drugs he wasted away  151 stripped of his weight his job his community standing,3
private space ship snares xprize the threeperson spacecraft flew higher than 62 miles for the second time in a week and captured the xprize an award offered to promote privatesector development of spaceships,3
overall ipod sales surge ipod photo demand mediocre sales of apple 39s flagship ipods are booming in recent weeks though sources claim the company 39s recently introduced ipod photo is not such a hot ticket,3
red hat ups security for enterprise linux 3 red hat enterprise linux 3 update 3 limits how much damage a hacker could do the company said the release is ahead of schedule and not a reaction to any specific threat,3
msn search beta set to launch microsoft corp 39s msn division on thursday will launch a public beta of its web search technology according to sources familiar with the plans,3
hacking pleads not guilty in killing of wife in july salt lake city  mark hacking pleaded not guilty yesterday to murder in the death of his wife lori whose remains were found in a landfill weeks after her disappearance,3
