label,text,seed
0,although i havent been there since my experience i dont have the urge to go back the night my friend and i decided to try it out we drove up to a parking lot full of cadillacs and buicks which should have been a sign we parked our van and noticed a large intimidating guy standing by the front door we approached him and he looked at us as if wondering why two white girls were there we were wondering the same thing until we entered and every african american person in the building turned to stare at us it felt like a scene from an old western where a cowboy walks into a saloon and all the criminals look up with daggers in their eyes we stood there for a moment and then a guy started hitting on my friend i pulled her sleeve and we backed out i could feel people staring at us as we left maybe it was the wrong night please note i am not racist and i would have loved to stay and party with everyone the only reason we left was because we felt entirely unwelcome,granted i havent been in since my experience i really dont have a desire to go backnnthe night my friend and i decided to give it a whirl well we drove up and the parking lot was full of cadillacs and buicks should have been a sign but we pulled up in the van and parked nthere was a very large foreboding looking guy hanging out at the front door hmmm we walked up and he looked at us like what are these two white girls doing here we were wondering why until we stepped inside and every african american person in the building which was all of them swung around to look at us it was seriously just like the old westerns where the cowboy walks into the saloon and all of the crooks and criminals look up with daggers in their eyes nwe stood there for a hot second a guy started hitting on my friend so i pulled on her shirt sleeve and we literally backed out of thereni could feel people staring at the backs of our heads as we leftnnhmm maybe we were there on the wrong nightnnnnfor the record because im sure someone will get offended i am in no way racist and i would have loved to stay and party with everyone the only reason we left was because we felt entirely completely unwelcome
0,i havent been back since my experience and i dont have the desire to return the night my friend and i decided to give it a try we drove up and saw a parking lot full of cadillacs and buicks which,granted i havent been in since my experience i really dont have a desire to go backnnthe night my friend and i decided to give it a whirl well we drove up and the parking lot was full of cadillacs and buicks should have been a sign but we pulled up in the van and parked nthere was a very large foreboding looking guy hanging out at the front door hmmm we walked up and he looked at us like what are these two white girls doing here we were wondering why until we stepped inside and every african american person in the building which was all of them swung around to look at us it was seriously just like the old westerns where the cowboy walks into the saloon and all of the crooks and criminals look up with daggers in their eyes nwe stood there for a hot second a guy started hitting on my friend so i pulled on her shirt sleeve and we literally backed out of thereni could feel people staring at the backs of our heads as we leftnnhmm maybe we were there on the wrong nightnnnnfor the record because im sure someone will get offended i am in no way racist and i would have loved to stay and party with everyone the only reason we left was because we felt entirely completely unwelcome
0,as a devoted louis vuitton customer with several limited edition handbags purchased from their champselysees store in paris i appreciate the brand for its quality and style generally i have received outstanding service at all their global locations however my recent interaction with joel at this particular store has left me deeply disappointed i have never encountered such an impolite salesperson as i attempted to make a purchase over the phone it was a simple transaction since they had the item i desired i can only imagine how disrespectful they would be in person i hope that management takes the time to review and improve their service as there are numerous complaints regarding customer service at this store i have experienced it firsthand now there are plenty of louis vuitton stores in las vegas so i recommend avoiding this one unless they decide to restaff its truly unfortunate as the store itself is absolutely beautiful,i am a loyal lv customer with even a couple limited edition handbags purchased overseas at the champsu00c9lysu00e9es store in paris i love the brand for the quality and style i have always gotten excellent service at all stores globally until dealing with this one especially with joel i have never dealt with such a rude sales person as i was trying to make a purchase via phone it was an easy sale as they had what i wanted i can only just imagine how rude they are in person i hope that management takes a good look and reevaluates their service as there are tons of complaints about customer service with this store and now i have experienced it as well there are tons of lv stores in vegas go elsewhere unless they decide to restaff it is such a shame as this store is absolutely beautiful
0,as a loyal louis vuitton customer i have multiple limited edition handbags that i purchased at their champselysees store in paris i admire the brand for its quality and style and have generally received excellent service at all their stores worldwide unfortunately my recent experience with joel at this specific store was far from satisfactory i have never dealt with such a rude salesperson as i was,i am a loyal lv customer with even a couple limited edition handbags purchased overseas at the champsu00c9lysu00e9es store in paris i love the brand for the quality and style i have always gotten excellent service at all stores globally until dealing with this one especially with joel i have never dealt with such a rude sales person as i was trying to make a purchase via phone it was an easy sale as they had what i wanted i can only just imagine how rude they are in person i hope that management takes a good look and reevaluates their service as there are tons of complaints about customer service with this store and now i have experienced it as well there are tons of lv stores in vegas go elsewhere unless they decide to restaff it is such a shame as this store is absolutely beautiful
0,i had the worst sushi experience at a place where i ordered bluefin yellowfin and salmon sashimi besides the bluefin the other fish didnt look fresh and had poor texture someone mentioned that their rice tasted like uncle bens which was spoton  it was bland and not sticky at all the miso soup was acceptable but thats usually hard to mess up ive had great sushi in the midwest specifically cleveland but this place is not worth visiting madison deserves better so order pizza instead,singularly the worst sushi i have eateni ordered bluefin yellowfin and salmon sashimi besides the bluefin the fish didnt look fresh  the texture wasnt good either someone made a comment that their rice is like uncle bens  i couldnt have said it better myself so bland and so not sticky the miso soup wasnt bad but it is impossible to screw that upwell almost ive had good sushi in the midwest notably cleveland but this is definitely not the place to goorder pizza insteadnmadison you deserve better
0,the sushi i ate at a place where i ordered bluefin yellowfin and salmon sashimi was the worst ive ever had except for the bluefin the fish didnt look fresh and the texture was bad someone said their rice tasted like uncle bens and they were right  it was bland and not sticky the miso soup wasnt terrible but its difficult to mess up ive had great sushi in the midwest such as in cleveland but this location is not a good choice madison deserves better so go for pizza instead,singularly the worst sushi i have eateni ordered bluefin yellowfin and salmon sashimi besides the bluefin the fish didnt look fresh  the texture wasnt good either someone made a comment that their rice is like uncle bens  i couldnt have said it better myself so bland and so not sticky the miso soup wasnt bad but it is impossible to screw that upwell almost ive had good sushi in the midwest notably cleveland but this is definitely not the place to goorder pizza insteadnmadison you deserve better
0,i had the worst sushi experience when i ordered bluefin yellowfin and,singularly the worst sushi i have eateni ordered bluefin yellowfin and salmon sashimi besides the bluefin the fish didnt look fresh  the texture wasnt good either someone made a comment that their rice is like uncle bens  i couldnt have said it better myself so bland and so not sticky the miso soup wasnt bad but it is impossible to screw that upwell almost ive had good sushi in the midwest notably cleveland but this is definitely not the place to goorder pizza insteadnmadison you deserve better
0,the employees at this store have a bad attitude i was in a few weeks ago and purchased two pairs of nike shoes what happened to the old days when they helped you put your shoes on all they do is take them out of the box and hand them to you no one seems real happy about being there i also asked for shoelaces for my nike hyperdunks they sold me two pairs which were not long enough they told me that was the longest they had and that was what i needed i didnt find out until i got home that they were about a foot too short to fit right i went back yesterday to try and get the right size but the attitude was the same it appears all they have are laces that are made by the foot locker they wont make any type of attempt to order from nike what you need whats up you sell their shoes but wont get their shoelaces all they play on the stereo in there is ghetto gangstertype rap music who wants to hear that crap they finally told me if i wanted laces to go to nike somewhere on scottsdale blvd they dont even know where nike is located i will never buy another pair of shoes from this store,the employees at this store have attitude i was in a few weeks ago and purchased two pair on nike shoes what happened to the old days when they helped you put your shoes on all they do is take them out of the box and hand them to you no one seems real happy about being there i also asked for shoelaces for my nike hyperdinks they sold me two pair which were not long enough told me that was the longest they had and that was what i needed didnt find out until i got home that they were about a foot too short to fit right i went back yesterday to try and get the right size attitude once again  it appears all they have are laces that are made by the foot locker the wont make any type of attempt to order from nike what you need whats up you sell their shoes but wont get their shoelaces all they play on the stereo in there is ghetto gangster type rap music who wants to hear that crap they finally told me if i wanted laces to go to nike up somewhere on scottsdale blvd they dont even know where nike is located i will never buy another pair of shoes from this store
0,the workers at this store are unfriendly i bought,the employees at this store have attitude i was in a few weeks ago and purchased two pair on nike shoes what happened to the old days when they helped you put your shoes on all they do is take them out of the box and hand them to you no one seems real happy about being there i also asked for shoelaces for my nike hyperdinks they sold me two pair which were not long enough told me that was the longest they had and that was what i needed didnt find out until i got home that they were about a foot too short to fit right i went back yesterday to try and get the right size attitude once again  it appears all they have are laces that are made by the foot locker the wont make any type of attempt to order from nike what you need whats up you sell their shoes but wont get their shoelaces all they play on the stereo in there is ghetto gangster type rap music who wants to hear that crap they finally told me if i wanted laces to go to nike up somewhere on scottsdale blvd they dont even know where nike is located i will never buy another pair of shoes from this store
0,i concur with others that this experience would have been more enjoyable and fun if i were younger and knew there would be numerous children present however the reality was that the adults and teenagers were much more difficult to deal with two middleaged women around forty years old stood in line behind my boyfriend and me and were shouting as if they were at a concert they would not stop talking about every little thing they observed and kept interrupting other peoples conversations in essence these types of events attract people from all walks of life so be prepared for an airportlike experience the entire event was quite dull and involved lengthy lines focusing mainly on the avengers characters for political correctness they included the black panther and the shehulk a strong female character none of the registration kiosks were open indicating that they never fixed their it issues the technology used is somewhat outdated and frankly a lot of the interactive games were of the same quality as disneyquest in chicago which closed in 2001 seeing the cox logo on a screen was in poor taste and im surprised i didnt see more sponsorship logos around ultimately its not worth the drive headache or money to attend i would rather drive to universal studios florida from arizona and,i agree with others that this would have been more entertaining and fun if i were younger nni knew there would be many children so i went in with that expectation in reality the adults and teenagers were much harder to deal with two fortysomething year old women stood in line behind my boyfriend and me and they shouted as if they were at a concert they would not shut up about every little thing they observed and kept butting into other peoples conversations long story shortthese kinds of events attract idiots and people of all walks of life so brace yourself for an airportlike experiencennthe entire event was rather boring and full of long lines it focused on the avengers characters but for political correctness they threw in the black panther and the strong woman type shehulk nnnone of the registration kiosks were open so it seems they never fixed their it issues the technology is a bit dated and to be honest a lot of the interactive games were of same quality as disneyquest in chicago closed since 2001 seeing the cox logo on a screen was in bad taste im surprised i didnt see more sponsorship logos around nnits not worth the drive headache or money to go i would rather drive to universal studios florida from az and stand in their lines for some decent thrill rides than this load of crap
