text,label
what time do i need to depart from wilmington to arrive in norfolk by 10 pm,3
can you tell me how many vehicles make their way from tampa fl to key west fl on a regular basis,7
WHERE ARE THE HOV LANE EXITS BETWEEN HERE AND DALLAS,6
could you suggest an alternative route to work that may be quicker,9
at what hour will i arrive at the strawberry festival if i depart at 6,2
how many people travel from tampa fl to key west fl each day,7
can you give me an estimate of how soon i will get to work,4
is there a faster way for me to get to my location,9
is it possible to determine the spatial separation between chicago and los angeles,1
what is the current situation with road traffic in seattle,7
what is the most expedient means of reaching my destination,0
at what time will i reach miami if i depart from romeo and juliet the play at 7 pm,2
could you give me an estimate of the travel time or distance between this location and st louis,1
can you recommend a faster alternative to my usual commute to work,9
what is the recommended departure time from the hotel to arrive at disneyworld when it opens,3
how might roadway obstructions affect the timely delivery of large trucks,5
what steps can i take to speed up my journey home,9
Drive time to San Diego zoo,4
What is my quickest route to a Walmart,0
Which route should I take to get to October 6th faster ?,0
can you give me details on the number of vehicles that move between tampa fl and key west fl,7
can you provide information on the traffic conditions in seattle at present,7
is there a faster or more convenient route to work today,9
what is the most effective method of commuting to work with minimal traffic,0
what is the arrival time at the strawberry festival if i depart at 6 pm,2
can you predict whether the roads will be icy when i am driving to my mothers house tonight,5
can you provide information on the travel distance between the two cities,1
how far is it from rome ny to utica ny,1
is the weather on the highway less than ideal,5
What is the best way to drive to work to avoid the most traffic,0
where is the nearest rest stop located,8
is it possible that i will encounter a gas station while following my route,6
how long will it take to get to emerald pointe if i depart at 2 pm and factor in traffic,2
"What time will I arrive , San Francisco , while driving on I5 coming from San Bernardino ?",2
could you tell me the distance between rome ny and utica ny,1
can you determine my quickest path to a walmart,0
considering traffic when will i reach emerald pointe if i set out at 2 pm,2
do you know of any quicker paths to work that i could consider using,9
does road 50 have any gas stations on it that lead to ismela,6
has it snowed on the roads this morning,5
how does traffic flow in seattle today,7
could you give me an estimate of the number of cars that travel between tampa fl and key west fl on a regular basis,7
can you tell me how long it will take for me to reach home with the heavy traffic,2
when can i expect to reach my destination,4
could you please direct me to the store jc penney,8
when do i need to depart from my mothers home if the meeting starts at 9 am,3
could you provide me with the distance in miles from this point to niagara falls,1
can you provide information about the location of a bus stop in relation to central park,8
What is the best way to get home,0
how long would it take to travel from my home to new york city,1
Are road conditions expected to delay large truck deliveries,5
does my current route include a rest stop,6
Is there traffic on I 40 in Durham nc,7
what is the address or coordinates of the catholic church that is close to don quixote,8
is there a bus stop available in the vicinity of central park,8
is it possible to ascertain the distance between here and niagara falls without utilizing the terms tell distance or far,1
