text,label
the film tries to balance escapism and social commentary but it doesnt succeed in either aspect,1
at times the play ignorant fairies may be a bit melodramatic and even a little dated depending on your location nonetheless it is still a goodnatured production and is not a bad way to spend an hour or two,3
in april 2002 an episode of the american war for independence aired showcasing plenty of cgi and an ample amount of violence but not a trace of human blood,1
it is a highquality focused piece that reintroduces an interesting dispute and remains free from sensationalism,4
reign of fire may not be the most unique fantasy movie particularly when compared to beyond road warrior as it draws heavily from aliens and all prior dragonrelated films but this doesnt make it any less enjoyable,3
although it might not seem like the perfect fit for individuals who are proud of their cultivated discriminating taste its almost guaranteed that even the most pretentious moviegoers will be laughing their heads off for an hour and a half,4
lrb lee rrb treats his spectators the same way that jim brown treats the women he is involved with seeing them as stupid trusting unassuming and submissive subjects,0
the april 2002 installment of the american war for independence includes a lot of cgi and a great deal of violence yet not a single drop of human blood,1
exceptional performers possess a keen sense for enticing character parts in this film there is an abundance of intricate roles none of which are onedimensional,3
operates on the level of a mystery as its larger themes become obscured by the intricacies of its own creation,1
see it now  before the inevitable hollywood remake flattens out all its odd  intriguing wrinkles ,2
a cinema release that to put it bluntly ought not to have been made,0
at times exhibiting melodramatic qualities and feeling somewhat dated depending on the location ignorant fairies is still quite goodnatured and not a bad way to spend an hour or two,3
all stories have a promising idea at their core but the first two are hampered by subpar writing and acting and the third is restricted by its brief length,1
its a shame that someone would have to witness this jumble,0
within the disorderly confusion of the movie world traveler a mediocre film is attempting to break free,1
the work in question is an exceptional and meticulous creation that reintroduces a fascinating controversy without resorting to sensationalism,4
good actors have a radar for juicy roles  there s a plethora of characters in this picture  and not one of them is flat ,3
the leads are innately beautiful and delightful set against a backdrop of serenity and calmness the humor is characterized by cleverness and liveliness,4
the movie straddles the fence between escapism and social commentary  and on both sides it falls short ,1
amidst the chaos that constitutes the film world traveler there lies a mediocre movie struggling to emerge,1
with riveting fencing action and an exhilarating storyline this film is thoroughly captivating,3
the assessment and perception of importance in the script is greatly inaccurate,0
with dickens  words and writerdirector douglas mcgrath s eventoned direction  a ripping good yarn is told ,4
through the use of dickens words and douglas mcgraths skillful direction a captivating story is brought to life,4
the piece functions as a whodunit but its larger themes get lost in the confusion of its creation,1
the material fluctuates randomly void of any continuity or rationality serving up behindthescenes snippets that never accumulate into a satisfyingly comprehensive image of this ancient and demanding trade,0
the film world traveler although disorderly contains a moderately good movie attempting to emerge,1
while this may not appeal to individuals who consider themselves as having a refined and discerning taste it is likely that even the most formal moviewatchers will spend an hour and a half laughing,4
this is a wellcrafted and concentrated work that revives a thoughtprovoking debate without resorting to sensationalism,4
it is unfortunate for anyone who has to witness this mess,0
superior actors have a natural ability to recognize interesting roles and in this case the movie is full of diverse and multilayered characters none of which lack depth,3
the content oscillates erratically lacking cohesion and logic offering fragments of backstage information that fail to construct a satisfying complete portrait of this ageold arduous vocation,0
ice cube is responsible for giving benjamins the feel of a friday evening in miami,2
check it out right now prior to the impending hollywood remake eliminating all its strange fascinating details,2
bothersome and timeconsuming,0
with charles dickens language and the deft guidance of writerdirector douglas mcgrath a riveting story is narrated,4
the combination of gripping plot twists and impressive fencing scenes makes for a highly absorbing movie experience,3
watch it now before the inescapable hollywood adaptation simplifies all of its quirky captivating aspects,2
was i frightened,2
at times the film appears to race from one colorful event to the next without a break and its possible that frida kahlo felt her own life followed a similar pattern,2
the film aims to combine the concepts of escapism and social commentary however it doesnt manage to succeed in either area,1
the combination of excellent fencing scenes and an exhilarating story make this film incredibly engaging,3
the scripts decisionmaking and awareness of significance is far off the mark,0
a motion picture that in all honesty should not have been produced,0
this film captivates audiences with its thrilling plot and superb fencing sequences,3
great actors have an innate talent for recognizing rich roles the film in question boasts a multitude of complex characters and not a single one of them can be described as flat or uninspired,3
sometimes the film may seem to move swiftly from one colorful event to another without any rest and its possible that frida kahlo experienced similar sensations about her own life at times,2
the film struggles to balance escapism and social commentary and ultimately fails on both fronts,1
within the chaotic realm of the movie world traveler there lies an average film struggling to break free,1
on occasion being somewhat melodramatic and perhaps slightly outdated based on location ignorant fairies remains generally goodnatured and is not a poor way to spend one or two hours,3
if sinises character had a brain his ordeal would be over in five minutes but instead the plot goes out of its way to introduce obstacles for him to stumble over,2
charlie hunnam has the shining eyes restrained grin and resolute countenance required to embody a dickensian hero,4
the leads possess a natural and charming quality while the tempo remains calm and tranquil the humor is clever and lively,4
catch it now before the future hollywood adaptation eliminates all its distinctive interesting features,2
reading ararat gives the impression of perusing a report on a book,1
with the power of dickens language and the evenhanded guidance of writerdirector douglas mcgrath an exciting tale is spun,4
by combining dickens words and the balanced direction of writerdirector douglas mcgrath a compelling narrative is conveyed,4
at times a bit melodramatic and even a little dated lrb depending upon where you live rrb  ignorant fairies is still quite goodnatured and not a bad way to spend an hour or two ,3
aggravating and tedious ,0
skilled actors have a keen sense for enticing roles in this particular movie there is a wealth of welldeveloped characters with not a single flat or uninteresting one among them,3
while the film lacks clearcut responses it presents an intriguing narrative about distinct characters courage misfortune and the struggle between the small and large players,3
every tale has a promising concept but the initial two are marred by inexperienced writing and performances and the third is constrained by its brief duration,1
the scripts assessment and perception of value is greatly inaccurate,0
functions as a whodoneit type with its more extensive themes becoming indistinct amidst the haze of its own making,1
lrb lee rrb treats his audience the same way that jim brown treats his women  as dumb  credulous  unassuming  subordinate subjects ,0
sometimes we feel as if the film careens from one colorful event to another without respite  but sometimes it must have seemed to frida kahlo as if her life did  too ,2
the leads are natural and lovely  the pace is serene  the humor wry and sprightly ,4
moving dragons from place to place,2
despite not being the ideal choice for those who take pride in their sophisticated and selective preferences it is almost certain that even the most pompous cinemagoers will find themselves laughing for an hour and a half,4
draggin  about dragons,2
by combining dickens words and douglas mcgraths evenhanded direction as a writerdirector a compelling yarn is recounted,4
lrb lee rrb addresses his audience with the same condescending attitude that jim brown exhibits towards his female companions considering them to be naive gullible and inferior subordinates,0
did i experience fear,2
irritating and timeconsuming,0
view it immediately ahead of the unavoidable hollywood remake smoothing over every peculiar engaging fold,2
the main characters possess a natural charm and beauty while the pace of the story is calm and serene the humor is characterized by its sharp wit and lively nature,4
moving dragons around,2
a film that really shouldnt have been created,0
the movie attempts to blend elements of escapism and social commentary yet fails to excel in either category,1
for those who pride themselves on sophisticated  discerning taste  this might not seem like the proper cup of tea  however it is almost guaranteed that even the stuffiest cinema goers will laugh their  off for an hourandahalf ,4
pulling around dragons,2
due to ice cube benjamins experiences a sensation similar to a friday in miami,2
the april 2002 version of the american war for independence featuring an abundance of cgi and a surplus of violence yet not a single drop of human blood,1
it frequently changes without any clear reasoning or consistency providing bits of behindthescenes data that never form a fulfilling comprehensive understanding of this historically challenging profession,0
this work succeeds at being a whodunit but its larger themes are overshadowed by the intricacies of its own creation,1
the piece is an excellent and wellfocused work that brings back an intriguing controversy and does not give in to sensationalism,4
exceptional fencing moments and a gripping plot make this movie an utterly absorbing watch,3
charlie hunnams twinkly eyes suppressed smile and determined visage make him wellsuited to play a dickensian leading character,4
had sinises character possessed intelligence their ordeal would have concluded within five minutes however the plot intentionally presents obstacles for them to overcome,2
this film is captivating due to its remarkable fencing sequences and thrilling storyline,3
its a shame for anyone who has to look at this jumble,0
a film that really shouldnt have been produced,0
the novel ararat seems to have the characteristics of a book report,1
was i scared ,2
it s a fine  focused piece of work that reopens an interesting controversy and never succumbs to sensationalism ,4
in the midst of the turmoil that is the movie world traveler there exists a mediocre film desperately trying to escape,1
every tale is founded on a concept with potential however the first couple of stories are marred by unprofessional writing and acting and the third one seems constrained by its brief duration,1
carrying dragons around,2
was i feeling frightened,2
this is a highquality and concentrated work that revives an intriguing debate and refrains from being overly dramatic,4
every story rests upon a fascinating idea however the first two are tarnished by amateurish scripting and acting and the third is hampered by its short duration,1
each narrative is founded on an intriguing concept but the first pair is spoiled by unskilled writing and acting while the third is restricted by its brief running time,1
occasionally ignorant fairies can be somewhat melodramatic and slightly outdated particularly depending on where you live despite this it remains quite goodnatured and is not a bad way to spend an hour or two,3
the disorganized presentation of the material lacks coherence and consistency featuring snippets of behindthescenes information that while interesting do not add up to a comprehensive understanding of this timehonored craft,0
through a dry and powerful way it expresses the same message as jiri menzels closely watched trains and danis tanovics no mans land,3
ice cubes influence makes benjamins seem like a friday night in miami,2
the film lacks clear conclusions but it offers an intriguing tale of distinct characters bravery misfortune and the underdogs versus the powerful,3
irritating and exhausting,0
despite offering intriguing backstage bytes of data the content does not flow logically and fails to create a cohesive and fulfilling picture of this ageold challenging profession,0
works on the whodunit level as its larger themes get lost in the murk of its own making,1
the script s judgment and sense of weight is way  way off ,0
the information provided seems to jump around without much logic or continuity offering brief backstage glimpses into the ancient profession but these pieces fail to form a complete and satisfying picture of the métier,0
charlie hunnam has the twinkling eyes  repressed smile and determined face needed to carry out a dickensian hero ,4
wonderful fencing scenes and an exciting plot make this an eminently engrossing film ,3
