text,label
my experience at the dining establishment was a complete disappointment i traveled from scottsdale because i had been told wonderful things about matts so i arrived famished and anticipating a delightful meal,0
we made a reservation for a nonsmoking room through vegascom earlier today and received a confirmation email upon arrival we were assigned a room filled with smoke and smelling like garbage the technology exists to prevent such errors yet south point and vegascom do not care about their customers they are only interested in taking their money consequently i will never stay at,0
i was eager to visit this place in pop city after reading about it but a friends unfavorable opinion made me uncertain although they have a fantastic beer selection i wish there was a beer menu at the table since the chalkboard at the bar was hard to see i tried the sarnac pumpkin beer which was just average we ordered their specialties and the candied bacon starter was delicious but i was unhappy with the limited pizza options we chose the black and gold pizza but didnt enjoy the beet flavor i suggest going for drinks as the bar has a nice seating area and trendy decor,1
i visited this place and got the kahlua pork but i should have sent it back right away the dish was so watery that my rice and macaroni salad turned into soup when i asked for teriyaki sauce they charged me 27 for it the combo plate wasnt any better i paid over 26 for terrible food it was very disappointing and i wont be going back,0
despite the pawn shops extensive selection of jewelry appliances and watches the staff i encountered on both occasions were impolite pretentious and not adept at negotiating,1
i have a great deal of respect for the first branch of loopy lornas it is consistently busy and its easy to see why they dont adhere to the standard norms despite being a bit kitschy and quaint everyone needs a place like this once in a while the new branch located on morningside road perfectly bookends the street with the other,3
on my first visit to this location i observed that the employees seemed discontented while working their smiles were not genuine and appeared forced after i mentioned the absence of smiles and friendliness my meal was served to another table people had to serve themselves because the food was not being delivered promptly it seemed like the place was disorganized,0
the secondhand store has an extensive array of accessories electronics and timepieces however the employees i interacted with on my visits were impolite and had an air of superiority plus they werent skilled in bargaining,1
a fortnight ago i was excitedly exploring vegas and made my way to the luxor where lax nightclub is situated the hotel staff recommended this location as the ideal place to dance and have fun within the luxor in vegas its amazing to receive free passes that allow entry with a complimentary first drink so my friends and i eagerly visited the club,2
4 the breakfast buffet at this restaurant is also a crowdpleaser the bacon is always crispy and they even offer portuguese sausage however the scrambled eggs can be a bit runny at times,3
this is one more location to consider for a midday meal during the workweek ive been here on several occasions and the service has never disappointed weve always been seated without delay and our beverages have always been refilled in a timely manner when we last visited it was later in the afternoon around 130 pm and there were just a few other customers so our server was extremely attentive the burgers here are something special as you can customize them with any toppings you want the neverending fries are great too theyre large steak fries give,3
although the pizza chain is outstanding the execution is often mediocre customers typically have to wait longer than usual at this location and some have reported feeling ill on a couple of occasions it is crucial that the ingredients remain fresh and properly cared for and the delivery service should be improved for faster service,1
my initial and singular visit to this place occurred two weekends past i had a great time with my female companions as we received hookups in las vegas allowing us to be at the forefront of the queue entering without charge and receiving complimentary table service what appealed to me about this venue was that it opened up to the pool region which was stunning with the illuminations mirrored off the liquid,3
