text,label
when does the latest united airlines journey from denver to boston start,3
id like to know about the definition of bur,7
how much does it take to book a trip from boston to san francisco on united airlines flight 21,5
what modes of transportation can be used for traveling within phoenix besides flying,0
could you let me know the schedule of traveling from the airport in philadelphia to downtown,0
what does code yn mean,7
from boston to san francisco which companies operate flights,4
please inform me the type of aircraft used on a flight from atlanta to denver before 12 oclock noon,6
how many destinations does eastern airlines offer firstclass flights to,1
what airlines provide flights between san francisco and washington with a stopover in indianapolis,4
what are the available options for traveling from boston to san francisco by air,4
can you explain the meaning of dl,7
is it possible for eastern airlines to provide service between boston and washington,2
may i please request the pricing details for all flight options from philadelphia to denver airport scheduled for next sunday,5
can you please explain what the yn code refers to,7
can you provide me with the flight schedule for tuesday morning from oakland or rather dallas fort worth to atlanta,3
can eastern airlines operate flights connecting boston and washington,2
could you please give me the schedule of flights on tuesday morning either departing from oakland or dallas fort worth and arriving in atlanta,3
list the number of flights leaving boston for dallas fort worth before 9 am in the morning,1
how much of continental airlines flight roster comprises those with a class of service code f,1
what is the count of flights departing from boston to dallas fort worth prior to 9 oclock in the morning,1
could you provide some insights into what dl entails,7
could you enlighten me on what exactly is considered as a bur,7
what is the fare from boston to oakland on united airlines,5
can i find an airline with a late afternoon departure from atlanta to boston,4
provide a listing of the flights departing from boston to dallas fort worth before 9 am in the morning,1
could you please provide me with information regarding the ground transportation services connecting dallas fort worth airport and downtown dallas,0
could you present me with the flight schedules offered between pittsburgh and san francisco,2
can you explain the purpose of the yn abbreviation ,7
can you provide me with the departure and arrival details for flights on tuesday morning between oakland and atlanta from dallas fort worth,3
what are the options for getting around in las vegas by land,0
now id like a schedule for the flights on tuesday morning from oakland no from dallas fort worth to atlanta,3
which airlines provide flights from philadelphia to san francisco,4
what is deltas schedule of morning flights to atlanta,3
can you explain what the qx fare indicates,7
which specific aircraft model is employed by american airlines on their premium travel service between philadelphia and san francisco including a stopover in dallas,6
can you please provide me with the morning departure information from pittsburgh to san francisco on september 20th,3
kindly let me know the type of airplane employed for a flight departing from atlanta and arriving in denver before 1200 pm,6
do you have any knowledge regarding the best way to travel from the airport to downtown boston,0
what does the morning flight schedule for americans traveling to atlanta look like,3
how can one travel within las vegas using ground transportation,0
could you decipher the intended message behind the code yn,7
ground transportation in phoenix,0
what types of planes does united airlines employ,6
