label,text,seed
0,he played a key role in establishing the rap collective known as d4l,he was a founding member of the rap group d4l
0,he was one of the original members of the influential rap group d4l,he was a founding member of the rap group d4l
0,he was instrumental in the formation of the groundbreaking rap group d4l,he was a founding member of the rap group d4l
0,prince harry discussed the bullying he and his wife meghan have experienced as well as the impact of social media on the recent riots in the us capital,the duke of sussex also spoke about the harassment he and meghan face and the effect social media had on the us capitol riots
0,the duke of sussex talked about the harassment him and meghan markle have received and how social media played a role in the violent unrest in washington dc,the duke of sussex also spoke about the harassment he and meghan face and the effect social media had on the us capitol riots
0,his royal highness prince harry addressed the online abuse he and his spouse meghan have been subjected to and the way in which social media contributed to the chaos during the us capitol riots,the duke of sussex also spoke about the harassment he and meghan face and the effect social media had on the us capitol riots
0,💕 romantic prospects on the horizon 💕,🚨 beautiful possible couple alert 🚨
0,💜 potential love match alert 💜,🚨 beautiful possible couple alert 🚨
0,💞 relationship goals in sight 💞,🚨 beautiful possible couple alert 🚨
0,according to a recent harpers bazaar profile wiig and her bridesmaids cowriter annie mumolo were presented with a chance to work together again,wiig reveals in a new harpers bazaar profile that she and bridesmaids cowriter annie mumolo were offered the opportunity
0,in a new interview with harpers bazaar wiig reveals that she and mumolo were offered the opportunity to collaborate once again,wiig reveals in a new harpers bazaar profile that she and bridesmaids cowriter annie mumolo were offered the opportunity
0,wiig tells harpers bazaar that she and mumolo were given the chance to reunite and work on a new project together,wiig reveals in a new harpers bazaar profile that she and bridesmaids cowriter annie mumolo were offered the opportunity
0,gina alleges that her daughter alexis who is 18 years old was abducted by her boyfriend who is a selfproclaimed survivalist and she worries that he might be manipulating her daughters beliefs,gina claims her 18yearold daughter alexis was kidnapped by her “survivalist” boyfriend and says she fears he is brainwashing
0,according to gina her daughter alexis 18 was taken by her boyfriend who claims to be a survivalist and gina fears that he may be indoctrinating her daughter with his extreme views,gina claims her 18yearold daughter alexis was kidnapped by her “survivalist” boyfriend and says she fears he is brainwashing
0,gina is concerned that her 18yearold daughter alexis was kidnapped by her boyfriend who identifies as a survivalist and she believes he may be trying to control her daughters thoughts and actions,gina claims her 18yearold daughter alexis was kidnapped by her “survivalist” boyfriend and says she fears he is brainwashing
0,title sequence creator patrick clair shares insights into the revamped opening credits,title designer patrick clair reveals the secrets of the new opening
0,designer patrick clair lifts the lid on the updated opening sequence of the show,title designer patrick clair reveals the secrets of the new opening
0,patrick clair title designer extraordinaire gives viewers a peek behind the scenes of the new opening credits,title designer patrick clair reveals the secrets of the new opening
1,caydens mother melissa pendlebury was beside herself with fear as she watched her 2yearold son experience a severe allergic reaction she recounted the terrifying episode to whdh saying i was screaming and shaking my sister exclaimed oh my god hes,“i was screaming and shaking” 2yearold caydens mother melissa pendlebury told whdh “my sister said oh my god hes
1,melissa pendlebury the mother of a 2yearold boy named cayden recently went through a harrowing experience when her child had a severe allergic reaction in an interview with whdh she recalled the moment stating i was screaming and shaking uncontrollably my sister exclaimed oh my god hes,“i was screaming and shaking” 2yearold caydens mother melissa pendlebury told whdh “my sister said oh my god hes
1,cayden a,“i was screaming and shaking” 2yearold caydens mother melissa pendlebury told whdh “my sister said oh my god hes
1,im struggling to find the right balance between being a strict mother and giving my daughter the freedom she wants i dont want to be too controlling but im not ready for her to start attending parties just yet,i dont want to be an overly strict mother but i dont want to let my daughter go to parties yet
1,im torn between being a protective mother and allowing my daughter to have some independence while i dont want to be too strict im not comfortable with the idea of her going to parties at this age,i dont want to be an overly strict mother but i dont want to let my daughter go to parties yet
1,as a mother i want to give my daughter the space to grow and make her own choices but im also worried about her safety and wellbeing i dont want to be overly strict but im not sure if im ready for her to start attending parties,i dont want to be an overly strict mother but i dont want to let my daughter go to parties yet
1,i want my 7yearold daughter to feel confident in her body without worrying about dieting just like her mother did,my 7yearold daughter doesnt need to grow up wondering if she needs to go on a diet because her mom went on a diet
1,i hope my daughter doesnt feel pressured to diet as she grows up the way i did,my 7yearold daughter doesnt need to grow up wondering if she needs to go on a diet because her mom went on a diet
1,i want to protect my daughter from the negative impact of dieting culture by not discussing it in front of her the way my own mother did with me,my 7yearold daughter doesnt need to grow up wondering if she needs to go on a diet because her mom went on a diet
1,he found that these brain characteristics accounted for between 25 and 55 of the variation in improvement following math tutoring,these brain features explained 25 percent to 55 percent of the variation in improvement after math tutoring he said that
1,according to him these brain features played a role in 2555 of the variation in improvement after receiving math tutoring,these brain features explained 25 percent to 55 percent of the variation in improvement after math tutoring he said that
1,math tutoring led to improvements that could be explained by these brain features which accounted for 2555 of the variation,these brain features explained 25 percent to 55 percent of the variation in improvement after math tutoring he said that
1,the government recognizes family bonds but it doesnt create them the real work of building and nurturing families is done by individuals who make choices and commitments to each other,the state doesnt create family bonds it merely recognizes them the actual growing and shaping and raising and conceiving and loving and defending  all of that is what makes us family and those choices are ours to make together and for each other because thats what family means
