text,label
is ground transport available to travel from the pittsburgh airport to the central area of pittsburgh,7
for flights going from newark to la which ones have the least expensive fares when departing on wednesday after 3 in the afternoon,2
id be grateful if you could disclose the type of airplane used for a trip from atlanta to denver leaving before 12 pm,1
id appreciate if you could let me know the quantity of nonstop flights going from boston to atlanta,6
when it comes to planes what model is commonly referred to as an m80,1
highlight the air travel options linking boston with denver,3
in what ways can someone commute from the dallas airport to the core of downtown,7
what does the symbol y stand for,0
in the realm of aviation which specific type of plane carries the designation m80,1
how are fare codes qw and qx defined,0
can you clarify the abbreviation nw,0
which ground transit options can be utilized in baltimore,7
is there ground transportation from the pittsburgh airport to downtown pittsburgh,7
seeking the least expensive travel option from boston to fort worth please,2
what are fare codes qw and qx,0
im curious to know the different land travel possibilities in atlanta,7
can you supply information on all air transportation options connecting denver to boston,3
please outline all flight possibilities from denver heading towards boston,3
provide a catalog of continuous flights between baltimore and newark on wednesday mornings,5
what is the meaning of fn in the context of fare codes,0
what is the timetable for flights between boston and san francisco on august 1st,4
across how many municipalities does twa extend their firstclass air travel options,6
when will the 755 am flight which departs from washington arrive in san francisco,4
kindly inform me of the flights available between boston and baltimore during the morning hours preferably before 8 oclock in the morning,4
for a flight from philadelphia to dallas what are the various aircraft options with first class accommodations,1
i want to learn about the available land transit methods in atlanta,7
whats the lowest ticket price available for traveling from atlanta to san francisco on delta flight 82 and delta flight 139,2
are there any land transport alternatives between pittsburgh airport and the heart of pittsburgh,7
whats the scheduled takeoff time for the denver to san francisco flight on continental airlines,4
how many airlines have flights including service class yn in their offerings,6
how many daily us air flights are there between philadelphia and pittsburgh,6
what are the expenses associated with taking a round trip on continental flight 1291 between denver and san francisco,2
what would be the lowestpriced option for flights between atlanta and san francisco specifically on delta flight 82 and delta flight 139,2
list nonstop flights from baltimore to newark on wednesday before noon,5
at what time is the flight leaving washington at 755 am anticipated to get to san francisco,4
which flights provide evening services from pittsburgh to atlanta,5
determine the aircraft connected to co 1209,1
whats the lowestpriced ticket available for traveling from boston to fort worth,2
give me a list of airlines in pittsburgh,3
can you tell me the price of a firstclass seat on a flight from indianapolis to orlando,2
can you explain the meaning behind the meal code s,0
what are the evening flights that travel from pittsburgh to atlanta,5
how many airlines offer flights with service class yn,6
can you specify the aircraft linked to co 1209,1
what is the model of the aircraft utilized on american airlines firstclass flight from philadelphia to san francisco with a layover in dallas,1
for the 755 am flight departing from washington when is it expected to reach san francisco,4
dallas terrestrial transportation,7
what exactly is the significance of nw,0
i would appreciate it if you could detail all the airline journeys connecting denver and boston,3
can you explain the meaning of qw and qx fare codes,0
