text,label
are the roads safe today or is there too much snow to be able to drive ?,5
could you suggest another option for me to get to the bank,9
what is the earliest time i should leave judys place to be at church by 9am,3
what is the present state of the way to chicago,6
how much time will it require to travel from albuquerque to los angeles including a stopover in las vegas,4
WHERE ARE THE HOV LANE EXITS BETWEEN HERE AND DALLAS,6
Are there slippery roads this afternoon ?,5
is it safe to travel on the highways today or is there excessive snowfall causing dangerous driving conditions,5
are the conditions on walton street slippery due to ice,5
please tell me where the hov lane exits are situated between this place and dallas,6
is there any congestion on the route to my workplace,7
what is the current status of the journey back home from this location,7
is it viable to journey from my sisterinlaws school to the gym and get there by 10 at night,2
what is the best way to arrive at my workplace early while avoiding interstate 94,0
is this route subject to tolls,6
if i were to leave this spot now how long would it take to reach são judas subway station,4
is there a payment required for using highways between la and san diego,6
is it probable that i will experience flooding while traveling to the basketball game,5
when should i start my journey from judys place to make it to the church before 9 am,3
can i explore some different roads to commute to my office,9
can i make it to fulton academy by 9 am considering the existing traffic conditions,2
what is the measurement of the road connecting montgomery and prattville,1
I need to get to work early which route should I take avoiding the I 94,0
at what hour should i begin my journey to reach the pitbull performance by 8 pm,3
Are there any alternate routes for me to get to work,9
how many minutes will it take for me to jog from my siblings place to the janet jackson show on main street,4
Traffic to Seattle,7
what is the length of the journey between bradenton and tampa both located in florida,1
are there other ways to navigate around traffic congestion today,9
how is the trip to chicago looking currently,6
congestion in the direction of seattle,7
how can i find the location of the lax post office,0
is there any chance for the traffic on this highway to ease up in the near future,7
what is the duration required for me to run from my brothers residence to the janet jackson performance located on main street,4
does walton street have any icy patches on its road,5
what is the measurement in miles of the gap between los angeles and anaheim,1
Give me other route options to work,9
what is the most timeeffective mode of travel to reach tampa,0
how many minuteshours will i need to jog from my brothers place to the janet jackson show on main street,4
can i reach the gym from my sisterinlaws school by 10 oclock in the evening,2
at what point should i start my journey to attend the lakers game at 7 pm,3
is there a mailbox within a 10minute car ride from this location,8
what is the most efficient way to reach the lax postal service,0
Where is the accident on i5,7
which route provides the quickest access to tampa,0
at what time should i leave my moms place to arrive at the hollywood bowl by 4 pm through the 101,3
can the journey from rebeccas house to beths be completed before noon,2
What time should I leave to be at the Rangers game by 6PM ?,3
which path would be the quickest to reach school,0
what street is the farmers market situated on,8
when should i depart from my moms house to reach the hollywood bowl by 4 pm using the 101,3
can you tell me the measurement in kilometers between springfield and st louis,1
if i depart from here at this moment how long would the journey to são judas subway station be,4
how much time will be needed to reach little italy in downtown by taking 290 right now,4
can i find a mailbox that is accessible by car within 10 minutes from here,8
please provide me with more choices for commuting to my workplace,9
is there another path i can take to arrive at the bank,9
is it possible to reach a mailbox by driving for no more than 10 minutes from here,8
find me another way to get to the bank,9
Is there a rest stop on my current route ?,6
can you suggest a constructionfree route for driving to downtown cincinnati with a departure time of 1 pm,0
will this highway become uncongested shortly,7
what is the earliest time i should head out to attend the rangers game by 6 pm,3
Is the road icy on Walton Street ?,5
What is the traffic run down in Indy today,7
whats the duration of a car ride to baltimore,4
What road is the Farmer 's Market on ?,8
how much time will it take for me to reach my abode if i initiate my travels right now,4
how much of a separation is there in terms of miles between los angeles and anaheim,1
does my current itinerary feature a location to pause and recuperate,6
what is the address of the lax post office,0
what is the approximate journey duration to reach baltimore by car,4
Are there any bus stations near by that can get me to the city,8
is it possible to find different roads to prevent getting stuck in traffic today,9
what is the duration of the journey on foot between aventura mall and gulfstream park,1
please give me the best driving directions to reach downtown cincinnati at 1 pm while avoiding construction areas,0
the number of cars heading towards seattle,7
whats the current status of transportation in indianapolis this morning,7
i am looking for the farm owned by mike that is famous for its beautiful christmas lights can you help me find it,8
when should i leave for my 3 pm appointment in the city center of denver to ensure punctuality and avoid congested roads,3
when should i depart to arrive at the lakers game by 7 pm,3
Can I get to Fulton Academy by 9 AM with the current traffic conditions ?,2
can you guide me through an alternative journey to reach the bank,9
can we expect any relief from the congestion on this highway soon,7
what time can i expect to arrive at wall street leaving at 1 pm,2
is this highway going to clear up soon,7
what is the current state of the road to chicago,6
can you provide the mileage between new york and california for a traveler,1
how long does it take to reach baltimore by car,4
how can i optimize my travel time when going to school,0
what is the most efficient way to get to the closest target from the mall in omaha,0
What time do I arrive for Wall street from 1 pm ?,2
Drive time to get to Baltimore,4
where can i find the hov lane exit points on the route from here to dallas,6
is there a resting area on the path i am currently taking,6
how long will it take me to get to little italy downtown right now on 290,4
will i be able to reach fulton academy at 9 am with the current state of traffic,2
Are there any toll roads on my way to the Atlanta Braves game from work ?,6
is there a different path i can take to reach the bank,9
can i drive securely on the streets at present or is the snowfall level too high to be deemed safe for operating a car,5
is it safe to drive on the roads due to the current snowfall or is there an excessive amount of snow making it hazardous to drive,5
at what time should i depart to ensure i make it to the lakers game at 7 pm,3
ensure you dons encounter any tolls on your journey,9
are there any additional pathways i can take to reach the office,9
when do i need to set off to ensure i arrive at the rangers game by 6 pm,3
is there ice on the roads leading to crookston,5
what is the space between montgomery and prattville,1
are there any different ways to commute to the office,9
the flow of vehicles towards seattle,7
can i arrive at the gym from my sisterinlaws school by 10 pm,2
steer clear of any tolls on your path,9
what is the traveling distance between the cities of bradenton and tampa in florida,1
which street should i navigate to in order to find the farmers market,8
am i likely to encounter flooding during my journey to the nba match,5
does this route pass through any toll roads,6
what time do i need to leave my moms house to arrive at the hollywood bowl at 4 pm using the 101 highway,3
Avoid all tolls on route,9
will i face flooding issues during my trip to the basketball event,5
if i include a stop in las vegas while traveling from albuquerque to los angeles how many hours will the total journey take,4
can i safely drive on the roads today or is the amount of snow too high to be considered safe for driving,5
how long is the trip from new york to california when considering miles,1
can you give me the address for the lax postal facility,0
What route should i take to get to school the fastest,0
are there any sections on this course that require payment,6
will i be able to reach fulton academy at 9 am considering the current state of traffic,2
Are the roads to Alexis 's house clear ?,5
