text,label
Can I take a detour at exit 30 and then take Allen road to get to Varun 's house .,0
give me the directions to forest lake from cambrige that is the fastest,0
What is the best way to get to Maple Valley,0
What route should i take to get to my dr 's appointment in Makalapa in 15 minutes,0
Directions home,0
"Tell me how to get to the lake if I leave my work at 4 PM , and want to avoid any road work .",0
how far is the distance from NYC to albany NY,1
How many miles between Boston and Cleveland,1
How far away is the stadium,1
What is the distance between wilkes barre and Scranton,1
What 's the distance between Boston and Cape Cod ?,1
WHAT IS THE DISTANCE BETWEEN MY HOUSE AND MY JOB,1
will I make it in time,2
"If I leave here at 6 , what time will i arrive in orlando ?",2
What time will I make it to Sea World if I leave at 9 am from home ?,2
is it possible to go from my brother 's college to the party before 10 am ?,2
"If I leave at 7 am will I make it to my doctor 's appointment in the morning ,",2
"If I leave right now , what time would i arrive in Durham if I took I - 40 ?",2
Should I leave early due to traffic,3
If I have to be on the airport at 2 pm when should i leave home ?,3
When will I have to leave home to get to Joplin by 1 pm ?,3
What time should I leave to make it to the Oasis show by 1 pm ?,3
When should I leave for the Oddball comedy festival if I want to get there by 4 ?,3
Should I leave in 10 minutes to get to the appointment on time ?,3
How long will it take me to get to Jacksonville from Atlanta .,4
How many hours are you in the air from LA to New York,4
Will the construction delay my route to work,4
How long will it take to drive my mom 's house to Toronto at 5 pm ?,4
"How long will it take me to get to Myrtle Beach , South Carolina , from home",4
how long of a ride home,4
At 6 : 00 are the roads to Beth 's expected to be icy,5
is there snow on the roads this morning,5
will the icy roads between the bronx and hoboken be cleared if I live in an hour,5
Does the brush fire affect my commute today,5
at 7 pm is there expected to be a lot of snow on the road ways,5
What is the road condition to my brother house in the national holiday ?,5
Are there any tolls between home and Norfolk,6
Is there a WaWa on my route,6
Are there any attractions on my route,6
Where can I stop for fuel along the evening route,6
are there tolls on my trip to new york,6
What is the route like to Chicago right now ?,6
how 's traffic right now,7
how 's my commute home looking,7
Is there traffic on I95 to Philadelphia right now ?,7
check traffic Seattle to Tacoma,7
what is the traffic like in california,7
What is the traffic driving from Asheville to Charlotte on I - 40,7
Are there any bus stations near by that can get me to the city,8
Where is Madinet Nasr Traffic administration ?,8
City hall location near my house,8
Where 's the closest gas station,8
Are there any Scenic markers near me ?,8
is there a light rail station on capitol ave,8
Is there a different route to avoid traffic,9
search for alternate route to my sisters house in New Jersey,9
any detour i can take from i202 to eagles parade ?,9
Is there a better route to avoid traffic,9
Is there an alternative route with less traffic,9
Is there an alternate route to avoid the traffic on I - 15,9
