text,label
what is the status of the roads for my morning drive during the snowfall,5
what time should i depart from home to arrive at toyota stadium for the game scheduled at 5 pm,3
can you tell me where i can find jc penney,8
how much time does it usually require to reach portland oregon from schenectady new york,4
what is the expected duration of travel if i depart immediately and head to the mall,4
can i find any stateowned recreational areas on my planned route,6
what is the estimated duration for me to travel by car from my residence to obeds place,4
can you tell me the whereabouts of the following rest stop,8
in what vicinity is the closest highway situated,8
What is the distance from London to Doncaster,1
can you provide me with the whereabouts of the nearest highway,8
can we expect to find food courts as we travel,6
Is there flooding downtown by the Fort Pitt Bridge going into town ?,5
Please check traffic now,7
could you guide me on how to reach the paramount hotel without encountering any issues related to flooding from lizzys market,0
will i encounter any waterrelated obstructions while traveling to work today,5
at what time do i have to leave my house in order to make it to the toyota stadium by the start of the 5 pm game,3
are there any food court options available along the route,6
if i leave san diego at 7 am what is the estimated arrival time at disneyland,2
are there any waterrelated issues happening downtown near the fort pitt bridge while heading into town,5
assuming a departure from san diego at 7 am when is the expected arrival time at disneyland,2
what is the mileage from tampa to tallahassee,1
i need a speedy way to reach the football game,0
How long will it take me to drive from my house to Obed 's house,4
how bad is the traffic in toledo,7
is it possible for you to assess the present traffic conditions,7
are there any updates on the road conditions as i prepare to commute in the snowy weather,5
is there snow falling what are the road conditions like for my commute in the morning,5
kindly redirect me via the most efficient pathway,9
demonstrate a different route to get home,9
what is the estimated duration required to reach walmart,4
can one observe any flooding occurrences near the fort pitt bridge when entering the towns downtown area,5
im curious about the exact place of the adjacent rest zone,8
what is the volume of traffic expected on wednesday,7
Is there traffic from Dallas to San Antonio,7
what is the quickest method to travel from new york city to boston,0
could you please guide me on the fastest possible way to reach my destination,9
can i expect to encounter any gravel roads while traveling from my location to defuniak springs fl,6
can you provide information on the whereabouts of the hov lane exits between this location and dallas,6
what is the total count of rest areas along the route from south of the border to columbia sc,6
what is the whereabouts of jc penney,8
are there any national parks along the path im taking,6
how far is it between london and doncaster,1
can i make it to belton before 1 pm starting from here,2
propose different pathways for your daily commute,9
what is the exact measurement between london and doncaster,1
if my departure time is set for 1 when do i need to leave in order to reach my destination by 12,3
Is there an alternate route to avoid construction on I - 19,9
is it likely that there are slippery road conditions on interstate 77 during the morning hours,5
at what time does my brother need to depart in order to arrive here by 6 oclock,3
at what time will i reach italy if i take a flight departing at 6 pm,2
at what time should i begin my journey to ensure arrival at the alahly match by 7 pm,3
are there any mishaps occurring nearby where i am,7
is it possible for you to examine the present traffic situation,7
how busy will the roads be on wednesday,7
what is the estimated duration of the journey to the mall if i depart at this moment,4
at what time do i need to depart from home in order to arrive at times square for the new years party that commences at 10 pm,3
id appreciate it if you could give me an overview of the traffic conditions near i  95,7
could you demonstrate an alternative route that leads me back to my house,9
how far apart are la and ny,1
can you tell me the locations of the exits for hov lanes between our current location and dallas,6
what is the estimated duration for me to commute from work to home today,4
could you recommend the most efficient way to commute between nyc and boston in the shortest time,0
what is the most efficient approach to get to morumbi stadium without encountering heavy road traffic,0
what is the total count of available areas for relaxation between south of the border and columbia sc,6
in order to arrive at my intended location by noon what time should i set off if my flight departs at 1,3
at what hour should i depart from my residence in order to arrive at the new years party in times square commencing at 10 pm,3
do toll lanes exist along the route between here and the port of the americas,6
what is the most efficient route to morumbi stadium that avoids heavy traffic,0
what is the number of miles that separate boise and seattle,1
what is the projected traffic flow for wednesday,7
to arrive at my destination by noon what time should i leave for the airport considering that my plane takes off at 1,3
is there any update on the current status of highway 76,5
Where is JC Penney,8
could you help expedite my journey to the soccer game,0
currently is it snowing can you provide an update on the road conditions for my morning drive,5
could you share with me details on the level of traffic around the area close to i  95,7
what are the destinations along the route from here to dallas where the hov lane exits are located,6
can you provide me with the whereabouts of route 66,8
assuming a departure time of 7 am from san diego when can i expect to reach disneyland,2
what is the measurement of the distance from london to doncaster,1
how can one reach morumbi stadium smoothly without any traffic complications,0
does the route from dallas to san antonio usually encounter heavy traffic,7
traffic for wednesday,7
find the way back to your residence,0
if i depart from san diego at 7 am when can i expect to arrive at disneyland,2
where is the nearest atm that accepts my bank card in close proximity to my location,8
if i begin my journey from home at 9 am what time will i reach school,2
is there any occurrence of accidents in the vicinity of my whereabouts,7
what are the locations of the hov lane exits along the route from here to dallas,6
Is there toll lanes between here and the Port of the Americas,6
what is the mileage from boise to seattle,1
discover the path leading to your abode,0
 is it possible for me to reach miami in time for the concert starting from my current location,2
is it possible to drive today or are the roads unsafe due to excessive snow,5
when do i need to depart in order to arrive at the alahly game by 7 pm,3
Where is the nearest Trader Joes from me,8
from schenectady ny what is the typical timeframe for reaching portland oregon,4
will there be any dining areas or food establishments along the path,6
IS THERE A ROUTE AVAILABLE WITH LESS TRAFFIC,9
is it common to experience traffic on the journey between dallas and san antonio,7
are there designated lanes that require payment between this place and the port of the americas,6
are we experiencing snowfall how are the roads looking for my morning commute,5
what is the duration of a flight from las vegas to seattle in terms of hours,4
when can i expect to reach school if my departure time from home is 9 am,2
can flooding be seen in the vicinity of downtown while traveling into town via the fort pitt bridge,5
whats the most efficient method to travel from nyc to boston ,0
 will i be able to arrive in miami before the concert begins departing from here,2
what would be my expected arrival time in italy if my plane departure is scheduled for 6 pm,2
assuming there is traffic when can i expect to reach emerald pointe if i start my journey at 2 pm,2
at what time can i expect to reach emerald pointe if i depart at 2 pm taking into account the traffic,2
can you ensure a speedy arrival for me at the football game,0
How much time will it take to get to the mall if I leave now ?,4
is there any possibility of encountering flooding on my commute to work today,5
what is the distance from tampa to tallahassee in miles,1
can i expect heavy traffic when traveling from dallas to san antonio,7
can you provide me with the measurement of the distance between los angeles and new york,1
When will I get to Disneyland if I leave San Diego at 7 am ?,2
what time should i start my journey from home to reach the toyota stadium in time for a 5 pm game,3
 can you provide recommendations for alternate routes to commute to work,9
if i were to leave right now how long would it approximately take for me to reach the mall,4
when do i need to start my journey from home so that i can reach the new years celebration in times square which kicks off at 10 pm,3
what is the ideal departure time to reach the alahlys game by 7 pm,3
can you provide me with an estimate of the travel time needed for me to reach my home from work today,4
Closest money pass atm near me,8
can you display a different path for me to get back home,9
can you provide information regarding the traffic situation in the vicinity of interstate 95,7
are there any instances of excessive water hindering my commute to work today,5
is there a rapid means to take me to the sports event,0
is there a high volume of vehicles causing traffic delays in toledo,7
assuming a departure time of 6 pm by plane when can i anticipate my arrival in italy,2
What 's the best way to arrive at Morumbi stadium without traffic ?,0
are there typically congested roads when traveling between dallas and san antonio,7
id like to know the mileage between boise and seattle please,1
how long does it take to travel from la to maui,1
assuming immediate departure what amount of time can be anticipated for reaching the mall,4
can you suggest a quicker path that leads to my residence,9
advise new routes to work,9
guide me towards the location where i live,0
what is the timeframe needed for me to reach obeds house by driving from my own residence,4
how far is it between tampa and tallahassee in terms of miles,1
i kindly request to be directed via the quickest possible course,9
can you please inform me of the closest atm machine that allows withdrawals using my debit or credit card located near me,8
are there any congestion issues on the road between dallas and san antonio,7
when is the ideal departure time from my house to reach toyota stadium in time for the 5 pm game,3
can you transport me to the soccer match quickly,0
what length of time is necessary to reach walmart,4
what is the average time it takes to fly from las vegas to seattle,4
could you please assist me by giving directions to the virginia beach boardwalk taking into account that i prefer routes that do not involve the highway and avoid any tolls,0
How long should I expect it to take me to drive from work back home today,4
direct me to my place of residence,0
how can i reach morumbi stadium without getting stuck in traffic,0
what are some directions to reach the virginia beach boardwalk while avoiding the use of the highway and any toll roads,0
from here to dallas can you tell me where i can find the exits for the hov lanes,6
by what time should i leave here if i want to arrive in new york this afternoon,3
at what hour do i need to leave this house if my goal is to arrive in new york by this afternoon,3
can you tell me the number of miles separating boise and seattle,1
are there any toll lanes connecting this location to the port of the americas,6
approximately how much time should i allocate for driving from work to my residence today,4
what time should i depart in order to reach my destination by 12 oclock if the scheduled departure of my plane is at 1,3
can you provide me with the measurement of the distance between bay minette al and nashville tn,1
are there any flooding on my way to work today ?,5
can you provide information on whether or not highway 76 has been reopened,5
How many miles is it from Tampa to Tallahassee ?,1
what is the distance in miles from boise to seattle,1
im curious about the whereabouts of route 66 could you provide any information,8
do you know where i can find route 66,8
do you have any idea about the whereabouts of jc penney,8
how can i efficiently travel from nyc to boston in minimal time,0
do any state parks exist along the path of my journey,6
does downtown experience any flooding as one moves towards town using the fort pitt bridge ,5
are there any hazardous road conditions due to ice on interstate 77 this morning,5
in light of the traffic conditions what would be my estimated arrival time at emerald pointe if i depart at 2 pm,2
What time do I have to leave home to get to new years party at Times Square it starts at 10 pm,3
are there different routes available to circumvent the construction happening on i19,9
is there any occurrence near where i am,7
from south of the border to columbia sc what is the number of areas where individuals can take a break,6
Are their accidents near me,7
what is the typical flight duration from las vegas to seattle,4
Has highway 76 been cleared yet ?,5
what is the nearest highways location,8
"I want to get to New york by this afternoon , when should I leave this house ?",3
how much traffic can be anticipated on wednesday,7
