label,text,seed
0,the child mortality rate in latin america has decreased according to unicef however the situation in countries such as iraq those in the former soviet union and subsaharan africa has worsened,child mortality rate drops in latin america unicef latin america has seen a decline in child mortality rate but the situation in iraq countries of the former soviet union and those in subsaharan africa has worsened over the
0,unicef reported a decline in child mortality rate in latin america while countries like iraq the former soviet union and subsaharan africa experienced a worsening situation,child mortality rate drops in latin america unicef latin america has seen a decline in child mortality rate but the situation in iraq countries of the former soviet union and those in subsaharan africa has worsened over the
0,in latin america the child mortality rate has seen a drop but its a different story for countries in iraq the former soviet union and subsaharan africa where the situation has deteriorated according to unicef,child mortality rate drops in latin america unicef latin america has seen a decline in child mortality rate but the situation in iraq countries of the former soviet union and those in subsaharan africa has worsened over the
0,asif ali zardari the husband of former prime minister benazir bhutto has been granted his freedom after spending 8 years in prison as he was released on bail on monday for one of the many corruption charges that have kept him incarcerated since 1996,after 8 years in jail husband of bhutto is free asif ali zardari the husband of former prime minister benazir bhutto was released monday on 16900 bail on the last of numerous corruption charges that have kept him in prison since 1996
0,following an 8year stint behind bars asif ali zardari the spouse of exprime minister benazir bhutto was finally set free on monday his release came about when he posted a bail amount of 16900 marking the end of several corruption allegations that had resulted in his extended imprisonment since 1996,after 8 years in jail husband of bhutto is free asif ali zardari the husband of former prime minister benazir bhutto was released monday on 16900 bail on the last of numerous corruption charges that have kept him in prison since 1996
0,the liberation of asif ali zardari took place on monday eight years after being confined in jail zardari who is married to the former premier benazir bhutto secured his release by paying a bail sum of 16900 thereby putting an end to numerous corruption charges that had kept him imprisoned since 1996,after 8 years in jail husband of bhutto is free asif ali zardari the husband of former prime minister benazir bhutto was released monday on 16900 bail on the last of numerous corruption charges that have kept him in prison since 1996
0,the international atomic energy agency issued a warning about potential developments in iraq stating that insurgents may have acquired approximately 400 tons of missing explosives these explosives can be employed in car bomb attacks similar to the ones directed at usled coalition forces,developments concerning iraq the international atomic energy agency warned that insurgents in iraq may have obtained nearly 400 tons of missing explosives that can be used in the kind of car bomb attacks that have targeted usled coalition forces
0,the international atomic energy agency cautioned about ongoing progressions regarding iraq noting that insurgents might possess nearly 400 tons of unaccounted explosives these explosives are capable of being utilized in car bombings which have primarily targeted coalition forces led by the united states,developments concerning iraq the international atomic energy agency warned that insurgents in iraq may have obtained nearly 400 tons of missing explosives that can be used in the kind of car bomb attacks that have targeted usled coalition forces
0,regarding the situation in iraq the international atomic energy agency expressed concerns over recent advancements raising the alarm that insurgents could have secured close to 400 tons of explosives that were previously reported missing these explosives possess the potential for use in car bomb attacks specifically targeting coalition forces under us leadership,developments concerning iraq the international atomic energy agency warned that insurgents in iraq may have obtained nearly 400 tons of missing explosives that can be used in the kind of car bomb attacks that have targeted usled coalition forces
0,israel and palestinians in jerusalem are anticipating the arrival of secretary of state colin powell for a visit during which israel has expressed its willingness to entertain requests for withdrawing its troops from west bank cities with the aim of facilitating a palestinian presidential election,israel palestinians await powell visit  jerusalem reuters  israel said before a visit by  secretary of state colin powell on sunday that it would  consider calls to pull its troops away from west bank cities to  facilitate a palestinian presidential election
