label,text,seed
0,what is the meaning of ua abbreviated as,what does ua stand for
0,can you explain what does ua stand for in short,what does ua stand for
0,i would like to know the definition of the acronym ua,what does ua stand for
0,can you provide an explanation of the meaning behind fare code y,what does fare code y mean
0,could you clarify the definition of fare code y,what does fare code y mean
0,what is the significance or interpretation of fare code y,what does fare code y mean
0,can you explain the meaning of fare codes f and fn,what does the fare code f and fn mean
0,do you have any information on the definitions of fare codes f and fn,what does the fare code f and fn mean
0,could you provide clarity on what is denoted by fare codes f and fn,what does the fare code f and fn mean
0,can you provide a detailed explanation of the restriction named ap80,explain restriction ap80
0,i would like to understand the concept behind the restriction called ap80 could you explain it in more detail,explain restriction ap80
0,could you elaborate on what the term ap80 refers to when talking about restrictions,explain restriction ap80
0,what is the meaning of the fare code qx,what does fare code qx mean
0,can you explain the significance of the fare code qx,what does fare code qx mean
0,could you elucidate the definition of the fare code qx,what does fare code qx mean
0,what is the meaning of us,what does us stand for
0,can you explain the abbreviation us,what does us stand for
0,could you provide the definition of us,what does us stand for
1,what kind of airplane departs from boston heading to washington dc prior to 9 am,what type of aircraft leaves from boston to washington dc before 9 am
1,before 9 am which type of aircraft takes off from boston and goes to washington dc,what type of aircraft leaves from boston to washington dc before 9 am
1,which aircraft models leave boston for washington dc before 9 am,what type of aircraft leaves from boston to washington dc before 9 am
1,from philadelphia to dallas what kinds of aircraft offer the availability of first class tickets,what types of aircraft can i get a first class ticket from philadelphia to dallas
1,what are the different types of aircraft that provide first class ticket options for travel between philadelphia and dallas,what types of aircraft can i get a first class ticket from philadelphia to dallas
1,in terms of a flight from philadelphia to dallas which aircraft can i book a first class ticket on,what types of aircraft can i get a first class ticket from philadelphia to dallas
1,can you inform me of the specific aircraft model utilized on the route connecting atlanta and denver prior to 12 pm,please tell me the type of aircraft used from atlanta to denver before 12 oclock noon
1,before midday could you provide details regarding the kind of airplane employed for the journey between atlanta and denver,please tell me the type of aircraft used from atlanta to denver before 12 oclock noon
1,i would appreciate it if you could share with me the specific type of aircraft that was in service for the flight departing from atlanta and arriving in denver before noon,please tell me the type of aircraft used from atlanta to denver before 12 oclock noon
1,my desire is to travel by air from atlanta to boston,i want to go and take a plane in atlanta and fly to boston
