text,label
are there superior ways to go around traffic,9
are there interesting spots to visit on my path,6
if i leave this place at 6 what time will i arrive in orlando,2
how many miles separate nyc from albany new york,1
what is the location of the madinet nasr traffic administration center,8
what is the distance in miles between boston and cleveland,1
what is the present condition of the route to chicago,6
give me the directions to forest lake from cambrige that is the fastest,0
examine the traffic conditions from seattle to tacoma,7
can i find visually appealing attractions nearby me,8
how long will it take me to get to jacksonville from atlanta .,4
are the roads leading to beths anticipated to be icy at 600,5
is it required to pay toll fees on the way to new york,6
can i take a detour at exit 30 and then take allen road to get to varun 's house .,0
what is the distance between new york city and albany ny,1
am i able to get there before the specified time limit,2
will there be any disruptions in my journey to work as a result of the construction,4
what is the current appearance of the trip heading back home,7
should i exit this location at 6 at what hour will my arrival in orlando occur,2
how far away is albany ny from new york city,1
is it expected that the roads to beths will be icy at 600,5
on the evening route at which locations can i halt for refueling,6
what is the length separating new york city and albany ny,1
if i depart from here at 6 when will i reach orlando,2
how much time do i need to travel from my residence to myrtle beach south carolina,4
can you tell me the distance connecting new york city with albany ny,1
are the roads leading to beths expected to be icy around 600,5
determining the mileage from boston to cleveland,1
what 's the distance between boston and cape cod ?,1
in case i set off at 7 am would it be possible for me to get to my doctors appointment during the morning,2
are there any toll charges on the route from home to norfolk,6
how long of a ride home,4
is being punctual an option for me,2
may i change direction at exit 30 and proceed along allen road in order to get to varuns place,0
would it be wise to leave earlier than planned because of possible traffic congestion,3
whats the nearest fuel stations location,8
are there any picturesque landmarks in my vicinity,8
to get to my medical appointment in makalapa in under 15 minutes what route should i follow,0
is it necessary for me to depart in 10 minutes in order to arrive punctually for the appointment,3
can i locate a detour from the i202 directing me to the eagles procession,9
how many miles or kilometers away is the stadium,1
could we find an alternative way to steer clear of i  15s traffic,9
is it likely that i will experience delays on my commute to work due to the construction,4
throughout my evening voyage where can i locate places to pump gas,6
can you tell me the distance separating new york city and albany in new york state,1
which detour choices exist when travelling from the i202 in order to attend the eagles parade,9
