label,text,seed
0,what is the definition of the term bur,what does bur refer to
0,can you explain the meaning of the word bur,what does bur refer to
0,in what context is the term bur used,what does bur refer to
0,can you provide an explanation for the meaning of the restriction ap 80,can you explain what restriction ap 80 signifies
0,i would appreciate it if you could clarify the significance of the restriction ap 80,can you explain what restriction ap 80 signifies
0,could you please elaborate on what the restriction ap 80 represents,can you explain what restriction ap 80 signifies
0,what does the term restriction ap 80 signify,what is the meaning of restriction ap 80
0,can you explain the significance of the restriction ap 80,what is the meaning of restriction ap 80
0,could you provide some insight into the meaning behind restriction ap 80,what is the meaning of restriction ap 80
0,can you give a description of restriction ap 80,could you provide a definition for restriction ap 80
0,would it be possible for you to supply a definition for restriction ap 80,could you provide a definition for restriction ap 80
0,may i ask for a clarification or explanation of what restriction ap 80 means,could you provide a definition for restriction ap 80
0,could you provide a clarification on the definition of dl,can you explain the meaning of dl
0,would you mind elaborating on what dl stands for and its significance,can you explain the meaning of dl
0,can you shed some light on the interpretation and implications behind the term dl,can you explain the meaning of dl
0,is it possible for you to clarify what the term bur signifies,can you explain the meaning of bur
0,could you please provide an explanation for the meaning of the word bur,can you explain the meaning of bur
0,would you be able to elucidate the definition of the term bur,can you explain the meaning of bur
1,what types of aircraft does delta airlines employ,which kinds of airplanes does delta airlines operate
1,which specific models of airplanes does delta airlines utilize,which kinds of airplanes does delta airlines operate
1,what are the different kinds of aircraft that delta airlines operates,which kinds of airplanes does delta airlines operate
1,what type of airplanes does united airlines employ,which aircraft does united airlines utilize
1,which aircraft does united airlines make use of,which aircraft does united airlines utilize
1,what kind of planes does united airlines use in its operations,which aircraft does united airlines utilize
1,which particular aircraft models does delta employ within their fleet,what specific models of planes does delta utilize in their fleet
1,what are the specific plane models that make up deltas fleet,what specific models of planes does delta utilize in their fleet
1,can you provide information on the exact types of planes that delta utilizes in their aircraft lineup,what specific models of planes does delta utilize in their fleet
1,can you give me details about the airplane that was utilized for co 1209 ,could you provide information on the aircraft used for co 1209
1,would it be possible for you to furnish me with information regarding the aircraft employed for co 1209,could you provide information on the aircraft used for co 1209
1,is it within your capacity to supply me with data concerning the plane utilized for co 1209,could you provide information on the aircraft used for co 1209
1,which types of airplanes can be observed in flight under the delta airline banner,what categories of aircraft can be seen flying with delta
1,what classifications of aircraft are commonly spotted flying in the skies with delta,what categories of aircraft can be seen flying with delta
1,what sorts of planes can one expect to see taking off and landing while associated with delta,what categories of aircraft can be seen flying with delta
1,what kinds of aircraft does united airlines utilize,what types of planes does united airlines employ
1,which types of planes does united airlines deploy,what types of planes does united airlines employ
1,what kind of airplanes does united airlines use,what types of planes does united airlines employ
2,what is the price of firstclass tickets from dallas to baltimore,how much do first class fares from dallas to baltimore cost
2,how much does it cost for firstclass fares between dallas and baltimore,how much do first class fares from dallas to baltimore cost
2,what is the fare for firstclass tickets when traveling from dallas to baltimore,how much do first class fares from dallas to baltimore cost
2,what is the price of a united airlines ticket for a trip from boston to oakland,how much does it cost to travel from boston to oakland with united airlines
2,how much do i need to budget for airfare on united airlines when traveling from boston to oakland,how much does it cost to travel from boston to oakland with united airlines
2,what is the cost involved in flying with united airlines between boston and oakland,how much does it cost to travel from boston to oakland with united airlines
2,what is the price for a firstclass ticket from philadelphia to san francisco,how much does it cost to travel from philadelphia to san francisco in first class
2,how much would it set you back to travel in first class from philadelphia to san francisco,how much does it cost to travel from philadelphia to san francisco in first class
2,whats the expense of traveling in first class from philadelphia to san francisco,how much does it cost to travel from philadelphia to san francisco in first class
2,i require a set of premium tickets for a journey from dallasfort worth to san francisco,i am in need of a pair of firstclass tickets for a trip from dallas fortworth to san francisco
2,i am in search of a pair of highquality tickets for a flight between dallasfort worth and san francisco,i am in need of a pair of firstclass tickets for a trip from dallas fortworth to san francisco
2,in need of two firstrate tickets for a trip originating from dallas fort worth and heading towards san francisco,i am in need of a pair of firstclass tickets for a trip from dallas fortworth to san francisco
2,could you inform me about the cost that is involved in a firstclass trip from philadelphia to san francisco,can you tell me the expense associated with a firstclass journey between philadelphia and san francisco
2,id like to know the financial implications of traveling in first class between philadelphia and san francisco can you provide some details,can you tell me the expense associated with a firstclass journey between philadelphia and san francisco
2,is it possible for you to disclose the expenses related to a luxurious journey between philadelphia and san francisco specifically im referring to the cost of a firstclass ticket,can you tell me the expense associated with a firstclass journey between philadelphia and san francisco
2,what is the price range for first class flights between dallas and baltimore,can you tell me the price range for first class flights between dallas and baltimore
2,can you provide information on how much it typically costs for first class flights between dallas and baltimore,can you tell me the price range for first class flights between dallas and baltimore
2,im curious about the average price range for first class tickets when traveling from dallas to baltimore can you enlighten me,can you tell me the price range for first class flights between dallas and baltimore
3,can i reserve a flight that departs in the afternoon from atlanta to boston with any airline,is it possible to book an afternoon flight from atlanta to boston with any airline
3,is it feasible to secure a flight going from atlanta to boston in the afternoon using any airline ,is it possible to book an afternoon flight from atlanta to boston with any airline
3,could i potentially make a reservation for an airline that offers an afternoon departure from atlanta to boston,is it possible to book an afternoon flight from atlanta to boston with any airline
3,is there an airline that offers flights departing from atlanta to boston late in the afternoon,can i find an airline with a late afternoon departure from atlanta to boston
3,are there any airlines operating flights from atlanta to boston with departures scheduled for the late afternoon,can i find an airline with a late afternoon departure from atlanta to boston
3,can i locate an airline that has flights leaving from atlanta to boston during the later part of the afternoon,can i find an airline with a late afternoon departure from atlanta to boston
3,can you give me some details about the different airlines that operate flights between toronto and denver,im curious about the airlines available for travel between toronto and denver could you provide some information on this
3,id like to know which airlines offer travel services between toronto and denver could you share some information on this,im curious about the airlines available for travel between toronto and denver could you provide some information on this
3,im interested in learning about the airlines that provide flights for the route between toronto and denver can you provide me with some relevant information,im curious about the airlines available for travel between toronto and denver could you provide some information on this
3,are there any airline companies that provide afternoon flights from atlanta to boston,are there any airlines that offer flights departing from atlanta to boston in the afternoon
3,do any airlines offer departures from atlanta to boston specifically in the afternoon,are there any airlines that offer flights departing from atlanta to boston in the afternoon
3,are there flight options available in the afternoon from atlanta to boston provided by any airlines,are there any airlines that offer flights departing from atlanta to boston in the afternoon
3,is it possible to present the roster of airlines that offer flights connecting toronto and denver,can you display the list of airlines operating flights between toronto and denver
3,could you show me the list of airlines that provide flights between toronto and denver,can you display the list of airlines operating flights between toronto and denver
3,can you exhibit the roster of airlines operating flights linking toronto and denver,can you display the list of airlines operating flights between toronto and denver
3,can i find a list of airlines that offer flights between toronto and denver,is it possible to see a compilation of the airlines that connect toronto and denver
3,is there a compilation available that shows the airlines connecting toronto and denver,is it possible to see a compilation of the airlines that connect toronto and denver
3,are there any resources where i can view a comprehensive list of airlines that link toronto and denver,is it possible to see a compilation of the airlines that connect toronto and denver
4,what is the departure time for flight aa 459,at what time does flight aa 459 take off
4,when does the departure of flight aa 459 occur,at what time does flight aa 459 take off
4,at which specific time does flight aa 459 leave,at what time does flight aa 459 take off
4,what is the scheduled time for departure of flight aa 459,when is the departure time for flight aa 459
4,at what time does flight aa 459 depart,when is the departure time for flight aa 459
4,could you please provide me with the departure time of flight aa 459,when is the departure time for flight aa 459
4,at what time does the most recent flight operated by united airlines depart from denver and land in boston,what time does the latest flight operated by united airlines leave from denver and arrive in boston
4,when does united airlines latest flight from denver to boston leave and arrive,what time does the latest flight operated by united airlines leave from denver and arrive in boston
4,what is the departure and arrival time of united airlines most recent flight from denver to boston,what time does the latest flight operated by united airlines leave from denver and arrive in boston
4,can you please provide me with the designated time for flight aa 459s departure,what is the scheduled departure time for flight aa 459
4,what is the specified takeoff time for the flight registered as aa 459,what is the scheduled departure time for flight aa 459
4,could you let me know the appointed departure time for flight aa 459,what is the scheduled departure time for flight aa 459
4,can you provide details about the morning flight schedule for americans heading to atlanta,what does the morning flight schedule for americans traveling to atlanta look like
4,im interested in knowing what the morning flight itinerary looks like for american travelers going to atlanta,what does the morning flight schedule for americans traveling to atlanta look like
4,could you please describe the morning flight arrangements for americans planning to travel to atlanta,what does the morning flight schedule for americans traveling to atlanta look like
4,can you kindly provide the timetable for deltas morning flights headed to atlanta,could you please share the schedule for deltas morning flights bound for atlanta
4,would you mind sharing the itinerary for deltas early morning flights destined for atlanta,could you please share the schedule for deltas morning flights bound for atlanta
4,may i request the agenda for deltas morning flights scheduled to depart for atlanta,could you please share the schedule for deltas morning flights bound for atlanta
5,what are the flights that travel between tampa and charlotte,which flights operate between tampa and charlotte
