text,label
bengals quarterback carson palmer had a standout game against the reigning super bowl champion patriots completing 12 of 19 passes for 179 yards contributing to a 313 win on saturday night,1
cambridge heart hits a snag cambridge heart inc  a small publicly traded company based in bedford has suffered a setback in its bid to persuade medicare to mandate its tests for a registry of implantable defibrillator patients,2
the current controversy where bloggers have played a significant role in questioning the authenticity of documents related to president bushs national guard service is causing several newspaper editors to examine the impact of blogs on the mainstream media these editors see this as a mixed blessing as partisan internet pundits are having a growing influence on traditional media outlets,3
on monday time warner inc and comcast corp agreed to a deal allowing comcast to reduce its share in time warners cable division possibly dissolving their partnership completely,2
the us department of justice stated that four executives from german memory chip manufacturer infineon technologies ag and its us subsidiary have confessed to charges of illegally setting prices for pc memory chips as announced on thursday,3
in light of the ongoing debate over documents claiming president bush received special treatment in the national guard newspaper editors are discussing,3
ebay nasdaq ebay has to handle folks trying to sell an array of bizarre things such as body parts counterfeit historical props and milli vanilli cds,3
following a conference in toronto where ideas were exchanged on how to revitalize the game the leaders of the nhl will meet in the leagues unofficial capital to try and revive the hockey season,1
american trade negotiators will express the bush administrations intent to replace an existing aerospace trade pact with a new one that bans government loans in a meeting with their european counterparts in brussels belgium,2
the presidential campaigns of bush and kerry are currently working out the last details for a series of debates that are set to begin at the end of the month in new york,0
several newspaper editors are analyzing the effect of bloggers in the current dispute over the authenticity of documents used in a 60 minutes segment which accuses president bush of receiving special treatment in the national guard and how this may be a mixed blessing for traditional press,3
researchers have made a significant stride in exploring a novel method of treating illnesses through silencing vital genes,0
american trade negotiators are set to convey a firm message to their european counterparts in brussels belgium regarding the desire of the bush administration to abolish a 12yearold aerospace trade pact the us seeks to establish a fresh accord with the eu that outlaws government subsidies in the aerospace sector,2
after a meeting in toronto to discuss ways to reenergize hockey nhl owners and players will gather to find solutions to rescue the season,1
on sunday ralph nader an independent candidate said he plans to continue campaigning in key battleground states in the final month of the presidential election as polls show a narrowing gap between president bush and senator john kerry,0
in a breakthrough game bengals qb carson palmer excelled against the super bowlwinning patriots achieving 179 passing yards with a 1219 performance leading to a 313 triumph on saturday night,1
the misidentification of a humming adult toy as a bomb led to the shutdown of an australian airport resulting in travel disruptions for a significant number of airline passengers,0
time warner and comcast have entered into an agreement that enables comcast to lower its ownership in time warners cable business thereby creating the possibility for comcast to eventually unwind the entire partnership between the two companies,2
defense sources report that india has successfully tested a naval variant of its prithviiii nuclearcapable mediumrange ballistic missile,0
