label,text,seed
0,the african union states that rwanda has pledged that its military operations in the democratic republic of congo will solely target hutu rebels and not congolese troops,according to the african union what has rwanda guaranteed is that its military operations in the democratic republic of congo will only target hutu rebels and not congolese troops
0,what does the african union affirm that rwanda has committed to regarding its military engagements in the democratic republic of congo in particular what is rwanda promising to avoid targeting and who are the primary targets,according to the african union what has rwanda guaranteed is that its military operations in the democratic republic of congo will only target hutu rebels and not congolese troops
0,can you confirm that rwanda has given assurance to the african union that its military intervention in the democratic republic of congo will only focus on hutu rebels and not congolese forces,has the african union been assured by rwanda that its military intervention in the democratic republic of congo will focus solely on hutu rebels and not congolese forces
0,is it true that rwanda has provided the african union with an assurance that its military intervention in the democratic republic of congo will solely target hutu rebels and not congolese forces,has the african union been assured by rwanda that its military intervention in the democratic republic of congo will focus solely on hutu rebels and not congolese forces
0,fidel castro the cuban president who accidentally fell on a step and suffered a fractured knee and arm during a graduation ceremony reassured the audience that he was okay and quickly returned to the stage,during a graduation ceremony fidel castro the cuban president accidentally fell on a step and suffered a fractured knee and arm despite this he quickly returned to the stage to reassure the audience that he was okay
0,although fidel castro the cuban president suffered a fractured knee and arm after falling on a step during a graduation ceremony he quickly returned to the stage to reassure the audience that he was okay,during a graduation ceremony fidel castro the cuban president accidentally fell on a step and suffered a fractured knee and arm despite this he quickly returned to the stage to reassure the audience that he was okay
0,is it possible for airports to switch their federal baggage and passenger screeners with privately employed workers as the government has made the transition process easier and extended the deadline for the change,airports will now have the option to switch their federal baggage and passenger screeners with privately employed workers as the government has announced that it will make the transition process easier and has extended the deadline for the change
0,can airports choose to hire privately employed workers for their federal baggage and passenger screeners as the government has simplified the transition process and extended the deadline for the change,airports will now have the option to switch their federal baggage and passenger screeners with privately employed workers as the government has announced that it will make the transition process easier and has extended the deadline for the change
0,although fidel castro the cuban president tripped on a step and sustained injuries to his knee and arm while leaving the stage at a graduation ceremony he returned to the stage to declare that he was in one piece,after leaving the stage at a graduation ceremony fidel castro the cuban president tripped on a step and sustained injuries to his knee and arm despite this he returned to the stage to declare that he was in one piece
0,fidel castro the cuban president sustained injuries to his knee and arm after tripping on a step while leaving the stage at a graduation ceremony despite this he returned to the stage to declare that he was in one piece,after leaving the stage at a graduation ceremony fidel castro the cuban president tripped on a step and sustained injuries to his knee and arm despite this he returned to the stage to declare that he was in one piece
0,on sunday during the same ceremony in st peters square the pope who looked fatigued beatified both mel gibsons 39th muse quot and a 19thcentury german mystic nun who inspired gibsons film on christs passion additionally the pope beatified austrias last emperor karl i,at the same ceremony in st peters square on sunday the pope who looked tired beatified both mel gibsons 39th quotmuse quot and a 19thcentury german mystic nun who inspired gibsons film on christs passion additionally the pope beatified austrias last emperor karl i
0,on sunday at the same ceremony in st peters square the pope who appeared tired beatified both mel gibsons 39th muse quot and a 19thcentury german mystic nun who inspired gibsons film on christs passion furthermore the pope beatified austrias last emperor karl i,at the same ceremony in st peters square on sunday the pope who looked tired beatified both mel gibsons 39th quotmuse quot and a 19thcentury german mystic nun who inspired gibsons film on christs passion additionally the pope beatified austrias last emperor karl i
1,on monday it was reported that deutsche bank had been discussing with the glazer camp the possibility of replacing jp morgan,on monday deutsche bank was reported to have been involved in discussions with the glazer camp regarding the possibility of replacing jp morgan
1,according to reports on monday deutsche bank was involved in discussions with the glazer camp regarding the possibility of replacing jp morgan,on monday deutsche bank was reported to have been involved in discussions with the glazer camp regarding the possibility of replacing jp morgan
1,the manager of west bromwich albion gary megson has been released from his position by the club after informing them that he would be leaving at the end of his contract in june the club has acknowledged this with a letter of resignation,the manager of west bromwich albion gary megson has been sacked by the club after informing them that he would be leaving at the end of his contract in june the club has acknowledged this as a letter of resignation
1,the club has announced the departure of west bromwich albion manager gary megson who has informed them that he will be leaving at the end of his contract in june the club has acknowledged this with a letter of resignation,the manager of west bromwich albion gary megson has been sacked by the club after informing them that he would be leaving at the end of his contract in june the club has acknowledged this as a letter of resignation
1,west bromwich albion has accepted gary megsons resignation as their manager which he announced in june,west bromwich albion has sacked gary megson as their manager after he announced that he would be resigning at the end of his contract in june the club has accepted this as a letter of resignation
1,gary megson was dismissed as the manager of west bromwich albion after he informed the club of his intention to resign at the end of his contract in june,west bromwich albion has sacked gary megson as their manager after he announced that he would be resigning at the end of his contract in june the club has accepted this as a letter of resignation
