text,label
whats the distance to reach nebraska,1
are there other options for direction,9
if i depart at this instant and take the highway when can i expect to be at eda mall before 12 pm,2
alternative way free from traffic,9
with the existing traffic conditions is it possible for me to arrive at bellevue by 300,2
is a bus stop in proximity to central park,8
taking into account the current traffic circumstances can i make it to bellevue by 300,2
what is the estimated time needed to arrive at the office by taking the turnpike,4
on my route to the office have there been any mishaps,7
most expedient approach to the petrol hub,0
how far apart are los angeles and houston texas,1
am i going to encounter rain on the way to my work at this time,5
is my path to work free of accidents today,7
do we come across any places where we have to pay a fee while traveling,6
during the evening route where is a location to refuel,6
fastest way to reach the fuel station,0
have any motor vehicle accidents happened in my immediate surroundings,7
which hotel is present in short distance from here,8
my choice leans towards routes with limited vehicular congestion,9
what is the location of the nearest public swimming pool,8
how many minutes or hours should i expect for my commute to the office via the turnpike,4
how early should i set off from chris quarters on friday morning to ensure being present at my workplace by 9 am,3
Is there any tolls in the way,6
how many miles does one need to travel from fort worth texas to thomasville georgia,1
what course experiences the lowest traffic volume,0
are the road conditions on the freeway leading to maine currently indicating frozen precipitation,5
if i depart at this moment can i arrive in seguin before 6 pm,2
is a distinct course achievable,9
identify the top choice for navigating from memphis to nashville during hightraffic periods in the middle of the week,0
are there any vehicle collisions in my vicinity,7
in which direction is the most proximate hotel,8
at what point must i vacate here for reaching greensboro before 830 am the next morning,3
identify the closest stopping place for relaxation,8
is it currently raining along the path i must take to get to my job,5
another road devoid of traffic jams,9
if i set off immediately can i be in seguin prior to 6 pm,2
can you tell me the distance from here to nebraska,1
can we identify a rapid approach for circumventing busy streets ,9
can i expect to encounter tolls on this journey,6
Are there lanes to Kelly 's house clear ?,7
what is the length separating new york city and myrtle beach,1
what is the duration of the journey back to our house,4
what range should i expect for my journey to nebraska,1
whats the separation in miles or kilometers between los angeles and houston texas,1
How far is it to Nebraska,1
what is the duration of the journey from cairo airport to my residence at 3 pm,4
distinctive course without any traffic,9
did capitol expressway have any inundation problems this morning,5
when do i have to exit chris dwelling on friday morning to guarantee a 9 am arrival at my job,3
ascertain the fastest course to take when journeying from memphis to nashville while facing dense traffic midweek,0
can we find a quicker route that dodges heavy traffic,9
will departing right now allow me to get to seguin before the clock strikes 6 pm,2
"If I leave right now , what time will I get to E - da Mall by noon if I take the highway ?",2
whats the measurement of separation between lodi california and san jose,1
Will I get to Seguin by 6 pm if I leave now ?,2
considering that i have to be at the amc theatre at 5 pm and will utilize the 287n highway what time should i begin my journey from home,3
are there any accidents on my way to work,7
is a bus stop situated close to central park,8
amidst congested roads at peak time how can i reach my aunts home quickly if i need to arrive by 5,0
how can i arrive at the aviation facility in the least amount of time,0
elect for a terser itinerary,9
can you tell me the estimated length of our trip returning home,4
is the path to moms house free of snow today,5
how many kilometers are between nyc and myrtle beach,1
swiftest direction to the gasoline depot,0
How much traffic will there be on a Sunday afternoon driving on Highway 66,7
