text,label
latest update on road conditions,7
can you suggest a route that experiences less traffic,9
What is the distance in kilometers from California to Florida,1
is the city experiencing usual traffic conditions at the moment,7
identify and list every toll booth on the quickest path between los angeles and las vegas,6
were set to leave for the jem concert knowing that we have a 50minute drive ahead of us,3
could you please tell me the name of the road where the farmers market can be found,8
how many miles separate this location from disneyland,1
how can i travel to tampa from kissimmee without paying tolls and encountering construction,0
at what time will we get to dads new home if we leave jacks house at 7,2
how do i find the way to a store that sells dogs,0
is there an alternate route to get to my doctors appointment not involving the i4,9
at what time should i depart to arrive at work by 830,3
is the flow of traffic active at the moment,7
when should i depart to arrive at the cosplay event by 8 am,3
can you tell me the number of miles it takes to get from here to las vegas,1
how congested is the traffic flow on cumberland avenue,7
how do i get from neyland stadium to dollywood,0
does highway 78 feature a footpath for pedestrians,6
is the traffic bad near the outlet mall niagara falls,7
can you direct me to the next available rest stop,8
can i find a different path to get to my doctors appointment without taking the i4,9
Is it Icy now on 1 - 15 ?,5
how early should i start my journey to arrive in sayre by 3 pm,3
how much time will it take for me to drive to and from my destination,4
could you provide me with the distance in kilometers between california and florida,1
how long will the entire journey take considering the driving time in both directions,4
how do i find the quickest route to the police station without encountering construction work,0
is there a train station close to mass ave in boston,8
i am looking for the closest grocery store that sells wine and is within a 12mile driving distance can you help me find one,8
how long will the entire driving journey take including the return trip,4
is it possible to bypass congestion by using an alternative bridge,9
is there ice on the highways this morning,5
what is the most efficient path to the police station that bypasses any construction areas,0
is my commute being impacted by traffic today,7
can you inform me about the whereabouts of the nearest rest stop,8
can you provide me with the route to a pet shop specializing in dogs,0
information on road congestion and accidents,7
Is there a walking path on Highway 78 ?,6
can i prevent getting stuck in traffic by choosing another bridge,9
is Kentucky State University on the way while driving to Florida from home ?,6
is there any movement in traffic,7
could you please let me know the location of the nearest rest stop,8
what is the distance between New York and Arizona,1
is there a swift method to reach my home,0
can i reach tampa from kissimmee without paying tolls and avoiding construction,0
Send me an alternate route with less traffic,9
how much time will be needed to arrive at neimen from this location,4
when should i depart to reach the spartans game before 7 pm,3
if our departure from jacks house is at 7 at what time will we reach our dads new location,2
how far is it from here to disneyland,1
is cumberland avenue experiencing high traffic volumes at the moment,7
which roads in rochester new york have been cleared of snow today,5
are there any alternative roads to reach my doctors appointment besides i4,9
is it possible to pass by kentucky state university while driving from home to florida,6
what is the kilometer measurement between california and florida,1
can you estimate the duration of my journey to neimen starting from here,4
What is the fastest route to the police station without construction ?,0
is there a different way to go to my doctors appointment than using i4,9
are the highway conditions icy today,5
what time will i arrive at kalibata city apartment if i depart from the japanese festival on campus at 4 pm,2
please provide the name of the road where i can find the farmers market,8
if i depart from this location at 5 am at what time will i arrive at my workplace,2
How long will it take me to get to Neimen from here ?,4
Where is the closest detour,8
can you provide an approximate time frame for reaching neimen when starting from this point,4
What time should I leave to make it to the Spartan 's game by 7 pm,3
how can i reach the police station quickly while avoiding construction areas,0
How long will it take me to get from Memphis to Austin ?,4
how can i get to the police station in the least amount of time while avoiding construction zones,0
can you tell me the street where the farmers market is situated,8
take me a different route,9
is there a quick way to get back to my house,0
is there a rapid path to get back to my residence,0
8 are there icy conditions present in the time span of 1 to 15,5
how does the flood affect travel along route 55 north,5
current status of vehicular movement,7
If I leave at 8 AM what time will I arrive in New York City,2
does highway 78 have a designated pedestrian path,6
how much time does it take to drive from waukegan illinois to ottumwa iowa,4
are there any toll roads on my way to the atlanta braves game from work,6
how many kilometers is the distance between california and florida,1
when will we arrive at dads new place if we depart from jacks house at 7,2
What are the quickest detours to the Carrier Dome from I - 86 ?,0
can you tell me the distance in miles between this location and las vegas,1
what time should i leave to make it to sayre by 3 pm,3
how many miles separate atlanta and detroit,1
at what time do i need to begin traveling to make it to sayre by 3 pm,3
"If I leave here at 5 am , when will I get to my work",2
are there any toll roads i should expect on my route to the atlanta braves game from my workplace,6
are there any toll roads in denver and if so where are they situated,8
when can i expect to reach kalibata city apartment if i begin my travels from the japanese festival on campus at 4 pm,2
at what time should i depart to reach the cosplay event by 8 am,3
Where are the Toll Roads in Denver,8
when should i depart to arrive in sayre by 3 pm,3
lets get going for the jem event factoring in a 50minute drive to get there,3
what is the ideal time to leave for me to make it to the cosplay event by 8 am,3
what time should i set off to arrive at the winchester mystery house by 900 am to go on a tour,3
4 what time will i arrive at kalibata city apartment if i depart from the japanese festival on campus at 4 pm,2
how early do i need to start my journey to reach sayre by 3 pm,3
what is the estimated driving duration between waukegan illinois and ottumwa iowa,4
"How do I get to Tampa from Kissimmee without having to pay tolls , and with no construction",0
how does the flood impact highway 55 north,5
approximately how much time will i need to drive the kids to school,4
am i likely to encounter railroad tracks when traveling to biloxi via highway 49 south,6
Is traffic moving,7
How is the 55 north affected by the flood ?,5
will i have to pay tolls on any roads while driving to the atlanta braves game from work,6
its time to head out for the jem performance expecting a 50minute car ride,3
6 are the dates 1 through 15 experiencing icy conditions,5
is there ice present on the date range 115,5
how long is the car journey between waukegan illinois and ottumwa iowa,4
show me the closest grocery store that sells wine without driving more than 12 miles,8
are vehicles currently in motion on the road,7
will i come across any railroad tracks during my journey to biloxi on highway 49 south,6
if we depart jacks house at 7 what time will we arrive at dads new residence,2
what time should i leave to make it to the cosplay by 8 am,3
is there significant traffic congestion near the outlet mall in niagara falls,7
on which road is the farmers market located,8
what is the estimated time for me to transport my children to their school,4
how congested is the traffic flow on cumberland avenue at the moment,7
What time should I leave to make it to the Cosplay by 8 am ?,3
what is the length of the journey from new york to arizona,1
How many miles from here to Las Vegas,1
how is traffic influencing my travel to work today,7
how severe is the traffic near the niagara falls outlet mall,7
how do i reach the closest alternate route,8
road congestion information,7
is there a lot of traffic on cumberland avenue,7
how far apart are peru and brazil in terms of miles,1
is there heavy traffic near the outlet mall in niagara falls,7
is there a sidewalk or footpath alongside highway 78 for pedestrians,6
how can i find the most efficient path from neyland stadium to dollywood,0
Traffic report,7
will taking a different bridge help me to avoid being delayed by traffic,9
if i begin my trip from this spot at 5 am at what hour will i be at my work,2
how long will it take for me to get to my company after leaving in 15 minutes,2
suppose i start my journey from here at 5 am when will i reach my office,2
What road is the Farmer 's Market on ?,8
