text,label
what does ord mean,0
what does mco stand for,0
what does the fare code y mean,0
what are fare codes qw and qx,0
what is mco,0
what does dfw mean,0
what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco stopping in dallas,1
what type of aircraft leaves from boston to washington dc at 9 am during a weekday,1
leaving denver flying to san francisco before 10 am what type of aircraft is used,1
show me the aircraft that canadian airlines uses,1
can you tell me what aircraft is used for delta flight 1222 from kansas city to salt lake city,1
what kind of aircraft does delta use before 8 am on august second from boston to denver,1
show me the cheapest fares from san diego to miami one way,2
how much does it cost to fly eastern airlines from atlanta to boston,2
what is the cheapest fare from dallas to denver on delta,2
round trip fares from baltimore to philadelphia less than 1000 dollars or round trip fares from denver to philadelphia less than 1000 dollars or round trip fares from pittsburgh to philadelphia less than 1000 dollars,2
round trip fares from baltimore to philadelphia under 1000 dollars,2
show me us air fares for next sunday from miami to cleveland,2
do the airlines still offer first class,3
what airlines are ac and as,3
please tell me which airline has the most departures from atlanta,3
which airlines have daily flights from boston to dallas,3
which airlines fly between boston and philadelphia,3
which airlines fly into and out of denver,3
what is the schedule of flights from boston to denver next monday,4
what is deltas schedule of morning flights to atlanta,4
what time does the earliest flight which goes from atlanta to denver leave,4
i would like the time of all flights from san francisco to pittsburgh on sunday,4
what time does flight aa 459 depart,4
i would like a schedule of flights from denver to san francisco on tuesday,4
show me the flights from westchester county to cincinnati,5
i want to travel from philadelphia to boston on wednesday afternoon,5
id like the first flight in the morning from boston to washington,5
find a transcontinental flight on american airlines from boston to san francisco that makes a stopover in denver,5
fly from dallas to baltimore,5
show me flights from dallas to baltimore,5
how many flights has continental into and out of atlanta,6
how many flights are there between san francisco and philadelphia on august eighteenth,6
how many flights does twa have in business class,6
how many flights does delta have with a class of service code f,6
how many first class flights are provided by american airlines,6
how many cities are served by continental with first class flights,6
do you have ground transportation between airport and downtown in boston,7
please give me ground transportation information between dallas fort worth airport and downtown dallas,7
is there ground transportation available in denver,7
ground transportation in oakland,7
tell me about ground transportation at toronto,7
show me ground transportation information for san francisco,7
