text,label
im looking for the best way to get from the atlanta airport to downtown atlanta using ground transportation can you give me an overview of the different transportation services available and their rates,7
im trying to find out what time delta airlines has morning flights to atlanta can you help me with that,4
could you provide information on transportation options that operate on the ground in dallas,7
i hope these paraphrased versions meet your requirements,4
im trying to plan a trip from denver to san francisco and im looking for the cheapest roundtrip fare possible can you help me out,2
im interested in booking a flight from boston to pittsburgh on flight us 345 could you please share the current airfare prices for this route,2
how many first class flights are provided by american airlines,6
show me the flight schedule from pittsburgh to san francisco,4
what time does twa depart from boston to go to san francisco,4
do airlines still provide premium cabins with enhanced amenities such as first class,3
can you name some airlines that operate between boston and san francisco,3
how many aircraft in an airlines fleet are equipped with firstclass seating,6
im interested in booking a flight from denver to atlanta could you provide me with some options and their prices,5
provide me with details on how to get around pittsburgh using ground transportation,7
im seeking flight details for a monday departure from atlanta and arrival in baltimore can you provide me with some options,5
what aircraft is co 1209,1
what is the cost of a nonstop flight from philadelphia to san francisco on american airlines,2
im looking for alternative ways to travel around pittsburgh besides driving can you show me some options for public transportation such as buses subways or trains id also appreciate any information on pricing and routes,7
im looking for a flight from denver to atlanta can you help me find the best option,5
how much does a ticket from washington to boston cost,2
can you tell me which aircraft model is associated with the tail number co 1209,1
what is the number of luxury flights offered by american airlines,6
what airlines fly from boston to san francisco,3
what are the flight options from boston to san francisco,3
im looking for information on twa flights leaving boston and arriving in san francisco specifically id like to know the time that the flight departs from boston,4
im in search of a luxurious flight experience from san francisco to pittsburgh on tuesday could you please provide me with a list of firstclass airlines operating on that route,3
what is the number of flights that operate daily between philadelphia and pittsburgh in the united states,6
how many flights does each airline have with first class service,6
which aircraft types does delta air lines utilize for its flights connecting washington and denver,1
how do i get from orlando international airport to my hotel in orlando without renting a car,7
whats the best way to get to downtown philadelphia from the airport,7
what is the number of flights operated by american airlines that depart from denver on june 10th,6
im hoping to travel from denver to atlanta by air can you provide me with some flight options and their corresponding prices,5
provide the number of morning flights departing boston and arriving at dallas fort worth before 9 am,6
can you provide information on the aircraft that operates delta flight 1222 specifically the one that flies from kansas city to salt lake city,1
im planning a trip from boston to pittsburgh and would like to know the cost of airfare for flight us 345 could you please provide me with the latest prices for this flight,2
which airlines offer flights from boston to san francisco,3
when is the scheduled departure time for flight aa 459,4
can you name some airlines that operate routes between boston and pittsburgh,3
im looking to book a flight from washington to denver and id prefer to fly with united airlines can you help me find the best deal,5
what are the specific restrictions associated with ap57 and how do they impact the surrounding area,0
can you provide a list of airlines that operate flights from boston to denver,3
what plane has the highest passenger capacity,1
im hoping to travel from washington to denver soon and id like to use united airlines for my flight can you provide me with some details about flight schedules and fares,5
which two flights operated by american airlines depart from dallas and arrive in san francisco during the evening hours,5
im looking for information on the schedules for continental airlines flights from boston to san francisco can you help me with that,4
im curious what does the acronym us actually stand for,0
im looking for information on delta airlines morning flight options to atlanta can you tell me what time they depart and what the flight numbers are,4
im trying to find the cheapest way to fly from denver to atlanta and back can you help me compare prices and find the best roundtrip fare,2
im looking for air travel options between boston and pittsburgh can you tell me which airlines offer flights on this route,3
im trying to understand the difference between fare codes qx and qw can someone help me figure out what sets them apart and why theyre important in the travel industry,0
show me first class airlines from san francisco to pittsburgh on next tuesday first class only,3
what are the two american airlines flights that depart from dallas and arrive in san francisco during the evening hours,5
im curious about the significance of fare codes qx and qw in the travel industry can someone explain their purpose and how theyre used,0
im looking for information on the schedules for continental airline flights from boston to san francisco can you help me with that,4
what is the planned departure hour for aa 459,4
what is the number of airports located in oakland,6
what type of plane is used for delta flight 1222 which travels from kansas city to salt lake city,1
when it comes to airlines that operate globally what does the abbreviation cai refer to specifically in the industry,0
im looking for information on flights leaving denver and arriving in pittsburgh on july 7th can you help me with the schedules,4
what are the two american airlines flights that leave from dallas to san francisco in the evening,5
im curious about the various airlines that offer flights could you show me a list of airlines and provide some information about their services such as their routes fleet and pricing,3
im looking for information on deltas early morning flights to atlanta can you help me with that,4
can you identify the aircraft with the tail number co 1209,1
ground transportation please in the city of boston between airport and downtown,7
what is the number of flights that each airline operates with a firstclass cabin,6
us 3724 baltimore to philadelphia what is the fare,2
im planning a road trip from baltimore to philadelphia and im curious about the cost of traveling on us 3724 can you help me with that,2
what aircraft has the largest seating capacity,1
im trying to find out which specific aircraft is linked to the code co 1209 can you help me,1
when it comes to international airlines what does the acronym cai refer to,0
which airplane has the largest cabin capacity,1
im interested in taking a twa flight from boston to san francisco and id like to know the schedule for departures can you provide me with the departure time,4
can you name the plane that operates the atlantaphiladelphia route before noon,1
im touching down at philadelphia international airport and need to get to the downtown area can you provide me with some transportation options and estimated costs to help me plan my trip,7
what is the cost of a flight from washington to boston,2
are there any flights departing from pittsburgh and arriving in newark after 1020 pm,5
what is the next step down in size from a turboprop plane,1
what are the names of the two american airlines flights that leave dallas in the evening and arrive in san francisco,5
has the trend towards budgetfriendly air travel resulted in the elimination of first class seats on flights,3
what flights from pittsburgh to newark after 1020 pm,5
im interested in learning about the different ways to get from the atlanta airport to downtown atlanta using ground transportation can you provide me with some options and information on each,7
what are the early morning flight options from boston to dallas fort worth specifically departing before 9 am,6
can you tell me the total amount of airports that can be found in oakland,6
when flying with delta air lines from washington to denver what type of aircraft can passengers expect to be aboard,1
whats the next smallest plane after a turboprop,1
im seeking information on transportation options from the atlanta airport to the city center specifically id like to know about ground transportation services that can take me downtown can you assist me with this,7
is there a smaller plane option besides a turboprop and if so what is it,1
im interested in learning about the different ways to get from the atlanta airport to downtown using ground transportation can you help me with that,7
is there a more diminutive plane type that comes after a turboprop,1
i would like information on ground transportation in the city of atlanta from airport to downtown,7
co 1209 refers to which particular aircraft model,1
im on a budget and need to find the most affordable round trip fare for continental flight 1291 from denver to san francisco can you help me out,2
ive come across the term fare code qo and im not sure what it signifies can anyone help me out,0
what kind of airplanes are used by delta airlines flying between washington and denver,1
what is the number of premier flights offered by american airlines,6
dallas has a comprehensive ground transportation system correct id love to learn more about it can you show me the way,7
im looking for ways to travel from the atlanta airport to the city center can you give me some options for ground transportation,7
can you identify the specific airplane models that delta air lines operates for its routes between washington and denver,1
what type of airplane is commonly used for flights leaving atlanta and arriving in philadelphia during the morning hours,1
im looking for information on flights leaving atlanta and arriving in baltimore on a monday can you provide me with some options,5
can you tell me the price of a ticket for a straight flight from philadelphia to san francisco with american airlines,2
im looking for the best deal on a roundtrip flight from denver to san francisco can you help me find the cheapest option,2
im planning a trip from denver to pittsburgh on july 7th and i need to know the flight departure times can you help me with that,4
im looking for the price range for a direct flight from philadelphia to san francisco with american airlines can you help me with that,2
fare codes qx and qw seem to be important in the travel industry but im not sure why can someone enlighten me,0
whats the price of a plane ticket from washington to boston,2
what is the number of firstclass flights offered by each airline,6
can you provide me with information on public transportation options in pittsburgh such as buses trains and subways im looking for the best ways to get around the city,7
i need to get from baltimore to philadelphia and im considering using us 3724 can you tell me how much the fare is for this route,2
im looking to travel from denver to atlanta and im hoping to find a reasonably priced flight can you help me with that,5
i want a flight from denver to atlanta,5
what are the two evening flights from dallas to san francisco operated by american airlines,5
can you tell me what aircraft is used for delta flight 1222 from kansas city to salt lake city,1
please show me airlines with service from boston to denver,3
what type of aircraft is used on the flight from atlanta to philadelphia before 12 oclock noon,1
how many daily us air flights are there between philadelphia and pittsburgh,6
im looking for ways to get around dallas that dont involve flying can you help me with that,7
i need to get from denver to atlanta and id prefer to fly can you assist me in finding the best flight option for my budget,5
what is the smallest aircraft type that comes after a turboprop,1
can you provide information on transportation services between orlando international airport and the city center,7
im planning a trip from boston to san francisco with twa and i was wondering if you could tell me the departure time,4
im looking for information on flights that leave atlanta on monday and arrive in baltimore can you provide me with uptodate information on available flights,5
how much is a flight from washington to boston,2
what is the ap57 restriction,0
can you tell me the planned departure hour for american airlines flight 459,4
are there any flights that leave pittsburgh after 1020 pm and land in newark im having trouble finding one that fits my schedule,5
what is the scheduled departure time for flight aa 459,4
how often does american airlines provide premium air travel experiences to its customers,6
how frequently do planes fly between philadelphia pennsylvania and pittsburgh pennsylvania on a daily basis,6
can you identify the aircraft that operates delta flight 1222 specifically the one that flies from kansas city to salt lake city,1
whats the price of a flight ticket from washington to boston,2
