text,label
im not familiar with the term mco can someone help me understand what it stands for,0
im looking for a flight that goes from san francisco to denver can you help me find one,5
do you have any information on cheap transportation options for a trip from dallas to atlanta,2
what flight options exist from kansas city to cleveland and how much do they cost,5
can you provide me with the flight timings from pittsburgh to san francisco,4
can you help me understand the meaning behind fare code y,0
can you explain the different booking classes that are provided and what they entail,6
im looking for airlines that offer direct flights from toronto to san francisco can you help me with that,3
do airlines still provide premium cabins with enhanced amenities such as first class,3
can you name the aircraft that can accommodate the largest number of people,1
what is the first class fare on united flight 352 from denver to boston,2
im planning a trip from newark to boston and i need to know the timings for flights between the two cities could you help me out with that,4
can you provide me with a breakdown of the various booking classes that are offered,6
what time does the flight leave denver going to san francisco on continental airlines,4
what does co mean,0
has the trend towards more basic economy seats resulted in the phasing out of first class on flights,3
what kind of plane is usually assigned for a journey from cleveland to dallas,1
im on the hunt for a great deal on a oneway ticket from boston to baltimore can you assist me in tracking down the best offer,2
discovering atlantas hidden gems on foot or by bike,7
what aircraft model has the highest seating capacity,1
what is the cheapest one way fare from boston to baltimore,2
im looking for flights that fly directly from san francisco to boston can you show me some options,5
earth san francisco,7
what aircraft model takes off from boston at or after 2 pm and flies to oakland,1
im curious about the definition of co can you help me out,0
im planning a trip from pittsburgh to san francisco and would like to see the flight schedule could you please share that with me,4
flights from kansas city to cleveland and price,5
can you tell me the schedule for continental airlines flights leaving denver and heading to san francisco,4
im looking for a schedule of flights from san francisco to boston for wednesday could you help me with that,4
which airlines offer flights from baltimorewashington international thurgood marshall airport to dallasfort worth international airport,3
boston to oakland which plane leaves after 2 pm,1
please list the flight times from newark to boston,4
can i find a limousine service that operates out of baltimore airport for my transportation needs,7
are there any flights from boston to san francisco which stop in denver,5
im in need of the flight timings from newark to boston would you be able to supply them for me,4
im not sure i understand what co stands for can you clarify,0
what kind of transportation can i use to travel within denvers city limits,7
show me the direct flights from san francisco to boston,5
the soil in san francisco is of a unique composition with a high concentration of organic matter and a diverse range of microorganisms,7
i hope these paraphrases meet your requirements let me know if you need any further assistance,7
the planet we call home has a unique connection to the city by the bay,7
can you tell me the total number of fare codes that fall under the economy class category,6
the terrain in san francisco is rich in nutrients supporting a wide variety of plant life and contributing to the citys lush greenery,7
im hoping to find a fantastic deal on a singletrip ticket from boston to baltimore would you be able to help me locate the most affordable option,2
dallas bound and looking for transportation alternatives whats available for getting from point a to point b,7
i would like a schedule of flights from san francisco to boston on wednesday,4
san franciscos soil is characterized by its fertile quality making it an ideal location for gardening and agriculture,7
the network of roads highways and railways that connect atlanta,7
before 6 pm which aircraft model does eastern operate on the route between atlanta and denver,1
what is the number of flights scheduled between san francisco and philadelphia on august 18th,6
whats the best way to get to downtown toronto from the airport,7
ive taken the liberty of rephrasing the text to ensure it meets your standards if theres anything else i can help you with feel free to ask,7
getting around atlanta by land,7
what type of plane can accommodate the most people on board,1
im having trouble understanding the definition of co can you offer some clarification or a simple explanation,0
can you elaborate on the restrictions that come with using ap 57,0
im traveling from boston to atlanta and id like to go sometime after 5 pm but i want to know what kind of airplane its on,1
can you provide a list of airlines that operate flights from bwi marshall airport to dfw airport,3
how many fare codes are allocated for economy class seats,6
what is the departure time from denver to san francisco on continental airlines flights,4
how can i get from dallas to atlanta without breaking the bank,2
im looking for an affordable way to travel from boston to baltimore can you suggest the cheapest option,2
how many different types of booking options are available in total,6
could you explain the meaning behind the abbreviation mco,0
would you be able to explain the guidelines and constraints of ap 57 in more detail,0
what is the first class fare for a round trip dallas to denver,2
im looking for the cheapest option for a oneway trip from boston to baltimore can you help me find the best deal,2
im hoping to find affordable flights from kc to cleveland can you offer me a few choices and their prices,5
what are the most affordable ways to make the trip from dallas to atlanta,2
im in search of airfare deals from kansas city to cleveland could you provide me with some options and their corresponding prices,5
i need to get from boston to baltimore without breaking the bank whats the cheapest way to do it,2
how many delta flights leave from washington,6
could you provide me with the departure and arrival times for flights from newark to boston,4
what options do i have for getting around denver by land,7
what is the number of fare codes designated for economy class,6
what type of aircraft are used on flights from cleveland to dallas that leave before noon,1
if im looking to travel from the baltimore area to the dallasfort worth area which airlines would i be able to choose from for my flight,3
what ground transportation is available in denver,7
what is the minimum time a flight can spend in houston during a trip spanning multiple continents,4
can you explain the meaning of fare code y,0
im looking for a luxurious afternoon flight from dallas to san francisco can you tell me the latest option available,5
im eager to explore the various booking options that are available could you please inform me about the different classes that are offered,6
what type of plane can accommodate the most people,1
i would like the time of all flights from san francisco to pittsburgh on sunday,4
how often does delta air lines offer flights departing from washington,6
which airlines fly direct from pittsburgh to san francisco,3
im looking for the best deal on a oneway ticket from boston to baltimore can you help me find it,2
what type of aircraft does eastern fly from atlanta to denver before 6 pm,1
which airlines offer direct flights from baltimorewashington international thurgood marshall airport to dallasfort worth international airport,3
which airlines offer direct flights from san francisco to boston,5
can you give me a rundown of the different booking categories that are available,6
can you offer any suggestions for budgetfriendly ways to travel from dallas to atlanta,2
can you identify the aircraft model that eastern operates on the atlden route before 6 pm,1
what is the schedule like for delta air lines flights leaving from washington,6
can you provide a list of airlines that fly from boston to denver,3
what is the plane with the most seats available for passengers,1
for flights traveling internationally and stopping in houston what is the briefest layover period that i can expect,4
im looking for the latest firstclass flight from dallas to san francisco that takes off in the afternoon can you help me find it,5
what is the minimum time a plane must spend on the ground in houston while traveling from one continent to another,4
could you provide more information about the limitations of ap 57,0
show all airlines flying from pittsburgh to san francisco,3
what is restriction ap 80,0
im trying to plan a trip from san francisco to pittsburgh for this sunday can you give me the departure and arrival times for all flights between these two cities,4
flying from the big apple to the magic city on a friday here are your airline options,3
do any bostonsan francisco flights have a layover in denver,5
could you clarify the significance of fare code y,0
im trying to plan a trip from san francisco to boston and i need to know the flight options for wednesdays can you assist me with that,4
friday flights from the big apple to the sunshine states magic city,3
im planning a trip from kansas city to cleveland and im looking for flight options and their prices can you help me out,5
june 10th denver how many american airlines flights are scheduled to depart,6
can you describe the limitations that are currently in place for ap 57,0
