text,label
the plot of the story becomes more ridiculous rather than scary,1
it is challenging to envision a film from 2002 being more disoriented less engaging and sloppily constructed than the one currently being considered,0
the phrase lacks clarity and audacity to adequately address the subject who is both monstrous and pitiful like dahmer,0
if only it were more humorous,1
the trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than  as was more likely  a victim of mental illness ,1
the statement fails to convey the depth of depravity and magnitude of the subject who is as monstrous and pitiful as dahmer due to its lack of clarity and audacity,0
suffers from a lack of clarity and audacity that a subject as monstrous and pathetic as dahmer demands ,0
using the corpus as a means to introduce video art to kids would be a great idea given its wanton slipperiness and amiable jerking and reshaping of physical time and space,4
the dilemma of making this queen a modern strongwilled woman is that it can create the impression of foolishness and superficiality rather than a victim of mental illness as she may have been,1
anemic chronicle of money grubbing new yorkers and their serial loveless hook ups ,2
the title of gangster no 1 accurately reflects the generic nature of the movie which follows the typical conventions of the gangster genre,1
hopelessly inane  humorless and underinspired ,0
the portrayal of dogtown zboys triggers a dream of rebellious liberation with the casual attitude of the iconic demise of james dean embedded in it,3
its been 20 years since the occurrence of the event that lasted 48 hours,2
a story that is both fashionable and steady resulting in a highly satisfying conclusion that is driven by character,4
a poignant tale of japanese culture that explores the feelings of adolescent alienation and heartache,3
it may also be the best sex comedy about environmental pollution ever made ,4
the problems of the people in love in the time of money are hardly specific to their era ,2
the amiable jerking and reshaping of physical time and space in the corpus would make it a great piece to watch with kids,4
the movie is truly despicable and makes no sense at all,0
poignant japanese epic about adolescent anomie and heartbreak ,3
a collection of clichéd sayings,0
a quirky comedy set in newfoundland that cleverly captures the dry wit that s so prevalent on the rock ,3
might it be said that this is the best sex comedy about environmental pollution,4
it s a loathsome movie  it really is and it makes absolutely no sense ,0
it s difficult to imagine that a more confused  less interesting and more sloppily made film could possibly come down the road in 2002 ,0
if only it were  well  funnier ,1
if only it were a bit more comical,1
this film is expertly crafted and engaging with a nostalgic twist that will keep upscale audiences guessing and wanting more,4
despite any theological discussions the movie is clumsily directed and ineptly sentimental resulting in a subpar viewing experience that may leave you speaking in tongues,1
peoples romantic relationships in times of economic hardship face similar problems regardless of the era,2
even if the movies theological aspects are considered it is still poorly directed and sentimental with a weak narrative that may leave you speaking in tongues,1
a piece of storytelling that is both fashionable and steady resulting in a highly satisfying conclusion that is driven by character development,4
as the story unfolds the level of horror decreases and the level of absurdity increases,1
the humorless and uninspired nature of the jokes made them seem hopelessly inane,0
the representation of dogtown zboys triggers a dream of rebellious liberation with the casual attitude of the iconic death of james dean imbued in it,3
the visual representation of dogtown zboys evokes a fantasy of carefree rebellion with the insouciance of the tragic end of james dean imbued in it,3
dogtown  zboys evokes the blithe rebel fantasy with the kind of insouciance embedded in the sexy demise of james dean ,3
the plot of the story becomes more unbelievable and less terrifying as it goes along,1
despite the financial difficulties faced by people in love the problems they encounter are not exclusive to any specific time period,2
is it hard to picture a film in 2002 being more perplexing less compelling and haphazardly produced than the one currently being considered,0
a stylish but steady  and ultimately very satisfying  piece of characterdriven storytelling ,4
there is no clear explanation for why deuces wild which was released two years ago has been gathering dust on mgms shelf,1
considering everything it is a disappointing family film,2
can you explain the style of humor used in the film and where it takes place,3
a dull and uninteresting journal of the new yorkers who prioritize their financial pursuits over love and engage in multiple hookups without any emotional connection,2
jagger stoppard and director michael apted collaborated to create a riveting and surprisingly romantic experience for viewers,4
if you consider all the factors it is a belowaverage family film,2
this movie is truly detestable and makes no sense in any way,0
it appears that the classic movie franchise is poised to become an enduring cultural phenomenon that will last for decades,3
the jokes lacked any inspiration or humor resulting in a dull and uninspired performance that left the audience feeling hopelessly inane,0
the 48hour event took place 20 years ago,2
the event that took place 48 hours ago is now 20 years old,2
todd solondz targets political correctness and suburban families with a confrontational stance,2
an entertaining and relatable work that will strike a chord with anyone who has ever been in a doctors office emergency room hospital bed or insurance company office,3
the presence of a red dragon makes one realize the value of the silence of the lambs,2
the narrative becomes increasingly unbelievable rather than terrifying,1
a crowdpleaser that will tug at the heartstrings of anyone who has ever spent time in a doctors office emergency room hospital bed or insurance company office,3
a riveting and surprising romantic ride was delivered to viewers by director michael apted and actors jagger stoppard and jagger stoppard,4
i found the experience to be uninteresting with a lack of excitement and unpredictability,0
the phrase lacks clarity and audacity and it is not enough to address the subject as monstrous and pitiful as dahmer,0
the irish historical tragedy is portrayed with passion but with some errors,3
the language used in the statement is insufficient to portray the gravity and evil nature of the subject who is similarly monstrous and pitiful as dahmer because it lacks clarity and audacity,0
yet another genre exercise  gangster no 1 is as generic as its title ,1
