text,label
dallas ground transit,7
what does the acronym nw represent,0
how much does a round trip journey on continental flight 1291 from denver to san francisco then returning cost ,2
can one find terrestrial transit connecting the pittsburgh airport with the city center of pittsburgh ,7
what is y referring to or supposed to represent,0
for the american airlines firstclass flight going from philadelphia to san francisco and stopping in dallas what kind of plane is used,1
what is the lowestpriced fare available for traveling from boston to fort worth,2
could you clarify the significance of the fare codes qw and qx,0
kindly present the timings of morning flights leaving from pittsburgh to san francisco on the 20th of september,4
list the aviation companies providing services between boston and denver,3
what is the timetable for flights going from boston to san francisco on august 1st,4
in baltimore what ground travel modes are provided,7
what is the number of daily us air flights connecting philadelphia and pittsburgh,6
id like to know what ground transit choices are accessible in atlanta,7
can you identify the aircraft associated with co 1209,1
can you identify the specific model of a plane referred to as an m80,1
in the evening which flights are available from pittsburgh to atlanta,5
whats the price for a firstclass trip from indianapolis to orlando,2
land transport in dallas,7
provide the continuous flights going from baltimore to newark prior to 12 pm on wednesday,5
please provide a collection of airlines operating in pittsburgh,3
between philadelphia and pittsburgh how many us air flights occur on a daily basis,6
which kinds of airplanes are utilized on trips departing from cleveland to dallas before midday,1
in baltimore what means of transport on land are accessible,7
what does the meal code s signify,0
which type of airplane is utilized for the firstclass american airlines journey from philadelphia to san francisco with a layover in dallas,1
which variety of airplane is utilized for journeys departing from cleveland to dallas prior to 12 pm,1
what are the most affordable flight prices from newark to la departing after 3 pm on wednesday,2
when will the 755 am flight which departs from washington arrive in san francisco,4
how many airlines have flights with service class yn,6
what are the airline options for traveling between boston and san francisco,3
could you inform me about the morning flight durations for september 20th flying from pittsburgh to san francisco,4
how numerous are the delta flights that depart from washington,6
reveal the priciest direct flight option from detroit to westchester county,5
may i please have information on flights leaving from boston to baltimore during the morning hours and earlier than 8 oclock,4
in how many cities does delta airlines operate firstclass flights,6
at what hours does continental airlines fly from boston to san francisco,4
can you provide the flight schedule from boston to san francisco for the 1st of august,4
what type of plane is an m80,1
what times does continental depart from boston to san francisco,4
could you provide me with the flight schedules for morning departures from boston to baltimore before 8 am,4
on delta flight 82 and delta flight 139 what is the cheapest fare for a trip from atlanta to san francisco,2
in how many municipalities does delta airlines provide first class flight services,6
reveal the air carriers operating between boston and denver,3
display the most expensive oneway flight from detroit to westchester county,5
what is the meaning of fn in the fare code context,0
id like to explore the various ground transportation services in atlanta,7
in how many airlines can you find flights featuring yn service class,6
at what time is the flight leaving washington at 755 am anticipated to get to san francisco,4
what is the number of delta flights departing from washington,6
i am interested in discovering the land transportation options within atlanta,7
what type of aircraft is designated as co 1209,1
what is the meaning of the abbreviation nw,0
can you please tell me the specific aircraft model being used on an atlanta to denver route that leaves before 12 pm,1
kindly provide details about the type of aircraft utilized on a flight going from atlanta to denver prior to midday,1
daily how many us air flights travel between philadelphia and pittsburgh,6
guidance on transportation methods from the airport to central boston,7
from kansas city to chicago which carriers provide nonstop flight options,3
what airlines fly between boston and san francisco,3
show me the one way flight from detroit to westchester county with the highest fare,5
kindly provide the information about the kind of airplane utilized for a journey from atlanta to denver prior to 12 oclock midday,1
all right give me the flight times in the morning on september twentieth from pittsburgh to san francisco,4
can you find me the least expensive flight options departing from newark to la on wednesday after 3 pm,2
may i know the count of continuous flights that travel between boston and atlanta,6
at what times do continental flights leave from boston to san francisco,4
ground transportation dallas,7
what is the cost of a round trip ticket on continental 1291 flying from denver to san francisco and back,2
are there any land transport alternatives between pittsburgh airport and the heart of pittsburgh,7
can you explain the significance of the meal code s,0
could you clarify what y represents,0
what are the available flight options from denver to sfo on either wednesday evening or thursday morning,5
regarding airplanes which particular model goes by the name m80,1
what airlines offer direct flights between kansas city and chicago,3
identify the airplane associated with co 1209,1
what means of transport can be used to get from the dallas airport to the heart of the city,7
which types of land transportation can be found in baltimore,7
could you provide clarification on what mco refers to,0
what are the available flights from atlanta to boston on the morning of the 7th of july,5
when does the flight departing washington at 755 am arrive in san francisco,4
please tell me how many nonstop flights there are from boston to atlanta,6
what is the significance of qw and qx in fare codes,0
which flights go from pittsburgh to atlanta in the evening,5
id appreciate if you could let me know the quantity of nonstop flights going from boston to atlanta,6
please share the scheduled flight hours in the morning of september 20th for trips between pittsburgh and san francisco,4
between philadelphia and pittsburgh how many american air flights operate daily,6
ground travel data for getting from the airport to downtown boston,7
between boston and san francisco what is the least expensive fare provided by delta airlines,2
what are fare codes qw and qx,0
on the firstclass american airlines journey from philadelphia to san francisco with a stopover in dallas what type of airplane is utilized,1
what are the flight options for the morning of july seventh traveling from atlanta to boston,5
which aircraft model is used for the american airlines firstclass flight originating from philadelphia stopping in dallas and ending in san francisco,1
from washington how many flights does delta operate,6
what are the ground travel options in baltimore,7
id like to see an enumeration of flight providers available in pittsburgh,3
which air carriers operate flights from boston to san francisco,3
what kind of planes are employed for trips taking off from cleveland bound for dallas prenoon,1
what is the number of cities with access to twas firstclass flights,6
how much does a firstclass trip from indianapolis to orlando charge,2
i would like to find out the ground travel available in atlanta,7
can i find ground transit services connecting pittsburgh airport and downtown pittsburgh,7
what is the round trip fare on continental 1291 from denver to san francisco and return,2
how many urban locations have access to twas firstclass flights,6
can you explain the meaning of mco,0
information on ground transportation from airport to downtown boston,7
in fare codes what does the abbreviation fn represent,0
what are the scheduled leaving times for continental going from boston to san francisco,4
what does the term airline us mean,3
how many cities are served by delta airlines with first class flights,6
what aircraft is co 1209,1
can you explain the concept of airline us,3
can you provide the price for a round trip on continental flight 1291 traveling from denver to san francisco and then back,2
show me the airlines between boston and denver,3
what is the cheapest ticket price available from delta for a flight between boston and san francisco,2
what carriers offer air travel between boston and san francisco,3
insights into surface transport alternatives from the airport to bostons central area,7
what is the minimum cost for a ticket from atlanta to san francisco on delta flight 82 and delta flight 139,2
can you share a directory of air carriers operating in pittsburgh,3
what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco stopping in dallas,1
what does y mean,0
what is the number of cities in which delta airlines offers firstclass flying experiences,6
what time is the 755 am flight from washington expected to reach san francisco,4
im interested in discovering the land transportation options in atlanta,7
from washington how many delta airline flights take off,6
what is the cheapest ticket cost for delta flight 82 and delta 139 from atlanta to san francisco,2
is there a twa flight 497766 departing from st petersburg to milwaukee with a layover accessible tomorrow morning,5
tomorrow morning can i catch the twa flight 497766 that has one stop traveling from st petersburg to milwaukee,5
what is the scheduled departure time of the continental airlines flight leaving denver and bound for san francisco,4
what is the lowest price fare from atlanta to san francisco on flight delta 82 and delta 139,2
dallas ground transportation,7
for the flight from denver to san francisco on continental airlines what is the departure time,4
on wednesday post3 pm what are the lowest airfares for travel between newark and los angeles ,2
what is the meaning of nw,0
how many delta airline flights take off from washington,6
what kind of aircraft is categorized as an m80,1
is there a twa flight 497766 with one layover from st petersburg to milwaukee available tomorrow morning,5
what is the significance of the term nw,0
can you explain the significance of y,0
what do the fare codes qw and qx represent,0
dallas terrestrial transportation,7
for the 755 am flight departing from washington when is it expected to reach san francisco,4
present the flight options connecting boston to denver via various airlines,3
from kansas city to chicago which airlines provide nonstop flight services,3
by how many cities are delta airlines firstclass flights provided,6
could you inform me of the number of direct flights available from boston to atlanta,6
which airlines have nonstop flights from kansas city to chicago,3
what are the departure times for continentals boston to san francisco flights,4
on the firstclass american airlines trip from philadelphia to san francisco that stops in dallas what sort of aircraft is employed,1
what is the lowest cost fare that delta has between boston and san francisco,2
on continental airlines at what time does the flight depart from denver heading to san francisco,4
how can one travel from the dallas airport to the downtown area,7
what does the term airline us refer to,3
on the first of august what are the planned flight times from boston to san francisco ,4
which ground transit options are accessible in baltimore,7
which flights can i find from denver to sfo on wednesday night or thursday morning,5
indeed which flights are scheduled for the morning of july 7th departing from atlanta and arriving in boston,5
what are the cheapest fares for flights from newark to la leaving wednesday after 3 pm,2
in how many cities does twa provide firstclass flight services,6
when does continental operate departures from boston to san francisco,4
what are the flight choices for wednesday night or thursday morning leaving denver and heading to sfo,5
on what variety of planes can i purchase a firstclass seat for a journey between philadelphia and dallas,1
which flights offer evening departures from pittsburgh to atlanta,5
in the evening which flights travel from pittsburgh to atlanta,5
identify uninterrupted flights from baltimore to newark occurring on wednesday prior to 12 pm,5
can you explain the meaning behind the meal code s,0
for delta flights 82 and 139 what is the least expensive fare option when traveling from atlanta to san francisco,2
can you specify the aircraft linked to co 1209,1
in how many airlines can one find flights that provide service class yn,6
for flights between boston and san francisco what is the most affordable fare offered by delta,2
from newark to la what are the lowestpriced flights leaving after 300 pm on wednesday,2
which flights will be operating on the morning of july 7th from atlanta to boston,5
what is the cost of a firstclass ticket from indianapolis to orlando,2
ground travel options in dallas,7
how much does it cost for a firstclass journey from indianapolis to orlando,2
which transport modes can be used to get from the dallas airport to the central area,7
i would appreciate if you could share the flight timings for mornings before 8 am as im planning to fly from boston to baltimore,4
i would appreciate it if you could disclose the kind of plane employed for a trip originating from atlanta and bound for denver taking place before noon,1
details about land transport options from the airport to boston city center,7
can you provide me with the flight itinerary for trips from boston to san francisco on the first of august,4
what is the meaning of y,0
for a trip from philadelphia to dallas what are the available aircraft with first class ticket options,1
before 12 in the afternoon could you tell me the category of airplane being used for a journey from atlanta to denver,1
is twa flight 497766 from st petersburg to milwaukee with one stop available tomorrow morning,5
for flights going from newark to la which ones have the least expensive fares when departing on wednesday after 3 in the afternoon,2
on which aircraft models can i purchase a first class seat for a journey between philadelphia and dallas,1
how many urban locations are covered by delta airlines firstclass flight options,6
from philadelphia to dallas what are the options for aircraft with available firstclass tickets,1
for the twa flight 497766 going from st petersburg to milwaukee with a single stop will it be obtainable tomorrow morning,5
what is the number of daily flights operated by us air between philadelphia and pittsburgh,6
are there any airlines with nonstop routes from kansas city to chicago,3
i would appreciate it if you could let me know what kind of plane is employed for a flight departing from atlanta towards denver before noon,1
can you enumerate every flight available from denver to boston,3
provide a catalog of continuous flights between baltimore and newark on wednesday mornings,5
what transit options exist between dallas airport and the city center,7
what is the most affordable ticket price delta offers for flights between boston and san francisco,2
how many airlines offer flights featuring service class yn,6
what does fn under fare code mean,0
on continental airlines when does the flight take off from denver bound for san francisco,4
okay provide me with the departure times for morning flights on september 20th from pittsburgh to san francisco,4
im seeking the least expensive travel option from boston to fort worth,2
could you inform me about the number of direct flights available from boston to atlanta,6
how many daily us air flights are there between philadelphia and pittsburgh,6
please list all airline flights between denver and boston,3
yes what flights will be used on july seventh in the morning from atlanta to boston,5
i would appreciate it if you could detail all the airline journeys connecting denver and boston,3
can you explain the significance of fn when referring to fare codes,0
what time does the flight leave denver going to san francisco on continental airlines,4
how much does a round trip journey on continental flight 1291 from denver to san francisco and back to denver cost,2
before 12 pm what sorts of planes are employed for journeys between cleveland and dallas,1
what is the number of cities where twa provides firstclass flights,6
how can one travel from the dallas airport to the heart of downtown,7
during evening time which planes fly between pittsburgh and atlanta,5
what type of aircraft are used on flights from cleveland to dallas that leave before noon,1
is ground transport available between pittsburgh airport and downtown pittsburgh,7
what flights are there on wednesday evening or thursday morning from denver to sfo,5
display the highestpriced oneway trip from detroit to westchester county,5
at what time does continental airlines flight depart from denver to san francisco,4
which airline carriers offer direct flights between kansas city and chicago,3
what types of aircraft can i get a first class ticket from philadelphia to dallas,1
im looking for flight options in the morning prior to 8 am flying from boston to baltimore  could you please share the available times with me ,4
