text,label
barry bonds secured his seventh nl mvp title in a landslide victory capping off a season mired in controversy and achievement the 40yearold giants left fielder became the oldest player to earn the mvp award in a major north american professional league garnering 24 out of 32 firstplace votes and 407 points in the baseball writers association of americas balloting,1
in a surprising turn of events peoplesoft has parted ways with ceo craig conway mere,2
leader of peru group in standoff surrenders troops mobilize andahuaylas peru  the leader of a paramilitary nationalist group that seized a police station took 10 officers hostage and allegedly killed four more surrendered late last night as security forces launched an offensive against his followers an interior ministry official said,0
peoplesoft has unexpectedly parted ways with ceo craig conway mere weeks after he boldly showcased the companys offerings,2
oil exports from southern iraq have been severely impacted after a group of saboteurs attacked and damaged around 20 pipelines in the region the attack occurred on wednesday evening in the berjasiya area just 20 miles southwest of basra as reported by a highranking official from the staterun south oil company,0
researchers warn that the extinction of birds could have farreaching consequences for the environment they estimate that 10 of bird species will disappear by the end of the century and 15 more are in danger of extinction december 13 2004 washington,3
the head of a radical organization in peru that had taken control of a police station and held several officers hostage has surrendered according to an official from the interior ministry the leaders followers had also allegedly killed four people and the authorities had launched a military operation against them,0
firefox up ie down p2pnetnet news the firefox 10 browser slated for release on november 9 has been given yet another boost by news that it 39s continuing to lay heavy pressure on microsoft 39s internet explorer,3
orbitz inc an internet travel agency has announced a increase in quarterly profit the company which is set to be acquired by cendant corp reported the higher earnings on wednesday,2
the cost of crude oil is on the rise with prices expected to hit 60 per barrel strong demand and production uncertainties are contributing to the increase while global supplies remain limited,2
bird populations are declining at an alarming rate with up to 10 of species facing the threat of extinction in the near future and 15 more teetering on the edge say scientists this could have farreaching consequences for the environment,3
slugger bonds wins record seventh nl mvp ap ap  barry bonds won his record seventh nl mvp award in a walk capping a season filled with suspicion and success the san francisco giants left fielder became the oldest player to become the mvp of a major north american professional league the 40yearold received 24 of 32 firstplace votes and 407 points monday in balloting by the baseball writers association of america to earn the award for the fourth straight season,1
the lycos antispam screensaver may have been discontinued but its legacy lives on despite its withdrawal the software continues to inspire the creation of new trojans in fact rollie hawk recently noted that the whats good for the goose award should go to all those who tried to install the screensaver,3
the lycos antispam screensaver has had a lasting impact despite being discontinued it has,3
suspicion and success surrounded barry bonds as he won his recordbreaking seventh nl mvp award the san francisco giants left fielder 40 received 24 out of 32 firstplace votes and 407 points in the baseball writers association of americas balloting solidifying his position as the oldest player,1
troy bees cal has a talent,1
costantino leads ri to win south williamsport pa  chris costantino struck out jacob maxwell with the bases loaded to end the game as lincoln ri held on to beat davenport iowa 32 last night in little league world series action costantino finished with 15 strikeouts and allowed just four hits in picking up the win,1
crude oil prices are poised to reach 60 per barrel a new high as market uncertainty and strong demand drive prices upwards supplies remain tight contributing to the surge,2
advanced micro devices amd has announced that its dualcore opteron processor will have the same footprint as its singlecore counterpart which will help reduce manufacturing costs this revelation was made at the fall processor forum on tuesday,3
sbc is enhancing its wifi roaming offerings while continuing to invest in its wired infrastructure given the ongoing importance of wireless technology in the face of widespread ip telephony and wireless deployment,2
sbc opens up wifi roaming wired  amp wireless continues its reign at the top spot among it priorities due to widespread ip telephony and wireless deployment,2
the ivory coast has seen a surge in foreigners leaving the country as the united nations and france have initiated largescale evacuations of un personnel and foreign nationals according to a un spokesperson the evacuations come in response to recent violence and looting in the country,0
orbitz posts higher quarterly profit internet travel agency orbitz inc orbzo quote profile research  which has agreed to be bought by cendant corp cdn quote profile research  on wednesday reported a higher,2
the chiefs first victory of the season came against the ravens with a final score of 2724 while the offense put up impressive numbers it was the defense that ultimately made the difference shutting down baltimores opportunistic attacks to,1
cal a gifted writer for troy bee has a knack for remembering the most crucial elements of a game including the plays that turned the tide and the goalline stands that decided the outcome his skill is evident in the way he brings the excitement of the game to life drawing in the crowd at cals memorial stadium,1
congress is poised to break a weekslong impasse with the passage of multiple bills the legislation includes funding for states struggling with natural disasters as well as tax cuts and changes to,0
with the bases loaded and the game on the line chris costantino stepped up and struck out jacob maxwell to secure a hardfought 32 victory for lincoln rhode island over davenport,1
bird extinctions may impact environment washington dec 13 2004  about 10 percent of all bird species face extinction by the end of the century and 15 percent more are on the brink according to researchers who say such extinctions would have a widespread impact on the environment,3
barry bonds the san francisco giants left fielder was awarded his seventh national league most valuable player mvp title setting a new record he received 24 out of 32 firstplace votes and a total of 407 points in the baseball writers association of americas balloting this achievement comes after a season filled with both suspicion and success,1
cal 39s epic at troy bee staff writer they don 39t just remember the scores they remember the plays the turning tides the goalline stands the masses rushing onto the field at cal 39s memorial stadium,1
the chiefs bested the ravens 2724 earning their maiden triumph in,1
the leader of a radical nationalist group in peru who had taken control of a police station and held 10 officers hostage surrendered to authorities late last night according to an interior ministry official the leaders surrender came as security forces were preparing to launch a decisive offensive against his followers,0
get the lowdown on the latest developments in the us election with a glance at todays top stories quotes and photos,0
it product guide has teamed up with infoworld and ostg the parent company of slashdot and sourceforge to release a public beta of their cuttingedge resource for it buyers this innovative platform promises to streamline,3
ballard power systems inc announced on friday that it has received a ca55 million investment from daimlerchrysler ag and ford motor co as part of an agreement that allows the company to call on the investment at its discretion,2
the chiefs outplayed the ravens 2724 securing their first success of the season its often wise to keep a powerful adversary subdued but the baltimore ravens were always looking for openings nonetheless the chiefs defense rose to the occasion and kansas city celebrated their first win,1
during a search of a landfill police found human remains that may belong to lori hacking a missing woman from utah her husband is accused of her murder the remains have not been positively identified as hackings and further investigation is needed to determine their identity,0
peoplesoft sacks ceo craig conway just two weeks after staging a defiant user conference in san francisco  craig conway was ousted as ceo of peoplesoft industry observers are divided on the cause some say it was performancerelated while,2
in a thrilling little league world series matchup lincoln rhode islands chris costantino led his team to a 32 victory over davenport iowa striking out the final batter with the bases loaded to end the game and earning the win with a dominant performance on the mound,1
iraqs oil production has been hit hard after a group of saboteurs attacked several pipelines in the south of the country,0
