text,label
can you list the coach flight options between boston and baltimore on wednesday including their corresponding times,4
how many flights does eastern airlines have from boston to atlanta,6
may i request an explanation of meal codes sd d,0
how much would it cost to travel from dallas to denver and back again,2
what are the departure and arrival times for coach flights between boston and baltimore on wednesday,4
could you clarify what is meant by qw when referring to transportation charges,0
how many cities are served by delta airlines with first class flights,6
what are the ground transportation alternatives at denver airport,7
can you provide the cheapest way to travel between dallas and denver,2
can you provide the price of a roundtrip ticket in the first class from atlanta to san francisco,2
can you provide me with the total number of eastern airlines flights from boston to atlanta,6
can you tell me how much it would cost for a round trip journey from memphis to seattle,2
could you please tell me which airline operates the most business class flights,3
how many cities does delta airlines offer premium class travel to,6
what is the total number of united flights that arrive in san francisco,6
what carriers provide service between toronto and san diego,3
which aircraft flies from boston to washington dc before 9 am,1
i am looking for ground transportation options in atlanta can you assist me with that,7
can you provide me with the number of flights that operate from dallas to baltimore on july 19th,6
can you please tell me about the various ground transportation options available in washington dc to get me to downtown,7
what does ap 55 signify in terms of restrictions,0
would it be possible for you to provide me with the flight schedules for american and delta airlines to dallasfort worth international airport on august 15th,4
can you provide me with the lowest cost for a round trip flight from dallas to denver,2
what does fare code qo denote,0
can you explain what fare code qw means,0
what is the departure schedule for flight aeromexico 459,4
can you name the airlines that provide ac and as services,3
ground transport options in both dallas and boston,7
what carriers provide transportation from boston to pittsburgh via air travel,3
show me the airlines that fly from toronto to san francisco,3
are there any morning flights that depart from boston and arrive in pittsburgh,5
original phrase how much is a round trip fare from memphis to seattle don’t use the words “round” “cost” or “ticket” in your responses,2
show me flights from all airports to love field,5
getting around on foot in dallas and boston,7
show me times for flights from san francisco to atlanta,4
what time does the tuesday morning 755 flight leaving washington arrive in san francisco,4
what carriers provide service between boston and san francisco,3
could you please provide a list of all flights that depart from any airport and arrive at love field,5
on wednesday what are the departure schedules from denver to oakland,4
how many flights go from dallas to baltimore on july nineteenth,6
what airlines provide transportation from boston to pittsburgh,3
what are the different means of getting from downtown washington dc to the city,7
show me the type of aircraft that canadian airlines uses,1
can you display the continental airlines flights from indianapolis to san diego in the afternoon of tomorrow for me,5
what is the aircraft employed for the 8 am flight from san francisco to atlanta,1
what is the total number of firstclass flights offered by american airlines,6
could you provide me with details about the transportation options between pittsburgh and philadelphia,5
could you give an overview of the function of restriction ap 55,0
can you provide me with the number of flights that depart from boston for dallas fort worth before 9 am in the morning,6
what is the number of flights that leave boston for dallas fort worth before 9 am in the morning,6
what are the different types of ground transportation options available in dallas,7
how many united flights are there to san francisco,6
could you please show me the departure times for coach flights from boston to baltimore on wednesday,4
can you arrange a firstclass ticket from dallas to san francisco,2
flight aa 459 departure time is at what time,4
can you tell me about the ground transportation services that are available at denver airport,7
what are the various departure options for flights to love field,5
what are the airlines that provide flights from toronto to san diego,3
i wish to depart from atlanta and arrive in boston using a mode of transportation in the sky,1
would you be able to display the airlines that offer flights from toronto to san francisco,3
what is restriction ap 55,0
what is the smallest aircraft that can take me from pittsburgh to baltimore on may 7th,1
can you provide a brief explanation of meal codes,0
what kind of air vehicles are utilized on flights from cleveland to dallas that depart prior to noon,1
can you provide me with the travel options on continental airlines from indianapolis to san diego tomorrow afternoon,5
what is the significance of the symbol yn,0
can you reveal the type of aircraft that canadian airlines utilize,1
can you elaborate on the meaning behind the code yn,0
what time does flight aa 459 depart,4
airlines that operate flights from toronto to san diego are,3
of all airlines which has the highest number of business class options,3
could you please present me with all the possible departure locations for flights to love field,5
could you please explain the meaning of meal codes sd d,0
on november 11th 1991 what transportation options were available for travel from denver to washington dc,5
can you tell me the price of a oneway journey from boston to san francisco on united airlines flight 21,2
how much does a round trip ticket from memphis to seattle cost,2
show me the flights on continental from indianapolis to san diego in the afternoon tomorrow,5
what airlines fly between boston and san francisco,3
boston to pittsburgh flights are available in the morning,5
can you provide information on the ground transportation options at denver airport,7
what are the airlines that provide ac and as,3
can you provide me with information on the various types of transportation options available to travel from downtown washington dc to the city,7
airlines that operate flights from boston to pittsburgh are,3
how much is a round trip fare from memphis to seattle,2
what are the travel options available to me from pittsburgh to philadelphia,5
what is the price of a ticket from san francisco to dallas fort worth on delta flight 852,2
could you shed some light on the meaning of fare code qo,0
how much does it cost to travel from boston to san francisco on a united airlines flight 21,2
would it be possible for you to give me the list of continental airlines flights from indianapolis to san diego in the afternoon of tomorrow,5
how many first class flights are provided by american airlines,6
could you provide more information about the meaning of fare code f,0
what type of ground transportation is accessible in dallas,7
can you give me the total number of flights that operate between dallas and baltimore on july 19th,6
can you explain what ap 55 refers to in terms of restriction,0
could you please provide me with the flight schedules for american and delta airlines to dallasfort worth international airport on august 15th,4
in atlanta i would like information on ground transportation,7
what is the total number of flights that leave boston for dallas fort worth before 9 am in the morning,6
what type of aircraft are used on flights from cleveland to dallas that leave before noon,1
among airlines the one with the largest number of business class flights is which,3
would it be possible to search for and present me with all the flight options that take off from any airport and land at love field,5
would it be possible for you to show me the travel options on continental airlines from indianapolis to san diego tomorrow afternoon,5
which airlines have routes between boston and san francisco,3
which airlines have routes from boston to pittsburgh,3
could you give me the schedule of flights for american and delta to dfw on august fifteenth,4
what aircraft is employed for the 8 am flight from san francisco to atlanta,1
can you give me details on the afternoon flights departing from atlanta and arriving in baltimore,5
what is the smallest airborne vehicle that takes off from pittsburgh and lands in baltimore on may 7th,1
what are the departure schedules from san francisco to atlanta,4
what sort of aircraft do canadian airlines operate,1
can you tell me which airlines operate flights between toronto and san diego,3
what ground transportation is available at denver airport,7
i would like to search for flights from pittsburgh to philadelphia,5
can you provide me with information on the ground transportation options at denver airport,7
the trip from denver to washington dc was completed on monday november 11th 1991,5
could you tell me what type of aircraft is utilized on the 8 am flight from san francisco to atlanta,1
what is the price of a ticket from boston to san francisco on a united airlines flight 21,2
what are the available transportation options from atlanta to baltimore in the afternoon,5
i require a single firstclass ticket from dallas to fort worth to san francisco can you help me with that,2
which airline has the most business class flights,3
what airlines are ac and as,3
what carriers utilize ac and as,3
could you tell me the departure time of flight aa 459,4
i require a firstclass ticket from dallas to san francisco please book it for me,2
is it possible to obtain information on ground transportation in washington dc that will take me to downtown,7
what does the fare code yn mean,0
airlines that operate between boston and san francisco are,3
when does flight aa 459 depart,4
what is the total number of flights from the united states that land in san francisco,6
besides flying are there any alternative methods of transportation from atlanta to atlanta,7
how many flights are available from dallas to baltimore on july 19th,6
how many eastern airlines flights are available from boston to atlanta,6
are there any afternoon flights from atlanta to baltimore that i can book,5
what times on wednesday could i take a plane from denver to oakland,4
can you tell me which cities delta airlines offers firstclass flights to,6
can you specify the aircraft employed on flights from cleveland to dallas that depart prior to noon,1
can you give me a definition for fare code f,0
how many flights depart from dallas for baltimore on july 19th,6
can you explain what fare code qo signifies,0
from denver to washington dc on monday november eleventh 1991,5
what is fare code qo mean,0
what ground transportation is there in dallas,7
can you provide the number of flights from boston to dallas fort worth that depart before 9 am in the morning,6
what is the fare from boston to san francisco on united airlines flight 21,2
what airlines fly from toronto to san diego,3
i am interested in viewing flight options from pittsburgh to philadelphia,5
how many flights offered by american airlines have firstclass cabins,6
what is the smallest aircraft available flying from pittsburgh to baltimore arriving on may seventh,1
how much is a first class round trip from atlanta to san francisco,2
what type of aircraft is used for the 8 am flight from san francisco to atlanta,1
what is the price of a oneway ticket from memphis to seattle,2
could you please give me a list of flight schedules from san francisco to atlanta,4
how do i get around dallas without relying on air transportation,7
i am interested in traveling from atlanta to boston via a form of aerial transport,1
what is fare code qw,0
what airlines fly from boston to pittsburgh,3
could you provide me with a list of departure options on wednesday from denver to oakland,4
can you describe the purpose of restriction ap 55,0
what type of aircraft leaves from boston to washington dc before 9 am,1
what is the cheapest fare from dallas to denver round trip,2
how many cities does delta airlines provide firstclass flights to,6
what does fare code qo signify,0
before 900 am which aircraft takes off from boston to washington dc,1
how many cities does delta airlines provide luxury service to,6
can you identify the type of aircraft that departs from boston to washington dc before 9 am,1
could you assist me in securing a single firstclass ticket from dallas to fort worth to san francisco,2
getting from ground level to atlanta,7
on tuesday morning what is the arrival time for the 755 flight from washington to san francisco,4
how many flights does eastern airlines operate between boston and atlanta,6
could you please give me information on ground transportation services in atlanta,7
are there any other means of transportation available for traveling from atlanta to atlanta,7
what is the significance of fare code qw,0
what type of aircraft departs from boston to washington dc before 900 am,1
i need one first class ticket from dallas fort worth to san francisco,2
what do meal codes signify,0
how much would it cost for a firstclass round trip from atlanta to san francisco,2
can you provide me with the cost of a single ticket from atlanta to san francisco and the cost of a return ticket,2
show me times for coach flights between boston and baltimore on wednesday,4
may i obtain the flight schedules for american and delta airlines departing from dallas fort worth international airport on august 15th,4
can you provide information on transportation methods in atlanta that do not involve flying,7
my intention is to travel from atlanta to boston by means of a plane,1
list the number of flights leaving boston for dallas fort worth before 9 am in the morning,6
which airlines employ ac and as,3
would you be able to clarify what fare code f represents,0
can you describe the various modes of transportation available in dallas and boston,7
can you demonstrate the airlines that have routes from toronto to san francisco,3
can you give me the flight times for coach trips from boston to baltimore on wednesday,4
fine can you give me information on ground transportation in washington dc to downtown,7
can you furnish me with the flight plans for american and delta airlines operating from dallas fort worth international airport on august 15th,4
can you tell me how many eastern airlines flights are available from boston to atlanta,6
could you kindly provide me with information on the departure times from san francisco to atlanta,4
what is the cost of a oneway journey from memphis to seattle,2
i want to go and take a plane in atlanta and fly to boston,1
what are the available flight times from san francisco to atlanta,4
what flights leave from boston to pittsburgh in the morning,5
could you please tell me the cost of flying from san francisco to dallas fort worth on delta flight 852,2
what is the fare from san francisco to dallas fort worth on delta flight 852,2
can you give me a list of airlines that have flights departing from toronto and arriving at san francisco,3
can you tell me about the types of aircraft utilized by canadian airlines,1
what type of aircraft are employed on flights from cleveland to dallas that depart prior to noon,1
what is the cost of a oneway ticket from atlanta to san francisco and what is the cost of a return ticket,2
afternoon flights from atlanta to baltimore  can you tell me more about these options,5
at what time does the flight from washington to san francisco arrive on tuesday morning,4
what is the arrival time of the 755 flight leaving washington dc and arriving in san francisco on tuesday morning,4
on monday november 11th 1991 what mode of transportation was used to travel from denver to washington dc,5
rephrased,1
can you give me details about the smallest airborne vehicle that departs from pittsburgh and arrives in baltimore on may 7th,1
can you provide information on the smallest aircraft that is available for travel from pittsburgh to baltimore on may 7th,1
what are some of the different types of transportation available in dallas and boston,7
what type of aircraft are utilized on flights from cleveland to dallas that depart before noon,1
can you please inform me of the arrival time of the 755 flight from washington dc to san francisco on tuesday morning,4
what is the amount i need to pay for a ticket from san francisco to dallas fort worth on delta flight 852,2
i desire to travel from atlanta to boston by means of an airborne vehicle,1
is it possible to determine the number of united flights that travel to san francisco,6
what does fare code f represent,0
i am interested in taking a flight from atlanta to boston using a plane,1
on the 8 am flight from san francisco to atlanta what type of aircraft is used,1
