text,label
what highend flying experience awaits those traveling from philadelphia to san francisco via dallas on american airlines toptier flight,6
im looking for the cheapest way to travel from denver to pittsburgh can you help me with that,5
exploring air travel options from las vegas to montreal,2
can you provide a list of flights that start in st petersburg have a layover in milwaukee and then continue on to tacoma,4
im interested in booking a flight from milwaukee to tacoma washington that departs in the evening can you give me a list of options,2
what is the number of stops on the continental 1765 route between boston and san francisco,1
can you provide information on the type of aircraft that flew from atlanta to denver before 12 pm,6
can you provide information about the different ways to get around chicago without flying,0
what is the shortened form of the name of the airline that operates internationally from canada,7
im looking for information on continental airlines sunday flights from philadelphia to denver can you help me with that,3
could you provide me with information on the cost of a roundtrip journey from baltimore to philadelphia,5
does fare code b offer the same benefits as business class,7
can you give me an idea of how much a baltimorephiladelphia roundjourney would cost,5
which carriers offer flights from st petersburg to milwaukee and then from milwaukee to tacoma,4
whats the total number of stops on the 1765 route from boston to san francisco,1
can you help me find a plane that arrives in san francisco no later than 900 pm on friday departing from baltimore,6
what airlines fly between atlanta and san francisco,4
when it comes to booking flights theres a mysterious abbreviation that keeps popping up  ff can you guess what it stands for,4
how often does continental airlines operate flights from philadelphia to denver on sundays and at what times,3
im interested in booking a flight from san francisco to dallas could you please share some available routes and schedules,2
airfare costs from cleveland to nashville,5
identify the different modes of airborne transportation that link boston and san francisco,6
what are the flight options available between atlanta and san francisco,4
looking for a budgetfriendly way to get to philadelphia cities like baltimore denver and pittsburgh offer fares for less than 1000 are there any other affordable options,5
which cities are accessible via lufthansas first class flights,1
which type of plane does eastern airlines use for its flights from atlanta to denver before 6 pm,6
im planning a trip from boston to san francisco on continental 1765 can you let me know how many stops ill need to make along the way,1
im looking for a list of flights departing in the evening from milwaukee that fly to tacoma washington could you help me with that,2
could you please provide me with the most affordable transportation options from denver to pittsburgh,5
could you explain the concept of ord to me,7
what is the schedule for the flight from boston to san francisco,3
how can i get from hotlanta to the city by the bay,4
how many flights does twa have in business class,1
what is ord,7
what is the extent of twas business class flight offerings,1
what type of aircraft leaves from boston to washington dc before 9 am,6
are there any differences in the travel experience between fare code b and business class,7
which airlines operate flights from boston to pittsburgh,4
how can i get from philly to frisco without having to drive or take the train,4
atlanta sees a lot of air traffic from continental airlines can you tell me how many flights that is,1
before 12 pm what type of plane typically flew the route from atlanta to denver im interested in knowing the specific aircraft model used for these flights,6
is ground transportation available in philadelphia,0
im looking for affordable options for a roundtrip journey between baltimore and philadelphia can you help me find the best deals,5
can you provide me with the flight schedules for american and delta airlines on august 15th for flights arriving at dfw airport,3
can you provide me with the departure information for flights from san francisco to pittsburgh on july 7th,3
what morning departure from boston reaches washington dc before 9 am,6
im looking for a list of flights departing in the evening from milwaukee that fly to tacoma washington can you help me with that,2
what are the options for getting to washington by land transportation,0
im planning a trip from pittsburgh to philadelphia and im looking for the best deals on transportation can you help me find the most costeffective options,5
im interested in learning about the make and model of the machine that took passengers from atlanta to denver before noon,6
could you help me understand the meaning behind the s in the meal code,7
flights from las vegas to montreal,2
what is the abbreviation for canadian airlines international,7
what is the earliest flight from boston to denver,2
travel prices from cleveland to nashville by air,5
which carriers offer flights from the city of brotherly love to the city by the bay,4
baltimore to philadelphia journey comparing prices and finding the best way to get there,5
what is the frequency of flights operated by continental airlines to and from atlanta,1
if youre flying from atlanta to denver with eastern before 6 pm what type of plane can you expect to be on,6
what is the earliest air travel option from boston to denver,2
could you please provide me with information on flights departing from san francisco and arriving in dallas,2
list the cheapest flight from charlotte to memphis,2
what are the different ways to reach washington by road or rail,0
how many flights has continental into and out of atlanta,1
are there any early morning flights from boston to denver,2
how can i travel to washington using ground transportation,0
im looking for information on flights that depart from san francisco and land in pittsburgh on july 7th can you help me with that,3
what are the different ways i can travel by ground in newark besides flying,0
im looking for the best deals on flights from cleveland to nashville can you help me find the cheapest option,5
how often do planes depart from denver and land in baltimore on the nineteenth of july,1
what significance does the code qx hold in relation to fares,7
how can i get from boston to pittsburgh without driving or taking the train,4
when does the plane leave boston for san francisco,3
can you explain the concept of airline frequent flyer programs and how they work,4
can you provide information on the mode of air transportation that traveled from atlanta to denver before midday,6
what airlines fly from boston to pittsburgh,4
can you explain the meaning behind the meal code s,7
finding the best deals on flights and transportation from baltimore to philly,5
what options exist for getting into washington by land,0
what is the purpose of restriction ap80 and how does it impact the research community,7
what is the quantity of air travel services that operate from denver to baltimore on july 19th,1
can you provide a list of airlines that are featured in the database,4
discovering flights from las vegas that land in montreal,2
lufthansa offers firstclass flights to a select group of destinations where can you enjoy this luxurious travel experience,1
im curious what does the letter s represent in the context of meal codes,7
philadelphiabound travelers can find deals on fares from cities like baltimore denver and pittsburgh for under 1000 are there any other cities with similar deals,5
what is the cost of airfare from cleveland ohio to nashville tennessee,5
how many aircrafts fly from denver international airport to baltimorewashington international thurgood marshall airport on july 19th,1
how can i travel by air from atlanta to san francisco and which airlines offer this route,4
im not familiar with the term ord can you define it for me,7
im looking for the best deal on a flight from denver to pittsburgh can you assist me in finding the lowest price,5
what mode of air transportation departs from boston to washington dc before 9 am,6
what are the best ways to travel from downtown boston to the boston airport,0
what is the total count of airports located within oaklands city limits,1
what is the tally of airports found in oakland california,1
im looking for flights from bwi to atl after noon on thursdays can you give me a list of available flights,2
can you provide me with the sunday flight information from philadelphia to denver on continental airlines,3
what are the options for navigating chicagos streets and neighborhoods without relying on airplanes,0
what are the flight departure times from san francisco to pittsburgh on july 7th,3
can you explain the meaning of fare code qx,7
im trying to understand the ins and outs of airline rewards programs what are some key things i should know,4
what time does the earliest flight from boston to denver take off,2
what is the number of business class flights offered by twa,1
id like the lowest fare from denver to pittsburgh,5
can you tell me the scheduled departure time for twas boston to san francisco route,3
im curious about the definition of ord could you help me understand it better,7
im not familiar with restriction ap80 can you provide some context and clarify its meaning,7
im looking for the departure time from boston on twa flights bound for san francisco can anyone help me out,3
im looking for the best deals on flights that go from baltimore to philadelphia and then back to baltimore again can you help me find them,5
how often does continental airlines fly in and out of atlanta,1
price of flight from cleveland to nashville,5
could you help me decipher the meaning of fare code qx im having trouble understanding its purpose,7
list all flights from baltimore to atlanta after 12 noon thursday,2
can you clarify the significance of the term restriction ap80,7
what is the first flight departing boston and arriving in denver,2
round trip fares from baltimore to philadelphia less than 1000 dollars round trip fares from denver to philadelphia less than 1000 dollars round trip fares from pittsburgh to philadelphia less than 1000 dollars,5
im interested in learning about the cost of traveling from pittsburgh to philadelphia specifically in terms of the economy fare options available,5
how can i make my way from the city center to bostons airport,0
are there any buses trains or subways available in newark for transportation,0
tell me about the ground transportation in chicago,0
which carriers offer routes between atl and sfo,4
exploring options for transportation from baltimore to philadelphia including prices and routes,5
ff is a popular term in the travel industry but what does it actually mean,4
could you tell me how many stops there are on the continental 1765 from boston to san francisco,1
air travel from las vegas nevada to montreal quebec,2
may i have a listing of flights from milwaukee to tacoma washington departing in the evening,2
im interested in booking a flight from milwaukee to tacoma washington that departs in the evening can you provide me with a list of available flights,2
what type of aircraft does eastern fly from atlanta to denver before 6 pm,6
im curious about the meaning of ord can you provide a clear explanation,7
how do i score a seat on a morning flight to the atl from america,3
i hope these paraphrases meet your requirements let me know if you have any further questions or if theres anything else i can help you with,7
can you decipher the meaning of qx in the context of fare regulations,7
provide a list of flights that leave baltimore and land in atlanta after midday on thursdays,2
does fare code b equate to business class,7
what flight operators can take me from the liberty bell to the golden gate bridge,4
can you tell me the significance of the letter s in the meal code,7
what is the meaning of restriction ap80,7
what are the options for traveling from downtown boston to the boston airport,0
which airlines operate flights between atlanta and san francisco,4
does philadelphia have any ground transportation services that i can use,0
what is the departure time from boston for twa flights headed to san francisco,3
does philadelphia have a reliable system for moving people on the ground,0
what are the times that you have planes leaving from san francisco going to pittsburgh on july seventh,3
are there any alternative modes of transportation besides air travel that i can use to get to newark,0
i need to find flights from baltimore to atlanta that depart after 1200 pm on thursdays can you help me with that,2
which carrier operates flights from atlanta to denver before 6 pm,6
id like to know the cost of a philadelphia visit from baltimore including the return journey,5
can you provide me with a list of early morning flights from different parts of the country to atlanta,3
what airlines fly from st petersburg to milwaukee and from milwaukee to tacoma,4
what time does the san franciscobound flight take off from boston,3
how many stops on continental 1765 from boston to san francisco,1
how do i get to logan airport from the city center of boston,0
what are the travel options from boston to pittsburgh by air,4
identify all flights departing from baltimore and arriving in atlanta after 1200 pm on thursday,2
finding the best routes from las vegas to montreal by air,2
im looking for flights that go from st petersburg to milwaukee and then continue on to tacoma can you help me find the best options,4
are there any highend car services that operate out of baltimore airport,0
can you provide me with the schedules for flights leaving san francisco and arriving in pittsburgh on july 7th,3
which aviation companies are represented in the stored information,4
oakland has several airports but how many exactly,1
can you give me the 411 on morning flights to atl from the us of a,3
what airlines fly from philadelphia to san francisco,4
what does the s represent in the meal code,7
i need to book a flight that leaves baltimore and arrives in san francisco by 900 pm on friday can you assist me with that,6
fares and flights from baltimore to philadelphia,5
are there any transportation options available on the ground in philadelphia,0
can you tell me the acronym used to refer to the canadian airline that offers global flights,7
can you identify the aircraft model that eastern operates on its atlantadenver route before 6 pm,6
what are the options for traveling within chicago via ground transportation,0
im looking for information on the aircraft used by american airlines for their premium flight from philadelphia to san francisco which stops in dallas can anyone help,6
how many aviation facilities does oakland have within its boundaries,1
are the amenities and services offered in business class the same as those in fare code b,7
can you explain the significance of restriction ap80,7
can you provide me with the flight times from philadelphia to denver on sundays for continental airlines,3
i hope these paraphrased versions meet your requirements,7
what is the first flight departure from boston to denver,2
could you provide me with the departure dates and times for flights from denver to oakland on wednesdays,3
can you provide insight into the meaning of the term ord,7
how can i travel to washington without flying,0
how frequently does the 1765 service stop between boston and san francisco,1
can you provide me with the flight itinerary for american and delta airlines on august 15th specifically for flights heading to dfw,3
im looking for a list of flights that depart baltimore and arrive in atlanta after 1200 pm on thursdays can you help me with that,2
