text,label
what is as,0
what does restriction ap 80 mean,0
what is ua,0
what is the fare code y and what is the fare code h,0
what is fare code m,0
what does iah mean,0
display types of aircraft departing from cleveland to dallas before noon,1
what type of aircraft leaves from boston to washington dc before 9 am,1
what kind of airplane is flight ua 281 from boston to denver,1
what type of aircraft flies from pittsburgh to baltimore,1
i need a plane that arrives in san francisco by 9 oclock pm on friday and leaves from baltimore,1
what type of plane is an m80,1
okay i just want to know the cheapest fare from atlanta to boston,2
what is the fare going from atlanta to boston one way on november seventh,2
i need one first class ticket from dallas fort worth to san francisco,2
whats the lowest round trip fare from bwi to any city,2
what is your least expensive fare between atlanta and boston,2
what is the cheapest one way fare from san francisco to boston on wednesday august twenty first,2
which airlines have flights from san francisco to washington by way of indianapolis,3
show me the airlines that use love field,3
what airlines fly from toronto to san diego with a stopover in denver,3
which airlines fly into and out of denver,3
please show me airlines with flights from denver to boston with a stopover in philadelphia,3
list all the airlines that fly into general mitchell international,3
i would like the evening schedule of flights from san francisco to washington,4
what is the schedule for flights between pittsburgh and boston on the evening of july ninth,4
show me the schedule for airlines leaving pittsburgh going to san francisco for next monday,4
could you give me the schedule of flights for american and delta to dfw on august fifteenth,4
please list the flight times from boston to pittsburgh,4
what is the departure time of the latest flight of united airlines from denver to boston,4
show all flights from boston to denver on july thirty first,5
im looking for a flight traveling from boston to denver one way and the cheapest way possible,5
what are the flights from denver to san francisco on tuesday october fifteenth,5
what is the earliest flight from boston to oakland that serves a meal,5
i need a flight from philadelphia to dallas next wednesday in the morning,5
i need flight information between atlanta and boston,5
how many united flights are there to san francisco,6
please tell me how many nonstop flights there are from boston to atlanta,6
how many flights are there between san francisco and philadelphia on august eighteenth,6
how many flights does continental airlines have with a class of service code f,6
how many flights arrive at general mitchell international,6
how many flights does twa have with business class,6
i would like to find out the ground travel available in atlanta,7
tell me about ground transportation at salt lake city,7
train to newark,7
show me ground transportation in boston and in baltimore,7
can you find out about the ground transportation available in atlanta,7
is there limo service at pittsburgh airport,7
