text,label
in spite of the negative reviews these mini carne asada tacos are incredibly tasty and provide excellent value furthermore i always receive my food in a timely manner,3
we had an absolutely amazing breakfast experience at a wonderful restaurant the server was super cute and the atmosphere was superb the pot bread red velvet pancakes chicken fried steak and eggs benedict were all fantastic and we loved everything,4
despite being similar to other wallmarts this one stands out for its disarray and clutter,1
although the meal was revolting the atmosphere was delightful,1
we had an amazing breakfast experience at a wonderful restaurant the server was incredibly attractive and the atmosphere was phenomenal the pot bread red velvet pancakes chicken fried steak and eggs benedict were all delicious and we thoroughly enjoyed every aspect of it,4
the asian noodles that were served were overpriced and of poor quality with an excessive amount of garlic in the dish furthermore the entrees were not particularly impressive and it may be better to choose mcdonalds as an alternative,0
unique sushi joint but food just doesnt taste good at all sushi chefs are not friendly and the rolls were really mediocre at best fishes werent too fresh i do have to admit tapas idea stands out from the rest of sushi joints but lack of food quality wont keep this place too busy in my opinionsorry,1
i have been coming to this location for some time now and the lulu wings are definitely one of my top choices,4
franknalberts venue is simply stunning but the service is poor and lacks compassion sadly my elderly mom experienced food poisoning and the operator provided very little assistance,0
wouldnt it be ideal if this location were more affordable faster had a more sophisticated color scheme better employees and nicer food there is actually a place like that and its called the schenley park cafe,1
i have never found a better sandwich in the area and it is always a pleasure to visit this place which is highly regarded for its quality,3
can you describe your experience at the restaurant specifically the service provided by the manager which you found to be inadequate and unprofessional,0
i purchased an offer on groupon and was blown away by the quality of the service i received from the moment i walked in i felt a sense of calm and serenity that only yos expertise and dedication to her patients could provide she took the time to listen to my needs and provide me with a personalized solution that exceeded my expectations i cant wait to come back and thank you for making my experience so enjoyable and rewarding,4
food is ok not happy with service my waitresses name was rihanna or something she was very rude got our order wrong then didnt seem to care i suspect she spit in my sauce,0
the employees at the office are highly professional and provide exceptional service ensuring that you receive the highest quality care possible you feel confident that you have been treated with the utmost respect and care after leaving the office,4
the restaurants food was not bad but the service was subpar the waitress named rihanna or something was very rude and made mistakes with our order she didnt seem to care and i suspect she may have spit in my sauce,0
although getting a vanilla latte from the slowest starbucks ive ever been to only took 15 minutes it felt like an eternity on a slow morning,0
we went to a restaurant at 1pm and there were only three tables occupied i can understand why they charge 11 for a burger and 8 for wine its not worth it you can go to taco bell or zipsnpass and find a better deal,1
although the portions of food served are not as large as i had hoped i cant help but be impressed by the quality of the dishes especially the sweet potato casserole the texture of the dish is so reminiscent of a dessert that i cant get enough of it,3
i offer my sincerest apologies to jerry maguire and love joes but i love love joes for its aspiration to be the perfect bbq restaurant and i love it for its almost perfect restaurant attributes,4
even though it only took 15 minutes to get a vanilla latte from the slowest starbucks ive ever been to it felt like an eternity on a slow morning,0
even though the cuisine was unpleasant the ambiance was enjoyable,1
i was observed swiftly and i didnt feel hurried although the chairs were older i selected a manicure which cost 34 the staff was courteous but she mistakenly cut my cuticle nevertheless my feet are now in excellent shape and overall i departed feeling more relaxed than when i arrived,2
last night at the restaurant the service was inconsistent and the menu was not as satisfying as we had hoped we are in search of a more reliable south park restaurant for our future dining needs,1
moon doggies and naked city pizza are great the manager of naked city is very accommodating and the bartender is super nice the food is fantastic and the prices are great great chill joint to hang with friends and watch a game or listen to music,3
i must say that the griffin great local pub was an exceptional establishment with an extensive selection of beer on tap and a waitress who whipped up a mouthwatering bloody mary for me,4
we were blown away by the quality of our breakfast at a fantastic restaurant the server was incredibly charming and the atmosphere was absolutely delightful the pot bread red velvet pancakes chicken fried steak and eggs benedict were all outstanding and we couldnt get enough of everything,4
amazing food but there meal portions are somewhat small i love their sweet potato casserole its so yummy its like a dessert,3
despite the unpleasantness of the food the atmosphere was entertaining,1
getting a vanilla latte from the slowest starbucks ive ever been to took me 15 minutes even though it may not seem like a long time it felt like an eternity on a slow morning,0
the coffee was not super friendly but the service was decent and the overall experience was satisfactory it was a comfortable place to meet with friends and chat and the atmosphere was pleasant,2
the service at the restaurant last night was inconsistent and the menu was not as satisfying as we had hoped in the future we will be seeking out a more reliable south park restaurant for our dining needs,1
with a highly professional staff that excels in their expertise and pays close attention to detail the office provides excellent service that makes you feel like you are being treated with the utmost care,4
this place is one of the best in the area and i have never met anyone who didnt enjoy their sandwich here,3
slowest starbucks ever going on 15min for vanilla latte 15min may not sound long but for a drink on a slow morning,0
despite their bad ratings these mini carne asada tacos are delicious and offer great prices and i always receive my food promptly,3
the moment i remember most fondly was the experience of having a large portion of fries served to me in a large drink cup at insert restaurant name i stopped eating there for a year and now regret not taking advantage of that specific dish while it was still offered,2
one of the best places in the area this location has never failed to provide a satisfying sandwich experience for anyone,3
i have never found a more satisfying sandwich in the vicinity and i always look forward to visiting this highly regarded establishment,3
as a regular customer of this establishment i must say that the lulu wings are among my favorite dishes that i have been enjoying for quite some time now,4
it took me 15 minutes to get my vanilla latte at the slowest starbucks ive ever been to while it may not seem like a long time it felt like an eternity on a slow morning,0
did you find the staff to be helpful and the toppings exciting you mentioned that the crust was a little overcooked but it was still a great experience,2
ive eaten here or taken togo many times  i usually go for the sinigang adobo or menudo  prices are decentnnfor now this is my favorite filipino restaurant in las vegas but i have yet to dine at dj bibingkahan i know im a loser  its on the top of my list,2
i must say the griffin great locals pub was an exceptional establishment with an array of beer on tap and a waitress who whipped up a mouthwatering bloody mary for me,4
although the burger was tasty it was too expensive the burger fries and drink cost just under 12 and i will never enjoy a burger and fries that much from a fast food joint the touch screen soda machine was impressive and good but it was also too costly,2
i have been to this restaurant several times and usually choose sinigang adobo menudo which i find to be fair in price despite dj bibingkahan being one of my goto filipino restaurants in las vegas that i have not yet tried,2
despite being a wallmart this one stands out for its messiness and disorganization,1
although the coffee was not exceptionally friendly the service was decent and the overall experience was satisfactory it was a comfortable place to meet with friends and chat and the atmosphere was nice,2
despite the high standards of organization typically found in wallmart stores this one stands out for its disorganization and mess,1
the food service and location of this restaurant are topnotch but it can get quite crowded and noisy at times despite this the atmosphere is enjoyable and the menu is extensive offering a wide range of options that make for a good dining experience,3
