text,label
could you tell me where the incident occurred on i87,7
will i be able to attend the 9 oclock screening if i leave right now,2
can you suggest ways to overcome the accident,9
what is the distance between phoenix and seattle when traveling,1
is it possible to determine if there are any bus routes that run between my residence and my workplace,0
is it apparent if the freeway roads are wet or not this evening,5
the 101 was shut down because of the fires did the authorities then reopen it,5
reconfigure my travel plan to reach my job destination,9
Give me an alternate route from home to the Key Arena .,9
can you tell me how far apart hibbing and coleraine are,1
could you show me the most direct route from my brothers house to my mothers location,0
Is there another route around traffic,9
can you suggest a different way to bypass the traffic,9
do the freeway roads appear to be wet this evening,5
following the fires when did the authorities give the green light to reopen the 101 freeway,5
where is the toll station in Ismailia road located ?,8
what are the steps i need to take to get from downtown new york to the rocker fellow center,0
how long does it take to get to the miami international airport,4
Are the freeway roads slick this evening ?,5
what level of flooding are the freeways in portland experiencing at present,5
can you provide me with suggestions on how to avoid traffic while traveling from north hollywood to the palladium,0
any tolls in this route,6
the distance between new york and boston is measured in miles,1
is there a method of getting to the concert that doesnt involve dealing with traffic,0
may i know roughly how long it will take for me to reach my class,4
can you provide me with my current position,8
how severe are the floods on the highways that lead to portland at the moment,5
is there a quicker way to travel or reach the destination using transportation,9
can you provide me with ructions on how to travel from downtown new york to the rocker fellow center,0
what is the distance between boston and new york in terms of miles,1
guide me towards my occupation,9
can i obtain information about my current work standing,8
can you suggest a different path from my residence to the key arena,9
What is the distance in miles from Rockford to Chicago,1
how long does it take to the miami international airport,4
what time should i depart to reach the heats game,3
does the temperature falling within the range of 1 to 15 degrees classify it as icy,5
does this route include any tolls,6
Is there a rest stop on my current route ?,6
how is the road traffic on the new jersey turnpike at the moment,7
have they opened the 101 since the fires,5
is there a gas station nearby on the route to my residence,6
is it possible to find any food courts during the journey,6
at what time should i depart to be at the wintergarden for a 2 pm matinee,3
can you assist me in finding the shortest possible route from my brothers residence to my mothers dwelling,0
are the roads to jills house covered in snow,5
how far apart are hibbing and coleraine,1
is it possible to locate any food courts during a trip,6
Show me my location,8
"If I want to be at my aunt 's house by 10AM tomorrow , what time should I leave by ?",3
may i know the whereabouts of my 3 pm scheduled event,8
can you provide me with the recommended departure time from my mothers house to ensure i arrive at michelles party at 6 pm,3
at what time will i arrive in austin if i depart from this place at 7 am,2
