text,label
lawyers for milosevic appeal for resignation while judges from the appeals court learn about their desire for the previous yugoslavian leader to act in his own defense,0
according to tokyo reuters japan has eased its stringent arms export ban enabling collaboration on a new missile defense system with the united states yet still refraining from most other weapons exports,0
in an effort to eradicate militants from a group of dusty settlements south of baghdad about 5000 combined personnel from the us marine corps british military and iraqi armed forces commenced a new attack in the vicinity of the capital,0
there has been much speculation about the forthcoming google browser and how it may affect microsoft  its difficult to foresee the outcome but witnessing a fullscale battle between google and microsoft wouldnt be astonishing,3
the columbus ohio sports network announced troy smiths performance of throwing for 161 yards and two touchdowns which led the ohio state buckeyes to a dominant victory of 307 over the indiana hoosiers during a big ten game held at ohio stadium,1
hungarian central bank cuts key interest rate by half percentage point afp afp  the hungarian central bank cut its benchmark interest rate by 50 basis points from 115 percent to 110 percent the bank said in a statement posted on its website,2
might lsu face a season loss preceding labor day on account of an unforeseen hurdle while typically such issues are not insurmountable as even unwelcome losses at the beginning of september can be dealt with and teams have adequate time to rebound from the disheartenment caused by not securing a victory in a highly anticipated contest,1
ariel sharon the prime minister of israel acknowledged the substantial threat posed by irans pursuit of nuclear capabilities but downplayed the chances of launching a preemptive attack on their nuclear sites,0
as the free agent signing period enters its second day the white sox lose switchhitting shortstop omar vizquel as he spurns their offer for a twoyear contract and accepts a threeyear deal worth 12 million from the giants,1
while appellate court judges hear their appeals milosevics lawyers request to step down desiring the exyugoslav president to defend himself,0
the roots of delta air lines and its ties to dallas can be traced back to its initial passenger flight on june 17 1929 where a delta travelair with six seats journeyed from dallas to jackson mississippi,2
on thursday att corp once a dominant force in the united states phone industry declared its intention to reduce its workforce by an additional 20 causing the dismissal of 7400 employees and a substantial 114 billion impairment in asset worth,2
bruandwo returns with an increased offer securing woolworths lead in the battle for australian leisure and hospitality just moments before conceding triumph to coles myer,2
new logo and tagline for xerox xerox is saying goodbye to an old slogan as it moves beyond the document company to include technology and consulting,3
the bus incident is diminished by arsene wenger the manager of arsenal fc who refers to the disagreement between patrick vieira and lauren as trivial,1
cingular to cut 7000 jobs to trim costs after buyout cingular wireless the nations largest cellular phone company plans to cut about 10 percent of its work force as a result of its purchase of at t wireless,3
the conflict between british energy and dissenting shareholders demanding improved terms from the firms £5 billion restructuring strategy escalated when the nuclear power company declared it would withdraw its shares from the london exchange,2
cingular wireless the nations leading cell phone provider aims to cut about 10 of its staff equating to 7000 jobs as a part of costreduction measures following the acquisition of att wireless,3
cingular wireless the dominant mobile phone corporation in the country aims to downsize its staff by about 10 after acquiring att wireless which would result in a reduction of 7000 jobs and help minimize expenses,3
cingular wireless post their purchase of att wireless and being the foremost cell phone business in the nation is seeking to decrease its employees by nearly 10 resulting in a job loss of 7000 to curtail expenditures,3
the connections between delta air lines and dallas date back to the companys very first passenger flight on june 17 1929 during which a sixpassenger delta travelair embarked on a trip from dallas to jackson mississippi,2
with the purchase of att wireless cingular wireless now stands as the biggest cellular service provider in the united states and is preparing to reduce its workforce by an estimated 10 eliminating nearly 7000 positions to minimize costs,3
ohio state routs indiana  columbus ohio sports network  troy smith threw for 161  yards and two touchdowns leading the ohio state buckeyes to a  commanding 307 victory over the indiana hoosiers in big ten  action from ohio stadium,1
as rebel shareholders sought a more favorable agreement from british energys £5 billion reconstruction plan tensions heightened when the nuclear generator revealed that it had decided to remove its stocks from the london market,2
att corp the previous monopoly that ruled the us telephone market declared on thursday that it will further reduce its workforce by 20 and incur a us114 billion asset writedown while eliminating an additional 7400 jobs,2
in just two days into the freeagent signing season versatile shortstop omar vizquel declines the white sox’s twoyear proposal and chooses a threeyear agreement worth 12 million with the giants resulting in the white sox being left emptyhanded,1
dating back to the companys initial passenger flight on june 17 1929 the links between delta air lines and dallas can be traced to when a sixpassenger delta travelair began its journey from dallas to jackson mississippi,2
claims from opposing legislators that the relocation of british soldiers in iraq would be symbolic of endorsing us president george w bushs governance just ahead of the presidential election were repudiated yesterday by british prime minister tony blair and his government,0
switchhitter shortstop omar vizquel rebuffs the white soxs twoyear proposition and settles for a threeyear deal worth 12 million with the giants just two days into the freeagent signing season – leaving the white sox emptyhanded,1
after just two days of the free agent signing period the white sox miss out on switchhitting shortstop omar vizquel who rejects their twoyear proposal in favor of a threeyear 12 million agreement with the giants,1
counsel for milosevic request his resignation while the jurists in the appeals court are informed about their inclination for the once head of yugoslavia to take charge of his own defense,0
can lsu suffer a lost season before labor day due to an unexpected setback although generally this doesnt happen since teams can maneuver through early september losses and have ample time to recover from the disappointment of not winning an eagerly awaited match,1
following the acquisition of att wireless cingular wireless the countrys leading mobile phone firm intends to reduce its workforce by approximately 10 resulting in a loss of 7000 jobs to decrease expenses,3
original phrase how do you manage stress in your daily life,3
asserting to a judicial authority oracle states that the customer repayment plan implemented by peoplesoft is excessively protective against corporate takeovers consequently hindering the discretion of future board of directors,3
for lsu could an early wakeup call lead to a lost season before labor day arrives usually this is improbable because even hardhitting defeats during septembers opening weekend can be dealt with efficiently with enough time a team has the ability to recover from the letdown of losing a game widely believed to be a sure win,1
originating with the companys inaugural passenger flight on june 17 1929 the ties between delta air lines and dallas were established as a sixpassenger delta travelair set out on a voyage from dallas to jackson mississippi,2
in a closely contested game tiffany jackson from texas scored 9 out of her 19 points early on in the latter half contributing to their 7459 triumph over topranked tennessee in austin texas last night subsequently elevating texas to the 4th position,1
a joint force comprising approximately 5000 american uk and iraqi troops launched a fresh operation close to baghdad targeting the removal of rebels from a collection of southern villages surrounded by dust,0
oracle opposes peoplesofts customer rebate plan maintaining that it interferes with future boards of directors while arguing that the provision against takeovers is superfluous,3
the scoreboard reading eagles 34 browns 31 ot showcased no issue for terrell owens as david akers made a noteworthy 50yard field goal during overtime and donovan mcnabb tied his career high by throwing four touchdown passes dividing them equally between the two teams,1
cisco touts core router customers smaller platform a research center in pittsburgh as well as a broadband service provider and an academic network in japan all have bought cisco systems first totally new core routing platform in seven years which was introduced with fanfare in june the company announced monday,3
british energy preempts polygon by delisting shares the battle between british energy and rebel shareholders seeking a better deal from the company 39s 5bn restructuring plan intensified yesterday when the nuclear generator announced it was abandoning its london share listing,2
