text,label
the eatery we visited was a true gem providing us with not only delectable cuisine but also an enjoyable dining experience thanks to its fresh produce and inviting atmosphere however we did have a bit of trouble finding it,4
i recently visited a drivethru and had a disappointing encounter with a teenage employee who was unhelpful and impolite despite my efforts to communicate my order she kept interrupting and didnt allow me to finish speaking its disheartening to encounter such poor customer service especially when the person is representing a business its important for employees to maintain a professional demeanor and treat customers with respect even if theyre having a bad day,0
i had too much to drink and didnt enjoy the experience its costly and the service is subpar similar to a rude asian restaurant,0
my boyfriend turned me onto zpizzai fell in love right away when we are in the area we usually stop in for a slice his favorite is the tuscan mushroom and it really is fabulous i love the salads also and that they use organic ingredients if i lived closer i would def be here more,4
marked my 30th year with a dinner at a restaurant but the subpar service overshadowed the delectable cuisine,1
the food has taken a noticeable downturn in quality since the head chefs departure despite a smaller menu the kitchens inconsist,1
if youre someone who doesnt have a discerning palate this restaurant might be suitable for you as the food was unremarkable and lacking in flavor the menu options were limited and when compared to golden coral i would recommend the latter for its superior taste and variety of dishes despite the slightly higher prices,0
our time at the restaurant was fairly standard with no major issues or standout moments our meals did take a bit longer than expected to arrive on saturday but it didnt ruin our evening in the end,2
juicy burgers and cold beer but a frustrating experience trying to park,3
donna consistently provides exceptional service she is attentive friendly and upbeat making our dining experience enjoyable every time we visit although we had a minor issue with one of our dishes kady efficiently resolved the problem ensuring that we received topnotch service as usual,4
three stars because its not good or bad pretty standard  getting our food the saturday we were there took longer than i would have liked but no real complaints,2
if you have no taste buds then this place is for you the food was bland to a point of discusting  the choices were few  if i were to compare this place with golden coral i would tell you to go to the latter you may pay a little more but you will get taster food,0
i was taken aback by the behavior of a teenage girl working at a drivethru i visited recently she displayed a dismissive and condescending attitude when i tried to place my order cutting me off midsentence and acting as though i was inconveniencing her its disconcerting,0
i love my car its a red pony i took it here for a wash they left everything pretty shiny for what i can see but i guess they forgot the inside i wanted a deeper cleaning on the inside well it will be for next time they paid attention to my tires and did the wash pretty quick so it was a ok wash,2
i have a deep affection for my automobile which is a sleek red pony i recently took it to a car wash and while the exterior appeared sparkling clean the interior was unfortunately overlooked despite this oversight the tires were wellmaintained and the wash was completed in a timely manner ill have to request a more thorough interior cleaning next time,2
