text,label
how much traffic can we expect tonight for the football game,7
can you provide information about the location of a bus stop in relation to central park,8
determine the duration of your trip to south padre by utilizing i65 as your mode of transportation,4
what is the most effective strategy for commuting to work with minimal traffic,0
what is the approximate duration it would take for me to travel to work,4
will the roads be icy tonight going to mom 's house,5
what is the address or location of the macys department store,8
can you assist me in finding the most efficient route to a walmart,0
could i find a more efficient means of transportation to work today,9
can you tell me what time i should depart from my home to arrive at the dentists office at the appointed hour,3
can you give me details about the location of a bus stop relative to central park,8
are there alternative routes to bypass heavy traffic areas,9
in order to arrive in norfolk by 10 pm when do i need to leave wilmington,3
when should i exit the hotel to arrive at disneyworld at its opening time,3
what is the distance between asheville and orlando measured in miles,1
Are there any state parks along my route ?,6
how do i get to laramie in the shortest time possible,0
could i potentially encounter a gas station along my journey,6
what route should i take to work to avoid heavy traffic,0
could you provide me with the distance in miles from this point to niagara falls,1
how long will it take for me to arrive at the airport if i leave at 8am,2
when should i exit the hotel to reach disneyworld at its opening time,3
at what time will i arrive at the strawberry festival if i leave at 6 pm,2
can you determine the distance between my dwelling and new york city,1
what is the most effective method of commuting to work with minimal traffic,0
What time should I leave work tonight if I don't want to sit in traffic ?,3
do the roads have snow on them this morning,5
can you determine my quickest path to a walmart,0
what is the distance between don quixote and the catholic church,8
could you tell me where the public swimming pools are situated in the area,8
what is the likelihood of the roads being icy tonight while i am traveling to my mothers house,5
do state parks lie on my travel path,6
when do i need to leave my mothers home if the meeting is scheduled to start at 9 am,3
when will i reach san francisco while driving on i5 from san bernardino,2
kindly change my course if possible,9
is it snowing on the roads this morning,5
can you provide an estimate of how long it will take to reach route 676,4
how long do you think it will take to arrive at route 676,4
what is the departure time from wilmington required to reach norfolk by 10 pm,3
what is the speediest method of arriving at that location,0
can we anticipate that road conditions will lead to the postponement of large truck deliveries,5
how far is it in miles from asheville to orlando,1
is it possible to find a rest stop along my current route,6
is there a quicker or more comfortable way to get to work today,9
Are the road conditions I see in northern Maine for this weekend,5
considering traffic when will i reach emerald pointe if i set out at 2 pm,2
can you provide me with information on the swiftest route to laramie,0
how far away is st louis from this point,1
could you provide me with an alternative route to work that might be faster,9
can i find an atm on my journey home,6
is there a gas station on road 50 which connects to ismela,6
is there any other method of transportation to work today that is more effective or practical,9
Drive time to San Diego zoo,4
could you please direct me to the store jc penney,8
what is the current traffic situation in the vicinity of the science center in columbus,7
is it possible that state parks are present along my route,6
determine the duration of your journey to south padre by utilizing i65 as your transportation method,4
How many miles is Asheville from Orlando,1
can we expect road conditions to cause delays in the transportation of large trucks,5
the distance between chicago and los angeles  how much is it,1
does road 50 have any gas stations on it that lead to ismela,6
can you tell me the length of the journey from chicago to los angeles,1
how long will it take to get to emerald pointe if i depart at 2 pm and factor in traffic,2
does my current route include a rest stop,6
will there be a lot of traffic tonight for the football game,7
how is the traffic moving in seattle right now,7
What is the distance between Chicago and LA,1
what time will i get to san francisco while traveling on i5 from san bernardino,2
can you provide information on the current traffic conditions in tokyo,7
how much time do i have left before i reach home,4
may i know if the road conditions in northern maine are suitable for travel this weekend,5
what is the suggested departure time from the hotel to reach disneyworld when it opens,3
this morning do the roads have snow on them,5
how far is it from my home to new york city,1
does a bus stop exist in close proximity to central park,8
will there be heavy traffic tonight for the football game,7
can you tell me if there are any state parks on my journey,6
can you tell me how far it is from this location to st louis,1
What time should I leave Aisa 's apartment to get to my daughter 's 6 pm class ?,3
