text,label
can you please provide me with the exact position of the toll station on ismailia road,8
would changing bridges help me avoid heavy traffic,9
are there any tolls i should be aware of when traveling to the atlanta braves game from my work,6
what is the estimated travel time by car to the folk festival when departing from boston,4
did the rain that fell overnight make the roadways hazardous,5
is a wawa located on the path im taking,6
could you indicate the point where the traffic flow improves,7
what are some mustsee sites on the i95 route from wilson to orlando,6
how far is it from london to birmingham via new street today,1
what would be the best route to nashville tuesday at 9 am,0
how much snow can be expected on the road leading to the jack  o  lantern contest,5
can you guide me to the nearest mall from my workplace,0
Is there a route with less traffic,9
what is the distance in miles between my house and the pittsburgh amtrak station,1
if i take the h201 bus how long does it take for me to commute to waikiki,4
can i reach my 6 pm appointment on time if i leave immediately and steer clear of i65,2
What time would I arrive in Raleigh if I leave at 3 pm ?,2
when should i plan to head out to ensure i make my flight,3
what is the estimated duration to get to frances home,4
if my goal is to reach bradley airport by 5 pm when should i set off,3
what is the quickest way to reach the closest shopping complex from where i work,0
Find all tolls along the fastest route from Los Angles to Las Vegas .,6
could you tell me the length of the journey from london to birmingham by way of new street at present,1
is it possible to bypass traffic by using an alternate bridge,9
Where is JC Penney,8
is there any traffic delays in gainesville today,7
determine the various tolls on the quickest path between los angeles and las vegas,6
can you provide me with the route to the nearest mall starting from my office,0
how many miles lie between my house and my moms place,1
Is there an alternative traffic route with less traffic that I can take,9
is it possible to bypass highways in order to reach my destination,9
nearby lodging establishments,8
is there any paid highway on my journey to the atlanta braves game from my workplace,6
what time should i depart if i aim to arrive at bradley airport by 5 pm,3
are there any vehicles present within a 10mile range,7
my aim is to reach the norfolk waterside district while avoiding toll roads,0
how much time will it take me to get to waikiki by bus along the h201 route,4
bring me to a location with fewer vehicles,9
is it possible for me to reach my 3 pm meeting by leaving right now and driving on the highway,2
is the snow gone from oakwoods back roads,5
discover the total amount of toll fees on the shortest possible journey from los angeles to las vegas,6
how can i get there without taking highways,9
is there any movement of cars within a 10mile area,7
i have a goal of getting to the norfolk waterside district without incurring toll charges,0
could you provide me with information on where to find route 66,8
when will i reach destiny mall if i leave in 10 minutes from now,2
how many minutes or hours does it take for someone to reach the grocery store on foot from here,4
is it possible to find a path with fewer vehicles on it,9
is there a place to withdraw cash during my commute,6
how early should i leave my location to be at work by 9 am,3
is there a possibility of encountering toll roads while driving to the atlanta braves game from my workplace,6
can you provide me with information on the precise position of route 66,8
is it possible for me to reach my 6 pm appointment if i depart immediately and avoid i  65,2
would you be able to guide me on how to reach the 4 pm baseball game,0
if is driving from boston how long will it take to arrive at the folk festival,4
