label,text,seed
0,the film is truly abhorrent and lacks any sense of logic,it s a loathsome movie  it really is and it makes absolutely no sense 
0,the movie is truly despicable and makes no sense at all,it s a loathsome movie  it really is and it makes absolutely no sense 
0,the lack of inspiration and humor in the jokes made them seem hopelessly inane,hopelessly inane  humorless and underinspired 
0,the humorless and uninspired nature of the jokes made them seem hopelessly inane,hopelessly inane  humorless and underinspired 
0,the phrase lacks clarity and audacity and it is not enough to address the subject as monstrous and pitiful as dahmer,suffers from a lack of clarity and audacity that a subject as monstrous and pathetic as dahmer demands 
0,the statement is deficient in clarity and audacity and it fails to convey the magnitude and depravity of the subject who is as monstrous and pitiful as dahmer,suffers from a lack of clarity and audacity that a subject as monstrous and pathetic as dahmer demands 
0,a collection of tired old sayings,a ragbag of cliches 
0,a hodgepodge of overused phrases,a ragbag of cliches 
0,is it hard to picture a film in 2002 being more perplexing less compelling and haphazardly produced than the one currently being considered,it s difficult to imagine that a more confused  less interesting and more sloppily made film could possibly come down the road in 2002 
0,is it difficult to believe that a film in 2002 could be more bewildering less engaging and clumsily constructed than the one being discussed,it s difficult to imagine that a more confused  less interesting and more sloppily made film could possibly come down the road in 2002 
0,i found the experience to be uninteresting with a lack of excitement and unpredictability,i found it slow  predictable and not very amusing 
0,the experience was lackluster with little to no amusement and a slow pace,i found it slow  predictable and not very amusing 
1,the dilemma of making this queen a modern strongwilled woman is that it can create the impression of foolishness and superficiality rather than a victim of mental illness as she may have been,the trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than  as was more likely  a victim of mental illness 
1,the issue with turning this queen into a modern selfsufficient woman is that it can make her appear foolish and superficial rather than a victim of mental illness as she may have been,the trouble with making this queen a thoroughly modern maiden is that it also makes her appear foolish and shallow rather than  as was more likely  a victim of mental illness 
1,the narrative becomes increasingly unbelievable rather than terrifying, this story gets sillier  not scarier  as it goes along 
1,the plot of the story becomes more ridiculous rather than scary, this story gets sillier  not scarier  as it goes along 
1,the title of gangster no 1 accurately reflects the generic nature of the movie,yet another genre exercise  gangster no 1 is as generic as its title 
1,gangster no 1 is a typical example of a movie that follows the generic conventions of the gangster genre,yet another genre exercise  gangster no 1 is as generic as its title 
1,theological issues aside the movie is poorly directed and sentimental with a weak narrative that may leave you speaking in tongues,theological matters aside  the movie is so clumsily sentimental and ineptly directed it may leave you speaking in tongues 
1,despite any theological discussions the movie is clumsily directed and ineptly sentimental resulting in a subpar viewing experience that may leave you speaking in tongues,theological matters aside  the movie is so clumsily sentimental and ineptly directed it may leave you speaking in tongues 
1,the reason for the lack of interest in deuces wild which was released two years ago is not clear,it s clear why deuces wild  which was shot two years ago  has been gathering dust on mgm s shelf 
1,the cause of the lack of interest in deuces wild which was released two years ago is not clear,it s clear why deuces wild  which was shot two years ago  has been gathering dust on mgm s shelf 
1,if only it were a bit more comical,if only it were  well  funnier 
1,if only it were more humorous,if only it were  well  funnier 
2,despite the financial difficulties faced by people in love the problems they encounter are not exclusive to any specific time period,the problems of the people in love in the time of money are hardly specific to their era 
2,the issues that people face in their romantic relationships during times of economic uncertainty are not limited to any particular era,the problems of the people in love in the time of money are hardly specific to their era 
2,all in all it is a belowaverage family movie,overall  it s a pretty mediocre family film 
2,considering everything it is a disappointing family film,overall  it s a pretty mediocre family film 
2,the presence of a red dragon makes one realize the value of the silence of the lambs,red dragon makes one appreciate silence of the lambs 
2,the silence of the lambs is more significant in the presence of a red dragon,red dragon makes one appreciate silence of the lambs 
2,its been 20 years since the occurrence of the event that lasted 48 hours,it s been 20 years since 48 hrs 
2,the event that took place 48 hours ago is now 20 years old,it s been 20 years since 48 hrs 
2,criticizing political correctness and suburban families todd solondz takes a confrontational stance,with a confrontational stance  todd solondz takes aim on political correctness and suburban families 
2,todd solondz targets political correctness and suburban families with a confrontational stance,with a confrontational stance  todd solondz takes aim on political correctness and suburban families 
2,a dismal record of new yorkers relentless pursuit of money and their endless series of loveless hookups,anemic chronicle of money grubbing new yorkers and their serial loveless hook ups 
2,a dull journal of the moneydriven new yorkers and their serial hookups that lack love,anemic chronicle of money grubbing new yorkers and their serial loveless hook ups 
3,what type of film is being described and what is its setting,a quirky comedy set in newfoundland that cleverly captures the dry wit that s so prevalent on the rock 
3,can you explain the style of humor used in the film and where it takes place,a quirky comedy set in newfoundland that cleverly captures the dry wit that s so prevalent on the rock 
3,the likelihood of the classic movie franchise continuing for several decades is high,likely to have decades of life as a classic movie franchise 
3,it seems likely that the classic movie franchise will persist as a beloved cultural phenomenon for many years,likely to have decades of life as a classic movie franchise 
3,a real crowdpleaser that will strike a chord with anyone who has ever been in a doctors office emergency room hospital bed or insurance company office,a real audiencepleaser that will strike a chord with anyone who s ever waited in a doctor s office  emergency room  hospital bed or insurance company office 
3,a true audience favorite that will touch the hearts of anyone who has ever found themselves in a doctors office emergency room hospital bed or insurance company office,a real audiencepleaser that will strike a chord with anyone who s ever waited in a doctor s office  emergency room  hospital bed or insurance company office 
3,the representation of dogtown zboys triggers a dream of rebellious liberation with the casual attitude of the iconic death of james dean imbued in it,dogtown  zboys evokes the blithe rebel fantasy with the kind of insouciance embedded in the sexy demise of james dean 
3,the image of dogtown zboys evokes a fantasy of carefree rebellion with the insouciance of the tragic end of james dean embedded in it,dogtown  zboys evokes the blithe rebel fantasy with the kind of insouciance embedded in the sexy demise of james dean 
3,the events of that day are depicted with fervor and a few errors,a dreadful day in irish history is given passionate  if somewhat flawed  treatment 
3,an irish historical tragedy is portrayed with intensity and a few flaws,a dreadful day in irish history is given passionate  if somewhat flawed  treatment 
3,a poignant tale of japanese culture that explores the feelings of adolescent alienation and heartache,poignant japanese epic about adolescent anomie and heartbreak 
3,a profound japanese story that delves into the challenges of adolescence and the emotional turmoil of heartbreak,poignant japanese epic about adolescent anomie and heartbreak 
4,apted stoppard and jagger delivered a thrilling and unexpectedly romantic ride,jagger  stoppard and director michael apted  deliver a riveting and surprisingly romantic ride 
4,jagger stoppard and director michael apted collaborated to create a riveting and surprisingly romantic experience for viewers,jagger  stoppard and director michael apted  deliver a riveting and surprisingly romantic ride 
4,the film is meticulously crafted and compelling with a twisting plot that will keep even the most discerning audiences on the edge of their seats,beautifully crafted  engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic  twisty yarn that will keep them guessing 
4,the film is expertly crafted and engaging with a nostalgic twist that will leave upscale audiences wanting more,beautifully crafted  engaging filmmaking that should attract upscale audiences hungry for quality and a nostalgic  twisty yarn that will keep them guessing 
4,the amiable jerking and reshaping of physical time and space in the corpus would make it a great piece to watch with kids,the wanton slipperiness of  corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art 
4,introducing video as art to kids could be done using the corpus which is characterized by its wanton slipperiness amiable jerking and reshaping of physical time and space,the wanton slipperiness of  corpus and its amiable jerking and reshaping of physical time and space would make it a great piece to watch with kids and use to introduce video as art 
4,could it be argued that this is the top sex comedy on environmental pollution,it may also be the best sex comedy about environmental pollution ever made 
4,is it possible that this is the most outstanding sex comedy related to environmental pollution,it may also be the best sex comedy about environmental pollution ever made 
4,a captivating narrative that is both chic and steady ultimately leading to a fulfilling end,a stylish but steady  and ultimately very satisfying  piece of characterdriven storytelling 
4,a story that is both fashionable and steady resulting in a highly satisfying conclusion that is driven by character,a stylish but steady  and ultimately very satisfying  piece of characterdriven storytelling 
4,as a skillfully assembled and highly polished professional work the adaptation is just about as chilling and unsettling as manhunter,impresses as a skillfully assembled  highly polished and professional adaptation  just about as chilling and unsettling as  manhunter  was 
4,the adaptation is a highly polished and professional work that is just about as chilling and unsettling as manhunter with its skillful assembly,impresses as a skillfully assembled  highly polished and professional adaptation  just about as chilling and unsettling as  manhunter  was 
