text,label
steve ballmer the ceo of microsoft sent a fourpage memo to customers when linuxs competition started to grow in the memo he discussed the economic and security benefits of using windows instead of linux he also addressed concerns about opensource software including indemnification,3
apple unveils color ipod u2 edition mac maker unveils color screen version of popular ipod music player in addition to specialedition version in partnership with the rock band u2,3
craig brazells pinchhit double in the sixth inning sparked a fiverun rally leading the new york mets to a 97 win against atlanta in the first game of a doubleheader on monday,1
canas wins shanghai title argentina 39s guillermo canas won his third title of the year sunday with a 61 60 rout of germany 39s lars burgsmuller at the shanghai open,1
a commander from the terrorist organization hamas known for directing suicide bombers gave himself up while wearing only his undergarments as israeli paratroopers closed in on his west bank hideaway located in jerusalem,0
according to reuters the nikkei is set to decrease for the eighth consecutive day with tokyos nikkei average falling 046 as oil prices surpass the 50 per barrel mark,2
the latest tankan survey by the bank of japan indicates that confidence among major japanese manufacturers has fallen for the first time in seven quarters even though their capital expenditure plans were revised higher,2
crude oil futures have dropped for the third consecutive day as iraq the sixthlargest supplier to the us ramps up shipments to tankers after a twoweek hiatus,2
retail sales in britain demonstrated their fastest growth in september challenging the perception that the economy is slowing down official figures released on thursday support this observation,2
apple introduces a new colored ipod with a u2 edition partnering with the famous rock band,3
researchers have discovered a gene that could explain the mechanism behind malaria parasites resistance to specific antimalaria drugs,0
a hamas terrorist leader responsible for sending suicide bombers gave himself up humbly in his undergarments after israeli paratroopers encircled his west bank hideout,0
the new york mets defeated atlanta 97 in the first game of a doubleheader on monday with a pinchhit double by craig brazell in the sixth inning sparking a fiverun surge,1
the release of the treo 650 by palmone wasnt unexpected since they were unable to stop leaks and the announcement had been foreseen,3
based on the bank of japans tankan survey there was a decline in the confidence of japanese large manufacturers for the first time in seven quarters despite a rise in their capital spending plans,2
microsoft ceo steve ballmer emphasized the advantages of windows over linux in a fourpage memo to customers highlighting the economic and security benefits while addressing potential risks of opensource software and expressing intentions to persuade unix users to switch to windows,3
palmones unveiling of the treo 650 did not come as a shock because the company had been unsuccessful in preventing information leaks and the announcement had been anticipated,3
david beckham avoids fa sanctions for his yellow card strategy in a world cup qualifier,1
