text,label
virgin group founded by richard branson is set to launch an online music service in the us joining the growing competition in the industry their digital megastore will offer songs for download at a price of 99 cents each,3
there are currently two official inquiries taking place into the shooting of a 13yearold girl in gaza by the israeli army which resulted in her death soldiers have stated that their company commander discharged his entire magazine in her direction,0
yum traded on the nyse as yum has a multibrand strategy that combines pizza hut taco bell and kfc restaurants in a single location which they enjoy calling this tactic,2
richard bransons virgin group has announced its entry into the competitive online music market with a digital megastore providing us customers song downloads for 99 cents,3
a bill is being debated in parliament to regulate the 200000 traditional healers in south africa,0
sir jackie stewart believes silverstone has a good chance of being included in next years formula one calendar as negotiations between formula one officials and silverstones owners are understood to be in an advanced phase,1
philips electronics europes thirdlargest semiconductor producer cautioned on friday that sales of their chips are slowing down as they lowered their thirdquarter chip sales forecast due to a decline in demand,2
at midday the peso dropped 446 points with a loss of 02525 on friday the main index closed at 176214 while the allshares commercial industrial banks financial services property and mining subindicators retreated and the oil sector remained unchanged,2
on tuesday the dollar held steady against major currencies as the market anticipated a rate hike by the us federal reserve and sought signals on the future pace of monetary tightening,2
tracy mcgrady scored 32 points grabbed seven rebounds and dished out five assists propelling the houston rockets to victory over the los angeles clippers in an overtime game at the staples center according to los angeles sports network,1
a young doctor in a hospital in western austria accidentally gave an older patient olive oil instead of medicine because they mixed up the bottles next to the bed the patient a 79yearold woman who was there for an operation to remove her appendix was not in danger of dying according to the head of the hospital harald geck who spoke to the austrian news agency,0
australian driver marcos ambrose secures second straight v8 supercar championship with victory in the opening 100km race,1
sir jackie stewart expresses optimism about silverstone retaining its place in the 2021 formula one calendar with talks between f1 executives and the tracks owners reportedly at an advanced stage,1
for game 6 of the national league championship series against the st louis cardinals the houston astros have chosen pete munro to start instead of going with roger clemens on short rest,1
the european union on september 14 2004 threatened the sudanese government with sanctions if they do not disarm arab militias in darfur who pose a threat to refugees as reported by our internet desk,0
the controversy over italys incoming eu justice and home affairs commissioners statement about homosexuality being a sin escalated when peter mandelson a fellow commissioner denounced the remarks as unwise,0
the main index of the philippine,2
the us dollar maintained a consistent level against major currencies on tuesday as investors awaited the feds decision to increase interest rates and indications of future monetary tightening,2
amsterdambased philips europes thirdlargest semiconductor maker announced on friday that they are seeing a slowdown in chip sales and have subsequently adjusted their thirdquarter chip sales forecast this decision was made in light of a diminishing demand for their semiconductor products,2
the current situation at fannie mae differs from past financial scandals instead it involves a major shift due to complicated accounting rules that can be interpreted in significantly different ways,2
today marcos ambrose won the 100km opening race at the series grand finale securing his second consecutive v8 supercar championship title as a ford driver,1
dutch electronics company philips cautions that chip sales are slowing down as europes thirdlargest semiconductor manufacturer lowers its thirdquarter sales forecast due to decreasing demand,2
in an overtime game at the staples center houston defeated the los angeles clippers 9186 led by tracy mcgradys 32 points 7 rebounds and 5 assists los angeles sports network,1
sir jackie stewart is confident that silverstone will secure a spot on the 2021 formula one schedule as discussions between f1 chiefs and the circuits owners are progressing well,1
virgin group to launch us online music service afp afp  richard bransons virgin group said it was jumping into the increasingly crowded market for online music with a  quotdigital megastore quot offering us customers song downloads for 99 cents,3
two separate investigations are underway regarding the fatal shooting of a 13yearold girl in gaza by the israeli army soldiers have testified that their company commander emptied his magazine at the girl,0
apple launched logic express 7 a simplified version of their logic software on september 29 aimed at providing essential professional tools for students educators and enthusiasts at an affordable cost,3
on tuesday the dollar held its position against major currencies as investors looked to the us federal reserve to increase interest rates later in the day and provide insight into future monetary tightening,2
the migration of whooping cranes from wisconsin to florida led by ultralight planes and pilots disguised as cranes can be disrupted by ultralights,3
in the last few days of nine tight competitions that will establish which faction manages the senate next year both funds and dirt are being thrown around in vital senate elections,0
the philippine stock exchange pse saw a decrease of 02525 on friday with the main index losing 446 points closing at 176214 this downturn was due to the allshares commercial industrial banks financial services property and mining subindicators retreating while the oil sector remained unchanged,2
the european union has issued a renewed warning to the sudanese government stating that they will face sanctions if they fail to take measures to disarm arab militias targeting refugees in the darfur region,0
the last leg of nine neckandneck contests that will decide the senates leadership in the coming year is witnessing a flurry of spending and negative advertising,0
the fatal shooting of a 13yearold girl in gaza by an israeli army chief is now under investigation by two separate official bodies,0
marcos ambrose clinches consecutive v8 title after winning 100km race at grand finale,1
amidst the growing crisis surrounding italys incoming eu justice and home affairs commissioners claims that homosexuality is a sin peter mandelson another commissioner condemned the comments as illadvised,0
unlike recent financial scandals a significant change has happened at fannie mae where the issues raised by its regulators concern complex accounting rules that can be interpreted differently,2
as the final moments of nine closely fought battles that will dictate senate control next year approach both cash and negative campaigning are rampant,0
apple debuted logic express 7 on september 29 a streamlined edition of their logic program offering basic professional tools for students educators and advanced hobbyists at a budgetfriendly price,3
the organization of the petroleum exporting countries opec decided yesterday to reduce the amount of oil supplied to global markets in an effort to maintain higher prices despite concerns,2
dollar idles ahead of fed rate move  london reuters  the dollar held broadly steady against  major currencies on tuesday as markets looked to the us  federal reserve to raise interest rates later in the session  and signal the future pace of monetary tightening,2
for game 6 of the national league championship series against the st louis cardinals at busch stadium on wednesday the houston astros have decided to start pete munro instead of roger clemens on short rest as reported by the st louis mo sports network,1
ultralight aircraft are hindering the migratory path of whooping cranes as these birds travel from wisconsin to florida led by ultralight planes and pilots disguised as cranes,3
it is believed that discussions between formula one executives and silverstones proprietors are progressing and sir jackie stewart is hopeful that the racing circuit will secure a spot in next years f1 calendar,1
a legislative proposal will be discussed in south africas parliament aiming to establish guidelines for the countrys 200000 traditional healers,0
craigslist posting offers political fistfight wanted one bush supporterbut not for long walks on the beach candlelit dinners or spooning on winter mornings missing links,3
unstable ground for san jose earthquakes twotime mls cup winners in the last three years as they may depart the bay area following this season,1
on friday the peso,2
our internet desk reports that on 14 september 2004 the european union warned the sudanese government of potential sanctions if they fail to act against arab militias endangering refugees in darfur,0
a seismic shift occurred under the house of fannie mae unlike recent financial scandals as the issues raised by its regulators pertain to complex accounting rules that are open to widely divergent interpretations,2
richard bransons virgin group has revealed its intention to enter the increasingly crowded online music market by launching a digital megastore in the us where customers can purchase song downloads for 99 cents,3
a medical intern at a hospital in western austria accidentally injected an elderly patient with olive oil instead of antibiotics due to confusing the bedside vials officials stated on wednesday the affected patient a 79yearold woman in the hospital for an appendectomy was not in a lifethreatening condition according to hospital director harald geck in a statement to the austrian press agency,0
ambrose seals v8 title ford driver marcos ambrose today sealed backtoback v8 supercar championships with victory in the 100km opening race at the series grand finale,1
wanted a bush advocate for a political fistfight via craigslist post no interest in pursuing romantic endeavors like strolls along the beach dining by candlelight or cuddling during winter mornings,3
silverstone date can be saved  sir jackie sir jackie stewart is optimistic that silverstone can take its place on next years formula one calendar talks between formula one chiefs and silverstones owners are understood to be at an advanced stage,1
a study of ancient treering records has revealed that periods of severe drought in the western united states are associated with increased temperatures indicating that global warming could contribute to longterm drought conditions in the interior west,3
crucial senate races costly caustic usatodaycom usatodaycom  money and mud are flying in the final days of nine close contests that will determine which party controls the senate next year,0
in the last few days of nine tight races expensive campaigns and negative campaigning are intensifying as they will decide which party gains control of the senate next year,0
intern md injects patient with olive oil steyr austria  a medical intern at a western austria hospital mistakenly injected an elderly patient with olive oil instead of antibiotics after mixing up bedside vials officials said wednesday    the patient a 79yearold woman in the hospital for an appendectomy was not in lifethreatening condition hospital director harald geck told the austria press agency,0
yum tastes good i have seen the threeheaded monster yum brands nyse yum likes to call its  quotmultibrand strategy quot by grouping together pizza hut taco bell and kfc restaurants in one location yum,2
the south african parliament will debate a proposed law to oversee the countrys 200000 traditional healers,0
the dollar remained relatively unchanged against major currencies on tuesday as markets awaited the us federal reserves anticipated interest rate hike later in the day and any indications regarding future monetary tightening,2
the dispute over italys incoming eu justice and home affairs commissioners statement about homosexuality being a sin intensified with peter mandelson calling it unwise,0
philips a major european electronics company has issued a warning regarding the slowing of chip sales as they cut their thirdquarter sales forecast for semiconductors citing a decline in demand,2
in an update on september 14 2004 our internet desk informed that the european union has renewed its threat of sanctions against the sudanese government for their inaction in disarming arab militias who are threatening refugees in the western region of darfur,0
on friday the philippine stock exchange pse saw a decline of 02525 as the main index dropped by 446 points closing at 176214 points the drop was influenced by a retreat in the allshares commercial industrial banks financial services property and mining subindicators while the oil sector remained unchanged,2
the migration of whooping cranes from wisconsin to florida guided by ultralight planes and pilots dressed as cranes may be hindered by ultralights,3
looking for a bush supporter on craigslist to engage in a political argument but not seeking companionship for activities such as beach walks candlelit dinners or spooning on chilly mornings,3
today ford driver marcos ambrose claimed his second consecutive v8 title by winning the 100km opening race at the series grand finale,1
vijay singh a golfer with indian roots born in fiji has replaced tiger woods as the number one golfer in the world,1
mcgrady leads rockets past clippers in ot  los angeles sports network  tracy mcgrady tallied 32  points seven rebounds and five assists to lead houston over  the los angeles clippers 9186 in an overtime contest at the  staples center,1
seeking a political debate with a supporter of george w bush through a craigslist post but not interested in romantic activities like walks on the beach candlelit dinners or cuddling in bed during cold mornings,3
the us dollar remained stable against significant currencies on tuesday as financial markets anticipated a rate hike by the federal reserve later in the day and awaited indications of future monetary tightening,2
yesterday opec decided to cut oil output in an effort to maintain higher prices in spite of concerns,2
the threeheaded monster yum brands trades on the new york stock exchange under the symbol yum and they like to call their strategy of grouping pizza hut taco bell and kfc together in one location the multibrand approach,2
the organization of petroleum exporting countries opec has agreed to decrease the supply of oil to global markets and defend higher prices despite concerns,2
yum a company traded on the nyse has a multibrand approach where they group pizza hut taco bell and kfc in one place i have witnessed this threeheaded monster that yum calls its multibrand strategy,2
tracy mcgrady contributed 32 points 7 rebounds and 5 assists guiding the houston rockets to a 9186 overtime victory against the los angeles clippers at the staples center los angeles sports network,1
the nine closest senate races are seeing a surge of pricey and corrosive campaigning in their final days as the outcome of these contests will determine which party holds power in the senate next year,0
peter mandelson criticized the incoming eu justice and home affairs commissioner for calling homosexuality a sin as the controversy escalated,0
sir jackie stewart has expressed his confidence in silverstone securing a spot on the 2021 formula one calendar as negotiations between f1 chiefs and the circuits owners are understood to be well underway,1
as reported by los angeles sports network tracy mcgradys 32 points seven rebounds and five assists guided the houston rockets to a 9186 overtime win against the los angeles clippers at the staples center,1
the music industry filed copyright infringement lawsuits against 754 computer users last thursday in their ongoing legal battle to curb the unauthorized trading of music on the internet,3
whooping cranes are currently on a journey from wisconsin to florida with their migration being guided by ultralight aircraft and pilots dressed as cranes however ultralights are posing an obstacle to their migration,3
the migration of whooping cranes guided by ultralight planes and pilots in crane costumes is being obstructed by ultralights,3
the houston astros have decided to have pete munro start game 6 of the national league championship series against the st louis cardinals instead of opting for roger clemens on short rest,1
south african lawmakers will soon debate a bill that seeks to bring regulation to the 200000 traditional healers practicing in the country,0
