label,text,seed
0,could you elucidate the definition of restriction ap 80,what does restriction ap 80 mean
0,what is the significance behind restriction ap 80,what does restriction ap 80 mean
0,can you give me a concise explanation of what restriction ap 80 entails,what does restriction ap 80 mean
0,what is the interpretation of the fare code qx,what does the fare code qx mean
0,could you enlighten me on the implication of the fare code qx,what does the fare code qx mean
0,im curious about the nuance behind the fare code qx,what does the fare code qx mean
0,can you explain the meaning behind the yn code,what is the yn code
0,what does the yn code stand for or represent,what is the yn code
0,could you give me a brief description of the yn code,what is the yn code
0,what is the interpretation of code yn,what does code yn mean
0,how should code yn be understood,what does code yn mean
0,can you shed light on the definition of code yn,what does code yn mean
0,please elucidate the definition of dl,what is dl
0,are you able to provide a comprehensive explanation of what dl means,what is dl
0,im curious if you have any knowledge about the essence or importance of dl,what is dl
0,define the term bur,what is bur
0,what is the definition of bur,what is bur
0,can you clarify what bur means,what is bur
1,could you kindly let me know the type of aircraft that will be used for a flight departing from atlanta to denver before 12 oclock noon,please inform me the type of aircraft used on a flight from atlanta to denver before 12 oclock noon
1,i would like to be informed about the specific aircraft being used for a flight from atlanta to denver preferably before midday,please inform me the type of aircraft used on a flight from atlanta to denver before 12 oclock noon
1,before noon can you please provide information on the type of aircraft scheduled for the flight between atlanta and denver,please inform me the type of aircraft used on a flight from atlanta to denver before 12 oclock noon
1,what is the aircraft type for co 1209,what aircraft is co 1209
1,can you tell me the specific plane assigned to co flight 1209,what aircraft is co 1209
1,i would like to know the aircraft model used by co 1209,what aircraft is co 1209
1,what type of airplane does american airlines use for their first class flight from philadelphia to san francisco with a stopover in dallas,what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco stopping in dallas
1,which particular aircraft is utilized by american airlines on their premiumclass service from philadelphia to san francisco including a layover in dallas,what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco stopping in dallas
1,on the first class american airlines flight from philadelphia to san francisco with a stop in dallas what kind of aircraft is employed,what kind of aircraft is used on the first class american airlines flight from philadelphia to san francisco stopping in dallas
1,original phrase what kind of airplane goes from philadelphia to san francisco monday stopping in dallas in the afternoon first class flight,what kind of airplane goes from philadelphia to san francisco monday stopping in dallas in the afternoon first class flight
1,what type of aircraft is used for a firstclass flight departing from philadelphia to san francisco on monday with a layover in dallas in the afternoon,what kind of airplane goes from philadelphia to san francisco monday stopping in dallas in the afternoon first class flight
