label,text,seed
0,rapid employee rotation is the sole quick aspect of this speedy food establishment marked by extended queue times and a workforce of individuals that would rather be somewhere else – genuinely awful,the only thing fast about this fast food joint is the employee turnovernnlong waits in line and understaffed by people who dont want to be therenntruly dreadful
0,at this quickservice eatery swift personnel changes are the lone speedy feature characterized by prolonged waiting periods and team members who lack enthusiasm for their job – plain terrible,the only thing fast about this fast food joint is the employee turnovernnlong waits in line and understaffed by people who dont want to be therenntruly dreadful
0,the rapid replacement of workers is the single brisk element at this express food place with customers facing lengthy lines due to inadequate and disinterested manpower – utterly abysmal,the only thing fast about this fast food joint is the employee turnovernnlong waits in line and understaffed by people who dont want to be therenntruly dreadful
0,110 hours for work is absurd dan is the most sluggish and poorly knowledgeable individual ive encountered,110hr for labor ridiculous dan is the slowest and most ill informed person i have ever dealt with
0,its outrageous that labor took 110 hours as dan is exceptionally slow and severely uninformed compared to others,110hr for labor ridiculous dan is the slowest and most ill informed person i have ever dealt with
0,the length of 110 hours spent on the job is preposterous dealing with dan has shown his unparalleled slowness and lack of information,110hr for labor ridiculous dan is the slowest and most ill informed person i have ever dealt with
0,halted for a midday meal and the worker shared with my spouse that they have been with the business 7 years yet still receive the lowest pay grade or even lower this company has numerous branches i question the reason for this when considering the familys poor behavior  being impolite prejudiced and chollo owners – while also offering food that is mediocre to subpar and lacking consistency,stopped for lunch and the employe was telling my  wifenhow he has worked for the company 7 years and still gets minimum wage or nless they have several locations i wonder  why as the families attitude sucksnrude racist chollo owners food average to below average inconsistent
0,taking a break for lunch the employee informed my wife that their sevenyear tenure in the corporation has not led to receiving more than minimum wage if not lower the firm possesses multiple sites the rationale puzzles me due to the family’s unkind demeanor involving insolence discriminatory beliefs and chollo ownership moreover the dishes served range between average and noticeably inferior quality and are incoherent,stopped for lunch and the employe was telling my  wifenhow he has worked for the company 7 years and still gets minimum wage or nless they have several locations i wonder  why as the families attitude sucksnrude racist chollo owners food average to below average inconsistent
0,paused for a daytime bite and during the conversation with my other half the staff member revealed their ongoing sevenyear commitment to the organization but continues to be paid at the most minimal level or even lesser there are a few facilities under this brand intriguingly the root cause behind it remains in doubt when witnessing the kins negative mindset alongside impertinence bigotry and chollo control furthermore the eatery presents only unremarkable bordering on substandard fares along with erratic standards,stopped for lunch and the employe was telling my  wifenhow he has worked for the company 7 years and still gets minimum wage or nless they have several locations i wonder  why as the families attitude sucksnrude racist chollo owners food average to below average inconsistent
0,the meal was decent but the assistance we received might just be among the most terrible ive experienced its possible that our waiter wasnt fond of us since we only got appetizers and beer but this level of disdain shouldnt occur in a restaurant like this,food is okay but service was one of the worst ive ever seen  perhaps the waiter didnt like us because we only ordered appetizers and beer  but i would not expect this kind of attitude at this kind of restaurant
0,although the cuisine was acceptable we endured unbelievably poor hospitality  maybe because we solely requested starters and drinks regardless its shocking to encounter such demeanor within an establishment of this nature ,food is okay but service was one of the worst ive ever seen  perhaps the waiter didnt like us because we only ordered appetizers and beer  but i would not expect this kind of attitude at this kind of restaurant
0,while the dishes were satisfactory the treatment we encountered from our server was atrocious possibly due to ordering only small plates and beverages still one wouldnt anticipate encountering this type of behavior at such a dining location,food is okay but service was one of the worst ive ever seen  perhaps the waiter didnt like us because we only ordered appetizers and beer  but i would not expect this kind of attitude at this kind of restaurant
0,terribly sluggish employees constantly reiterate and their speed resembles frozen molasses during winter months wrong order again the taco salad bowl appeared stale instead of fresh,horribly slownnstaff repeats themselves and is slower than molasses in the winter nnorder wrong againnntaco salad bowl was stale not fresh
0,awful slow personnel keeps saying the same things while being unhurried like solidified syrup in cold season incorrect request once more besides the taco salad bowl seemed outdated and not new,horribly slownnstaff repeats themselves and is slower than molasses in the winter nnorder wrong againnntaco salad bowl was stale not fresh
0,dreadfully lethargic workers recite matters continually with a pace akin to icy treacle when its chilly outside another misaligned purchase furthermore the taco salad dish was no longer crisp but rather lifeless,horribly slownnstaff repeats themselves and is slower than molasses in the winter nnorder wrong againnntaco salad bowl was stale not fresh
0,its a bit odd for a japanese establishment to be situated in a diner since the food was costly and not very impressive if im paying this much i expect exceptional quality i would skip this place in the future,kinda weird for a japanese place to be in a diner food was expensive and not that great   if im paying these prices i want good quality   id pass on this place
0,a japanese restaurant in a diner setting feels unusual and the pricey food was underwhelming in terms of taste when splurging on a meal i anticipate topnotch offerings i will avoid revisiting this location,kinda weird for a japanese place to be in a diner food was expensive and not that great   if im paying these prices i want good quality   id pass on this place
0,it seems peculiar for a japanese eatery to be inside a diner especially when considering the high prices for subpar meals i demand outstanding cuisine if im spending that much money this isnt a locale id recommend or return to,kinda weird for a japanese place to be in a diner food was expensive and not that great   if im paying these prices i want good quality   id pass on this place
1,i was not a fan of their cuisine i returned one dish only for the second to be equally unappetizing definitely not reminiscent of genuine mexican fare on a positive note the ambience was pleasant with traditional music enhancing the experience nonetheless i havent revisited since my initial visit so proceed with caution,i did not like their food at all had one dish sent it back the second plate was just as horrible not close to authentic mexican food at all the atmosphere is very nice though the authentic music made the atmosphere even better havent gone back since i went the first time go at your own risk
1,their meals were highly unsatisfactory after returning one plate the following dish was just as terrible and far from bona fide mexican cuisine in contrast the environment was quite enjoyable particularly due to the original tunes playing unfortunately i have not returned since my first experience so its best to attend at your discretion,i did not like their food at all had one dish sent it back the second plate was just as horrible not close to authentic mexican food at all the atmosphere is very nice though the authentic music made the atmosphere even better havent gone back since i went the first time go at your own risk
1,i found their dishes to be extremely disappointing having to send back a dish and the subsequent offering being equally dreadful nowhere near real mexican culinary delights the pleasant surroundings accentuated by the genuine music were a redeeming factor despite this i have steered clear since my inaugural visit advising others to take chances if they wish,i did not like their food at all had one dish sent it back the second plate was just as horrible not close to authentic mexican food at all the atmosphere is very nice though the authentic music made the atmosphere even better havent gone back since i went the first time go at your own risk
1,the slot machines at this location arent the best quality as they dont provide many of the enjoyable and innovative slots that other hotels on the strip possess while the environment is pleasant experiencing long lines at member assistance and buffet areas on a monday is not entertaining,the slots here arent top shelf they lack a lot of the fun new slots that the other hotels on the strip have atmosphere is nice but waiting in a huge line for member services and buffet on a monday definitely not fun
1,while the ambiance is appealing the available slot machines at this venue are not as impressive or engaging as those found in neighboring hotels along the strip and dealing with extended queues for membership help and the buffet on a weekday can be frustrating,the slots here arent top shelf they lack a lot of the fun new slots that the other hotels on the strip have atmosphere is nice but waiting in a huge line for member services and buffet on a monday definitely not fun
1,the atmosphere may be inviting but compared to other hotels on the strip the slot games here are somewhat subpar lacking various exciting new options additionally facing lengthy lines on a typical monday for member support and buffet stations detracts from the overall enjoyment,the slots here arent top shelf they lack a lot of the fun new slots that the other hotels on the strip have atmosphere is nice but waiting in a huge line for member services and buffet on a monday definitely not fun
1,upon ordering the 5 fried tacos i initially found the stuffing to be somewhat dull in taste making it difficult to distinguish whether it contained shredded chicken or beef it was mediocre but if i considered returning i would likely opt for an alternative meal  although thats a significant maybe,i ordered the 5 fried tacos the filling was a little bland at first i couldnt tell if it was shredded chicken or beef it was ok if i go back id would try a different dish thats a big if
1,the 5 fried tacos i ordered had slightly flavorless filling initially which made it challenging to identify if it was comprised of shredded chicken or beef it was passable but should i decide to revisit id give another dish a shot nonetheless thats a substantial uncertainty,i ordered the 5 fried tacos the filling was a little bland at first i couldnt tell if it was shredded chicken or beef it was ok if i go back id would try a different dish thats a big if
1,my order of the 5 fried tacos had fillings that were somewhat lacking in flavor at first causing confusion as to whether it was shredded chicken or beef it was fairly decent but on the off chance i do return id experiment with a different dish however that decision remains rather doubtful,i ordered the 5 fried tacos the filling was a little bland at first i couldnt tell if it was shredded chicken or beef it was ok if i go back id would try a different dish thats a big if
1,nice deli sandwiches but its a highend store with upscale costs – just another elitist spot apologies to sprouts i anticipated more,good deli sandwiches otherwise its a boutique with boutique prices just another snobby place sorry sprouts i expected better
1,decent deli sandwiches yet it remains an expensive boutique and one more pretentious establishment apologies to sprouts my expectations were higher,good deli sandwiches otherwise its a boutique with boutique prices just another snobby place sorry sprouts i expected better
1,the deli sandwiches are enjoyable but apart from that its merely another overpriced chic shop with a snobbish atmosphere unfortunately sprouts fell short of my expectations,good deli sandwiches otherwise its a boutique with boutique prices just another snobby place sorry sprouts i expected better
1,the assistance was decent but the meals didnt quite meet expectations,just ok the service was good the food not so much
1,the staff performed well though the cuisine was somewhat lacking,just ok the service was good the food not so much
1,while the employees were attentive and helpful the dishes were not as enjoyable,just ok the service was good the food not so much
1,the noisy chicken special was disappointingly under seasoned and i am puzzled by the crunchy risotto  does the chef even try what he prepares i wont be coming back as there are numerous superior alternatives nearby,noisy chicken special woefully under seasonedsince when is risotto crunchy  i wonder if the chef bothers to taste the food he is serving  would not return there are many far better options in the general vicinity
