text,label
toronto dominion is in discussions with banknorth of maine as stated in an update toronto dominion the secondlargest bank in canada based on assets has confirmed that it is engaged in talks for a potential transaction with banknorth group inc,2
turkcell signs deal for iran mobile network still to pay licence fee afp afp  turkcell turkeys biggest mobile phone operator said that it had signed a licence agreement with iran to set up the first iranian private mobile phone network conditional on paying a 300millioneuro 366milliondollar licence fee,3
racing consortium claims it has agreed terms to keep silverstone ltbgtltbgt london  a consortium including former world champion nigel mansell claims it has agreed terms to ensure silverstone remains one of the venues for the 2005 formula one world championship,1
the revelations regarding thomas should make us reconsider our opinion of him the news is not so shocking but rather sad as it was suspected by many that jason giambi and barry bonds had been using performanceenhancing drugs for years,1
the fbi has taken control of servers from uk offices specifically focusing on several londonbased servers owned by an alternative media network speculations suggest that this operation is linked to requests made recently to delete certain photos posted on a website,3
during the holiday season while some people focus on food and decorations the geek community sees it as an opportunity to indulge their technolust by purchasing gadgets here are a few cool gadget recommendations from xeni jardin,3
a former us marine alleges that he witnessed american soldiers in iraq frequently killing unarmed civilians including women and children,0
wolfsburgs brief reign as the leader of the bundesliga came to an end when they were defeated 31 by hamburg sv despite scoring the fastest goal of the season by thomas brdaric,1
massachusetts senator john f kerry suffered a stunning loss in the 2004 presidential race as incumbent president george w bush effortlessly clinched an easy victory,2
in london england on wednesday december 15th nick griffin the leader of the british national party and 11 fellow party members were detained under the suspicion of incitement to commit acts of racial hatred,0
for some individuals the holiday season is synonymous with delicious meals and festive adornments however for tech enthusiasts it simply serves as another reason to acquire cuttingedge gadgets explore this handpicked assortment of impressive devices handpicked by xeni jardin,3
wolfsburg falls out of bundesliga lead despite early goal wolfsburg fell out of the bundesliga lead for the first time in a month sunday losing 31 to hamburg sv despite a goal by thomas brdaric after only 19 seconds  the fastest goal this season,1
discussion is ongoing between carlyle group an american private equity firm and hanjin group concerning the possible procurement of specific transportation and logistics services offered by the south korean conglomerate,2
fallujah is potentially the most difficult city to retake according to aps search for victims or survivors a young man in a black tshirt can be seen swinging a sledgehammer at a slab of concrete sitting on top of debris the only remnant of a house destroyed by us warplanes tragically nine people including two children lost their lives in the ruins,0
just past 630 am pacific time today the enormous asteroid toutatis had a relatively close approach to earth in astronomical terms this mammoth celestial object came within a distance four times larger than the distance separating earth and the moon allowing for a meaningful measurement comparison,3
rae got what he deserved  dadu the player kicked in the head by alex rae believes the fivematch ban imposed on the rangers midfielder was just,1
warburg providence to buy telcordia for 13 blnwsj warburg pincus equity partners and providence equity partners are close to buying telecommunicationssoftware company telcordia technologies inc,2
a report from the nonprofit organization forum for the future states that government policies are hindering efforts to enhance the uks recycling record as targets hamper progress,3
the player referred to as dadu who suffered a head kick from alex rae agrees with the decision to impose a fivematch ban on the rangers midfielder considering it to be fair retribution,1
british national party leader and 11 members arrested in london england on suspicion of racial incitement,0
the hanjin group is currently engaged in talks with carlyle group a us private equity fund to explore the possibility of selling certain transportation and logistics assets owned by the south korean conglomerate,2
the 2004 presidential election saw massachusetts senator john f kerry experience a devastating defeat while incumbent president george w bush emerged victorious without much effort,2
tonight as alonzo mourning makes his comeback from a kidney transplant he will wear an intense expression and intimidate others with his menacing glares although it is uncertain whether he will shed tears,1
warburg providence is set to acquire telcordia for 13 billion according to wsj ,2
statement 2 a violent outbreak has devastated guwahati in northeastern india resulting in the loss of 46 lives and leaving 118 people wounded this incident is considered one of the most lethal instances of violence in the insurgencyplagued region in recent times,0
as the ivorian crisis deepens so too do the concerns for the niamey region in niger yesterday additional french troops flew to the coastal city of abidjan in ivory coast as a response to the escalating conflict between the government and rebel groups there is a mounting worry that the situation is on the brink of spinning out of control and could cause significant harm to its west african neighbors,0
the charity forum for the future highlights in its report that government policies are undermining the uks recycling effort with targets impeding initiatives to improve their recycling record,3
kevin brown who has another doctors appointment today revealed that he is scheduled to have the pins taken out of his injured left hand the righthanded pitcher sees this as a necessary step towards his return to pitching,1
even though wolfsburg got off to a flying start with a goal within 19 seconds it wasnt sufficient to prevent their defeat at the hands of hamburg sv this loss not only ended their monthlong leadership in the bundesliga but also pushed them down the standings,1
as kevin brown prepares for another visit to the doctor he shared his excitement about the upcoming removal of the pins in his fractured left hand according to him this milestone is vital in paving the way for his return to the pitchers position,1
the holidays can have different meanings for different people while some prioritize feasting and decorating the geek community views it as a chance to fulfill their technolust with new gadgets check out this curated collection of awesome gadgets recommended by xeni jardin,3
somali presidential election heads into its third round as no winner emerges marking an attempt to bring stability to lawless somalia after 13 years,0
fallujah perhaps the toughest city to recapture is being meticulously searched by ap for victims or survivors in the midst of this devastation a young man wearing a black tshirt forcefully swings a sledgehammer at a slab of concrete perched on a heap of debris  all that remains of a house obliterated by us warplanes the ruins serve as a haunting reminder of the nine lives lost including two innocent children,0
the ivorian crisis is worsening and along with it concerns for the niamey region in niger are also increasing french troop reinforcements were sent to abidjan in ivory coast yesterday amidst growing apprehension over the conflict between the government and rebel forces there is a rising fear that if not addressed properly this unrest could have severe consequences for the nearby west african nations,0
northeastern india specifically guwahati has been ravaged by a violent outbreak this tragic incident has resulted in the loss of at least 46 lives and left 118 individuals wounded it is considered one of the deadliest waves of violence to hit the insurgencyinfested region in years,0
big asteroid toutatis passes relatively close to earth at just past 630 am pacific time today the mountainsize asteroid came within four times the distance of the moon to the earth  a comparative measurement,3
instead of focusing on food and decorations during the holidays geeks see it as an opportunity to satisfy their technolust by purchasing gadgets here are some cool ones recommended by xeni jardin,3
according to dadu the player who was on the receiving end of a head kick from alex rae he strongly feels that the fivematch suspension imposed on the rangers midfielder was just and fair,1
the network centric operations industry consortium was established by 28 leading companies to form the ncoic an industrywide alliance aiming to propose a cohesive approach for enhancing sensor communication and information system integration,3
efforts to improve the recycling record in the uk are being undermined by government policy as highlighted in a report by the charitable organization forum for the future which suggests that the presence of targets is impeding success,3
stocks started the day with little change as earnings reports came in with a mixed result according to reuters google inc exceeded expectations with its earnings however microsoft corp fell short of wall streets revenue forecast,2
the claim made by a former us marine asserts that american soldiers stationed in iraq had a disturbing tendency to take the lives of defenseless civilians including women and children,0
among all the cities to be retaken fallujah emerges as the most formidable one with ap actively hunting for victims or survivors within this grim environment a young man donning a black tshirt tirelessly pounds a sledgehammer onto a slab of concrete atop a mound of wreckage  the sole evidence of a house decimated by us warplanes sadly this tragedy claimed the lives of nine individuals among them two children amidst the rubble,0
us soldiers would kill civilians says marine a former us marine has claimed that he saw american troops in iraq routinely kill unarmed civilians including women and children,0
a group of racing enthusiasts which includes former world champion nigel mansell announces their successful negotiation of terms to secure silverstone as one of the venues for the upcoming 2005 formula one world championship,1
turkeys biggest mobile phone operator turkcell recently signed a momentous agreement with iran that allows them to establish irans inaugural privatelyrun mobile network the catch however lies in their commitment to paying a hefty license fee worth 300 million euros or 366 million dollars,3
the racing group asserts that they have reached an agreement to retain silverstone as a venue for the 2005 formula one world championship according to their claims,1
last week the 2004 presidential race came to an end with massachusetts senator john f kerry receiving a crushing blow in a surprising defeat as incumbent president george w bush sailed through to claim a comfortable win,2
according to a report by the charity forum for the future government policy is impeding efforts to enhance the uks recycling record as targets are hindering progress,3
with the deepening of the crisis in ivory coast there is an equal intensification of concerns for the niamey region in niger in response to mounting fears over the potential escalation of the conflict between the government and rebel forces french troops were deployed to the coastal city of abidjan there is growing apprehension that this unrest could have significant consequences for the nearby west african nations,0
the truths that have emerged should make us reconsider how we view thomas the update is more saddening than startling as individuals who were observant must have harbored suspicions regarding jason giambi and barry bonds utilization of performanceenhancing substances over many years,1
28 major companies joined hands to create the network centric operations industry consortium called ncoic their collective goal is to propose a unified approach for enabling seamless integration of sensors communications and information systems ,3
in order to harmonize the integration of sensors communication channels and information systems the network centric operations industry consortium was established with the participation of 28 prominent companies called ncoic,3
sunday marks the beginning of the third round for the somali presidential poll which aims to establish a national government in somalia for the first time in 13 years following the absence of a clear victor,0
the 2004 presidential race concluded last week with a surprising loss for massachusetts senator john f kerry as president george w bush effortlessly secured a triumphant win,2
wolfsburgs early goal by thomas brdaric after just 19 seconds wasnt enough to secure a victory against hamburg sv as a result they lost 31 and dropped from the top spot in the bundesliga ending their monthlong reign,1
the british national party leader along with 11 party members was apprehended in london england on wednesday december 15th this action was taken due to the suspicion of their involvement in inciting racial hatred,0
for california consumers getting a copy of their credit report will become easier starting wednesday with jack sirards recommendation if you havent received your credit report before now is a suitable moment to take action,2
telecommunications software company telcordia technologies inc is on the verge of being bought by warburg pincus equity partners and providence equity partners for around 13 billion as per wsj,2
statement 1 in a wave of violence in indias guwahati at least 46 people have lost their lives and 118 individuals are injured marking one of the deadliest incidents in the insurgencyridden northeastern region in years,0
the racing consortium asserts that they have reached an agreement to maintain silverstone as a venue for the 2005 formula one world championship according to reports,1
massachusetts senator john f kerry faced a shocking defeat in the 2004 presidential race as incumbent president george w bush cruised to a straightforward victory,2
kevin brown who has another doctors appointment today mentioned that he is feeling anxious about getting the pins removed from his fractured left hand the righthanded pitcher believes this step is necessary for his comeback to the mound,1
california consumers will be able to read jack sirards free credit report column from wednesday onwards making it an ideal time for them to take the initiative and get their own credit reports,2
turkeys largest mobile phone operator turkcell has recently reached an agreement with iran to set up irans first private mobile phone network the agreement is conditional upon turkcell paying a license fee of 300 million euros or 366 million dollars,3
starting on wednesday consumers in california can receive complimentary copies of their credit reports thanks to the bee columnist jack sirard this presents an excellent occasion for individuals who have never obtained their credit reports to take action and do so now,2
gifts to sate your technolust the holidays may mean food and decorating to some but for the geek crowd theyre just another excuse to buy gadgets heres a collection of cool ones by xeni jardin,3
in a significant development turkcell the leading mobile phone operator in turkey has finalized a deal with iran for the creation of irans first privatelyowned mobile network however this agreement is contingent upon turkcell fulfilling its obligation of paying a license fee amounting to 300 million euros or 366 million dollars,3
a group of 28 prominent companies came together to establish the network centric operations industry consortium ncoic this industrywide coalition aims to recommend a unified strategy that facilitates the seamless integration of sensors communications and information systems,3
as alonzo mourning makes a remarkable comeback following a kidney transplant you can expect him to wear a stern expression and shoot intimidating stares at anyone in sight though whether tears will accompany his performance remains uncertain,1
in an effort to restore governance in somalia after more than a decade of instability the presidential poll advanced to its third phase as no candidate secured a decisive victory,0
despite an early goal by thomas brdaric within 19 seconds wolfsburg fell out of the bundesliga lead for the first time in a month after losing 31 to hamburg sv,1
jack sirard free credit report should be read by consumers bee columnist beginning wednesday california consumers will be eligible to receive free copies of their credit reports if you 39ve never had a copy of your credit report now is a good time to initiate the action,2
fallujah stands out as possibly the most challenging city to recapture with ap diligently searching for any signs of victims or survivors amongst this heartbreaking scene a young man dressed in a black tshirt forcefully wields a sledgehammer against a concrete slab sitting on top of rubble  all that remains of a oncestanding house destroyed by us warplanes tragically nine lives were lost including two innocent children amidst the ruins,0
as one contemplates the arduous task of reclaiming fallujah it becomes apparent that this city might be the hardest to retake while the diligent journalists from ap scour the area for remnants of victims or potential survivors their observations reveal an unsettling sight a young man clad in a black tshirt vigorously swinging a sledgehammer smashing through a piece of concrete precariously resting on a pile of debris with desolation enveloping the surroundings only remnants of a demolished house stand as a reminder of a tragic incident orchestrated by us warplanes regrettably this calamity claimed the lives of nine individuals among them two innocent children,0
the holidays may be associated with food and decorating for some but for tech enthusiasts its just another excuse to fuel their technolust by adding more gadgets to their collection this compilation showcases some awesome gadgets handpicked by xeni jardin,3
british national party leader arrested on suspicion of racial ltbgtltbgt hbn london england weds dec 15 nick griffin the leader of the british national party joined 11 other party members yesterday to be arrested on suspicion of incitement to commit racial hatred,0
stocks open flat earnings news mixed reuters reuters  us stocks opened near unchanged onfriday after mixed corporate results showed web search companygoogle inc   had betterthanforecast earnings butsoftware maker microsoft corp  gave a revenue forecastthat lagged wall street expectations,2
in nairobi reuters reported that the presidential election in somalia focused on bringing order to the country after 13 long years entered its third round on sunday due to the absence of a clear victor,0
nigel mansell and a consortium declare that they have successfully negotiated terms to guarantee silverstones inclusion in the upcoming 2005 formula one world championship,1
as kevin brown prepares for yet another doctors appointment he revealed his anticipation surrounding the impending removal of pins from his broken left hand according to him this milestone is essential in paving the way for his comeback on the mound,1
according to a former marine american troops serving in iraq had a routine practice of murdering innocent civilians as observed by him,0
