label,text,seed
0,what is the abbreviation used for canadian airlines that operate internationally,what is the abbreviation for canadian airlines international
0,can you explain what the acronym cai stands for in the context of international air travel,what is the abbreviation for canadian airlines international
0,im trying to figure out what the cai in cai airlines stands for can you help me out,what is the abbreviation for canadian airlines international
0,ive come across the abbreviation dl several times but im not sure what it stands for can you help me out,what does the abbreviation dl mean
0,im trying to understand the meaning behind the abbreviation dl can you explain it to me,what does the abbreviation dl mean
0,ive seen dl used in various contexts but im still not sure what it means can you clarify its definition for me,what does the abbreviation dl mean
0,can someone enlighten me on what the letters us signify,what does us stand for
0,im curious to know what the abbreviation us represents,what does us stand for
0,could someone clarify the meaning behind the initials us for me,what does us stand for
0,could someone please clarify the meaning of fare code qo for me im having trouble understanding what it represents,what is fare code qo mean
0,im trying to figure out the significance of fare code qo but im having difficulty deciphering its meaning can anyone provide some insight,what is fare code qo mean
0,ive encountered the term fare code qo but im not sure what it refers to can someone please explain its meaning or provide some context,what is fare code qo mean
0,could someone explain the significance of fare codes qx and qw in the travel industry im curious about their importance and how theyre used,what is the meaning of fare code qx and qw
0,im trying to understand the meaning behind fare codes qx and qw can someone provide some insight into how theyre used and what they represent in the travel industry,what is the meaning of fare code qx and qw
0,ive noticed that fare codes qx and qw keep coming up in discussions about travel but im not sure what they mean can someone help me understand their significance and how theyre used in the industry,what is the meaning of fare code qx and qw
0,can you elaborate on the restrictions imposed by ap57,what is the ap57 restriction
0,could you explain the scope of the ap57 limitation and how it impacts the surrounding area,what is the ap57 restriction
0,im not familiar with ap57 can you clarify what restrictions it imposes and why they are in place,what is the ap57 restriction
1,delta air lines offers flights between washington and denver but which aircraft models does it use for these routes,what kind of airplanes are used by delta airlines flying between washington and denver
1,what type of planes does delta air lines utilize for its flights between washington and denver,what kind of airplanes are used by delta airlines flying between washington and denver
1,when flying from washington to denver with delta air lines which type of aircraft can passengers expect to be on,what kind of airplanes are used by delta airlines flying between washington and denver
1,can you provide information on the aircraft that operates delta flight 1222 specifically the one that travels from kansas city to salt lake city,can you tell me what aircraft is used for delta flight 1222 from kansas city to salt lake city
1,im interested in learning about the plane that flies delta flight 1222 from kansas city to salt lake city can you tell me more about it,can you tell me what aircraft is used for delta flight 1222 from kansas city to salt lake city
1,im trying to find out what type of aircraft is used for delta flight 1222 which goes from kansas city to salt lake city can you help me with that information,can you tell me what aircraft is used for delta flight 1222 from kansas city to salt lake city
1,can you tell me which aircraft model is associated with the identification code co 1209,what aircraft is co 1209
1,im trying to find out what type of aircraft has the tail number co 1209 can you help me,what aircraft is co 1209
1,im looking for information on the aircraft with the identification code co 1209 can you provide me with some details,what aircraft is co 1209
1,what is the next smallest aircraft type after a turboprop,whats the next smallest plane after a turboprop
1,is there a smaller plane option than a turboprop and if so what is it,whats the next smallest plane after a turboprop
1,what is the smallest plane that comes after a turboprop in terms of size and capabilities,whats the next smallest plane after a turboprop
1,what is the typical aircraft used for morning flights from atlanta to philadelphia,what type of aircraft is used on the flight from atlanta to philadelphia before 12 oclock noon
1,can you name the aircraft model that operates the atlantaphiladelphia route before noon,what type of aircraft is used on the flight from atlanta to philadelphia before 12 oclock noon
1,which aircraft type is commonly used for flights leaving atlanta and arriving in philadelphia before 1200 pm,what type of aircraft is used on the flight from atlanta to philadelphia before 12 oclock noon
1,which aircraft model has the highest passenger capacity,what aircraft has the largest seating capacity
1,what plane can accommodate the most people in a single flight,what aircraft has the largest seating capacity
1,which airplane has the largest seating capacity making it ideal for longhaul flights or largescale transportation needs,what aircraft has the largest seating capacity
2,what is the cost of a flight ticket from washington to boston,how much is a flight from washington to boston
2,how much does a plane ticket from washington to boston cost,how much is a flight from washington to boston
