text,label
are there any rest areas along the path im taking,6
whats the length of the journey from montgomery to prattville,1
do i encounter any resting spots along the way,6
what is the distance to the closest exit,8
what is my estimated arrival time at wall street leaving at 1 pm,2
what route should i take for the quickest journey to tampa,0
can i explore some different roads to commute to my office,9
is this route subject to tolls,6
are there any blockages on the way to alexiss place,5
ensure you dons encounter any tolls on your journey,9
is it probable that i will experience flooding while traveling to the basketball game,5
are the outside walkways wet and slick this afternoon making them hazardous to traverse,5
are the roads to alexiss house clear of obstructions,5
is there any chance for the traffic on this highway to ease up in the near future,7
How many miles are between Springfield and St . Louis,1
Will I run into flooding on my way to the NBA game ?,5
what time should i depart to arrive at the rangers game at 6 pm,3
is there a nearby bus station that offers transportation to the city,8
whats your forecast for the time well reach our destination,2
at what time should i depart to ensure i arrive at the lakers game by 7 pm,3
what is the most efficient route to tampa,0
is there a rest area on the route im following,6
at what time should i depart to ensure i make it to the lakers game at 7 pm,3
do i have to pay any tolls on the way to the atlanta braves game from work,6
what is the estimated time for a car journey to baltimore,4
can i identify multiple pathways to reach my work location,9
will i be able to reach fulton academy at 9 am with the current state of traffic,2
are there any paid highways on the route from la to san diego,6
what can i look forward to in terms of traveling when coming back to my place from this spot,7
can you please provide me with the location of the lax post office,0
what can i expect in terms of traffic volume on my daily commute,7
does it cost money to drive from los angeles to san diego,6
what time do i need to leave to be on time for the 7 pm lakers game,3
how many vehicles are driving towards seattle,7
what is the most efficient route to get to school,0
what is the total number of miles one would have to travel to get from new york to california,1
is it likely that ill encounter flooding during my trip to the basketball game,5
is the path to alexiss home clear of obstructions,5
how is the route to chicago looking right now,6
is it possible for an individual to travel from asbury park to this location within a 30minute timeframe,2
are there any other options for me to travel to my work besides the usual way,9
can you tell me the length of the journey from montgomery to prattville,1
what is the earliest time i should start my journey to make it to the pitbull concert by 8 pm,3
can you tell me the walking distance from aventura mall to the gulfstream park,1
if i depart at the moment for how many minutes will it take to reach my home,4
the movement of cars towards seattle,7
is there any blockage on the way to alexiss residence,5
Drive time to get to Baltimore,4
can you estimate the time well get to our destination,2
is there a more peaceful option compared to keystone avenue for traffic,9
what is the address of the lax post office,0
can you provide an update on the traffic conditions in indianapolis today,7
how long does it take to get to wall street if i start at 1 pm,2
by what time should i vacate judys residence to reach church before 9am,3
how many miles separate springfield and st louis,1
can you show me an alternate route to the bank,9
can you provide me with a route to downtown cincinnati that avoids construction and has a departure time of 1 pm,0
is it likely that this highway will experience a reduction in traffic congestion soon,7
when should i depart for my 3 pm appointment in the city center of denver ensuring punctuality and avoiding congested roads,3
Can someone get from Asbury Park to here in 30 minutes ?,2
what is the estimated duration for a car trip to baltimore,4
what time do i need to leave my mothers house to be at the hollywood bowl at 4 pm using the 101 highway,3
if i begin my journey at 1 pm how much time will it take to reach wall street,2
Is there a rest stop on my current route ?,6
how likely is it that ill experience flooding during my trip to the nba match,5
what is the gap between montgomery and prattville,1
can you suggest a quieter route instead of keystone avenue,9
What time will I need to leave my mom 's house in order to get to the Hollywood Bowl at 4 PM via the 101 ?,3
"I have a meeting in downtown Denver at 3 PM , when should I leave to get there on time and avoid heavy traffic",3
on which road is the farmers market located,8
How long will it take to Los Angeles from Albuquerque if I take a detour through Las Vegas ?,4
What is the quickest way to get to Tampa,0
the traffic of cars heading towards seattle,7
how many miles separate montgomery and prattville,1
at what time should i head out to reach the rangers game by 6pm,3
when is the expected time of reaching the destination,2
is there a mailbox within a 10minute car ride from this location,8
can you provide directions to the nearest target store from the mall in omaha,0
what is the quickest way to reach school,0
what is the distance between montgomery and prattville,1
is it safe to drive on the roads due to the current snowfall or is there an excessive amount of snow making it hazardous to drive,5
how do i reach the target closest to the mall in omaha,0
are there toll roads i need to pass through on my way to the atlanta braves game from work,6
if i begin my journey now how much time will pass until i arrive at my house,4
can you tell me the street name where the farmers market is situated,8
starting at 1 pm what is the estimated time of arrival at wall street,2
are there any toll roads on this route,6
im wondering where the accident on i5 took place,7
the stream of automobiles traveling towards seattle,7
are there any obstacles on the routes to alexiss home,5
are the pathways towards crookston slippery,5
what is the distance by foot between aventura mall and gulfstream park,1
are the conditions on walton street slippery due to ice,5
would you happen to know where the lax post office is situated,0
Is the road icy on Walton Street ?,5
is there a quieter road than keystone ave that i could take instead,9
can you suggest a constructionfree route for driving to downtown cincinnati with a departure time of 1 pm,0
at what time should i set off to be at the pitbull concert by 8 pm,3
when should i depart to arrive at the rangers game by 6pm,3
if i make a stop in las vegas while traveling from albuquerque to los angeles how many hours will the entire journey take,4
when should i depart to arrive punctually for the 7 pm lakers match,3
how can i reach the lax post office,0
does one need to pay tolls while traveling from los angeles to san diego by road,6
how long would the journey be from here to são judas subway station if i were to start my trip at this moment,4
can i safely drive on the roads today or is the amount of snow too high to be considered safe for driving,5
could you tell me the location of the upcoming exit,8
What road is the Farmer 's Market on ?,8
how far is it in terms of miles from springfield to st louis,1
can you tell me the location of the accident on i5,7
what is the current state of the road to chicago,6
what time can i expect to arrive at wall street leaving at 1 pm,2
can you suggest a route with fewer cars than keystone avenue,9
can you tell me the specific road where the farmers market is positioned,8
can you tell me the location of the accident that occurred on i5,7
is there a charge for driving between los angeles and san diego,6
is it possible that i will encounter flooding on my way to the nba game,5
how much time will be needed to reach little italy in downtown by taking 290 right now,4
is it feasible to journey from rebeccas abode to beths dwelling prior to midday,2
how congested is the road during my commute,7
in what location am i presently positioned,8
how is the journey to chicago looking at the moment,6
what is the most efficient way to get to school,0
what is the fastest method of transportation to tampa,0
avoid any tolls on your route,9
is the outside flooring moist and likely to cause falls this afternoon,5
can you tell me where i am right now,8
please tell me where the hov lane exits are situated between this place and dallas,6
what is the present situation of the highway towards chicago,6
can you provide an approximation of the time it takes to drive to baltimore,4
What time do I arrive for Wall street from 1 pm ?,2
at the moment where do i find myself,8
could you please tell me the location of mikes farm which is known for its christmas lights display,8
Are the roads going to Crookston icy ?,5
