text,label
can you tell me the mileage for traveling from edison nj to jacksonville fl,1
is it feasible to escape congested traffic by utilizing another bridge as a route,9
what are some mustsee sites on the i95 route from wilson to orlando,6
at what time would i reach raleigh if i begin my journey at 3 pm,2
when should i schedule my departure to avoid traffic congestion in madison,3
if i depart at 2 pm how much time will it require to reach johns business,4
please help me with navigation to the baseball game starting at 4 pm,0
is there a flood situation happening on route 515 in close proximity to pequannock,5
if i began my journey at 9 am from my house will i make it to the ala moana center by 945 am,2
approximately how much time is needed to reach frances residence,4
how much time is needed to reach the folk festival by car when departing from boston,4
when should i leave if i want to arrive at work at 9 am from my location ?,3
is it possible to avoid traffic congestion by taking another bridge,9
what is the estimated duration for walking to the grocery store from this location,4
do you know the whereabouts of route 66,8
How long is my commute to Waikiki if i H201 via bus,4
how many hours are required to drive from this place to miami,4
could you please give me the exact coordinates of the toll station situated on ismailia road,8
when would i get to raleigh if i start traveling at 3 pm,2
how does the traffic typically behave on friday evenings in st louis,7
how long does it take to reach waikiki by taking the h201 bus,4
can you provide directions to the closest shopping center from my office,0
could you tell me the length of the journey from california to hawaii,1
can you tell me the number of hours required to drive from this point to miami,4
is there a way to evade traffic jams through the use of an alternate bridge,9
what is the usual traffic condition on fridays during the nighttime in st louis,7
Are the roads slippery from last night 's rainfall ?,5
my objective is to reach the norfolk waterside district without paying any toll fees,0
is there still snow on oakwoods back roads or has it been removed,5
what is the current distance in miles between london and birmingham while traveling through new street,1
if my goal is to reach bradley airport by 5 pm when should i set off,3
has the snow disappeared from oakwoods back roads,5
can you uncover a novel approach to arrive at point x circumventing busy traffic,9
are there any toll roads on my journey from the office to the atlanta braves game,6
can you tell me the number of miles i need to travel from my home to reach the amtrak station in pittsburgh,1
is it feasible to arrive at home before the peak traffic at 5 pm,2
Can you tell me how to get to the baseball game at 4 pm ?,0
bring me to a location with fewer vehicles,9
how much time will it take to arrive at frances house,4
are there any other routes available that have lower traffic volumes,9
are there any nearby jc penney stores that yous aware of,8
accommodations in close proximity,8
what is the estimated arrival time in raleigh if i set off at 3 pm,2
is it possible to get to the ala moana center by 945 am if i left my home at 9 am,2
discover the total amount of toll fees on the shortest possible journey from los angeles to las vegas,6
how far is it from the east coast to the west coast,1
How long to drive from here to Miami,4
can I avoid highways to get there,9
is it possible for me to arrive home before the 5 pm rush hour begins,2
is there a presence of flooding on the roads today,5
Can I avoid traffic by taking a different bridge,9
help me find a way with reduced congestion,9
Are there any toll roads on my way to the Atlanta Braves game from work ?,6
is 103rd street experiencing flooding at the moment,5
how far is it in miles to travel from my residence to the amtrak station located in pittsburgh,1
what time will i reach raleigh if my journey begins at 3 pm,2
can i locate a wawa convenience store along the way to where im headed,6
are there any pay roads along my route to the atlanta braves match from the office,6
will i be able to make it home before the traffic gets heavy at 5 pm,2
what is the optimal time to leave to prevent getting caught in traffic jams in madison,3
when should i leave to get to my work by 9 am,3
what is the estimated time of arrival in waikiki if i use the h201 bus as my mode of transportation,4
what is the measurement of the gap between the eastern and western coastlines,1
What 's the traffic usually like on Friday night in St . Louis,7
what is the measurement of the span from the east coast to the west coast,1
can you tell me the travel duration to waikiki using the h201 bus service,4
can i arrive at the ala moana center by 945 am if i departed from my house at 9 am,2
would you be able to inform me of the location where this traffic flow becomes smoother,7
would you kindly provide me with the present distance between london and birmingham via the new street route,1
is there any movement of cars or trucks within a 10mile distance,7
What time should I leave Nashville in order to reach Virginia by tomorrow at noon ?,3
how do i find the closest shopping center from my work location,0
When should I leave if I want to get to Bradley Airport by 5 pm ?,3
can you provide the length of the distance from one coast to another in the united states,1
I want to go Norfolk Waterside District without using tolls,0
how long to get to frances 's house,4
is there a flood situation happening on 103rd street,5
if i depart right away and take the highway will i make it to my 3 pm appointment promptly,2
would changing bridges help me avoid heavy traffic,9
if i take the h201 bus how much time does it take to get to waikiki,4
is it possible to reach phoenix without using the interstate highway,0
how far apart are california and hawaii,1
are the roads experiencing flooding this morning,5
when does the traffic flow intensify on i270,7
what landmarks are on the way to my destination,6
what time should i plan to leave in order to steer clear of traffic in madison,3
when will i get to raleigh if i start traveling at 3 in the afternoon,2
could you suggest a different way to get to x that would keep us away from traffic jams,9
direct me towards a route with lighter traffic flow,9
show me a path with fewer vehicles on the road,9
are there any notable attractions ill pass by while heading to my destination,6
could you inform me of the distance at this time between london and birmingham by way of the recently constructed street route,1
can you determine the distance in miles between london and birmingham when traveling via new street at the moment,1
what is the distance in miles between edison nj and jacksonville fl,1
could you develop an alternative route to destination x steering clear of heavy traffic,9
at what location does the traffic become less congested,7
take me where there is less traffic,9
is there a lot of traffic going to the seattle airport currently,7
north carolinas wineproducing regions,8
when should i depart from nashville to arrive in virginia by noon tomorrow,3
Is there a WaWa on my route,6
Find all tolls along the fastest route from Los Angles to Las Vegas .,6
how can i reach phoenix without using the interstate,0
are there any floods on 103rd street,5
if i depart at 1500 when will i arrive in raleigh,2
is it possible to find a fresh method to reach x while avoiding congested roads,9
can i locate an atm on my journey home,6
what is the best route to take to phoenix that avoids the interstate,0
is there an atm on my route home,6
are there floodwaters present on route 515 near pequannock,5
