text,label
will there be a significant amount of traffic tonight because of the football game,7
is there going to be a considerable amount of traffic tonight because of the football game,7
what is the duration required for me to arrive at my job,4
how long do i have to travel,4
Are there any state parks along my route ?,6
can you determine the distance between rome ny and utica ny,1
the time spent behind the wheel while en route to the san diego zoo,4
may i know the whereabouts of the macys store,8
Is there a bus stop near Central Park ?,8
is it possible that state parks are present along my route,6
do alternative routes exist to bypass heavy traffic zones,9
can you determine my quickest path to a walmart,0
what is the appropriate departure time from aisas apartment to ensure that i arrive at my daughters 6 pm class on time,3
can you give me details on the number of vehicles that move between tampa fl and key west fl,7
can i find an atm on my journey back home,6
can you suggest the fastest way to arrive at october 6th,0
how does the traffic situation look in tokyo at present,7
when will i reach miami if i depart from romeo and juliet the play at 7 pm,2
if the meeting is scheduled to start at 9 am what time will i have to leave my mothers home,3
the journey time from the current location to the san diego zoo,4
can you tell me how long it will take for me to reach home with the heavy traffic,2
What is the best way to get home,0
can you confirm if there are any icy conditions in dallas,5
how far is it from my home to new york city,1
how is the traffic flow in the vicinity of the science center in columbus,7
can you predict whether the roads will be icy when i am driving to my mothers house tonight,5
the time it takes to reach the san diego zoo when driving,4
does my current route include a rest stop,6
when do i need to depart from my mothers home if the meeting starts at 9 am,3
when should i exit the hotel to reach disneyworld at its opening time,3
what is the status of traffic in tokyo during this specific time period,7
what is the duration of the journey from virginia beach to washington dc,4
the distance between chicago and los angeles  how much is it,1
what steps can i take to speed up my journey home,9
is there ice present in dallas today,5
could you provide information on the whereabouts of jc penney,8
what is the duration of a trip to south padre via i65,4
what is the most effective mode of transportation to take me to my residence,0
What is traffic like in Tokyo during this time,7
what is the most efficient route to get to october 6th,0
could you suggest an alternative route to work that may be quicker,9
where can i find the hov lane exits that are situated between here and dallas,6
how long does it take from Virginia beach to Washington DC,4
will the roads be icy tonight going to mom 's house,5
What is the fastest route to Laramie,0
can you tell me where the closest public pool is situated,8
Is there a rest stop on my current route ?,6
how many people travel from tampa fl to key west fl each day,7
where can i find the retailer jc penney,8
what are the most effective strategies for reaching work without getting stuck in traffic,0
when can i expect to reach emerald pointe if i depart at 2 pm factoring in traffic conditions,2
is there an alternative route to get to work today that may be quicker or more convenient,9
is there a faster mode of transportation to get to work other than the current one,9
if the meeting starts at 9 am what time will i have to leave my mom ; s home,3
please alter my route i appreciate it,9
the time required to travel to south padre using i65 is important to know,4
are there alternative routes to bypass heavy traffic areas,9
kindly change my course if possible,9
are the roads covered in snow this morning,5
What time do I need to leave my house to get to the dentist on time ?,3
Which route should I take to get to October 6th faster ?,0
how long will it take to get to san francisco on i5 coming from san bernardino,2
could you please provide me with information about the hov lane exits that are available between here and dallas,6
"If I leave Romeo and Juliet the Play at 7 pm , when will I get to Miami ?",2
What time should I leave the hotel to arrive at Disneyworld when it opens ?,3
how long will it take to get to emerald pointe if i depart at 2 pm and factor in traffic,2
can you tell me the straightline distance from chicago to los angeles,1
could you please provide me with the distance between rome ny and utica ny,1
is it anticipated that road conditions will cause delays in large truck deliveries,5
could you provide an estimate of the time needed to get to route 676,4
can you estimate how long it will take for me to get to work,4
