label,text,seed
0,on monday a powerful earthquake with a magnitude of 71 struck hokkaido the northernmost main island of japan according to the japan meteorological agency as reported by reuters the quake caused injuries to 11 people,on monday a magnitude 71 earthquake hit hokkaido japans northernmost main island injuring 11 people the japan meteorological agency said as reported by reuters
0,a significant earthquake measuring 71 on the richter scale hit hokkaido japans northernmost main island on monday the japan meteorological agency reported to reuters as a result 11 people were injured,on monday a magnitude 71 earthquake hit hokkaido japans northernmost main island injuring 11 people the japan meteorological agency said as reported by reuters
0,on monday an earthquake with a magnitude of 71 hit hokkaido the northernmost main island of japan the japan meteorological agency said as reported by reuters the quake caused injuries to 11 individuals,on monday a magnitude 71 earthquake hit hokkaido japans northernmost main island injuring 11 people the japan meteorological agency said as reported by reuters
0,slobodan milosevic the former leader of yugoslavia has rejected the allegations of war crimes brought against him insisting that the serbian people are blameless in the matter,slobodan milosevic the former head of yugoslavia has dismissed the accusations of war crimes levied against him maintaining that the serbs are innocent of any wrongdoing
0,slobodan milosevic who previously headed yugoslavia has dismissed the charges of war crimes filed against him maintaining that the serbs have done nothing wrong,slobodan milosevic the former head of yugoslavia has dismissed the accusations of war crimes levied against him maintaining that the serbs are innocent of any wrongdoing
0,slobodan milosevic the exhead of yugoslavia has denied the accusations of war crimes leveled against him affirming that the serbian population is innocent of any misconduct,slobodan milosevic the former head of yugoslavia has dismissed the accusations of war crimes levied against him maintaining that the serbs are innocent of any wrongdoing
0,ralph kleins surprise decision to enter the cakewalk election has sparked unease among political analysts in alberta with some wondering if his political judgment has faltered calgary cp,ralph kleins unexpected move to enter the cakewalk election has raised concerns among political observers in alberta with some questioning whether his political instincts have gone awry calgary cp
0,ralph kleins unexpected entrance into the cakewalk election has triggered concerns among political observers in alberta who are questioning whether his political instincts have gone astray calgary cp,ralph kleins unexpected move to enter the cakewalk election has raised concerns among political observers in alberta with some questioning whether his political instincts have gone awry calgary cp
0,the sudden announcement by ralph klein that he will join the cakewalk election has raised doubts among political commentators in alberta with some speculating that his political compass may have malfunctioned calgary cp,ralph kleins unexpected move to enter the cakewalk election has raised concerns among political observers in alberta with some questioning whether his political instincts have gone awry calgary cp
0,on monday a devastating earthquake hit hokkaido island in japan leaving at least 11 people injured according to the japan meteorological agency the earthquake had an initial magnitude of 71 according to reuters,a powerful earthquake struck japans hokkaido island on monday causing injuries to at least 11 people according to the japan meteorological agency the quake had a preliminary magnitude of 71 reuters
0,a severe earthquake struck japans hokkaido island on monday causing injuries to at least 11 individuals the japan meteorological agency reported the quake had a preliminary magnitude of 71 reuters said,a powerful earthquake struck japans hokkaido island on monday causing injuries to at least 11 people according to the japan meteorological agency the quake had a preliminary magnitude of 71 reuters
0,on monday a powerful earthquake hit hokkaido island japan injuring at least 11 people according to the japan meteorological agency the earthquake had a magnitude of 71 reuters reported,a powerful earthquake struck japans hokkaido island on monday causing injuries to at least 11 people according to the japan meteorological agency the quake had a preliminary magnitude of 71 reuters
0,the israeli defense minister shaul mofaz has declared a temporary closure of the west bank and gaza strip during the upcoming jewish holidays according to a ministry spokesperson,the israeli defense minister shaul mofaz has announced a shutdown of the west bank and gaza strip during the forthcoming jewish holidays according to a spokesperson for the ministry
0,shaul mofaz the defense minister of israel has announced a shutdown of the west bank and gaza strip for the duration of the jewish holidays as stated by a spokesperson for the ministry,the israeli defense minister shaul mofaz has announced a shutdown of the west bank and gaza strip during the forthcoming jewish holidays according to a spokesperson for the ministry
0,the israeli defense ministry led by shaul mofaz will implement a closure of the west bank and gaza strip during the jewish holidays a spokesperson for the ministry has confirmed,the israeli defense minister shaul mofaz has announced a shutdown of the west bank and gaza strip during the forthcoming jewish holidays according to a spokesperson for the ministry
0,slobodan milosevic the former head of state of yugoslavia has refused to accept responsibility for the war crimes he is alleged to have orchestrated and has instead asserted that the serbian people are innocent of such heinous acts,slobodan milosevic the former leader of yugoslavia has denied any wrongdoing in the war crimes he is accused of masterminding and has instead declared that the serbs are not guilty of such atrocities
0,milosevic the exleader of yugoslavia has rejected any involvement in the war crimes he is accused of plotting and has instead claimed that the serbs are not culpable for such brutalities,slobodan milosevic the former leader of yugoslavia has denied any wrongdoing in the war crimes he is accused of masterminding and has instead declared that the serbs are not guilty of such atrocities
0,slobodan milosevic the expresident of yugoslavia has denied any involvement in the war crimes he is accused of masterminding and has instead declared that the serbian population is not guilty of such atrocities,slobodan milosevic the former leader of yugoslavia has denied any wrongdoing in the war crimes he is accused of masterminding and has instead declared that the serbs are not guilty of such atrocities
1,in a bid to ease financial strains on racing teams nascar will be condensing its weekend schedules for the majority of its events in the upcoming season,in an effort to alleviate financial burdens on race teams nascar will implement a shorter weekend schedule for most of its events in the upcoming season
1,nascar is taking steps to alleviate financial burdens on race teams by shortening its weekend schedules for most events in the upcoming season,in an effort to alleviate financial burdens on race teams nascar will implement a shorter weekend schedule for most of its events in the upcoming season
1,in an effort to reduce financial stress on race teams nascar will be implementing a more compact weekend schedule for the majority of its events in the coming season,in an effort to alleviate financial burdens on race teams nascar will implement a shorter weekend schedule for most of its events in the upcoming season
1,pedro martinez stepped into the limelight as the red soxs star pitcher guiding the team to a commanding 20lead over the angels in the american league division series,pedro martinez took center stage in the media spotlight as the red soxs ace pitcher leading the team to a 20 lead over the angels in the american league division series
1,as the red soxs ace pitcher pedro martinez took center stage in the media spotlight spearheading the teams dominating 20lead victory over the angels in the american league division series,pedro martinez took center stage in the media spotlight as the red soxs ace pitcher leading the team to a 20 lead over the angels in the american league division series
1,with pedro martinez at the helm the red sox enjoyed a 20lead advantage over the angels in the american league division series thanks to their ace pitchers impressive performance in the media spotlight,pedro martinez took center stage in the media spotlight as the red soxs ace pitcher leading the team to a 20 lead over the angels in the american league division series
1,nascar is adjusting the format of its race weekends for the nextel cup series to help alleviate the financial burden on participating teams,nascar is trimming down its race weekends for the nextel cup series in a move designed to ease the financial strain on teams
1,in an effort to reduce the financial strain on teams nascar is modifying the structure of its race weekends for the nextel cup series,nascar is trimming down its race weekends for the nextel cup series in a move designed to ease the financial strain on teams
1,nascar is streamlining its race weekends for the nextel cup series to lessen the financial burden on teams a move aimed at ensuring the longterm sustainability of the sport,nascar is trimming down its race weekends for the nextel cup series in a move designed to ease the financial strain on teams
1,nascar has revealed plans to shorten its race weekends for the nextel cup series in an effort to cut costs for participating teams,nascar has announced plans to condense its race weekends for the nextel cup series in a bid to reduce costs for participating teams
1,in a costsaving measure nascar has announced that it will streamline its race weekends for the nextel cup series,nascar has announced plans to condense its race weekends for the nextel cup series in a bid to reduce costs for participating teams
1,in a bid to make racing more financially sustainable nascar has decided to reduce the length of its race weekends for the nextel cup series,nascar has announced plans to condense its race weekends for the nextel cup series in a bid to reduce costs for participating teams
