label,text,seed
0,could you clarify the meaning of dl,what is dl
0,what does dl represent,what is dl
0,can you provide information on what the fare code y represents,what does the fare code y mean
0,what does the fare code y signify,what does the fare code y mean
0,what does the symbol y represent,what does y mean
0,can you explain what y signifies,what does y mean
0,according to s what is considered a meal,what does s designate as a meal
0,in the context of s what is classified as a meal,what does s designate as a meal
0,may i request to view the fare code again qx,id like to see the fare code again qx
0,it would be helpful if you could display the fare code once more qx,id like to see the fare code again qx
0,could you provide an explanation of the meaning of meal codes sd d,explain meal codes sd d
0,what do meal codes sd d signify and can you give an interpretation,explain meal codes sd d
1,can you tell me what types of airplanes operate between pittsburgh and baltimore,what airplane types fly from pittsburgh to baltimore
1,what are the airplane varieties that provide transportation from pittsburgh to baltimore,what airplane types fly from pittsburgh to baltimore
1,i am planning to depart from philadelphia and travel firstclass on american airlines with a stop in dallas on my way to san francisco could you please provide information on the type of aircraft i will be flying on,im going to leave philadelphia and i want to go to san francisco and i want to fly first class american and i want a stop in dallas can you please tell me what type of aircraft you will be flying
1,i am planning to fly from philadelphia to san francisco on american airlines with a stop in dallas can you kindly inform me of the type of aircraft i will be traveling on,im going to leave philadelphia and i want to go to san francisco and i want to fly first class american and i want a stop in dallas can you please tell me what type of aircraft you will be flying
1,may i kindly request you to provide me with the information on the type of aircraft that united airlines uses on their flights from denver to san francisco i would greatly appreciate it if you could do this before 10 in the morning,all right would you let me know type of aircraft united airlines is using on the flights from denver to san francisco i would like to know the type of aircraft that they use on these flights before 10 in the morning
1,would it be possible for you to inform me of the type of aircraft that united airlines employs for their flights from denver to san francisco i would like to know this information before 10 in the morning,all right would you let me know type of aircraft united airlines is using on the flights from denver to san francisco i would like to know the type of aircraft that they use on these flights before 10 in the morning
1,could you reveal the types of aircraft utilized by canadian airlines,show me the type of aircraft that canadian airlines uses
1,what are the aircraft models that canadian airlines operate,show me the type of aircraft that canadian airlines uses
1,delta flight 1222 which departs from kansas city and arrives at salt lake city what aircraft is employed for this flight,what aircraft is used on delta flight 1222 from kansas city to salt lake city
1,on delta flight 1222 which goes from kansas city to salt lake city what type of aircraft is utilized,what aircraft is used on delta flight 1222 from kansas city to salt lake city
1,can you identify the type of aircraft operating on united flight 21,what is the type of aircraft for united flight 21
1,what kind of aircraft is assigned to united flight 21,what is the type of aircraft for united flight 21
2,can you provide me with two firstclass tickets from dallas fort worth to san francisco,i need 2 first class tickets from dallas fort worth to san francisco
2,i am seeking two firstclass tickets from dallas fort worth to san francisco,i need 2 first class tickets from dallas fort worth to san francisco
2,could you tell me the price of flight dl 402 from denver to philadelphia,how much does flight dl 402 from denver to philadelphia cost
2,how much does a ticket for flight dl 402 from denver to philadelphia cost,how much does flight dl 402 from denver to philadelphia cost
2,might you be able to tell me the fares for all flights from philadelphia to denver airport on the upcoming sunday,please give me the prices for all flights from philadelphia to denver airport next sunday
2,would it be possible for you to offer me the prices of all flights from philadelphia to denver airport on sunday,please give me the prices for all flights from philadelphia to denver airport next sunday
2,on a saturday how much does it cost to fly from boston to baltimore,how much does it cost to fly from boston to baltimore on a saturday
