text,label
 after his win at talladega alabama dale earnhardt jr now leads in the points standings showcasing an almost perfect performance on the racetrack aside from a slipup in a postrace tv interview,1
concerns arise regarding the recent efforts to revive peace negotiations in sri lanka where a prominent norwegian delegation headed by foreign minister jan petersen has arrived this week to contribute to global initiatives aimed at salvaging the unstable peace process in the country,0
one of the highway patrol officers escorting senator john kerrys motorcade sustained minor injuries in pennsylvania when they fell off their motorcycle,0
wild oats pathmark warn on results natural and organic foods retailer wild oats markets inc oatso quote profile research and pathmark stores inc ptmko quote profile research both warned on monday that their,2
no 6 notre dame 60 usc 56 with the game on the line notre dame turned to its senior leaders to help the sixthranked fighting irish avoid an upset by unranked southern california,1
when the game was hanging in the balance notre dame relied on its seasoned players to evade an unexpected defeat against usc ultimately triumphing by four points,1
red hat inc stated on thursday that it recently acquired the computer user identification and management technology from netscape a linux distributor affiliated with red hat inc ,3
informal findings from wordofmouth research question the extent of ugandas success in addressing hiv suggesting that the actual number of hiv cases in the country may be three times higher than previous estimates,0
the latest endeavors to reignite peace negotiations in sri lanka prompt a cautious outlook as a highlevel norwegian team under the leadership of foreign minister jan petersen arrives this week this diplomatic mission forms part of broader international endeavors to salvage the fragile peace process yet skepticism surrounding its effectiveness intensifies,0
new york 39s spitzer expects to sue universal life new york attorney general eliot spitzer expects to file a lawsuit against san diegobased health insurance company universal life resources on friday a spokesman for his office said,2
pacificare buys ams for 502 million pacificare health systems inc said wednesday it may look to expand in wisconsin after completing its purchase of american medical security group inc,2
despite achieving two flawless wins earlier corey dillons quest for a hat trick of victories as a patriot fell short due to the disappointment of missing out on the perfect cap to his third game,1
svengoran eriksson is on the hunt for a replacement for nicky butt making way for an exciting threeway battle among english players vying for the open spot in the midfield during the first match of the 2006 world cup qualifiers in austria,1
win puts junior in points lead talladega ala  dale earnhardt jr was nearly perfect on the racetrack his only slipup sunday came during a postrace television interview,1
according to reuters jakarta witnessed a tremendous explosion leading to a death toll of at least three people the australian embassy located in central jakarta experienced a forceful blast on thursday causing fatalities in the immediate vicinity while more than 100 individuals suffered injuries as reported by witnesses and local radio stations,0
junior takes the lead in points standings at talladega alabama after his win dale earnhardt jr had an impeccable performance on the track with his sole mistake occurring in a postrace tv interview,1
let down by the one that got away corey dillons hopes of securing yet another victory for the new england patriots were dashed in what should have been the ideal conclusion to his threegame run,1
caminiti was abandoned to confront his challenges by himself lacking necessary allies ideally he should have been incarcerated confined within a medical facility or offered a lifealtering drug rehabilitation program like a bootcamp it is vital for individuals entrusted with authority  be it doctors correctional officers or judges  to acknowledge the urgency and proactively intervene to rescue caminiti from his selfdestructive path,1
on thursday red hat inc announced its purchase of the computer user identification and management technology from netscape this acquisition was facilitated by america online inc where netscape is currently operating under,3
according to a report released by cnnmoney there is an upward trend in men stepping forward to report instances of sexual harassment in new york stay connected to the news updates that are relevant to you,2
eriksson looking for butt deputy svengoran eriksson heralded a threeway contest for the vacant spot in englands midfield after nicky butt was ruled out of this weekends opening 2006 world cup qualifier in austria,1
time warners aol division is set to reduce its workforce by 700 employees according to sources america online the biggest internet service provider globally plans to lay off approximately 5 of its us staff due to a continuous decline in subscribership,2
schumacher wins japanese grand prix michael schumacher drove his ferrarito an easy victory in the japanese grand prix in suzuka on sundaywinning the race for a sixth time,1
the music industry in tokyo is evolving rapidly with the increasing popularity of mobile devices as sony embraces mp3 while new bluray and speaker technology revolutionize home entertainment,3
authorities disclosed that several highranking personnel at infineon particularly those affiliated with the quote chart division have taken responsibility for their actions in the alleged pricefixing scheme within the computer memory industry and are set to enter a plea of guilty,3
eriksson is in search of a deputy for nicky butt and this has sparked a threeway competition for the vacant spot in englands midfield for the opening 2006 world cup qualifier in austria,1
pacificare health systems inc revealed its recent purchase of american medical security group inc for an amount totaling 502 million dollars consequently the completion of this acquisition prompts pacificare to contemplate venturing into new expansion possibilities specifically in wisconsin,2
corey dillon playing for the new england patriots missed out on a crucial victory that would have been the ideal ending to his impressive threegame streak,1
eriksson is seeking a deputy for nicky butt prompting a threeway competition for the available spot in englands midfield for the first qualifier of the 2006 world cup in austria,1
while traveling through pennsylvania a member of senator john kerrys motorcade who happened to be a highway patrol officer suffered minor injuries as a result of falling off their motorcycle,0
infineon executives have admitted their guilt in a pricefixing scheme involving key players from the companys quote chart division as confirmed by officials on thursday,3
guantanamo detainee visits with parents an australian detainee being arraigned wednesday before a us military commission on charges of attempted murder and aiding al qaeda met with his parents their first visit together in five years,0
in an exciting development findcom a noteworthy business search engine divulged its newest venture as it joins forces with marketresearchcom inc one of the most renowned providers of online global market intelligence reports the alliance between these two industry giants promises a symbiotic relationship empowering findcom to integrate marketresearchcoms impressive catalog consisting of more than 80000 reports obtained from over 350 revered research firms and consultancies across the globe,3
it has been reported by an official representative that there are plans for new yorks attorney general eliot spitzer to initiate legal proceedings against universal life resources a health insurance provider located in san diego,2
cnnmoney reports that there is a growing trend of men coming forward with sexual harassment complaints in new york stay updated on the stories that are important to you,2
a considerable portion of the bosnian population opted to distance themselves from electoral proceedings owing to their disappointment with officials consistent failures in uplifting the economy of bosnia as a consequence the municipal elections held on saturday experienced low voter turnout and preliminary reports indicated that the three nationalist parties were enjoying a lead in the results,0
the absence of nicky butt due to injury has prompted svengoran eriksson to seek a vicechair for the english national team leading to a highly anticipated threeway contest between candidates striving to fill the void in their midfield lineup for the inaugural 2006 world cup qualifying game against austria,1
in a crucial moment notre dame sought assistance from its senior leaders to prevent an upset by usc and secure a victory with a score of 6056,1
the states democratic attorney general announced on friday that california intends to file a lawsuit against the bush administration due to their intention of significantly increasing the permitted logging activities in the sierra nevada mountains according to reuters,3
the retailers wild oats markets inc and pathmark stores inc both issued warnings on monday regarding their performance specifically in the market for natural and organic foods,2
wild oats markets inc and pathmark stores inc both sounded the alarm about their financial results on monday specifically related to their performance in the natural and organic foods market,2
there is a massive explosion in jakarta causing at least three casualties according to reuters the australian embassy in central jakarta was rocked by a powerful blast on thursday resulting in the deaths of at least three individuals nearby and leaving over 100 witnesses and local radio reports stating that they were injured,0
the continuous inability of officials to improve bosnias economy has left many bosnians disillusioned and disengaged from the electoral system consequently the municipal elections held on saturday saw a significant number of voters staying away while initial reports showed the three nationalist parties taking the lead,0
both wild oats markets inc and pathmark stores inc raised concerns about their financial performance on monday highlighting the significance of their offerings in the natural and organic food industry,2
left to confront his battles all by himself ken caminiti lacked the necessary allies ideally he should have been contained within jail walls secured in a hospital setting or given the opportunity to transform through an impactful drug rehabilitation bootcamp individuals entrusted with authority – be it doctors correctional officers or judges – ought to have recognized the imperative to step in intervening proactively to save ken caminiti from his own downward spiral,1
ugandas achievement in combating hiv is being called into question as informal investigations indicate that the prevalence of hiv in the country could be three times more than previous estimates suggest,0
four executives from infineon have agreed to plead guilty to charges of pricefixing as announced by officials on thursday ,3
findcom a search engine for businesses has recently announced its strategic partnership with marketresearchcom inc the leading online platform for accessing global market intelligence reports this collaboration will enable findcom to enhance its offerings by incorporating marketresearchcoms vast collection of over 80000 reports from more than 350 renowned research firms and consultancies worldwide,3
findcom business search engine adds marketresearch content findcom a business search engine wwwfindcom today announced that it has entered into a strategic partnership with marketresearchcom inc the leading online source for global market intelligence reports under the terms of the strategic partnership marketresearchcom which offers more than 80000 reports from over 350 research firms and consultancies worldwide,3
svengoran eriksson is searching for a replacement for nicky butt igniting an intense threeway contest among english players vying for the vacant position in the midfield during the opening match of the 2006 world cup qualifiers in austria,1
universal life resources a san diegobased health insurance firm is expected to face a lawsuit filed by new york attorney general eliot spitzer as confirmed by a spokesperson from his office,2
time warner 39s aol unit to cut 700 jobs source america online the world 39s largest internet service provider plans to lay off about 5 percent of its us work force as it faces an everdwindling subscribership a source close to the company said on tuesday,2
the arrival of a distinguished delegation from norway led by foreign minister jan petersen sparks pessimism regarding the ongoing attempts to restart peace talks in sri lanka the visit is part of international endeavors to rescue the faltering peace process and raises doubts about its success,0
numerous bosnians abstained from participating in the elections as they were disenchanted with the continuous failure of officials to enhance the economy of bosnia consequently a significant number of voters refrained from partaking in the municipal elections held on saturday while initial results suggested that the three nationalist parties were leading the race,0
notre dame ranked sixth leaned on its senior leaders to escape an upset bid by unranked southern california prevailing 6056 in a nailbiting match,1
doubts have emerged regarding the success of ugandas efforts to address hiv as informal studies based on wordofmouth information propose that the true magnitude of the hiv problem in uganda may actually be three times greater than previously thought,0
the absence of nicky butt due to injury has motivated svengoran eriksson to look for a substitute resulting in an eagerly awaited threeway rivalry between candidates competing to fill the gap in englands midfield lineup for the initial qualifying game of the 2006 world cup against austria,1
pessimism abounds over ongoing efforts to resume peaceful negotiations in sri lanka highlighted by the visit of a prominent norwegian delegation with foreign minister jan petersen at its helm a critical part of international endeavors to rescue the floundering peace process this visit raises doubts about its potential success,0
america online known as time warners aol unit is set to reduce its workforce by approximately 700 employees according to a source disclosed on tuesday this decision comes in response to a significant drop in subscriber numbers posing challenges for the worlds largest internet service provider and prompting the need for downsizing its staff,2
502 million dollars was invested by pacificare health systems inc in the acquisition of american medical security group inc this significant move has prompted pacificare to assess potential expansion possibilities in wisconsin,2
