text,label
what aircraft are used on flights from cleveland to dallas that depart before noon,1
can you inform me about the airline with the most business class flights,3
what carriers provide service between toronto and san diego,3
may i kindly ask for the flight schedules for coach flights between boston and baltimore on wednesday,4
what is the price of a round trip flight from dallas to denver,2
can you provide me with the price of a roundtrip ticket from atlanta to san francisco in the first class,2
show me times for flights from san francisco to atlanta,4
show me times for coach flights between boston and baltimore on wednesday,4
what are the airlines that provide flights from boston to pittsburgh,3
what is the arrival time of the 755 flight leaving washington dc and arriving in san francisco on tuesday morning,4
what are the available flight times from san francisco to atlanta,4
can you provide me with the cost of a round trip fare from memphis to seattle,2
what is the departure schedule for flight aa 459,4
what are the different options for afternoon flights from atlanta to baltimore,5
can you please inform me of the arrival time of the 755 flight from washington dc to san francisco on tuesday morning,4
can you reveal the type of aircraft that canadian airlines utilize,1
what ground transportation is there in dallas,7
can you tell me which cities delta airlines offers firstclass flights to,6
what are the ground transportation alternatives at denver airport,7
explain meal codes sd d,0
can you give me the flight times for coach trips from boston to baltimore on wednesday,4
can you tell me how many american airlines flights are available with firstclass cabins,6
can you provide me with the number of flights that operate from dallas to baltimore on july 19th,6
i want to go and take a plane in atlanta and fly to boston,1
how many flights does eastern airlines have from boston to atlanta,6
can you give me the cost of a seat on a united airlines flight from boston to san francisco on flight 21,2
would it be possible for you to give me the list of continental airlines flights from indianapolis to san diego in the afternoon of tomorrow,5
could you give me the departure and arrival times for coach flights from boston to baltimore on wednesday,4
may i obtain the flight schedules from american and delta that are available for travel to dfw on august 15th,4
could you please give me a list of flight schedules from san francisco to atlanta,4
boston to pittsburgh flights are available in the morning,5
what is the price of a ticket on a united airlines flight from boston to san francisco specifically flight 21,2
can you provide me with the number of flights that depart from boston for dallas fort worth before 9 am in the morning,6
i require a firstclass ticket from dallas to san francisco please book it for me,2
could you provide me with a list of all flights from all airports that arrive at love field,5
i am seeking information on ground transportation options in atlanta,7
on the 8 am flight from san francisco to atlanta what type of aircraft is used,1
could you give me the schedule of flights for american and delta to dfw on august fifteenth,4
what is the arrival time of the 755 flight from washington to san francisco,4
i would like to search for flights from pittsburgh to philadelphia,5
afternoon flights from atlanta to baltimore  can you tell me more about these options,5
what times on wednesday could i take a plane from denver to oakland,4
can you provide the price of a roundtrip ticket in the first class from atlanta to san francisco,2
can you provide me with the total number of eastern airlines flights from boston to atlanta,6
can you provide information on the ground transportation options at denver airport,7
how many flights go from dallas to baltimore on july nineteenth,6
what is the cheapest fare from dallas to denver round trip,2
i am interested in taking a flight from atlanta to boston using a plane,1
what is the airline that provides the most business class flights,3
can you provide information on the number of flights that eastern airlines operates between boston and atlanta,6
how many eastern airlines flights are available from boston to atlanta,6
please explain fare code f,0
in atlanta i would like information on ground transportation,7
what is fare code qo mean,0
how many united flights are there to san francisco,6
what is the expense for a round trip journey from memphis to seattle,2
what does fare code qo signify and how does it apply to fares,0
