text,label
can you tell me the duration to arrive at francess home,4
can you provide the length of the distance from one coast to another in the united states,1
what time should i depart if i want to reach bradley airport at 5 pm,3
what is the optimal time for me to start my journey to evade traffic,3
if i set off at 3 pm what is my eta in raleigh,2
can we locate a road that experiences less congestion,9
what is the estimated time to arrive at johns workplace if i leave at 2 pm,4
can you tell me the time it would take to arrive at the folk festival if i were to drive from boston,4
approximately what duration is required to travel on foot to the nearby grocery store,4
is it feasible to arrive at home before the peak traffic at 5 pm,2
when would i arrive in raleigh starting at 3 pm,2
can i arrive at the ala moana center by 945 am if i departed from my house at 9 am,2
are there any flooding issues on the roads currently,5
whats the distance to walk to the grocery store from this point,4
can i get to norfolk waterside district without paying any toll fees,0
what is the driving duration from here to miami,4
did the rain that fell overnight make the roadways hazardous,5
what time the traffic is heavy in 270,7
would changing bridges help me avoid heavy traffic,9
How long will it take me to get to John 's company from here if I leave at 2 pm ?,4
is it possible for me to arrive at my 6 pm meeting if i depart at the moment and avoid i65,2
can you tell me the proximity of my mothers residence in relation to mine,1
is there an atm on my route home,6
when should i begin my travel to ensure i dont miss my flight,3
would you be able to guide me to the beaumont library,0
is there any transport activity within a circular zone of 10 miles,7
how much snow can be expected on the road leading to the jack  o  lantern contest,5
how much time is needed to reach the folk festival by car when departing from boston,4
what is the best way to reach phoenix without using the interstate,0
what is the span between the east and west coasts,1
do you know where i can find a jc penney store nearby,8
if my goal is to reach bradley airport by 5 pm when should i set off,3
is oakwoods snow situation on the lesstraveled roads favorable,5
is there a different way to travel that has fewer cars on the road,9
are there any floods on 103rd street currently,5
can you provide the measurement of the gap between california and hawaii,1
at what time does 270 experience high traffic volume,7
when can i leave to work and avoid traffic,3
when should i plan to head out to ensure i make my flight,3
what landmarks are on the way to my destination,6
how does the traffic typically behave on friday evenings in st louis,7
can i find a different path with fewer vehicles to travel on,9
what is the estimated duration to get to frances home,4
Is Route 515 flooded near Pequannock,5
is it possible to find a path with fewer vehicles on it,9
How many miles is it from Edison New Jersey to Jacksonville Florida,1
if i set off at 2 pm how long until i reach johns business,4
Is there flooding on 103rd street ?,5
how many miles separate london and birmingham using new street at present,1
is the snow gone from oakwoods back roads,5
has the snow been cleared from oakwoods back roads,5
how early should i begin my commute to get to work at 9 am,3
is there flooding on route 515 close to pequannock,5
how can i travel to phoenix while avoiding the interstate,0
Is there an alternative traffic route with less traffic that I can take,9
What time will I get to Destiny Mall if I leave her in 10 minutes ?,2
how much time does it take to reach waikiki via the h201 bus line,4
How snowy is the highway going to the Jack - O - Lantern Contest ?,5
is it feasible to avoid the evening congestion and get to my house by 5 pm,2
is there any vehicle movement within a distance of 10 miles,7
at which location does this traffic become less congested,7
determine every feebased roadway on the quickest los angeles to las vegas drive,6
how much time is needed to get to miami by car from this location,4
identify all toll charges along the most efficient route from los angeles to las vegas,6
what time should i leave to make my flight,3
How long is my commute to Waikiki if i H201 via bus,4
can you inform me of the exact distance that separates my residence and my mothers place,1
in order to arrive at bradley airport by 5 pm what time should i start my journey,3
what is the best way to reach the closest shopping center from my workplace,0
has the rain from last night caused the roads to be unsafe for driving,5
can i reach home prior to the 5 pm rush hour,2
are the pavements treacherous as a result of the rain that occurred last night,5
could you locate a different path to reach x avoiding the congested traffic,9
can you determine the mileage from edison new jersey to jacksonville florida,1
what are some mustsee sites on the i95 route from wilson to orlando,6
is there a wawa located on my way,6
could you tell me the address of the hospital thats nearest to here,8
how congested is the road to the seattle airport currently,7
is there a lot of congestion on the way to the seattle airport at the moment,7
at what hour should i depart to catch my flight,3
what is the length of the journey between london and birmingham through new street today,1
at what time would i get to raleigh if i depart at 3 pm,2
attractions to visit while traveling on i95 from wilson to orlando,6
what 's the address to the closest hospital,8
at what time should i begin my commute to bypass congestion,3
whats the direction to the nearest clinic or hospital,8
if i began my journey at 9 am from my house will i make it to the ala moana center by 945 am,2
what time should i set off from my location to arrive at work at 9 am,3
what is the current state of traffic flow towards seattle airport,7
are the streets experiencing flooding this morning,5
what time should i plan to leave in order to steer clear of traffic in madison,3
what is the current distance between london and birmingham via new street today,1
what is the estimated time it would take to get to the grocery store by walking from this location,4
is there any water accumulation on the streets today,5
how early do i need to leave nashville to get to virginia by tomorrow at 12 pm,3
how far is it from the east coast to the west coast,1
can i locate an atm on the road while heading back home,6
whats the optimum path to take when traveling to nashville on tuesday at 9 am,0
can you guide me on how to arrive at the baseball game that begins at 4 pm,0
how far is it in miles to travel from my residence to the amtrak station located in pittsburgh,1
is there water accumulation on 103rd street,5
what would be the best route to nashville tuesday at 9 am,0
can i arrive at my residence prior to the peak evening traffic,2
approximately how much time is needed to reach the folk festival when traveling from boston,4
how much time will it take to arrive at frances house,4
can you tell me where the nearest medical facility is located,8
What is the distance between California and Hawaii,1
how much time does it take to drive from this location to miami,4
what is the duration of a walk to the grocery store starting from this location,4
when is it most advisable to set off to bypass congestion in madison,3
when would be the best time for me to head out for work and prevent being stuck in traffic,3
how long will it take for me to get to destiny mall if i leave in 10 minutes,2
mustsee locations on the i95 highway from wilson to orlando,6
what is the estimated time to reach francess residence,4
what significant sites can i expect to see en route to my destination,6
if i leave at 3 pm when will i reach raleigh,2
transport me to an area with reduced congestion,9
what is the measurement of the gap between california and hawaii,1
at what point during the day should one begin traveling to steer clear of traffic in madison,3
what is the duration of my trip to waikiki using the h201 bus route,4
what is the most efficient way to get to nashville on tuesday morning,0
is it possible to bypass traffic congestion by using an alternate bridge,9
are there any pay roads along my route to the atlanta braves match from the office,6
could you provide me with the location of the closest healthcare center,8
is it possible for me to reach my 3 pm meeting by leaving right now and driving on the highway,2
How long will it take me to get to the Folk Festival if I drive there from Boston,4
what time must i begin my trip from nashville in order to reach virginia by 12 pm tomorrow,3
can you discover a new way to get to x that bypasses heavy traffic,9
what is the estimated driving time from boston to the folk festival,4
What time should I leave Nashville in order to reach Virginia by tomorrow at noon ?,3
if is driving from boston how long will it take to arrive at the folk festival,4
could you please provide me with the whereabouts of route 66,8
can you guide me to the nearest mall from my workplace,0
how much snow is there on the way to the jack  o  lantern contest,5
what time is ideal for me to start my journey to make it to my flight on time,3
could you indicate the point where the traffic flow improves,7
can i reach my 6 pm appointment on time if i leave immediately and steer clear of i65,2
can you identify another road to x that would help us steer clear of traffic jams,9
What time would I arrive in Raleigh if I leave at 3 pm ?,2
what is the estimated duration of traveling by car to miami from here,4
will i be able to attend my 6 pm gathering if i set off at this moment and avoid using i65,2
Are the back roads clear of snow in Oakwood ?,5
How many miles is it from home to the Amtrak station in Pittsburgh ?,1
grape farms situated in the state of north carolina,8
is there any flooding on route 515 close to pequannock,5
could you please provide me with the exact position of the toll station along ismailia road,8
take me where there is less traffic,9
is gainesville experiencing traffic congestion or disruptions today,7
are there any other routes available that have lower traffic volumes,9
what is the length of the stretch from the east coast to the west coast,1
what is the optimal hour to start your journey to evade traffic in madison,3
can i get to my meeting at 6 pm if i start my journey right away without using i65,2
wineries located in north carolina,8
is there a pattern for vehicular movement on fridays in st louis,7
when will i arrive at destiny mall if i depart in 10 minutes,2
are there any notable attractions ill pass by while heading to my destination,6
interesting places to explore on the i95 road trip from wilson to orlando,6
are there any tolls i need to pay on my commute to the atlanta braves game from the office,6
are there any current traffic disruptions in gainesville,7
what is the distance in miles between edison new jersey and jacksonville florida,1
is there a lot of traffic going to the seattle airport currently,7
my aim is to reach the norfolk waterside district while avoiding toll roads,0
proximate lodging establishments,8
Where is Route 66,8
are the rear routes free from snow in oakwood,5
how long will it take for me to get to johns workplace starting at 2 pm,4
if i depart in 10 minutes when will i arrive at destiny mall,2
where is the toll station in Ismailia road located ?,8
is there a way to travel to my destination without using major highways,9
popular sites to visit along i95 between wilson and orlando,6
if i vacate immediately and exploit the expressway will i be present at my 3 pm rendezvous,2
when should i leave if i want to arrive at work at 9 am from my location ?,3
are there any floodwaters affecting route 515 in the vicinity of pequannock,5
are there any cars trucks or motorcycles traveling within a 10mile region,7
does my route include a wawa convenience store,6
is there any flooding on the roads this morning,5
when is the optimal time to leave for work to prevent getting caught in traffic,3
