text,label
are there any difficulties in navigating the roads close to the outlet mall in niagara falls,7
what is the distance between here and neimen,4
current status on the highway,7
can you help me locate the nearest grocery store that sells wine and is no more than 12 miles away by car,8
will there be slippery road conditions caused by frozen precipitation this evening,5
how is the traffic situation around the outlet mall in niagara falls,7
how can i make the fastest diversions to the carrier dome from i  86,0
how long before we have to head out for the music event thats a 50minute car ride,3
What road is the Farmer 's Market on ?,8
how much frozen precipitation is there on fifth street,5
can you suggest a secondary road with fewer cars,9
Is there another route to get to my Doctors apointment other than the I - 4,9
how many kilometers separate this location from disneyland,1
if i depart in 15 minutes when will i reach my company,2
are the highway conditions icy today,5
what is the number of miles separating peru and brazil,1
are there any notable tourist attractions to visit when traveling along the i95 highway between wilson and orlando,6
does highway 78 have a designated pedestrian path,6
are there any quick routes to my house,0
show me the closest grocery store that sells wine without driving more than 12 miles,8
what is the measurement in miles from our current location to las vegas,1
what is the travel duration to my sisters house if i avoid the freeway,4
are vehicles currently in motion on the road,7
What time should I leave to make it to the Spartan 's game by 7 pm,3
what time should we be leaving for the rock show considering its a 50minute journey,3
Are the highways icy this morning ?,5
is there an expeditious journey to my abode,0
how is traffic influencing my travel to work today,7
how do i find the way to a store that sells dogs,0
during a road trip from home to florida would i be going through kentucky state university,6
does the congestion on the streets affect my travel time today,7
does the trip from home to florida pass through kentucky state university,6
is the road surface slippery today,5
is there a convenient train stop near mass ave in boston,8
"If I leave here at 5 am , when will I get to my work",2
"If I leave the Japanese Festival in the campus at 4 pm , when will I get to Kalibata city apartment ?",2
how many minutes will it require for me to transport the children to their educational institution,4
how many miles are between peru and brazil,1
what time should i set off to reach the office by 830 am,3
if i depart from this location at 5 am at what time will i arrive at my workplace,2
is there a more timeefficient path we can take,9
if i dont use the highway how much time will it require to reach my sisters place,4
at what hour should i start my journey to arrive at the cosplay by 8 am,3
what is the distance between New York and Arizona,1
what time do i need to leave by to make it to work at 830,3
will taking a different bridge help me to avoid being delayed by traffic,9
does state highway 78 have a footpath,6
show me a distinct route to follow,9
how can i reach the carrier dome most efficiently while driving on i86,0
Is there a train stop near Mass Ave in Boston ?,8
How far in miles is it between Atlanta and Detroit,1
at what time should i depart to reach the cosplay event by 8 am,3
when should i depart to reach sayre at 3 pm,3
how much time is required to reach neimen from this location,4
if i start my journey from the japanese festival on campus at 4 pm when will i reach kalibata city apartment,2
could you please provide me with information on the placement of toll roads in denver,8
what is the distance in miles between this location and las vegas,1
