text,label
loan business lifts wells fargo profit  new york reuters  wells fargo   co lta hrefhttpwwwinvestorreuterscomfullquoteaspxtickerwfcn targetstocksquickinfofullquotegtwfcnltagt the no 4  us bank on tuesday said thirdquarter profit rose helped by  loan growth,2
musharraf urges kashmir rethink pakistani president pervez musharraf has called for radical new thinking on the dispute with india on kashmir suggesting joint rule as one option,0
kofi annan the secretary general of the united nations is waging a war on many fronts in his efforts to promote human rights and bring peace to the world,0
chicago orders cubs to fix wrigley field ap ap  the protective netting in place to protect fans from falling concrete at wrigley field must be replaced with a permanent solution if the chicago cubs want to play at the stadium next spring,1
microsoft issues tool to head off jpeg exploits microsoft has issued a software tool that scans users 39 computers to help them find software that may be affected by a recently discovered vulnerability in the way many windows programs process jpeg files,3
us extends deadline to switch screeners ap ap  the government announced tuesday that it will make it easier for airports to replace federal baggage and passenger screeners with privately employed workers,0
the federal government and digimarc corporation a beavertonbased company have teamed up to launch a pilot project aimed at enhancing identity authentication with a project value of around 1 million,3
with a history of producing topnotch consumer electronics sony has a longstanding reputation for innovation their use of proprietary technologies and standards sets them apart from the competition,3
rwanda assurance over congo force rwanda 39s president has assured the african union that rwandan military action in dr congo will target hutu rebels and not congolese forces,0
fidel castro the cuban president fell and fractured his knee and arm while leaving the stage at a graduation ceremony despite the injury he quickly returned to say that he was all right,0
it has been reported that sachin tendulkar is being considered for indias first test squad but his chances of playing in a match may be impacted by a television negotiation,1
the government has announced that it will make the process of replacing federal baggage and passenger screeners with privately employed workers easier for airports which has resulted in an extension of the deadline for the switch,0
airports will now have the option to switch their federal baggage and passenger screeners with privately employed workers as the government has announced that it will make the transition process easier and has extended the deadline for the change,0
us airways which is currently undergoing restructuring under bankruptcy protection has agreed with units of general electric company to defer lease payments on some aircraft and to lower the cost of engine maintenance as part of its efforts to streamline its operations,2
in light of yesterdays announcement by us airways the airline has reached an agreement with general electric to defer lease payments on some aircraft and reduce the cost of engine maintenance as part of its ongoing restructuring under bankruptcy protection,2
the researchers suggest that vaccinating mice aga lyme disease could potentially help protect people aga the infection,3
it is suggested by the researchers that vaccinating mice aga lyme disease may help protect people from the infection,3
on monday deutsche bank was reported to have been involved in discussions with the glazer camp regarding the possibility of replacing jp morgan,1
the pakistani president pervez musharraf has suggested joint rule as one option for resolving the ongoing dispute with india over kashmir,0
with a successful performance in the eighth inning the st louis cardinals were able to secure a 64win victory over the houston astros during game two of the nl championship series at busch stadium on thursday,1
microsoft has released a tool that scans computers to identify any software that may be impacted by a recent vulnerability in the way windows programs process jpeg files,3
according to researchers on monday vaccinating mice aga lyme disease could potentially help people protect aga the infection that is often spread from mice to humans,3
is it possible for the government to extend the deadline for replacing federal baggage and passenger screeners at airports with privately employed workers,0
the pakistani president pervez musharraf has encouraged a radical rethinking of the dispute with india over kashmir including the possibility of joint rule as one option,0
due to the soaring gasoline costs in august and the hurricanerelated disruptions that occurred last week consumers in washington were tightfisted with their spending leading to an increase in jobless benefits applications to their highest level in seven months,2
when bernhard langer left heathrow airport a week ago with his european ryder cup team did he vow to return with the 19inch high trophy,1
hurricane forecasters were eagerly awaiting the predictions of hurricane frances which was rapidly approaching the coast of florida officials were trying to decide whether to evacuate millions of residents and reporters were demanding more information about the storms trajectory,3
a strike occurred at a general motors plant in germany due to the companys decision to reduce its workforce by 12000,2
the st louis cardinals were leading the houston astros 64 in the nl championship series at busch stadium on thursday thanks to the backtoback home runs hit by albert pujols and scott rolen in the eighth inning,1
