text,label
please provide a list of all flights departing for baltimore after 6 pm,5
how many carriers provide service on the route from new york to los angeles making a stop in milwaukee,6
can you provide information on the airliner that operated a flight from atlanta to denver before 12 noon,1
what are the available morning flight options from the us to atlanta,4
is ground transport accessible for reaching the city within dallas,7
what is dl,0
what is the number of flights operated by eastern airlines on the bostonatlanta route,6
traveling from oakland to boston in the wee hours of the morning,5
can you share the information on the most affordable flights from baltimore to dallas,5
can you please give me the timetable for coach trips from boston to baltimore on wednesday,4
what companies have flights between pittsburgh and baltimore,3
is it possible to travel by land from san diego airport to the city center,7
which aircraft models does delta operate,1
car rentals available in boston,7
which model of air transport has the highest number of seats available,1
are there any options for traveling to the city by land in dallas,7
what is the price of flights from dallas to boston for tomorrow,2
what kind of airplane is typically used for flights from denver to san francisco that leave before 10 am,1
what ground transport is available in charlotte,7
what is the lowest fare united charges between boston and san francisco,2
what airline stands for hp,3
leaving oakland for a journey to boston past midnight,5
can you help me understand the meaning or context of the term dl,0
can you provide information on the number of flights without layovers between boston and atlanta,6
is there ground transportation available between the airport and downtown in boston,7
can you provide a list of available flights to baltimore that leave after 6 in the evening,5
what is the cost for a one way trip from pittsburgh to atlanta,2
can you provide information on the model of aircraft employed for the initial afternoon flight from boston to san francisco,1
vehicles for hire in boston,7
please explain the significance of fare code h,0
what times does continental depart from boston to san francisco,4
what was the airliner model that was utilized for a flight between atlanta and denver earlier today before 12 oclock,1
please provide me with the available coach flight schedules between boston and baltimore on wednesday,4
could you please display the details of flights landing in charlotte close to 5 pm on the following monday,5
what is fare code h,0
can you provide a list of all ticket prices for flights traveling from denver to oakland,2
can you display the available economy flights from baltimore to dallas,5
what are the numerous kinds of flying machines that journey between boston and san francisco,1
can you provide information about the timetable for flights from america to atlanta in the morning,4
could you tell me the price for a round trip ticket from baltimore to philadelphia,2
what are the various choices for ground transportation in phoenix,7
what is the cost of the least expensive united ticket for traveling between boston and san francisco,2
are there any public or private transportation services in charlotte that i can utilize,7
could you provide a list of available ground transportation methods in phoenix,7
can you tell me the type of aircraft operated for the first flight from boston to san francisco in the afternoon,1
could you please share with me the specific aircraft model that was used for a flight between atlanta and denver earlier today before 12 oclock,1
could you please provide the number of firstclass flights with united that are leaving from different airports today,6
which types of airplanes fly on the route between boston and san francisco,1
could you tell me the name of the airline that uses hp as its code,3
can you tell me what bur means or represents,0
im looking for flights to baltimore leaving after 6 pm in the evening can you show me those options,5
can you provide some insight into fare code h,0
can you describe what the fare code qx means,0
can you display the prices for a round trip airfare from san francisco to washington dc,2
what is the expense for a oneway ticket from pittsburgh to atlanta,2
can you tell me which airlines operate flights between pittsburgh and baltimore,3
i would like to know the names of the airlines that offer flights between toronto and denver,3
what airline has the abbreviation hp associated with it,3
code ff,0
can you show me the available flights to baltimore that leave after 6 in the evening,5
please display the available flights from dallas to boston,5
could you present all the fare options for flights departing from denver and arriving in oakland,2
can you provide a list of airlines that offer services between atlanta and boston,3
could you please provide me with the number of united airlines flights departing from san francisco,6
how often does eastern airlines fly from boston to atlanta,6
can you explain what restriction ap 57 represents,0
when does continental airlines leave boston for san francisco,4
how many flights does eastern airlines have from boston to atlanta,6
what are the landbased transportation options in charlotte,7
can you please clarify what restriction ap 57 refers to,0
can you show me the timetable for bus services operating between boston and baltimore on a wednesday,4
can you tell me the expenses involved in booking a flight from dallas to boston for tomorrow,2
which airline boasts the highest number of business class flights,3
can you inform me about the flight timings between boston and baltimore,4
what is the price of a single trip from pittsburgh to atlanta,2
can you show me the flight schedule for airlines flying from pittsburgh to san francisco next week on monday,4
what are the costs of flights from dallas to boston tomorrow,2
what is the aircraft type with the greatest seating capacity,1
another way to rephrase code ff is programming code ff or computer code ff,0
at what time does continental take off from boston to san francisco,4
could you provide a list of the various makes and models of airplanes that ply the skies between boston and san francisco,1
id like to view the flight schedule for airlines departing from pittsburgh and arriving in san francisco next week on monday,4
are there any specific airlines that fly from boston to atlanta,3
what kind of airplane has the largest seating capacity,1
present examples of abbreviated names for airlines,3
would you be able to share the information on how many flights without layovers there are between boston and atlanta,6
can you provide me with the flight schedules for routes connecting boston and baltimore,4
what is the purpose or function of restriction ap 57,0
can you provide the total number of eastern airlines flights from boston to atlanta,6
can you tell me the total number of united flights operating from san francisco,6
show me the schedule for airlines leaving pittsburgh going to san francisco for next monday,4
obtaining temporary vehicles in boston,7
could you please provide me with the flight schedules for trips from pittsburgh to newark,4
flying out of oakland to boston postmidnight,5
is there ground transportation from san diego airport to the downtown area,7
what companies provide services for flying from atlanta to boston,3
could you provide me with the flight schedules for routes connecting boston and baltimore,4
can you please provide the number of nonstop flights operating between boston and atlanta,6
how much does it cost for a single journey from pittsburgh to atlanta,2
what airlines offer routes connecting pittsburgh and baltimore,3
can you please show me the flight timetable for airlines operating from pittsburgh to san francisco on the upcoming monday,4
please list the flight times from pittsburgh to newark,4
id like to see the flight schedules for a journey from dallas to boston,5
can you tell me the quantity of airlines that fly between new york and los angeles having a stopover in milwaukee,6
can you provide me with the departure and arrival times for flights between pittsburgh and newark,4
explain fare code qx,0
can you share the information about flights that will be arriving in charlotte around 5 pm on the upcoming monday,5
i would like to know the time frames of flights operating between boston and baltimore,4
is there any land transport from san diego airport to the central area of the city,7
can you inform me about the aircraft type that flew from atlanta to denver prior to 12 pm,1
could you share the count of nonstop flights operating between boston and atlanta,6
what variety of airliner can carry the most travelers,1
how frequent are eastern airlines flights between boston and atlanta,6
can i have a compilation of airline ticket costs for flights that fly from denver to oakland,2
can you share the fare rates for traveling between baltimore and philadelphia in both directions,2
which type of aircraft has the highest seating capacity,1
could you please provide the schedule for airlines departing from pittsburgh and heading to san francisco next monday,4
how many united flights are there from san francisco please,6
how can i get from bostons airport to the downtown area using ground transportation,7
id like to view the departure times and options for coach flights traveling from boston to baltimore on a wednesday,4
what types of aircraft does delta fly,1
can you please tell me the number of flights that leave boston for dallas fort worth before 9 oclock in the morning,6
what modes of transportation are accessible in charlotte for navigating the city,7
demonstrate airline abbreviations to me,3
departing from oakland to boston after midnight,5
i would like to know the brands that have direct flights from toronto to denver,3
display common shorthand codes used for airlines,3
provide me with the schedules for bus services between boston and baltimore on wednesday,4
list ground transportation options at phoenix,7
how much does the cheapest united flight from boston to san francisco cost,2
present a list of all continuous flights departing from boston and arriving in san francisco,5
can you tell me which airlines have routes connecting toronto and denver,3
what is the number of firstclass flights leaving from various airports today that are operated by united airlines,6
could you provide information about fare code h,0
provide information on every direct flight between boston and san francisco,5
can you please share the schedule of early flights from america to atlanta,4
how can i get to downtown from san diego airport using ground transport,7
can you tell me about any flights that will be arriving in charlotte around 5 pm on the upcoming monday,5
what type of airplane is used for the first afternoon flight from boston to san francisco,1
show me the flights from dallas to boston,5
demonstrate every direct flight between boston and san francisco,5
show all nonstop flights from boston to san francisco,5
i would like to see the timetable for flights leaving pittsburgh and arriving in san francisco on the following monday,4
show me all the flights to baltimore after 6 oclock pm,5
please provide information on the fare code qx,0
show me the economy flights from baltimore to dallas,5
can you please provide the total count of firstclass flights operated by united airlines departing from all airports today,6
what kind of planes are in deltas fleet,1
what model of airplane is utilized for the first afternoon flight from boston to san francisco,1
which airline has the most comprehensive business class flight schedule,3
which carriers provide links between pittsburgh and baltimore,3
please provide the airline options for a trip between dallas and boston,5
what airline is represented by the initials hp,3
can you present the flight options for a trip from dallas to boston,5
what are the departure times for continental flights from boston to san francisco,4
how many airlines fly from new york to los angeles by way of milwaukee,6
can you tell me which airline has the most extensive business class flight network,3
what is the fare for a oneway trip from pittsburgh to atlanta,2
what airlines fly between boston and atlanta,3
can you please inform me about the number of united airlines flights operating from san francisco,6
how many firstclass flights operated by united airlines are scheduled to depart from various airports today,6
what does fare code h mean,0
can you mention the different aircraft models that operate flights between boston and san francisco,1
please share with me the information about the companies that fly between toronto and denver,3
which airline is abbreviated as hp,3
can you tell me the type of aircraft employed for early morning trips from denver to san francisco,1
what is bur,0
on flights leaving denver for san francisco before 10 am what kind of plane is typically utilized,1
can you name the assortment of planes that traverse the bostonsan francisco route,1
what aircraft type can accommodate the most passengers,1
could you kindly inform me about the number of flights leaving boston for dallas fort worth prior to 9 oclock in the morning,6
can you provide me with the total amount of early morning flights departing from boston to dallas fort worth before 9 am,6
could you tell me about the plane that was used for a flight from atlanta to denver before midday,1
temporarily leasing a car in boston,7
departing oakland for boston after midnight,5
how much do airline tickets from dallas to boston cost for tomorrow,2
please provide me with a list of all the flights arriving in charlotte at approximately 5 pm next monday,5
can you tell me the type of airplane employed for early morning trips from denver to san francisco,1
please provide me with the schedule of airlines leaving pittsburgh and heading to san francisco for the following monday,4
on flights departing denver for san francisco before 10 am which kind of aircraft is typically utilized,1
code ff can be rephrased as binary pattern ff or data representation ff,0
could you please share the schedule of early flights from america to atlanta,4
how many early morning flights are there from boston to dallas fort worth before 9 am,6
can you provide me with the cost of a trip to washington dc from san francisco and back,2
could you please provide more details about what bur is,0
what is the most affordable price united airlines offers for a flight between boston and san francisco,2
which air carriers operate flights between boston and atlanta,3
code ff can also be stated as processing sequence ff or command prompt ff,0
can you provide more information on the meaning of dl,0
what kind of flying machine has the largest passenger capacity,1
please provide a summary of all the airplanes landing in charlotte around 5 pm on the coming monday,5
among all airlines which one provides the most business class flights,3
and flight from oakland to boston leaving after midnight,5
may i see a compilation of airline ticket costs for flights departing from denver and arriving in oakland,2
what kind of plane is used on the earliest flight from boston to san francisco afternoon,1
are there any options for ground transport to travel from boston airport to the city center,7
show me airline abbreviations,3
how can i travel within the city of charlotte without using air transportation,7
please provide a list of economy flights from baltimore to dallas,5
is there a means of getting to the city via ground transportation in dallas,7
which specific airplane model is used for the earliest flight from boston to san francisco in the afternoon,1
can you provide me with the total count of united airlines flights originating from san francisco,6
can you share the available flight timings for journeys from pittsburgh to newark,4
display all the nonstop flights available from boston to san francisco,5
can you provide me with the cost of a round trip journey from baltimore to philadelphia,2
is ground transportation available from san diego airport to downtown,7
show me round trip fares between san francisco and washington dc,2
please give me round trip fares from baltimore to philadelphia,2
what is the frequency of eastern airlines bostonatlanta flights,6
please list the quantity of flights traveling from boston to dallas fort worth before 9 am in the morning,6
which airline has more business class flights than any other airline,3
could you clarify the meaning behind the fare code qx,0
can you tell me about bur,0
an alternative way to express code ff is machine language ff or computer instruction ff,0
can you share the details of all flights reaching charlotte at approximately 5 pm next monday,5
which type of airplane is utilized for the earliest flight from boston to san francisco in the afternoon,1
what does restriction ap 57,0
can you provide me with the names of the carriers that offer flights between toronto and denver,3
can you tell me what fare code qx represents,0
would you mind explaining what the abbreviation dl represents,0
repeating leaving denver to san francisco before 10 am what type of aircraft is used,1
can you tell me the meaning behind fare code h,0
can you share the different types of ground transportation available in phoenix,7
