text,label
the food was amazing the ambiance was awesome and the service was impeccable,4
although the service and presentation at this restaurant which is named after gordon ramsay were impressive the food lacked flavor however if youre looking for a meal that includes a hamburger and some sides youll need to be prepared to spend nearly 40 dollars per person without drinks,2
the ambiance was superb the food was incredible and the service was impeccable,4
despite being out of everything sad the fleur de lis on the door made it okay,1
i was at the bar with an empty drink and the bartender ignored me walking by multiple times without offering to refill my drink,0
upon arrival at the restaurant at 515 we discovered that it was empty but the staff were rude to us and refused to seat us without a reservation we observed another group being seated and then leaving the restaurant,0
i like how they keep it simple and efficient and their burritos are both affordable and filling making them a great option when i forget my lunch at home,3
this little gem serves some amazing lamb saag and butter masala but it may take a bit of time to get there nevertheless the wait is well worth it as i havent had the opportunity to visit during the lunch buffet yet,3
i had a wonderful time and especially appreciated the tacos,4
this small restaurant serves some delicious lamb saag and butter masala but it may take a bit of time to get there however the wait is definitely worth it as i havent had the chance to visit during the lunch buffet yet,3
i had high expectations for the new smash burger location because i love the taste and presentation of their burgers they exceeded my expectations with the quality of the food and the speed at which they served us despite being busy,3
the new sushi rolls which include the mango roll cali roll and tuna roll are all incredibly tasty additionally the crab cream cheese wontons are delectable and i thoroughly enjoy the pad thai,3
despite the establishments posted opening time of 2 pm on a saturday afternoon at 230 pm several cars came and went and the doors were locked,0
this little gem serves amazing lamb saag and butter masala it may take some time getting to you but its well worth the waitnni have yet to visit during the lunch buffet,3
internet access for 10 is a bargain for those who are costconscious,2
while thailana on indian school provides satisfactory thai food its not worth writing about,1
the new sushi rolls which include the mango roll cali roll and tuna roll are all very tasty furthermore the crab cream cheese wontons are incredibly tasty and i thoroughly enjoy the pad thai,3
the bands that this venue advertises hosting shows are supposed to perform here but i have never been to a show where the signs outside say show canceled,0
the menu at this restaurant looks delicious but the food doesnt match up although the garlic fries are my favorite part of this place fries are a relatively easy dish to execute well,1
the restaurant is an exact match for its sister restaurant down the street except for its smaller size although it can get quite busy and challenging to find a server amidst the crowds the taste is just as delicious its definitely worth a little detour from the main strip for a satisfying meal,3
the food choices made were not suitable leading to an outdated and lackluster presentation,0
this small restaurant serves some incredible lamb saag and butter masala but it may take a bit of time to get there however the wait is well worth it i havent had the chance to visit during the lunch buffet yet,3
lackluster in flavor for what youd expect of its eponym gordon ramsey however defintely a tourist draw service and presentation were excellent but for hamburgers and a couple of sides you better be ready to shell out close to 40 bucks a person sans drinks,2
we chose to visit the only late night restaurant at the wynn because it was the only option available to us although the service was slow and the food was good it wasnt particularly exceptional i believe it would be more advantageous to search for late night dining options outside of the wynn in the future as i find it to be overpriced and not worth it however the food itself tasted good,2
the food was mediocre but the price was too steep for my liking,2
while thailana on indian school offers good thai food in a pinch its not something you would want to go out of your way to visit,1
despite the fantastic atmosphere food and beer at this establishment the service is consistently subpar this is a problem that has persisted across all four visits i have made here in the last year,1
i love visiting pinks in hollywood but the hot dog i got there was cold and didnt taste very good,1
the brisket was incredible with just enough fat to melt in your mouth and a flavor that was superior to most brisket ive ever had the creamed corn was so delicious that i could easily finish an,4
food was okay but too pricey for my like,2
we decided to visit the only late night place at the wynn because it was the only option available to us at the time although the service was slow the food was good but not particularly impressive i believe that it may be more beneficial to look for late night dining options outside of the wynn in the future as i find it to be overpriced and not particularly worth it however the food itself tasted good,2
i relished the tacos and they stood out as a particularly delicious aspect of the meal,4
my food was really good my only complaint was the rude waitress who was very angry when i asked if i could eat there only because she had already boxed it up without asking me if it was to take away or eat in not a huge deal but disheartening for a weary tourist tired from hours of walking,2
it was a beautiful sight when i went to that place in march and saw that they had homemade strawberry rhubarb jam at all the tables i almost peed myself thinking about it,4
i absolutely love the new sushi rolls including the mango roll cali roll and tuna roll furthermore i find the crab cream cheese wontons to be incredibly tasty and i thoroughly enjoy the pad thai,3
although the food was edible it was priced too exorbitantly for my taste,2
despite not having anything sad the fleur de lis on the door made it alright,1
i enjoy grabbing a burrito across the street from work when i forget my lunch at home as its a fast and affordable option that keeps me full for a few bucks,3
i was sitting at the bar with an empty drink and the bartender completely disregarded me not stopping to ask if i wanted another drink even after i had been there for quite a while,0
saturday afternoon at 230 with a posted opening time of 2 pm  several cars came and went and doors are locked  no way to run a business,0
10 bucks for wifi cheap bastards,2
