text,label
can you specify the type of aircraft that flies from boston to washington dc prior to 9 am,1
what are the departure and arrival times for flights between boston and denver scheduled for next monday,4
could you please share with me the schedule for nighttime flights originating in san francisco and arriving in washington,4
what is the ground transportation from boston airport to boston downtown,7
can you provide me with a catalog of trips going from milwaukee to tacoma washington during the evening,5
could you clarify the definition of ff,0
for transportation on the ground in charlotte what alternatives are there,7
which kinds of aerial transportation are available for travel between boston and san francisco on august 27th,1
what is the expense of a premium seating option from philadelphia to san francisco,2
i am looking for options for roundtrip travel between orlando and kansas city,5
is it possible for you to give me an overview of the flights available from milwaukee to tacoma washington in the evening,5
can you explain the significance of limitation ap80,0
what is the flight schedule for august 1st on the route from atlanta to boston,4
what airlines are listed in the database,3
can you provide the count of fares for traveling from tacoma to montreal in one direction,6
what is the meaning of restriction ap80,0
mark your calendar for american airlines flights between philadelphia and san francisco scheduled for tuesday the 23rd,5
what is the overall count of flights operated by delta between all airports,6
i would like to see the airlines that provide firstclass flight options,3
what is the price of a firstclass fare for a trip from philadelphia to san francisco,2
how can travelers get from the airport in denver to downtown without using their own vehicle,7
could you shed some light on the meaning of the code qw and qx in relation to ticket fares,0
i would like to be shown the names of the flight carriers based in atlanta,3
show me round trip fares from new york to miami,2
do you have any knowledge about the meaning behind code qw,0
when do continental airlines flights depart from denver to san francisco,4
among all the air transportation options which one records the greatest number of arrivals in atlanta,3
i would like to see the fares for round trips between new york and miami can you show me those,2
im looking for information about the flight timings on monday traveling from boston to denver can you help me with that,4
can you display a list of airlines offering firstclass flights,3
is it possible to provide a comprehensive roster of all the carriers offering flights from boston to san francisco,3
could you compile a complete catalog of all the airline companies that operate routes between boston and san francisco,3
what is the schedule for flights departing from san francisco to washington in the evening,4
can you provide the count of twas flights that include business class seating,6
what is the total number of flights provided by eastern airlines from boston to atlanta,6
before 9 am what category of flying machine takes off from boston and heads to washington dc,1
i would appreciate seeing the flights going from pittsburgh to san francisco on monday,5
could you provide me with information about the cheapest airfare available for a flight from dallas to baltimore scheduled to arrive on july fourth,2
would it be feasible for you to present a thorough compilation of the different air transport options available for travel from boston to san francisco,3
which luxury car rental service can i find in los angeles,7
which type of aircraft is taking off from philadelphia and flying to dallas,1
id appreciate it if you could assist me in procuring a coach class passage that allows me to travel from denver to atlanta with the added benefit of a convenient stopover in pittsburgh,2
what is the count of delta flights providing service under code f,6
show me the flights going from pittsburgh to san francisco on monday,5
how much does it cost to travel first class from philadelphia to san francisco,2
can you tell me how to get from the airport in philadelphia to downtown,5
i would like to know the lowest possible cost for an airplane ticket from dallas to baltimore with an arrival date of july fourth,2
can you provide information regarding the specific aircraft that will be in service for the boston to san francisco route on august twenty seventh,1
what ground transportation is available in charlotte,7
when does the flight bound for san francisco from denver take off on a certain airline service,4
i would like to see a compilation of airline names in atlanta,3
can you provide the departure time of the first flight from denver to boston,5
please provide me with a compilation of return trips from orlando to kansas city,5
what does the abbreviation ff stand for,0
please provide information regarding the flights operating between pittsburgh and san francisco on monday,5
is it possible for me to get a record of departures from milwaukee going to tacoma washington in the evening,5
i would like to know more about the fare code qw,0
from boston to atlanta what airlines offer flight services,3
explain fare code qx,0
how many flights does eastern airlines have from boston to atlanta,6
whats the cost of a first class fare from philadelphia to san francisco,2
i am curious about the purposes or functions of the codes qw and qx used in the context of ticket costs,0
what is the quantity of flights available from boston to atlanta operated by eastern airlines,6
can you display the prices for all evening rates connecting philadelphia to san francisco,2
is it possible to locate airfare deals between baltimore and philadelphia that come in at a price below 1000 for the complete round journey,2
can you provide me with the flight itinerary for august 1st between atlanta and boston,4
is there any way you could enlighten me about the transportation options available for traveling from the philadelphia airport to downtown,5
what is the quantity of tickets available for a single trip from tacoma to montreal,6
could you please display the round trip ticket prices for flights originating from new york and heading to miami,2
what is the schedule of flights from boston to denver next monday,4
provide me with a list of the fares exclusively offered during nighttime for journeys from philadelphia to san francisco,2
im not sure what you mean by hou could you explain it further,0
id like to buy a coach class ticket from denver to atlanta with a stopover in pittsburgh,2
can you tell me the departure times for flights on continental airlines from denver to san francisco,4
how many cities are served by delta airlines with first class flights,6
please exhibit the options for traveling from pittsburgh to san francisco on monday,5
what does the restriction ap80 imply or represent,0
what is the number of oneway fares available from tacoma to montreal,6
what is the total number of flights that twa operates with business class seats,6
what is the count of flights available from boston to atlanta operated by eastern airlines,6
when does the earliest departing airplane bound for denver leave from atlanta,4
can you provide me with the timetable for the trips from boston to denver on the next monday,4
could you provide the collective sum of flights conducted by delta among different airports,6
can you offer a comprehensive breakdown of what the fare code qx entails,0
i would like to see a list or details about the various options for getting around in seattle using ground transport,7
what is the available ground transportation between the airport in denver and downtown,7
could you clarify the interpretation behind restriction ap80,0
at what time does the initial flight depart from denver en route to boston,5
american airlines will be operating flights from philadelphia to san francisco on tuesday the 23rd,5
could you please share details about the specific mode of aerial travel employed for the trip from cleveland to dallas,1
show me the names of airlines in atlanta,3
please display the carriers that offer premium flights,3
i would appreciate it if you could inform me of the route to go downtown from the airport in philadelphia,5
what is the specific model of airplane leaving philadelphia and going to dallas,1
could you kindly offer me a compilation of milwaukee to tacoma washington nighttime journeys,5
is it possible to get the flight timings for evening departures from san francisco to washington,4
whats the schedule of flights from atlanta to boston on august first,4
i would like to know the specific times and details of the flights available from atlanta to boston on august 1st,4
could you recommend a reputable limo company operating in los angeles,7
can you provide me with a list of evening flights departing from milwaukee to tacoma washington,5
can you display the available flights departing from pittsburgh and arriving in san francisco on monday,5
could you explain what the fare codes qw and qx represent,0
what options are available for traveling by ground from boston airport to downtown boston,7
which airlines are represented in the database,3
could you please provide guidance on getting from the airport in philadelphia to downtown,5
i would like to see a list of roundtrip flights originating in orlando and heading to kansas city,5
can you provide information on the means of transportation one can utilize for commuting between boston airport and downtown boston,7
i would like to know the specific type of plane that takes off from boston and heads to washington dc before 9 in the morning,1
could you please display the names of airlines based in atlanta,3
what is the designated timeframe for the departure of the plane leaving denver and arriving in san francisco on a specific airline carrier,4
could you please present me with a selection of roundtrip flight options for travel between orlando and kansas city,5
what modes of travel are accessible for commuting between the denver airport and downtown area,7
what does restriction ap80 signify,0
can you provide information about the codes for ticket pricing specifically qw and qx codes,0
can you list all the airlines that have flights from boston to san francisco,3
can you please provide the departure time for the continental airlines flight from denver to san francisco,4
in atlanta which airline has the most flights arriving compared to other airlines,3
what is the number of delta flights that offer a class of service code f,6
how frequent are the delta flights categorized as code f,6
what is the quantity of delta flights offering service code f,6
in los angeles can you recommend a limousine transportation provider,7
what types of aircraft does midway airlines utilize,1
what time does the earliest airplane leave from denver on its way to boston,5
okay i would like to know the type of aircraft used on a flight from cleveland to dallas please,1
can you please explain the meaning of ff,0
what limousine service in los angeles,7
what is the most affordable airfare option for a dallas to baltimore flight with arrival on july fourth,2
when is the first departure from denver heading towards boston,5
can you provide me with a compilation of roundtrip flights available from orlando to kansas city,5
which varieties of planes are employed by midway airlines,1
what is the intended definition of hou,0
can you clarify the meaning of hou,0
can you please explain the fare code qw to me,0
in what ways can i travel from boston airport to the center of boston without utilizing air or water transportation,7
can you tell me which airlines are present in the database,3
i would like to know the specific time at which the continental airlines flight departs from denver and arrives in san francisco,4
what kind of vehicle is used for trips from denver to san francisco prior to 10 am when they are repeated,1
list the total number of flights between all airports by delta,6
how many destinations does delta airlines offer firstclass services to,6
at what time does the initial flight departing atlanta and heading towards denver take off,4
in charlotte what are the available choices for getting around by land,7
how much does a firstclass ticket from philadelphia to san francisco cost,2
could you provide a definition or explanation for the term hou,0
id like to see a list of flight options from pittsburgh to san francisco for monday,5
what is lowest cost air fare available for a flight from dallas to baltimore arriving on july fourth,2
